Time	[gp80]	[IL6-gp80]	[IL6-gp80-gp130-JAK]	[gp130-JAK]	[(IL6-gp80-gp130-JAK)2]	[(IL6-gp80-gp130-JAK)_ast2]	[(IL6-gp80-gp130-JAK)ast2-JAK]	[SHP2]	[STAT3C]	[(IL6-gp80-gp130-JAK)ast2-STAT3C]	[STAT3Cast]	[(IL6-gp80-gp130-JAK)ast2-STAT3Cast]	[SOCS3]	[(IL6-gp80-gp130-JAK)ast2-SOCS3]	[(IL6-gp80-gp130-JAK)ast2-SHP2ast]	[SHP2ast]	[(IL6-gp80-gp130-JAK)ast2-SHP2ast-Grb2]	[SHP2ast-Grb2]	[(IL6-gp80-gp130-JAK)ast2-SHP2-Grb2]	[SHP2ast-Grb2-SOS]	[PP1-STAT3Cast]	[PP1]	[STAT3C-STAT3Cast]	[STAT3N]	[(IL6-gp80-gp130-JAK)ast2-STAT3C-SOCS3-SHP2]	[STAT3Cast-STAT3Cast]	[STAT3Nast-STAT3Nast]	[STAT3Nast]	[PP2]	[PP2-STAT3Nast-STAT3Nast]	[STAT3N-STAT3Nast]	[Mrna-SOCS3N]	[Grb2]	[Ras-GDP]	[(IL6-gp80-gp130-JAK)ast2-SHP2ast-Grb2-SOS-Ras-GDP]	[Ras-GTP]	[Raf]	[Raf-Ras-GTP]	[Rafast-Phosp1]	[Rafast]	[Phosp1]	[MEK]	[MEK-Rafast]	[MEK-P]	[MEK-P-Phosp2]	[Phosp2]	[MEK-PP]	[ERK]	[ERK-MEK-PP]	[ERK-P]	[ERK-PP]	[ERK-P-Phosp3]	[SOS]	[PP2-STAT3Nast]	[(IL6-gp80-gp130-JAK)ast2-STAT3C-SOCS3]	[MEK-P-Rafast]	[(IL6-gp80-gp130-JAK)ast2-SHP2ast-Grb2-SOS-Ras-GTP]	[gp130]	[MEK-PP-Phosp2]	[JAK]	[Mrna-SOCS3C]	[Ras-GTPast]	[(IL6-gp80-gp130-JAK)ast2-STAT3C-SHP2]	[ERK-P-MEK-PP]	[PP1-STAT3Cast-STAT3Cast]	[Grb2-SOS]	[Phosp3]	[ERK-PP-Phosp3]
10	8	1.74471	0.694058	4.70883	0.0287611	4.3108e-05	6.51245e-07	100	1000	0.000190651	9.87628e-05	1.12656e-11	1.07241e-23	1.02741e-30	1.72443e-06	3.91673e-07	5.97325e-07	2.90037e-07	1.88052e-08	2.4223e-07	4.77048e-06	50	1.91324e-08	4.34193e-18	7.39415e-32	1.12927e-10	3.06114e-13	3.28887e-14	60	9.16584e-15	2.17559e-17	4.22531e-18	53.2887	19000	2.09631e-06	1.11476e-06	67	3.84993e-08	7.26345e-10	3.45368e-10	67	41667	3.47429e-08	1.02616e-07	9.47635e-10	67	6.15079e-20	35000	1.28722e-20	2.82188e-21	5.26047e-47	7.1861e-20	2.28871	9.31147e-16	2.25952e-30	7.56829e-20	6.41804e-08	0.8	1.78905e-20	6.53912	2.19146e-21	6.42013e-08	1.24631e-35	1.67549e-45	2.9867e-12	31.7113	16667	2.16173e-45
11	8	1.80553	0.817108	4.82789	0.0442435	7.29724e-05	1.11546e-06	100	999.999	0.000336943	0.000196453	4.1541e-11	7.40927e-23	1.26447e-29	3.05857e-06	7.63294e-07	1.11403e-06	5.98956e-07	3.69201e-08	5.14893e-07	1.0442e-05	50	4.189e-08	2.94389e-17	1.1004e-30	4.98751e-10	1.50634e-12	1.81085e-13	60	5.00343e-14	1.31668e-16	2.33322e-17	52.8452	19000	4.2652e-06	2.53633e-06	67	9.2737e-08	2.01815e-09	9.08942e-10	67	41667	9.3853e-08	3.10549e-07	3.10078e-09	67	5.65461e-19	35000	1.20014e-19	2.68198e-20	4.85806e-45	7.43605e-19	1.84524	5.67973e-15	3.02772e-29	6.32971e-19	1.36371e-07	0.8	1.78772e-19	6.26568	1.3549e-20	1.65052e-07	2.07304e-34	1.52619e-43	1.46519e-11	32.1548	16667	2.19191e-43
12	8	1.85692	0.937903	4.91439	0.0640839	0.000115941	1.78988e-06	100	999.999	0.000555567	0.000361623	1.31902e-10	4.20666e-22	1.1953e-28	5.05942e-06	1.38016e-06	1.92655e-06	1.13845e-06	6.71728e-08	1.00484e-06	2.09707e-05	50	8.41496e-08	1.63965e-16	1.23776e-29	1.8706e-09	6.24231e-12	8.32824e-13	60	2.2808e-13	6.59898e-16	1.07621e-16	52.4991	19000	7.9997e-06	5.27205e-06	67	2.02581e-07	5.02487e-09	2.15879e-09	67	41667	2.27883e-07	8.37394e-07	8.96345e-09	67	4.12175e-18	35000	8.85177e-19	2.01509e-19	2.79544e-43	6.03047e-18	1.49908	2.86964e-14	3.09123e-28	4.22937e-18	2.66232e-07	0.8	1.40428e-18	6.01816	6.94029e-20	3.84803e-07	2.58599e-33	8.66649e-42	6.05231e-11	32.5009	16667	1.37133e-41
13	8	1.90096	1.05467	4.97341	0.088317	0.000174749	2.7205e-06	100	999.998	0.000864683	0.000623967	3.6965e-10	2.02608e-21	9.06724e-28	7.89827e-06	2.34488e-06	3.12872e-06	2.01934e-06	1.14719e-07	1.82688e-06	3.91882e-05	50	1.57294e-07	7.74441e-16	1.10121e-28	6.12004e-09	2.24049e-11	3.29446e-12	60	8.94046e-13	2.82381e-15	4.26986e-16	52.228	19000	1.40239e-05	1.01647e-05	67	4.07985e-07	1.14183e-08	4.70648e-09	67	41667	5.06301e-07	2.05098e-06	2.33674e-08	67	2.47601e-17	35000	5.37091e-18	1.24479e-18	1.08782e-41	3.99146e-17	1.22804	1.23818e-13	2.51439e-27	2.34373e-17	4.84349e-07	0.8	9.02494e-18	5.79315	3.03678e-19	8.26577e-07	2.53403e-32	3.32866e-40	2.16506e-10	32.7719	16667	5.76266e-40
14	8	1.93936	1.16631	5.00929	0.116774	0.000251968	3.95092e-06	99.9999	999.998	0.00128209	0.00101941	9.3221e-10	8.48609e-21	5.70824e-27	1.17448e-05	3.78042e-06	4.81922e-06	3.37893e-06	1.85752e-07	3.12942e-06	6.88969e-05	49.9999	2.76612e-07	3.17986e-15	8.03203e-28	1.78378e-08	7.11957e-11	1.14689e-11	60	3.08341e-12	1.05662e-14	1.49088e-15	52.0153	19000	2.32274e-05	1.83933e-05	67	7.67252e-07	2.4018e-08	9.54402e-09	67	41667	1.04363e-06	4.6312e-06	5.58232e-08	67	1.26301e-16	35000	2.76335e-17	6.5169e-18	3.03241e-40	2.22505e-16	1.01529	4.6726e-13	1.68704e-26	1.10883e-16	8.30235e-07	0.8	4.89473e-17	5.58769	1.16244e-18	1.65629e-06	2.02361e-31	9.15911e-39	6.8561e-10	32.9847	16667	1.7252e-38
15	8	1.9735	1.27228	5.02569	0.149134	0.000349913	5.52076e-06	99.9999	999.996	0.00182444	0.00158971	2.14863e-09	3.1526e-20	3.06376e-26	1.67595e-05	5.82872e-06	7.09679e-06	5.37976e-06	2.87433e-07	5.09596e-06	0.000114964	49.9999	4.61689e-07	1.1577e-14	4.94153e-27	4.71019e-08	2.03839e-10	3.57843e-11	60	9.52866e-12	3.52354e-14	4.66562e-15	51.848	19000	3.66589e-05	3.15305e-05	67	1.36104e-06	4.72946e-08	1.81913e-08	67	41667	2.01776e-06	9.75516e-06	1.23757e-07	67	5.6021e-16	35000	1.23485e-16	2.96192e-17	6.36553e-39	1.07099e-15	0.847964	1.57183e-12	9.59926e-26	4.58279e-16	1.35267e-06	0.8	2.29602e-16	5.39927	3.9673e-18	3.12665e-06	1.3561e-30	1.89771e-37	1.95593e-09	33.152	16667	3.87179e-37
16	8	2.0045	1.37247	5.02572	0.184975	0.000470587	7.4646e-06	99.9999	999.995	0.00250668	0.00238177	4.5837e-09	1.05554e-19	1.43262e-25	2.30885e-05	8.64884e-06	1.00561e-05	8.2073e-06	4.27795e-07	7.94527e-06	0.000183376	49.9998	7.36625e-07	3.79749e-14	2.62376e-26	1.14226e-07	5.33348e-10	1.01558e-10	60	2.67785e-11	1.06341e-13	1.32811e-14	51.7162	19000	5.55133e-05	5.1591e-05	67	2.29606e-06	8.79734e-08	3.28669e-08	67	41667	3.6915e-06	1.93505e-05	2.57206e-07	67	2.20212e-15	35000	4.88576e-16	1.19139e-16	1.04401e-37	4.54081e-15	0.71617	4.78635e-12	4.73644e-25	1.6854e-15	2.10965e-06	0.8	9.50039e-16	5.22571	1.22592e-17	5.60516e-06	7.8074e-30	3.07217e-36	5.09881e-09	33.2838	16667	6.76083e-36
17	8	2.03325	1.46702	5.01197	0.223829	0.000615667	9.81158e-06	99.9998	999.993	0.00334172	0.0034469	9.14519e-09	3.22711e-19	5.94145e-25	3.08598e-05	1.24146e-05	1.37843e-05	1.20667e-05	6.15623e-07	1.19301e-05	0.000281248	49.9997	1.13008e-06	1.13711e-13	1.22498e-25	2.57265e-07	1.29032e-09	2.6538e-10	60	6.92745e-11	2.94158e-13	3.48088e-14	51.6122	19000	8.1115e-05	8.10697e-05	67	3.7082e-06	1.55727e-07	5.66782e-08	67	41667	6.43672e-06	3.64269e-05	5.05297e-07	67	7.79188e-15	35000	1.73868e-15	4.30843e-16	1.38357e-36	1.72364e-14	0.612236	1.33612e-11	2.06403e-24	5.59953e-15	3.16793e-06	0.8	3.52384e-15	5.06515	3.47339e-17	9.60532e-06	3.93607e-29	4.01957e-35	1.22884e-08	33.3877	16667	9.49194e-35
18	8	2.06044	1.55626	4.98668	0.265221	0.000786504	1.25854e-05	99.9998	999.99	0.00434038	0.00483997	1.72126e-08	9.10763e-19	2.21788e-24	4.01821e-05	1.73122e-05	1.83593e-05	1.71793e-05	8.60331e-07	1.73352e-05	0.000416795	49.9996	1.67518e-06	3.14231e-13	5.10765e-25	5.4317e-07	2.91446e-09	6.44962e-10	60	1.66642e-10	7.53658e-13	8.48507e-14	51.5302	19000	0.000114899	0.000122969	67	5.76504e-06	2.63941e-07	9.38249e-08	67	41667	1.07606e-05	6.54932e-05	9.44803e-07	67	2.51369e-14	35000	5.63757e-15	1.41902e-15	1.51721e-35	5.93672e-14	0.530196	3.45528e-11	8.06521e-24	1.70165e-14	4.6024e-06	0.8	1.1873e-14	4.91599	9.11832e-17	1.58206e-05	1.76541e-28	4.35262e-34	2.76473e-08	33.4697	16667	1.09826e-33
19	8	2.08662	1.64057	4.9517	0.308697	0.000984149	1.58047e-05	99.9997	999.987	0.00551133	0.00661855	3.07841e-08	2.39458e-18	7.54539e-24	5.11446e-05	2.35377e-05	2.3848e-05	2.37791e-05	1.17184e-06	2.44738e-05	0.000599272	49.9994	2.40927e-06	8.08766e-13	1.92731e-24	1.08349e-06	6.19641e-09	1.47028e-09	60	3.75936e-10	1.80438e-12	1.94007e-13	51.4653	19000	0.00015839	0.000180815	67	8.66761e-06	4.30528e-07	1.49811e-07	67	41667	1.73331e-05	0.000113066	1.69103e-06	67	7.47378e-14	35000	1.68376e-14	4.3033e-15	1.40877e-34	1.87648e-13	0.465389	8.35142e-11	2.86247e-23	4.7797e-14	6.49514e-06	0.8	3.67481e-14	4.77683	2.23758e-16	2.51599e-05	7.1409e-28	3.99152e-33	5.85445e-08	33.5344	16667	1.07221e-32
