Time	[GTPgS_C]	[KCNQsites_M]	[PIP2_M]	[GGDPbS_M]	[Mg2_C]	[ATP_C]	[oxoM_EX]	[GDPbS_C]	[GGTPMg_M]	[GDP_C]	[GTP_C]	[GGDPAIF4Mg_M]	[IP3_C]	[AIF4_C]	[G_M]	[GGTP_M]	[GGDPAIF4_M]	[GGTPgS_M]	[PI_M]	[PIP_M]	[PIP2xKCNQ_M]	[GGTPgSMg_M]	[GGDP_M]
0	0	6.7	5000	0	2100	3000	0	0	0.1	0	95.5391	0	0.48	0	0.065	0.048	0	0	200000	1150	33.3	0	200
1	0	6.67289	5002.21	0	2100	2999.92	0	0	0.127885	0.000199489	95.5761	0	0.385052	0	0.00471367	0.031934	0	0	199985	1128	33.3271	0	200.048
2	0	6.66437	5005.58	0	2100	2999.85	0	0	0.114378	0.000399011	95.6128	0	0.312767	0	0.00471185	0.0317761	0	0	199970	1107.18	33.3356	0	200.062
3	0	6.65968	5008.58	0	2100	2999.77	10	0	0.112096	0.000598539	95.6492	0	0.258659	0	0.00471011	0.0317764	0	0	199955	1087.46	33.3403	0	200.064
4	0	7.16885	3816.7	0	2100	2999.7	10	0	21.212	0.0508705	95.6853	0	1.29641	0	1.11799	7.62834	0	0	199940	1066.8	32.8311	0	170.255
5	0	9.25805	2174.4	0	2100	2999.63	10	0	25.298	0.0974673	95.7211	0	2.39673	0	1.09111	7.37827	0	0	199926	1039.2	30.742	0	166.446
6	0	12.244	1209.62	0	2100	2999.56	10	0	25.7485	0.143637	95.7566	0	2.63499	0	1.0878	7.34825	0	0	199911	1006.83	27.756	0	166.028
7	0	15.5981	688.194	0	2100	2999.49	10	0	25.7977	0.189761	95.7918	0	2.43705	0	1.08708	7.34496	0	0	199896	972.692	24.4019	0	165.983
8	0	18.9842	408.194	0	2100	2999.43	0	0	25.8031	0.235879	95.8268	0	2.08603	0	1.08665	7.34459	0	0	199881	938.487	21.0158	0	165.979
9	0	22.0557	323.954	0	2100	2999.36	0	0	6.32391	0.236062	95.8614	0	1.65578	0	0.00458077	0.0462861	0	0	199866	905.192	17.9443	0	193.838
10	0	24.3052	347.718	0	2100	2999.3	0	0	1.14772	0.236258	95.8957	0	1.2461	0	0.00467247	0.0315654	0	0	199851	873.58	15.6948	0	199.029
11	0	25.7318	387.319	0	2100	2999.24	0	0	0.28383	0.236457	95.9298	0	0.927651	0	0.00469203	0.031736	0	0	199836	843.798	14.2682	0	199.893
12	0	26.5213	427.67	0	2100	2999.18	0	0	0.140255	0.236657	95.9636	0	0.68938	0	0.00469391	0.0317693	0	0	199821	815.779	13.4787	0	200.036
13	0	26.8544	466.28	0	2100	2999.12	0	0	0.116395	0.236856	95.9971	0	0.512733	0	0.00469286	0.0317748	0	0	199807	789.426	13.1456	0	200.06
14	0	26.8748	502.887	0	2100	2999.06	0	0	0.112429	0.237056	96.0303	0	0.382108	0	0.00469133	0.0317757	0	0	199792	764.642	13.1252	0	200.064
15	0	26.6899	537.607	0	2100	2999.01	0	0	0.11177	0.237255	96.0632	0	0.285611	0	0.00468974	0.0317759	0	0	199777	741.334	13.3101	0	200.065
16	0	26.3771	570.599	0	2100	2998.95	0	0	0.111661	0.237455	96.0959	0	0.214375	0	0.00468815	0.0317759	0	0	199762	719.417	13.6229	0	200.065
17	0	25.9909	602.007	0	2100	2998.9	0	0	0.111643	0.237654	96.1283	0	0.161828	0	0.00468657	0.0317759	0	0	199747	698.809	14.0091	0	200.065
18	0	25.5684	631.951	0	2100	2998.85	0	0	0.11164	0.237854	96.1604	0	0.123104	0	0.004685	0.0317759	0	0	199732	679.433	14.4316	0	200.065
19	0	25.1342	660.539	0	2100	2998.8	0	0	0.111639	0.238053	96.1923	0	0.094604	0	0.00468345	0.0317759	0	0	199717	661.218	14.8658	0	200.065
20	0	24.7042	687.86	0	2100	2998.75	0	0	0.111639	0.238253	96.2239	0	0.0736624	0	0.00468191	0.0317759	0	0	199702	644.097	15.2958	0	200.065
21	0	24.288	713.997	0	2100	2998.7	0	0	0.111639	0.238452	96.2552	0	0.0583082	0	0.00468038	0.0317759	0	0	199688	628.006	15.712	0	200.065
22	0	23.8908	739.02	0	2100	2998.65	0	0	0.111639	0.238652	96.2863	0	0.0470829	0	0.00467887	0.0317759	0	0	199673	612.884	16.1092	0	200.065
23	0	23.5152	762.996	0	2100	2998.6	0	0	0.111639	0.238851	96.3171	0	0.0389076	0	0.00467738	0.0317759	0	0	199658	598.677	16.4848	0	200.065
24	0	23.1622	785.986	0	2100	2998.55	0	0	0.111639	0.239051	96.3477	0	0.032984	0	0.00467589	0.0317759	0	0	199643	585.33	16.8378	0	200.065
25	0	22.8313	808.044	0	2100	2998.51	0	0	0.111639	0.23925	96.378	0	0.0287216	0	0.00467442	0.0317759	0	0	199628	572.794	17.1687	0	200.065
26	0	22.5218	829.224	0	2100	2998.46	0	0	0.111639	0.23945	96.4081	0	0.0256838	0	0.00467296	0.0317759	0	0	199613	561.022	17.4782	0	200.065
27	0	22.2322	849.572	0	2100	2998.42	0	0	0.111639	0.23965	96.4379	0	0.0235477	0	0.00467152	0.0317759	0	0	199598	549.969	17.7678	0	200.065
28	0	21.9612	869.135	0	2100	2998.37	0	0	0.111639	0.239849	96.4674	0	0.0220745	0	0.00467009	0.0317759	0	0	199584	539.593	18.0388	0	200.065
29	0	21.7075	887.955	0	2100	2998.33	0	0	0.111639	0.240049	96.4968	0	0.0210878	0	0.00466867	0.0317759	0	0	199569	529.856	18.2925	0	200.065
30	0	21.4694	906.074	0	2100	2998.29	0	0	0.111639	0.240248	96.5258	0	0.0204573	0	0.00466726	0.0317759	0	0	199554	520.719	18.5306	0	200.065
31	0	21.2459	923.527	0	2100	2998.25	0	0	0.111639	0.240448	96.5547	0	0.0200867	0	0.00466587	0.0317759	0	0	199539	512.149	18.7541	0	200.065
