Time	[Auxin]	[Cytokinin]	[AHP6m]	[AHP6p]	[IAA2m]	[IAA2p]	[ARR5m]	[ARR5p]	[PHBm]	[PHBp]	[CKX3m]	[CKX3p]	[PIN3m]	[PIN1m]	[PIN7m]	[miRNA]
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.0379272	0.199991	0.00864752	0.00273514	0.0198459	0.0171443	0.275597	0.274685	1.26424	0.528482	0	0	0	0	0.491316	0
2	0.0518799	0.2	0.00693879	0.00622387	0.0399324	0.0384568	0.275018	0.275083	1.72933	1.18799	0	0	0	0	0.78397	0
3	0.0570128	0.2	0.00385935	0.0054599	0.048892	0.0482909	0.275206	0.275156	1.90043	1.6017	0	0	0	0	0.891535	0
4	0.0589011	0.2	0.00224875	0.00379483	0.0523839	0.0521553	0.275631	0.275601	1.96337	1.81684	0	0	0	0	0.931228	0
5	0.0595957	0.2	0.00150463	0.00251374	0.0536942	0.0536091	0.275795	0.275785	1.98652	1.91914	0	0	0	0	0.945918	0
6	0.0598513	0.2	0.00117254	0.00173999	0.0541796	0.0541481	0.27584	0.275838	1.99504	1.9653	0	0	0	0	0.95135	0
7	0.0599453	0.2	0.00102633	0.00132141	0.0543586	0.054347	0.275853	0.275852	1.99818	1.98541	0	0	0	0	0.953357	0
8	0.0599799	0.2	0.000962445	0.0011087	0.0544246	0.0544203	0.275857	0.275857	1.99933	1.99396	0	0	0	0	0.954097	0
9	0.0599926	0.2	0.000934711	0.00100487	0.0544488	0.0544473	0.275858	0.275858	1.99975	1.99753	0	0	0	0	0.95437	0
10	0.0599973	0.2	0.00092275	0.00095561	0.0544577	0.0544572	0.275859	0.275859	1.99991	1.999	0	0	0	0	0.954471	0
11	0.059999	0.2	0.000917628	0.000932734	0.054461	0.0544608	0.275859	0.275859	1.99997	1.9996	0	0	0	0	0.954508	0
12	0.0599996	0.2	0.000915449	0.000922289	0.0544622	0.0544622	0.275859	0.275859	1.99999	1.99984	0	0	0	0	0.954522	0
13	0.0599999	0.2	0.000914528	0.000917586	0.0544627	0.0544626	0.275859	0.275859	2	1.99994	0	0	0	0	0.954527	0
14	0.06	0.2	0.000914142	0.000915494	0.0544628	0.0544628	0.275859	0.275859	2	1.99998	0	0	0	0	0.954529	0
15	0.06	0.2	0.000913981	0.000914573	0.0544629	0.0544629	0.275859	0.275859	2	1.99999	0	0	0	0	0.954529	0
16	0.06	0.2	0.000913914	0.000914172	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
17	0.06	0.2	0.000913887	0.000913998	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
18	0.06	0.2	0.000913876	0.000913924	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
19	0.06	0.2	0.000913871	0.000913892	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
20	0.06	0.2	0.000913869	0.000913878	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
21	0.06	0.2	0.000913869	0.000913872	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
22	0.06	0.2	0.000913868	0.00091387	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
23	0.06	0.2	0.000913868	0.000913869	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
24	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
25	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
26	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
27	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
28	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
29	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
30	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
31	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
32	0.06	0.2	0.000913868	0.000913869	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
33	0.06	0.2	0.000913868	0.000913869	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
34	0.06	0.2	0.000913868	0.000913869	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
35	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
36	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
37	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
38	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
39	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
40	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
41	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
42	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
43	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
44	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
45	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
46	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
47	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
48	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
49	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
50	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
51	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
