Time	[EGF]	[EGFR]	[pEGFR]	[pEGFR_Akt]	[Akt]	[pAkt]	[S6]	[pAkt_S6]	[pS6]	[pro_EGFR]	[EGF_EGFR]
25	0.208333	67291.7	78.2272	0.000323601	0.0429355	4.99079e-05	3.54317	1.75717e-09	8.37212e-12	68190.2	762.92
26	0.216667	67227.6	85.2281	0.000365785	0.0428846	5.86587e-05	3.54317	2.15844e-09	1.07335e-11	68190.2	811.992
27	0.225	67161.8	92.4699	0.000411082	0.0428295	6.84428e-05	3.54317	2.62817e-09	1.36203e-11	68190.2	861.779
28	0.233333	67094.4	99.9422	0.00045952	0.0427702	7.93207e-05	3.54317	3.17418e-09	1.71197e-11	68190.2	912.229
29	0.241667	67025.4	107.635	0.000511115	0.0427065	9.13519e-05	3.54317	3.80474e-09	2.13287e-11	68190.2	963.294
30	0.25	66954.9	115.538	0.000565876	0.0426385	0.000104594	3.54317	4.52856e-09	2.63543e-11	68190.2	1014.93
31	0.258333	66882.8	123.641	0.000623802	0.0425661	0.000119104	3.54317	5.35474e-09	3.23144e-11	68190.2	1067.09
32	0.266667	66809.3	131.935	0.000684882	0.0424892	0.000134935	3.54317	6.2928e-09	3.93379e-11	68190.2	1119.73
33	0.275	66734.3	140.41	0.000749098	0.0424078	0.00015214	3.54317	7.35263e-09	4.75655e-11	68190.2	1172.83
34	0.283333	66657.9	149.057	0.000816423	0.0423218	0.000170767	3.54317	8.54449e-09	5.71498e-11	68190.2	1226.33
35	0.291667	66580.1	157.866	0.000886824	0.0422313	0.000190865	3.54317	9.87898e-09	6.82562e-11	68190.2	1280.2
36	0.3	66500.9	166.829	0.00096026	0.0421363	0.000212477	3.54317	1.13671e-08	8.10625e-11	68190.2	1334.42
37	0.308333	66420.3	175.937	0.00103668	0.0420367	0.000235646	3.54317	1.30199e-08	9.57603e-11	68190.2	1388.95
38	0.316667	66338.5	185.182	0.00111604	0.0419326	0.000260409	3.54317	1.48492e-08	1.12554e-10	68190.2	1443.76
39	0.325	66255.3	194.555	0.00119827	0.0418239	0.000286803	3.54317	1.68665e-08	1.31664e-10	68190.2	1498.82
40	0.333333	66170.8	204.05	0.00128331	0.0417108	0.000314861	3.54317	1.90841e-08	1.53322e-10	68190.2	1554.11
41	0.341667	66085.1	213.657	0.00137108	0.0415933	0.000344613	3.54317	2.15141e-08	1.77776e-10	68190.2	1609.61
42	0.35	65998.2	223.37	0.00146152	0.0414714	0.000376084	3.54317	2.41689e-08	2.05288e-10	68190.2	1665.28
43	0.358333	65910	233.183	0.00155454	0.0413452	0.000409299	3.54317	2.70612e-08	2.36136e-10	68190.2	1721.1
44	0.366667	65820.7	243.087	0.00165006	0.0412146	0.000444277	3.54317	3.02038e-08	2.70611e-10	68190.2	1777.06
45	0.375	65730.1	253.077	0.001748	0.04108	0.000481036	3.54317	3.36095e-08	3.09023e-10	68190.2	1833.13
46	0.383333	65638.4	263.147	0.00184826	0.0409411	0.000519589	3.54317	3.72913e-08	3.51692e-10	68190.2	1889.29
47	0.391667	65545.6	273.29	0.00195075	0.0407983	0.000559946	3.54317	4.12624e-08	3.98959e-10	68190.2	1945.54
48	0.4	65451.6	283.501	0.00205537	0.0406515	0.000602116	3.54317	4.55357e-08	4.51176e-10	68190.2	2001.84
49	0.408333	65356.5	293.774	0.00216204	0.0405008	0.000646103	3.54317	5.01244e-08	5.08714e-10	68190.2	2058.18
50	0.416667	65260.3	304.104	0.00227065	0.0403464	0.000691908	3.54317	5.50418e-08	5.71957e-10	68190.2	2114.54
51	0.425	65163	314.486	0.0023811	0.0401883	0.000739528	3.54317	6.03008e-08	6.41305e-10	68190.2	2170.92
52	0.433333	65064.6	324.915	0.00249328	0.0400267	0.00078896	3.54317	6.59147e-08	7.17176e-10	68190.2	2227.3
53	0.441667	64965.2	335.386	0.00260711	0.0398616	0.000840195	3.54317	7.18963e-08	7.99999e-10	68190.2	2283.66
54	0.45	64864.8	345.895	0.00272247	0.0396932	0.000893223	3.54317	7.82587e-08	8.90223e-10	68190.2	2339.98
55	0.458333	64763.3	356.438	0.00283926	0.0395216	0.000948031	3.54317	8.50147e-08	9.88307e-10	68190.2	2396.27
56	0.466667	64660.8	367.01	0.00295737	0.0393469	0.0010046	3.54317	9.2177e-08	1.09473e-09	68190.2	2452.5
57	0.475	64557.3	377.608	0.00307671	0.0391693	0.00106292	3.54317	9.97581e-08	1.20998e-09	68190.2	2508.67
58	0.483333	64452.7	388.228	0.00319718	0.0389888	0.00112296	3.54317	1.07771e-07	1.33457e-09	68190.2	2564.77
59	0.491667	64347.3	398.867	0.00331866	0.0388055	0.0011847	3.54317	1.16226e-07	1.46902e-09	68190.2	2620.78
60	0.5	64240.8	409.52	0.00344106	0.0386197	0.00124812	3.54317	1.25138e-07	1.61386e-09	68190.2	2676.69
61	0.508333	64133.4	420.185	0.00356428	0.0384314	0.00131318	3.54317	1.34517e-07	1.76963e-09	68190.2	2732.5
62	0.516667	64025	430.859	0.00368822	0.0382408	0.00137986	3.54317	1.44374e-07	1.93691e-09	68190.2	2788.2
63	0.525	63915.7	441.539	0.00381278	0.038048	0.00144813	3.54317	1.54722e-07	2.11627e-09	68190.2	2843.77
64	0.533333	63805.5	452.221	0.00393786	0.037853	0.00151795	3.54317	1.65571e-07	2.30829e-09	68190.2	2899.22
65	0.541667	63694.3	462.904	0.00406337	0.0376562	0.00158928	3.54317	1.76933e-07	2.51358e-09	68190.2	2954.52
66	0.55	63582.3	473.584	0.00418922	0.0374575	0.00166209	3.54317	1.88817e-07	2.73275e-09	68190.2	3009.69
67	0.558333	63469.3	484.259	0.00431531	0.0372572	0.00173634	3.54317	2.01234e-07	2.96643e-09	68190.2	3064.7
68	0.566667	63355.5	494.927	0.00444156	0.0370553	0.00181198	3.54317	2.14193e-07	3.21525e-09	68190.2	3119.56
69	0.575	63240.8	505.585	0.00456788	0.0368519	0.00188899	3.54317	2.27705e-07	3.47985e-09	68190.2	3174.25
70	0.583333	63125.2	516.232	0.00469418	0.0366473	0.0019673	3.54317	2.41779e-07	3.76091e-09	68190.2	3228.77
71	0.591667	63008.8	526.865	0.00482038	0.0364415	0.00204689	3.54317	2.56423e-07	4.05908e-09	68190.2	3283.11
72	0.6	62891.5	537.482	0.00494641	0.0362346	0.0021277	3.54317	2.71646e-07	4.37505e-09	68190.2	3337.27
73	0.608333	62773.3	548.081	0.00507217	0.0360269	0.00220969	3.54317	2.87457e-07	4.70951e-09	68190.2	3391.24
74	0.616667	62654.4	558.661	0.0051976	0.0358183	0.00229281	3.54317	3.03863e-07	5.06314e-09	68190.2	3445.02
75	0.625	62534.6	569.22	0.00532263	0.0356091	0.00237701	3.54317	3.20872e-07	5.43667e-09	68190.2	3498.6
76	0.633333	62414	579.756	0.00544718	0.0353992	0.00246225	3.54317	3.38491e-07	5.83079e-09	68190.2	3551.98
77	0.641667	62292.6	590.267	0.00557119	0.035189	0.00254848	3.54317	3.56726e-07	6.24624e-09	68190.2	3605.15
78	0.65	62170.4	600.753	0.00569458	0.0349784	0.00263564	3.54317	3.75585e-07	6.68373e-09	68190.2	3658.11
79	0.658333	62047.4	611.211	0.0058173	0.0347676	0.00272369	3.54317	3.95072e-07	7.14402e-09	68190.2	3710.85
