Time	[H]	[HR]	[R]	[HRRH]	[E]	[GQ]	[IP3]	[CHO]
51	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
52	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
53	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
54	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
55	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
56	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
57	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
58	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
59	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
60	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
61	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
62	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
63	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
64	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
65	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
66	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
67	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
68	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
69	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
70	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
71	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
72	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
73	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
74	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
75	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
76	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
77	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
78	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
79	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
80	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
81	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
82	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
83	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
84	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
85	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
86	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
87	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
88	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
89	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
90	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
91	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
92	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
93	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
94	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
95	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
96	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
97	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
98	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
99	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
100	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
