Time	[w]	[IFNb_mRNA]	[IFNb_env]	[STATP2n]	[SOCS1m]	[IRF7m]	[IRF7Pn]	[IFNa_mRNA]	[IFNa_env]	[TNFam]	[TNFenv]	[STATm]	[STAT]
0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
1	0	0.000873197	1.05866e-05	2.67413e-10	5.16451e-08	2.3618e-14	1.89824e-12	1.17081e-13	5.34287e-16	8.5242e-05	1.42124e-06	7.21214e-06	0.0969081
2	0	0.00152654	3.3069e-05	1.29647e-09	6.2462e-08	2.14807e-13	3.71221e-11	4.63191e-12	4.47224e-14	0.000148446	5.11225e-06	1.07426e-05	0.0957736
3	0	0.00195471	6.10273e-05	2.92391e-09	6.03285e-08	6.69241e-13	1.73645e-10	3.32833e-11	5.13478e-13	0.000192957	1.04208e-05	1.19274e-05	0.0955017
4	0	0.00211398	9.1322e-05	4.96017e-09	4.96977e-08	1.38144e-12	4.3297e-10	1.15358e-10	2.57206e-12	0.000216406	1.67239e-05	1.11362e-05	0.095292
5	0	0.0020744	0.000121972	7.2557e-09	3.82565e-08	2.30756e-12	7.87278e-10	2.68054e-10	8.11542e-12	0.00022627	2.34788e-05	9.43604e-06	0.0946119
6	0	0.00195883	0.000151998	9.62627e-09	3.10551e-08	3.38161e-12	1.23874e-09	4.98972e-10	1.93716e-11	0.000233974	3.04657e-05	7.89902e-06	0.0933739
7	0	0.00183428	0.000181083	1.19277e-08	2.74575e-08	4.52645e-12	1.80836e-09	8.18122e-10	3.88174e-11	0.000244934	3.77137e-05	6.8347e-06	0.0917339
8	0	0.00172387	0.000209206	1.41023e-08	2.57902e-08	5.67877e-12	2.51062e-09	1.2382e-09	6.92773e-11	0.000260405	4.5338e-05	6.17443e-06	0.089869
9	0	0.00163277	0.000236462	1.61472e-08	2.50165e-08	6.8008e-12	3.35053e-09	1.77102e-09	1.1395e-10	0.000280212	5.34626e-05	5.78505e-06	0.0879076
10	0	0.00156003	0.000262979	1.80787e-08	2.46435e-08	7.87624e-12	4.32709e-09	2.42536e-09	1.76344e-10	0.000303871	6.21979e-05	5.56096e-06	0.0859297
11	0	0.00150292	0.000288888	1.99156e-08	2.44541e-08	8.90172e-12	5.43648e-09	3.20665e-09	2.60181e-10	0.00033092	7.16375e-05	5.43341e-06	0.083981
12	0	0.00145853	0.000314305	2.16742e-08	2.4353e-08	9.8801e-12	6.6739e-09	4.11735e-09	3.69298e-10	0.000360994	8.18602e-05	5.36104e-06	0.082086
13	0	0.00142422	0.000339331	2.33673e-08	2.42964e-08	1.08165e-11	8.03452e-09	5.15772e-09	5.07571e-10	0.000393813	9.29332e-05	5.31993e-06	0.0802572
14	0	0.00139781	0.00036405	2.5005e-08	2.42639e-08	1.17166e-11	9.51387e-09	6.32655e-09	6.78859e-10	0.000429158	0.000104914	5.29648e-06	0.0785
15	0	0.00137753	0.000388529	2.65953e-08	2.42448e-08	1.25852e-11	1.11079e-08	7.62165e-09	8.86971e-10	0.000466844	0.000117852	5.28303e-06	0.0768158
16	0	0.00136199	0.000412821	2.81443e-08	2.42335e-08	1.34268e-11	1.28132e-08	9.04038e-09	1.13564e-09	0.000506702	0.000131788	5.27531e-06	0.0752041
17	0	0.00135009	0.000436969	2.96569e-08	2.42273e-08	1.42449e-11	1.46265e-08	1.05798e-08	1.42852e-09	0.000548563	0.000146759	5.27088e-06	0.073663
18	0	0.001341	0.000461007	3.11369e-08	2.4224e-08	1.50424e-11	1.65451e-08	1.22371e-08	1.76918e-09	0.000592254	0.000162793	5.26839e-06	0.0721904
19	0	0.00133405	0.000484958	3.25873e-08	2.42227e-08	1.58216e-11	1.85667e-08	1.40093e-08	2.16109e-09	0.000637589	0.000179912	5.26706e-06	0.0707836
20	0	0.00132874	0.000508844	3.40105e-08	2.42226e-08	1.65843e-11	2.06889e-08	1.58937e-08	2.60764e-09	0.000684372	0.000198132	5.26642e-06	0.06944
21	0	0.00132468	0.00053268	3.54086e-08	2.42235e-08	1.73321e-11	2.29098e-08	1.78878e-08	3.11215e-09	0.000732393	0.000217463	5.26621e-06	0.0681569
22	0	0.00132158	0.000556478	3.67831e-08	2.42249e-08	1.80661e-11	2.52275e-08	1.99891e-08	3.67786e-09	0.000781435	0.000237908	5.26628e-06	0.0669318
23	0	0.00131922	0.000580246	3.81354e-08	2.42268e-08	1.87874e-11	2.76404e-08	2.21955e-08	4.30795e-09	0.000831276	0.000259466	5.26653e-06	0.065762
24	0	0.00131742	0.000603992	3.94667e-08	2.42289e-08	1.94967e-11	3.01468e-08	2.45048e-08	5.00552e-09	0.000881689	0.000282127	5.26689e-06	0.0646452
25	0	0.00131604	0.00062772	4.07779e-08	2.42312e-08	2.01948e-11	3.27453e-08	2.69151e-08	5.77361e-09	0.000932453	0.000305881	5.26734e-06	0.0635789
26	0	0.00131498	0.000651435	4.207e-08	2.42337e-08	2.08821e-11	3.54344e-08	2.94247e-08	6.61523e-09	0.00098335	0.000330708	5.26783e-06	0.062561
27	0	0.00131418	0.000675141	4.33436e-08	2.42363e-08	2.15593e-11	3.82128e-08	3.20317e-08	7.5333e-09	0.00103417	0.000356589	5.26835e-06	0.0615892
28	0	0.00131357	0.000698838	4.45995e-08	2.42389e-08	2.22267e-11	4.10791e-08	3.47347e-08	8.53072e-09	0.00108473	0.000383498	5.26891e-06	0.0606615
29	0	0.0013131	0.00072253	4.58382e-08	2.42415e-08	2.28847e-11	4.40321e-08	3.75319e-08	9.61032e-09	0.00113484	0.000411409	5.26947e-06	0.0597758
