Time	[VENUS]
0	1
1	0.978236
2	0.956928
3	0.936068
4	0.915655
5	0.895681
6	0.87614
7	0.857028
8	0.838338
9	0.820064
10	0.802202
11	0.784745
12	0.767688
13	0.751024
14	0.734747
15	0.718852
16	0.703332
17	0.688182
18	0.673395
19	0.658965
20	0.644886
21	0.631152
22	0.617757
23	0.604695
24	0.591959
25	0.579543
26	0.567442
27	0.55565
28	0.544159
29	0.532965
30	0.522062
31	0.511443
32	0.501102
33	0.491034
34	0.481233
35	0.471694
36	0.46241
37	0.453376
38	0.444586
39	0.436036
40	0.427719
41	0.41963
42	0.411764
43	0.404115
44	0.396679
45	0.38945
46	0.382425
47	0.375596
48	0.36896
49	0.362513
50	0.356248
51	0.350163
52	0.344251
53	0.338509
54	0.332933
55	0.327518
56	0.32226
57	0.317155
58	0.312198
59	0.307387
60	0.302716
61	0.298183
62	0.293784
63	0.289514
64	0.285371
65	0.281351
66	0.277451
67	0.273667
68	0.269996
69	0.266434
70	0.26298
71	0.25963
72	0.256381
73	0.253229
74	0.250173
75	0.24721
76	0.244336
77	0.24155
78	0.238849
79	0.23623
80	0.233691
81	0.23123
82	0.228844
83	0.226531
84	0.224289
85	0.222116
86	0.22001
87	0.217969
88	0.215991
89	0.214075
90	0.212217
91	0.210417
92	0.208673
93	0.206983
94	0.205345
95	0.203758
96	0.202221
97	0.200732
98	0.199289
99	0.197891
100	0.196536
