Time	[eIFNg]	[eIL12]	[eIL21]	[eIL23]	[eIL4]	[eTGFb]	[eIL2]	[eIL6]	[eIL17]	[eIL10]	[eIL18]	[anti-IL4]	[anti-IFNg]	[pIL4]	[IL18_pool]	[IL12_pool]	[IFNg_pool]	[IL21_pool]	[IL23_pool]	[IL17_pool]	[IL10_pool]	[IL6_pool]	[IL2_pool]	[TGFb_pool]	[IL4_pool]	[pIL10]	[IL6-IL6R]	[IL6R]	[IL6]	[TGFb-TGFbR]	[TGFbR]	[TGFb]	[IL2-IL2R]	[IL2R]	[IL2]	[IL4-IL4R]	[IL4R]	[IL4]	[IFNg-IFNgR]	[IFNgR]	[IL12-IL12R]	[IL12R]	[IL12]	[IL18-IL18R]	[IL18R]	[IL18]	[IL21]	[IL21-IL21R]	[IL21R]	[IL23R]	[IL23-IL23R]	[IL10R]	[IL10-IL10R]	[IRAK1]	[IRAK1-P]	[p50/p65 dimer]	[STAT4]	[STAT4-P]	[IFNg]	[JAK1]	[JAK1-P]	[STAT1]	[STAT1-P]	[p40/p19 dimer]	[IL17]	[IL10]	[RORgt]	[RORgt-ligand]	[STAT3-P]	[STAT3]	[STAT5-P]	[STAT5]	[FOXP3]	[SOCS1]	[SOCS1-JAKs]	[Tbet-P]	[Tbet]	[GATA3]	[GATA3-P]	[STAT6-P]	[STAT6]	[PPARg]	[L-PPARg]	[Ligand]	[acetylated FOXP3]	[p19]	[p40]	[p50]	[p65]	[IL17R]	[IL17-IL17R]	[pIFNg]	[pIL21]	[pIL17]
10	7.80791e-08	0	0.390053	0.165963	0.00162522	1.01234	0	1.01234	0.00119774	0.145637	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.419589	0.580411	0	0.419589	0.580411	0	0	1	0	0.000320401	0.99968	0.00649134	1.57001e-08	1	0	1	0	0	1	0	0.763169	0.019076	0.980924	0.845363	0.154637	0.964959	0.0350405	0.5	0.31606	0.274749	1	1.28231e-06	2.98036e-07	0.5	0.295256	1	0.000121619	0.371421	0.00820277	0.395507	1	0.0729092	0.449607	1	0.632121	1	1	1	4.49689e-28	3.6089e-09	1	1	0.0629078	0.309822	1	0.0454134	0.0345866	1	0.793655	1	1	0.5	0.5	0.999723	0.000276545	1	1	1
11	1.02669e-07	0	0.461077	0.184591	0.00217304	1.03509	0	1.03509	0.00201572	0.173395	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.435409	0.564591	0	0.435409	0.564591	0	0	1	0	0.00047028	0.99953	0.00785071	2.2797e-08	1	0	1	0	0	1	0	0.800587	0.0220414	0.977959	0.829858	0.170142	0.953715	0.0462848	0.5	0.333564	0.290394	1	1.70967e-06	3.54275e-07	0.5	0.309521	1	0.000146041	0.386683	0.0128204	0.41558	1	0.0924717	0.483722	1	0.667129	1	1	1	1.77682e-27	5.62675e-09	1	1	0.0684413	0.327352	1	0.044432	0.035568	1	0.781109	1	1	0.5	0.5	0.999503	0.000496502	1	1	1
12	1.30964e-07	0	0.534762	0.202684	0.00281118	1.05824	0	1.05824	0.00324608	0.201377	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.44949	0.55051	0	0.44949	0.55051	0	0	1	0	0.000662343	0.999338	0.0092557	3.17364e-08	1	0	1	0	0	1	0	0.831879	0.02505	0.97495	0.81521	0.18479	0.941207	0.0587929	0.5	0.349403	0.30437	1	2.19691e-06	4.14485e-07	0.5	0.322191	1	0.000171493	0.401169	0.0191718	0.430999	1	0.113448	0.514683	1	0.698806	1	1	1	5.98226e-27	8.32122e-09	1	1	0.0733744	0.343251	1	0.0436285	0.0363715	1	0.764095	1	1	0.5	0.5	0.99915	0.000850132	1	1	1
13	1.63204e-07	0	0.610534	0.220233	0.00353761	1.08153	0	1.08153	0.00501841	0.229355	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.462108	0.537892	0	0.462108	0.537892	0	0	1	0	0.000901048	0.999099	0.0106822	4.27062e-08	1	0	1	0	0	1	0	0.858	0.0280867	0.971913	0.8014	0.1986	0.927633	0.0723665	0.5	0.363734	0.316863	1	2.73827e-06	4.80093e-07	0.5	0.333459	1	0.000197712	0.415031	0.0275128	0.44251	1	0.135484	0.542786	1	0.727468	1	1	1	1.76487e-26	1.17815e-08	1	1	0.0777416	0.35767	1	0.0429705	0.0370295	1	0.744085	1	1	0.5	0.5	0.998605	0.00139459	1	1	1
14	1.99772e-07	0	0.687911	0.237241	0.00434878	1.10476	0	1.10476	0.00747141	0.257173	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.473484	0.526516	0	0.473484	0.526516	0	0	1	0	0.00119014	0.99881	0.0121088	5.59058e-08	1	0	1	0	0	1	0	0.879778	0.0311402	0.96886	0.788397	0.211603	0.913195	0.0868046	0.5	0.376702	0.32804	1	3.32697e-06	5.52826e-07	0.5	0.343492	1	0.000224469	0.428369	0.0380156	0.450762	1	0.158256	0.568309	1	0.753403	1	1	1	4.66135e-26	1.60845e-08	1	1	0.0815832	0.370747	1	0.0424316	0.0375684	1	0.722177	1	1	0.5	0.5	0.9978	0.00219952	1	1	1
15	2.41203e-07	0	0.76649	0.253718	0.00523995	1.12779	0	1.12779	0.0107451	0.28473	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.4838	0.5162	0	0.4838	0.5162	0	0	1	0	0.0015326	0.998467	0.013517	7.15596e-08	1	0	1	0	0	1	0	0.89792	0.0342022	0.965798	0.776162	0.223838	0.898088	0.101912	0.5	0.388435	0.338047	1	3.95558e-06	6.34536e-07	0.5	0.352437	1	0.000251568	0.441249	0.0507512	0.456319	1	0.181474	0.591511	1	0.77687	1	1	1	1.12099e-25	2.12935e-08	1	1	0.0849415	0.382607	1	0.0419901	0.0380099	1	0.69919	1	1	0.5	0.5	0.996654	0.00334553	1	1	1
16	2.88174e-07	0	0.845935	0.269678	0.00620556	1.1505	0	1.1505	0.0149732	0.311968	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.493202	0.506798	0	0.493202	0.506798	0	0	1	0	0.0019306	0.998069	0.0148918	8.99286e-08	1	0	1	0	0	1	0	0.913027	0.0372664	0.962734	0.764654	0.235346	0.882494	0.117506	0.5	0.399052	0.347016	1	4.61643e-06	7.27037e-07	0.5	0.360421	1	0.000278844	0.453712	0.0656844	0.459666	1	0.204887	0.612627	1	0.798103	1	1	1	2.48798e-25	2.74579e-08	1	1	0.0878591	0.393363	1	0.0416283	0.0383717	1	0.67573	1	1	0.5	0.5	0.995079	0.00492132	1	1	1
17	3.41481e-07	0	0.925965	0.285137	0.0072395	1.17282	0	1.17282	0.0202764	0.338857	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.50181	0.49819	0	0.50181	0.49819	0	0	1	0	0.00238553	0.997614	0.0162206	1.11319e-07	1	0	1	0	0	1	0	0.925604	0.0403282	0.959672	0.753831	0.246169	0.86658	0.13342	0.5	0.408658	0.35506	1	5.30176e-06	8.31972e-07	0.5	0.367554	1	0.000306162	0.465786	0.0826814	0.461214	1	0.22828	0.631872	1	0.817316	1	1	1	5.15229e-25	3.46132e-08	1	1	0.090377	0.403118	1	0.0413313	0.0386687	1	0.652247	1	1	0.5	0.5	0.99298	0.00702	1	1	1
18	4.02014e-07	0	1.00635	0.300111	0.0083354	1.19469	0	1.19469	0.0267577	0.365388	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.509727	0.490273	0	0.509727	0.490273	0	0	1	0	0.00289803	0.997102	0.0174941	1.36089e-07	1	0	1	0	0	1	0	0.936076	0.0433844	0.956616	0.74365	0.25635	0.850495	0.149505	0.5	0.417351	0.362279	1	6.00406e-06	9.50695e-07	0.5	0.373933	1	0.00033341	0.47749	0.101526	0.461314	1	0.251473	0.649441	1	0.834701	1	1	1	1.00453e-24	4.27823e-08	1	1	0.0925343	0.411965	1	0.0410874	0.0389126	1	0.629068	1	1	0.5	0.5	0.990265	0.00973481	1	1	1
19	4.70715e-07	0	1.08689	0.314616	0.00948683	1.21608	0	1.21608	0.0344994	0.391564	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.517035	0.482965	0	0.517035	0.482965	0	0	1	0	0.00346804	0.996532	0.0187051	1.6465e-07	1	0	1	0	0	1	0	0.944796	0.0464327	0.953567	0.73407	0.26593	0.834369	0.165631	0.5	0.425216	0.368764	1	6.71612e-06	1.08419e-06	0.5	0.379643	1	0.000360499	0.488836	0.121944	0.460262	1	0.27432	0.665509	1	0.850431	1	1	1	1.85772e-24	5.19759e-08	1	1	0.0943675	0.419989	1	0.0408865	0.0391135	1	0.60643	1	1	0.5	0.5	0.986845	0.0131547	1	1	1
