Time	[EGF]	[EGFR]	[pEGFR]	[pEGFR_Akt]	[Akt]	[pAkt]	[S6]	[pAkt_S6]	[pS6]	[pro_EGFR]	[EGF_EGFR]	[EGFR_i]	[EGF_EGFR_i]	[Inhibitor]
39	30	7119.9	6980.78	0.0173943	0.00665063	0.0192616	3.54317	2.44056e-06	3.13927e-08	68190.2	32421	0	0	0
40	30	7009.25	6907.22	0.017112	0.00665808	0.0195363	3.54317	2.582e-06	3.44065e-08	68190.2	31919.2	0	0	0
41	30	6900.48	6831.53	0.0168395	0.00667892	0.0197878	3.54317	2.72522e-06	3.75897e-08	68190.2	31425.1	0	0	0
42	30	6793.56	6754.04	0.0165775	0.00671137	0.0200173	3.54317	2.87005e-06	4.09442e-08	68190.2	30938.7	0	0	0
43	30	6688.41	6675.07	0.0163261	0.0067539	0.020226	3.54317	3.01634e-06	4.44717e-08	68190.2	30459.8	0	0	0
44	30	6584.98	6594.9	0.0160855	0.00680515	0.0204152	3.54317	3.16393e-06	4.81736e-08	68190.2	29988.3	0	0	0
45	30	6483.25	6513.77	0.0158556	0.00686398	0.0205861	3.54317	3.31268e-06	5.20513e-08	68190.2	29524.1	0	0	0
46	30	6383.15	6431.9	0.0156364	0.00692937	0.0207398	3.54317	3.46246e-06	5.61059e-08	68190.2	29067.2	0	0	0
47	30	6284.66	6349.51	0.0154275	0.00700044	0.0208774	3.54317	3.61314e-06	6.03384e-08	68190.2	28617.3	0	0	0
48	30	6187.74	6266.77	0.0152288	0.00707645	0.021	3.54317	3.76461e-06	6.47495e-08	68190.2	28174.5	0	0	0
49	30	6092.37	6183.83	0.0150398	0.00715674	0.0211086	3.54317	3.91675e-06	6.934e-08	68190.2	27738.7	0	0	0
50	30	5998.51	6100.85	0.0148601	0.00724075	0.0212041	3.54317	4.06946e-06	7.41103e-08	68190.2	27309.6	0	0	0
51	30	5906.14	6017.95	0.0146894	0.00732799	0.0212874	3.54317	4.22266e-06	7.90611e-08	68190.2	26887.3	0	0	0
52	30	5815.22	5935.25	0.0145272	0.00741806	0.0213594	3.54317	4.37624e-06	8.41925e-08	68190.2	26471.5	0	0	0
53	30	5725.74	5852.84	0.0143731	0.00751059	0.0214208	3.54317	4.53014e-06	8.95048e-08	68190.2	26062.3	0	0	0
54	30	5637.67	5770.82	0.0142266	0.00760528	0.0214725	3.54317	4.68427e-06	9.49981e-08	68190.2	25659.5	0	0	0
55	30	5550.99	5689.27	0.0140873	0.00770185	0.021515	3.54317	4.83856e-06	1.00672e-07	68190.2	25263	0	0	0
56	30	5465.67	5608.26	0.0139548	0.0078001	0.0215492	3.54316	4.99295e-06	1.06528e-07	68190.2	24872.7	0	0	0
57	30	5381.69	5527.84	0.0138286	0.00789982	0.0215755	3.54316	5.14738e-06	1.12564e-07	68190.2	24488.6	0	0	0
58	30	5299.03	5448.08	0.0137083	0.00800086	0.0215945	3.54316	5.30178e-06	1.18781e-07	68190.2	24110.4	0	0	0
59	30	5217.67	5369.03	0.0135936	0.00810307	0.0216069	3.54316	5.45612e-06	1.25178e-07	68190.2	23738.2	0	0	0
60	30	5137.59	5290.71	0.013484	0.00820634	0.021613	3.54316	5.61034e-06	1.31756e-07	68190.2	23371.8	0	0	0
61	30	5058.76	5213.17	0.0133793	0.00831057	0.0216134	3.54316	5.76439e-06	1.38513e-07	68190.2	23011.2	0	0	0
62	30	4981.17	5136.44	0.013279	0.00841567	0.0216084	3.54316	5.91824e-06	1.4545e-07	68190.2	22656.2	0	0	0
63	30	4904.8	5060.54	0.0131829	0.00852158	0.0215985	3.54316	6.07185e-06	1.52565e-07	68190.2	22306.8	0	0	0
64	30	4829.63	4985.5	0.0130905	0.00862824	0.021584	3.54316	6.22518e-06	1.59859e-07	68190.2	21962.8	0	0	0
65	30	4755.64	4911.34	0.0130018	0.0087356	0.0215653	3.54316	6.3782e-06	1.6733e-07	68190.2	21624.3	0	0	0
66	30	4682.8	4838.06	0.0129162	0.00884361	0.0215426	3.54316	6.53088e-06	1.74979e-07	68190.2	21291.1	0	0	0
67	30	4611.11	4765.68	0.0128337	0.00895225	0.0215163	3.54316	6.68319e-06	1.82804e-07	68190.2	20963.1	0	0	0
68	30	4540.55	4694.22	0.012754	0.00906149	0.0214867	3.54316	6.83511e-06	1.90805e-07	68190.2	20640.2	0	0	0
69	30	4471.09	4623.67	0.0126768	0.00917131	0.0214539	3.54316	6.98661e-06	1.98981e-07	68190.2	20322.4	0	0	0
70	30	4402.72	4554.05	0.0126019	0.00928169	0.0214183	3.54316	7.13767e-06	2.07332e-07	68190.2	20009.6	0	0	0
71	30	4335.42	4485.35	0.0125292	0.00939262	0.0213799	3.54316	7.28828e-06	2.15856e-07	68190.2	19701.7	0	0	0
72	30	4269.18	4417.58	0.0124584	0.00950409	0.0213391	3.54316	7.4384e-06	2.24553e-07	68190.2	19398.6	0	0	0
