Time	[Mb]	[Bc]	[Bcp]	[Bn]	[Cc]	[Mc]	[Ccp]	[Mp]	[Pc]	[Pcp]	[PCc]	[PCcp]	[PCn]	[Bnp]	[PCnp]	[In]	[Mr]	[Rc]	[Rn]
26	6.87771	2.68311	0.130453	1.35885	98.3496	4.54966	0.734241	4.05059	0.0748419	0.0484353	3.72978	3.56261	1.09806	0.0805342	0.614227	1.1228	2.65247	1.64861	1.35018
27	6.13982	2.31279	0.122815	1.05681	105.322	4.3827	0.737213	3.84478	0.0675973	0.0432387	3.74574	3.88995	1.27167	0.0693913	0.752537	1.04968	2.49447	1.55849	1.40319
28	5.43001	1.94613	0.113617	0.80562	111.638	4.01597	0.739704	3.42345	0.0580583	0.0366063	3.57591	4.19528	1.40638	0.0579478	0.903419	0.86058	2.20241	1.29699	1.3233
29	4.86034	1.62208	0.103612	0.624877	116.872	3.41305	0.74176	2.74974	0.0457862	0.0283632	3.13479	4.4531	1.41928	0.0480436	1.04006	0.582777	1.76016	0.841352	1.04486
30	4.64678	1.3926	0.094835	0.526365	120.607	2.62565	0.743406	1.88985	0.0315273	0.0191561	2.38865	4.61428	1.22184	0.0417055	1.10936	0.306506	1.22572	0.358586	0.58525
31	4.93022	1.31821	0.0908965	0.52978	122.64	1.82972	0.74466	1.06817	0.0180089	0.0107443	1.46107	4.58167	0.813168	0.0412065	1.01879	0.139328	0.75912	0.13495	0.183415
32	5.40219	1.39389	0.0930835	0.652958	123.158	1.28141	0.74555	0.619961	0.00984447	0.00569556	0.706401	4.1993	0.388743	0.0476977	0.663748	0.0659419	0.545567	0.0770432	0.04021
33	5.87415	1.56018	0.0987975	0.866579	122.765	1.11213	0.746126	0.614764	0.0086362	0.00480346	0.414988	3.44619	0.176039	0.0583181	0.197803	0.0339055	0.585244	0.079388	0.022191
34	6.33104	1.77336	0.105667	1.11448	122.188	1.21077	0.746465	0.810176	0.0109401	0.00604857	0.423896	2.60842	0.117048	0.06901	0.052748	0.025533	0.743957	0.106575	0.0268096
35	6.77295	2.00783	0.112468	1.36306	121.902	1.43148	0.746656	1.06875	0.0143962	0.00802412	0.540715	1.90949	0.123368	0.0781797	0.0472926	0.0311431	0.938759	0.146765	0.0375034
36	7.20001	2.24825	0.118688	1.59604	122.108	1.69704	0.746778	1.34428	0.018176	0.010237	0.703079	1.41825	0.150039	0.0855907	0.0573931	0.0456938	1.13713	0.196165	0.0521553
37	7.61175	2.48623	0.124187	1.80966	122.871	1.97534	0.74689	1.62025	0.0219587	0.0124941	0.891927	1.13629	0.18263	0.0915514	0.0713429	0.0668124	1.32783	0.253698	0.0707101
38	8.00683	2.71694	0.12898	2.00147	124.201	2.25304	0.747031	1.89011	0.0255925	0.0146998	1.10018	1.03061	0.218093	0.0963408	0.0873498	0.0947322	1.50732	0.319277	0.0937497
39	8.38273	2.93675	0.133125	2.16856	126.082	2.52415	0.747224	2.15087	0.0289906	0.0167955	1.32389	1.05268	0.255844	0.100148	0.105136	0.130693	1.67467	0.393091	0.122217
40	8.73518	3.14212	0.136676	2.30801	128.485	2.78567	0.74748	2.40096	0.0320972	0.0187399	1.55946	1.15986	0.295889	0.103105	0.124792	0.176496	1.82982	0.475305	0.157343
41	9.05747	3.32931	0.139678	2.41732	131.38	3.03604	0.747802	2.63945	0.0348772	0.0205035	1.8032	1.32416	0.338435	0.105307	0.146543	0.234383	1.97305	0.565922	0.200612
42	9.3396	3.49397	0.14216	2.4944	134.731	3.27428	0.748187	2.86568	0.0373113	0.0220667	2.05157	1.52914	0.383886	0.106821	0.170734	0.306963	2.10468	0.664697	0.253721
43	9.56753	3.63089	0.144134	2.53724	138.502	3.49963	0.748628	3.07903	0.0393927	0.0234182	2.30138	1.76491	0.432906	0.107685	0.197871	0.39702	2.22493	0.771073	0.318467
44	9.72302	3.73354	0.145586	2.54348	142.658	3.71124	0.749114	3.27862	0.0411223	0.0245529	2.54972	2.02498	0.486496	0.107899	0.228696	0.507044	2.33379	0.884092	0.396565
45	9.78479	3.79397	0.146475	2.51006	147.158	3.90791	0.749637	3.46316	0.0425042	0.0254686	2.79379	2.3046	0.546105	0.107421	0.264262	0.638354	2.4309	1.00225	0.489325
46	9.73172	3.80323	0.146731	2.43339	151.965	4.0877	0.750186	3.63053	0.0435408	0.0261631	3.03065	2.59997	0.61376	0.106158	0.306059	0.789805	2.5153	1.12323	0.597203
47	9.54782	3.75259	0.146253	2.31009	157.032	4.24742	0.75075	3.7772	0.0442256	0.0266301	3.25675	2.9078	0.69217	0.103959	0.356138	0.956173	2.58513	1.24339	0.719174
48	9.22731	3.63566	0.144916	2.13895	162.31	4.3818	0.751321	3.89742	0.0445353	0.0268531	3.4672	3.22502	0.784679	0.100625	0.417203	1.12654	2.63702	1.35698	0.85188
49	8.77763	3.45074	0.142579	1.92337	167.735	4.48211	0.751891	3.98164	0.044416	0.0267975	3.65449	3.54856	0.894785	0.0959328	0.492537	1.28309	2.66524	1.45478	0.988426
50	8.21931	3.20291	0.139097	1.67388	173.225	4.53404	0.752451	4.01424	0.0437636	0.026398	3.80616	3.87492	1.02463	0.0897019	0.585529	1.40109	2.66018	1.5221	1.11661
51	7.58405	2.90496	0.134351	1.40893	178.66	4.51471	0.752993	3.97036	0.0423967	0.0255426	3.90108	4.19963	1.17153	0.0819232	0.698456	1.45089	2.6065	1.53602	1.21635
52	6.91434	2.5772	0.128299	1.15262	183.873	4.39064	0.75351	3.81371	0.0400368	0.0240616	3.90449	4.51622	1.32142	0.0729387	0.830152	1.40342	2.48195	1.4633	1.25662
53	6.26927	2.24648	0.121087	0.929217	188.624	4.12185	0.75399	3.50133	0.0363408	0.0217517	3.76494	4.81433	1.44009	0.0635814	0.972449	1.23979	2.26118	1.26482	1.19451
54	5.7439	1.94626	0.113266	0.757754	192.609	3.68126	0.754424	3.00543	0.0310673	0.0184851	3.42276	5.07637	1.4689	0.0551304	1.10551	0.964858	1.9311	0.923109	0.986141
55	5.50066	1.72062	0.10619	0.652699	195.514	3.09002	0.754798	2.35382	0.0244015	0.0144085	2.84308	5.27161	1.33984	0.0491449	1.19164	0.624483	1.51842	0.516471	0.632819
56	5.67799	1.62245	0.102254	0.633517	197.139	2.45004	0.755099	1.66956	0.0173284	0.0101388	2.07593	5.346	1.02714	0.047494	1.16703	0.319867	1.11337	0.243387	0.267688
57	6.09563	1.66652	0.102989	0.726043	197.546	1.9376	0.75532	1.16472	0.011737	0.00677162	1.31485	5.21469	0.626774	0.0518283	0.945449	0.148335	0.851123	0.141845	0.0807767
58	6.54124	1.81237	0.107145	0.929598	197.117	1.69579	0.755462	0.991812	0.00928408	0.00524109	0.827816	4.81136	0.332789	0.0612262	0.516696	0.0789414	0.80293	0.122526	0.0394848
59	6.97616	2.01928	0.112867	1.19697	196.389	1.70785	0.755539	1.08387	0.00962701	0.005361	0.684458	4.22269	0.208122	0.0720791	0.157699	0.0549083	0.908301	0.141766	0.03855
