Time	[LHY mRNA]	[LHY protein in cytoplasm]	[LHY protein in nucleus]	[TOC1 mRNA]	[TOC1 protein in cytoplasm]	[TOC1 protein in nucleus]	[X mRNA]	[X protein in cytoplasm]	[X protein in nucleus]	[Y mRNA]	[Y protein in cytoplasm]	[Y protein in nucleus]	[light sensitive protein P]
91	0.243247	0.00690856	0.0359763	0.938475	22.4273	1.83471	0.138663	1.20392	0.350738	0.00680178	0.0022366	0.0156155	0.803642
92	0.304484	0.00866421	0.0457826	0.723892	20.1275	1.58376	0.135704	1.26817	0.370569	0.0087847	0.00207807	0.012778	0.819363
93	0.370032	0.0105516	0.0566803	0.567773	17.2654	1.25995	0.129635	1.32046	0.387182	0.0132508	0.0022519	0.0111383	0.830404
94	0.43473	0.012426	0.0679984	0.475584	14.1588	0.917143	0.118796	1.35529	0.399133	0.0202607	0.00282826	0.0108524	0.838188
95	0.489868	0.0140408	0.0784912	0.444839	11.1575	0.615541	0.101395	1.36445	0.404208	0.0261056	0.00358337	0.0119028	0.843691
96	0.530666	0.0150441	0.0861345	0.458969	8.58369	0.398269	0.0784331	1.3393	0.399775	0.031422	0.00409082	0.01362	0.842455
97	1.30433	0.0376492	0.205103	0.525591	6.66231	0.270465	0.056125	1.27843	0.384646	0.117431	0.0166551	0.0301324	0.145245
98	1.13184	0.0332313	0.224773	0.637059	5.58551	0.205753	0.0397323	1.19071	0.360659	0.0398872	0.0103145	0.0405459	0.0206684
99	0.845783	0.0248991	0.175809	0.725908	5.16651	0.181775	0.0309807	1.09024	0.331683	0.027819	0.00701386	0.0378805	0.00281794
100	0.591153	0.0173931	0.121731	0.804709	5.16693	0.179425	0.0277316	0.988903	0.301537	0.032216	0.00640584	0.0334929	0.000381752
