Time	[CD14]	[IRAK4]	[LBP]	[LPS]	[LPS:LBP:CD14:TLR4:TIRAP:MyD88:IRAK4]	[MyD88]	[TIRAP]	[TLR4]	[IRAK1]	[TRAF6]	[TAK1:TAB1:TAB2]	[TAK1:TAB1:TAB2:TRAF6]	[IKK]	[RIP1]	[TRAM]	[TRIF]	[IRF3]	[source]	[sink]	[TNFa]	[TNFR1]	[TRADD]	[TRAF2]	[TNFa:TNFR1:TRAF2:TRADD:RIP1]	[IkBa]	[IkBa:NFkB]	[NFkB]	[IkBb]	[IkBb:NFkB]	[IkBe]	[IkBe:NFkB]	[NFkB(nuc)]	[IkBa(nuc)]	[IkBa:NFkB(nuc)]	[IkBb(nuc)]	[IkBb:NFkB(nuc)]	[IkBe(nuc)]	[IkBe:NFkB(nuc)]	[IkBa_mRNA]	[IkBb_mRNA]	[IkBe_mRNA]	[LPS:LBP:CD14:TLR4:RIP1:TRAM:TRIF:TBK/IKKe]	[TBK1/IKKe]
14	1	1	1	1	0.00139902	1	1	1	0.99999	1	1	1.30673e-07	0.09933	1	1	1	0.999358	1	0	0.00570787	1	1	1	0.00319094	8.92251e-06	5.27781e-07	0.0283969	6.48634e-08	6.13318e-09	4.62787e-08	4.37574e-09	0.0716026	7.95651e-09	6.68253e-10	4.11237e-11	4.6002e-12	2.9341e-11	3.28216e-12	0.00054687	2.48712e-06	1.77452e-06	0.00139902	1
15	1	1	1	1	0.00149888	1	1	1	0.999989	1	1	1.60171e-07	0.0992364	1	1	1	0.999276	1	0	0.00588526	1	1	1	0.00343912	1.11932e-05	6.63368e-07	0.0259582	7.44133e-08	7.07346e-09	5.30923e-08	5.04654e-09	0.0740411	1.06269e-08	9.93435e-10	4.99038e-11	6.22482e-12	3.56054e-11	4.4413e-12	0.000635797	2.6644e-06	1.90101e-06	0.00149888	1
16	1	1	1	1	0.00159872	1	1	1	0.999987	1	1	1.93723e-07	0.0991403	1	1	1	0.999189	1	0	0.00605296	1	1	1	0.00368009	1.38187e-05	8.17512e-07	0.0237296	8.46425e-08	8.05483e-09	6.03905e-08	5.74662e-09	0.0762695	1.39083e-08	1.43558e-09	5.97641e-11	8.24224e-12	4.26405e-11	5.88069e-12	0.000730391	2.84163e-06	2.02746e-06	0.00159872	1
17	1	1	1	1	0.00169856	1	1	1	0.999986	1	1	2.31569e-07	0.0990421	1	1	1	0.999099	1	0	0.00621205	1	1	1	0.00391366	1.68214e-05	9.90148e-07	0.021693	9.55571e-08	9.07091e-09	6.81777e-08	6.47145e-09	0.078306	1.788e-08	2.02336e-09	7.07492e-11	1.0708e-11	5.04781e-11	7.63993e-12	0.000830319	3.01881e-06	2.15387e-06	0.00169856	1
18	1	1	1	1	0.00179838	1	1	1	0.999984	1	1	2.73948e-07	0.0989425	1	1	1	0.999006	1	0	0.00636339	1	1	1	0.00413976	2.02225e-05	1.18095e-06	0.0198318	1.07163e-07	1.01155e-08	7.64579e-08	7.21662e-09	0.080167	2.26234e-08	2.78934e-09	8.29017e-11	1.368e-11	5.91486e-11	9.76039e-12	0.000935247	3.19594e-06	2.28025e-06	0.00179838	1
19	1	1	1	1	0.0018982	1	1	1	0.999982	1	1	3.21092e-07	0.098842	1	1	1	0.998909	1	0	0.00650771	1	1	1	0.0043584	2.4042e-05	1.38937e-06	0.0181309	1.19465e-07	1.11828e-08	8.52351e-08	7.97787e-09	0.0818677	2.82216e-08	3.77008e-09	9.62625e-11	1.72184e-11	6.86812e-11	1.2285e-11	0.00104485	3.37302e-06	2.40659e-06	0.0018982	1
20	1	1	1	1	0.001998	1	1	1	0.99998	1	1	3.73233e-07	0.0987409	1	1	1	0.99881	1	0	0.00664558	1	1	1	0.00456965	2.8299e-05	1.61465e-06	0.0165765	1.32469e-07	1.2267e-08	9.45129e-08	8.75121e-09	0.0834219	3.4759e-08	5.00614e-09	1.10871e-10	2.13855e-11	7.91041e-11	1.52581e-11	0.00115882	3.55005e-06	2.5329e-06	0.001998	1
21	1	1	1	1	0.0020978	1	1	1	0.999978	1	1	4.30598e-07	0.0986398	1	1	1	0.998707	1	0	0.00677748	1	1	1	0.00477363	3.30113e-05	1.85587e-06	0.015156	1.4618e-07	1.33629e-08	1.04295e-07	9.53283e-09	0.0848421	4.2321e-08	6.54209e-09	1.26766e-10	2.62453e-11	9.04444e-11	1.87255e-11	0.00127684	3.72703e-06	2.65917e-06	0.0020978	1
22	1	1	1	1	0.00219758	1	1	1	0.999976	1	1	4.93411e-07	0.0985389	1	1	1	0.998601	1	0	0.00690384	1	1	1	0.00497047	3.81957e-05	2.11194e-06	0.0138578	1.60602e-07	1.44655e-08	1.14584e-07	1.03192e-08	0.08614	5.09935e-08	8.42648e-09	1.43983e-10	3.18636e-11	1.02728e-10	2.2734e-11	0.00139863	3.90396e-06	2.78541e-06	0.00219758	1
23	1	1	1	1	0.00229736	1	1	1	0.999974	1	1	5.61892e-07	0.0984387	1	1	1	0.998492	1	0	0.007025	1	1	1	0.00516036	4.38679e-05	2.3817e-06	0.0126715	1.75739e-07	1.55702e-08	1.25384e-07	1.1107e-08	0.0873261	6.08626e-08	1.07118e-08	1.62558e-10	3.83074e-11	1.15981e-10	2.73315e-11	0.00152391	4.08085e-06	2.91161e-06	0.00229736	1
24	1	1	1	1	0.00239712	1	1	1	0.999971	1	1	6.3626e-07	0.0983393	1	1	1	0.998381	1	0	0.00714127	1	1	1	0.00534346	5.00427e-05	2.66388e-06	0.0115873	1.91596e-07	1.66728e-08	1.36697e-07	1.18933e-08	0.08841	7.20144e-08	1.34544e-08	1.82526e-10	4.56455e-11	1.30227e-10	3.2567e-11	0.00165242	4.25768e-06	3.03778e-06	0.00239712	1
25	1	1	1	1	0.00249688	1	1	1	0.999969	1	1	7.1673e-07	0.098241	1	1	1	0.998267	1	0	0.00725291	1	1	1	0.00551998	5.67339e-05	2.95715e-06	0.0105965	2.08175e-07	1.77694e-08	1.48525e-07	1.26753e-08	0.0894005	8.45346e-08	1.67145e-08	2.0392e-10	5.39477e-11	1.45491e-10	3.84904e-11	0.00178392	4.43446e-06	3.16391e-06	0.00249688	1
26	1	1	1	1	0.00259662	1	1	1	0.999967	1	1	8.03512e-07	0.098144	1	1	1	0.99815	1	0	0.00736017	1	1	1	0.00569012	6.39541e-05	3.26016e-06	0.00969108	2.2548e-07	1.88566e-08	1.60871e-07	1.34504e-08	0.0903056	9.85084e-08	2.05557e-08	2.26772e-10	6.32849e-11	1.61795e-10	4.51522e-11	0.00191818	4.61119e-06	3.29001e-06	0.00259662	1
27	1	1	1	1	0.00269636	1	1	1	0.999964	1	1	8.96815e-07	0.0980485	1	1	1	0.998031	1	0	0.00746326	1	1	1	0.00585406	7.17154e-05	3.57153e-06	0.00886362	2.43513e-07	1.99312e-08	1.73737e-07	1.42165e-08	0.0911327	1.1402e-07	2.50455e-08	2.51113e-10	7.37292e-11	1.79162e-10	5.26039e-11	0.00205498	4.78788e-06	3.41607e-06	0.00269636	1
28	1	1	1	1	0.00279608	1	1	1	0.999961	1	1	9.96845e-07	0.0979546	1	1	1	0.99791	1	0	0.00756237	1	1	1	0.00601202	8.00287e-05	3.8899e-06	0.00810743	2.62277e-07	2.09904e-08	1.87124e-07	1.49716e-08	0.0918886	1.31154e-07	3.02545e-08	2.76975e-10	8.53535e-11	1.97612e-10	6.08975e-11	0.00219411	4.96451e-06	3.5421e-06	0.00279608	1
29	1	1	1	1	0.0028958	1	1	1	0.999958	1	1	1.1038e-06	0.0978625	1	1	1	0.997786	1	0	0.00765769	1	1	1	0.0061642	8.89043e-05	4.21393e-06	0.00741638	2.81775e-07	2.20317e-08	2.01033e-07	1.57138e-08	0.0925793	1.49991e-07	3.62569e-08	3.04385e-10	9.82317e-11	2.17169e-10	7.00857e-11	0.0023354	5.1411e-06	3.66809e-06	0.0028958	1
30	1	1	1	1	0.0029955	1	1	1	0.999955	1	1	1.21789e-06	0.0977722	1	1	1	0.99766	1	0	0.00774936	1	1	1	0.00631079	9.83516e-05	4.5423e-06	0.00678485	3.02006e-07	2.3053e-08	2.15467e-07	1.64417e-08	0.0932105	1.70613e-07	4.31299e-08	3.33374e-10	1.12438e-10	2.3785e-10	8.02217e-11	0.00247867	5.31763e-06	3.79404e-06	0.0029955	1
31	1	1	1	1	0.0030952	1	1	1	0.999952	1	1	1.33931e-06	0.097684	1	1	1	0.997532	1	0	0.00783756	1	1	1	0.00645198	0.000108379	4.87378e-06	0.00620772	3.22974e-07	2.40524e-08	2.30426e-07	1.71539e-08	0.0937873	1.931e-07	5.09536e-08	3.63968e-10	1.28049e-10	2.59678e-10	9.13593e-11	0.00262375	5.49412e-06	3.91996e-06	0.0030952	1
32	1	1	1	1	0.00319489	1	1	1	0.999949	1	1	1.46824e-06	0.0975977	1	1	1	0.997403	1	0	0.00792241	1	1	1	0.00658796	0.000118995	5.20714e-06	0.00568031	3.44679e-07	2.50284e-08	2.4591e-07	1.78493e-08	0.0943144	2.1753e-07	5.98111e-08	3.96195e-10	1.4514e-10	2.82669e-10	1.03553e-10	0.0027705	5.67056e-06	4.04585e-06	0.00319489	1
