Time	[CD14]	[IRAK4]	[LBP]	[LPS]	[LPS:LBP:CD14:TLR4:TIRAP:MyD88:IRAK4]	[MyD88]	[TIRAP]	[TLR4]	[IRAK1]	[TRAF6]	[TAK1:TAB1:TAB2]	[TAK1:TAB1:TAB2:TRAF6]	[IKK]	[RIP1]	[TRAM]	[TRIF]	[IRF3]	[source]	[sink]	[TNFa]	[TNFR1]	[TRADD]	[TRAF2]	[TNFa:TNFR1:TRAF2:TRADD:RIP1]	[IkBa]	[IkBa:NFkB]	[NFkB]	[IkBb]	[IkBb:NFkB]	[IkBe]	[IkBe:NFkB]	[NFkB(nuc)]	[IkBa(nuc)]	[IkBa:NFkB(nuc)]	[IkBb(nuc)]	[IkBb:NFkB(nuc)]	[IkBe(nuc)]	[IkBe:NFkB(nuc)]	[IkBa_mRNA]	[IkBb_mRNA]	[IkBe_mRNA]	[LPS:LBP:CD14:TLR4:RIP1:TRAM:TRIF:TBK/IKKe]	[TBK1/IKKe]
56	1	1	1	1	0.00558435	1	1	1	0.999846	1	1	7.27633e-06	0.0961337	1	1	1	0.993849	1	0	0.00922969	1	1	1	0.00869242	0.000562292	1.19463e-05	0.000729901	1.08651e-06	4.05925e-08	7.75083e-07	2.89123e-08	0.0992571	1.55849e-06	8.34924e-07	1.71436e-09	1.20484e-09	1.22303e-09	8.59568e-10	0.00655045	9.89026e-06	7.05653e-06	0.00558435	1
57	1	1	1	1	0.00568379	1	1	1	0.999841	1	1	7.64869e-06	0.0960946	1	1	1	0.993687	1	0	0.00926236	1	1	1	0.00874514	0.000588866	1.21465e-05	0.00067449	1.12654e-06	4.09585e-08	8.03632e-07	2.9171e-08	0.0993123	1.65159e-06	9.02172e-07	1.79371e-09	1.28481e-09	1.27963e-09	9.1662e-10	0.00671279	1.00655e-05	7.18154e-06	0.00568379	1
58	1	1	1	1	0.00578321	1	1	1	0.999835	1	1	8.03272e-06	0.0960568	1	1	1	0.993525	1	0	0.00929382	1	1	1	0.00879589	0.000616095	1.2341e-05	0.000623858	1.16729e-06	4.13083e-08	8.32694e-07	2.94181e-08	0.0993626	1.74803e-06	9.73182e-07	1.87512e-09	1.36836e-09	1.3377e-09	9.7622e-10	0.00687525	1.02406e-05	7.30651e-06	0.00578321	1
59	1	1	1	1	0.00588263	1	1	1	0.99983	1	1	8.42856e-06	0.0960203	1	1	1	0.993363	1	0	0.0093241	1	1	1	0.00884475	0.00064398	1.25299e-05	0.000577594	1.20875e-06	4.16429e-08	8.62268e-07	2.96543e-08	0.0994086	1.84784e-06	1.04807e-06	1.95858e-09	1.45556e-09	1.39723e-09	1.03843e-09	0.00703782	1.04157e-05	7.43145e-06	0.00588263	1
60	1	1	1	1	0.00598204	1	1	1	0.999824	1	1	8.83634e-06	0.0959852	1	1	1	0.9932	1	0	0.00935325	1	1	1	0.00889178	0.00067252	1.27135e-05	0.000535321	1.25093e-06	4.1963e-08	8.92352e-07	2.98802e-08	0.0994506	1.95105e-06	1.12694e-06	2.04411e-09	1.54649e-09	1.45824e-09	1.1033e-09	0.00720049	1.05908e-05	7.55635e-06	0.00598204	1
61	1	1	1	1	0.00608143	1	1	1	0.999818	1	1	9.25618e-06	0.0959513	1	1	1	0.993036	1	0	0.00938131	1	1	1	0.00893706	0.000701714	1.28921e-05	0.000496696	1.29383e-06	4.22695e-08	9.22948e-07	3.00962e-08	0.099489	2.05768e-06	1.20991e-06	2.13171e-09	1.64124e-09	1.52073e-09	1.17089e-09	0.00736325	1.07658e-05	7.68122e-06	0.00608143	1
62	1	1	1	1	0.00618082	1	1	1	0.999812	1	1	9.6882e-06	0.0959186	1	1	1	0.992871	1	0	0.00940832	1	1	1	0.00898065	0.000731564	1.3066e-05	0.000461403	1.33744e-06	4.2563e-08	9.54052e-07	3.0303e-08	0.099524	2.16776e-06	1.29709e-06	2.22139e-09	1.73989e-09	1.5847e-09	1.24127e-09	0.00752608	1.09408e-05	7.80605e-06	0.00618082	1
63	1	1	1	1	0.0062802	1	1	1	0.999806	1	1	1.01325e-05	0.095887	1	1	1	0.992706	1	0	0.00943433	1	1	1	0.00902262	0.000762067	1.32356e-05	0.000429156	1.38176e-06	4.28444e-08	9.85665e-07	3.05012e-08	0.099556	2.28131e-06	1.38859e-06	2.31316e-09	1.84251e-09	1.65015e-09	1.31448e-09	0.00768897	1.11157e-05	7.93084e-06	0.0062802	1
64	1	1	1	1	0.00637956	1	1	1	0.9998	1	1	1.05893e-05	0.0958566	1	1	1	0.99254	1	0	0.00945937	1	1	1	0.00906302	0.000793224	1.34011e-05	0.000399692	1.4268e-06	4.31143e-08	1.01779e-06	3.06911e-08	0.0995852	2.39836e-06	1.48453e-06	2.40701e-09	1.9492e-09	1.7171e-09	1.39058e-09	0.00785192	1.12905e-05	8.05561e-06	0.00637956	1
65	1	1	1	1	0.00647892	1	1	1	0.999794	1	1	1.10586e-05	0.0958273	1	1	1	0.992374	1	0	0.00948348	1	1	1	0.00910191	0.000825035	1.35629e-05	0.00037277	1.47254e-06	4.33736e-08	1.05041e-06	3.08734e-08	0.0996118	2.51894e-06	1.58501e-06	2.50296e-09	2.06002e-09	1.78554e-09	1.46964e-09	0.00801492	1.14653e-05	8.18033e-06	0.00647892	1
66	1	1	1	1	0.00657827	1	1	1	0.999787	1	1	1.15406e-05	0.095799	1	1	1	0.992207	1	0	0.00950668	1	1	1	0.00913935	0.000857499	1.37213e-05	0.000348173	1.519e-06	4.36229e-08	1.08355e-06	3.10485e-08	0.0996362	2.64305e-06	1.69015e-06	2.60101e-09	2.17507e-09	1.85548e-09	1.55171e-09	0.00817796	1.16401e-05	8.30503e-06	0.00657827	1
67	1	1	1	1	0.00667761	1	1	1	0.999781	1	1	1.20353e-05	0.0957718	1	1	1	0.99204	1	0	0.00952902	1	1	1	0.00917539	0.000890616	1.38766e-05	0.000325698	1.56617e-06	4.38629e-08	1.11719e-06	3.12169e-08	0.0996584	2.77073e-06	1.80005e-06	2.70116e-09	2.29441e-09	1.92691e-09	1.63684e-09	0.00834102	1.18148e-05	8.42968e-06	0.00667761	1
68	1	1	1	1	0.00677693	1	1	1	0.999774	1	1	1.2543e-05	0.0957455	1	1	1	0.991872	1	0	0.00955053	1	1	1	0.00921009	0.000924385	1.40291e-05	0.000305164	1.61404e-06	4.40942e-08	1.15133e-06	3.13792e-08	0.0996786	2.90199e-06	1.91483e-06	2.80342e-09	2.41813e-09	1.99985e-09	1.7251e-09	0.00850411	1.19895e-05	8.5543e-06	0.00677693	1
69	1	1	1	1	0.00687625	1	1	1	0.999768	1	1	1.30636e-05	0.0957201	1	1	1	0.991704	1	0	0.00957124	1	1	1	0.0092435	0.000958806	1.41792e-05	0.000286403	1.66263e-06	4.43175e-08	1.18598e-06	3.15356e-08	0.0996971	3.03686e-06	2.03459e-06	2.90779e-09	2.54631e-09	2.0743e-09	1.81654e-09	0.00866722	1.21641e-05	8.67889e-06	0.00687625	1
70	1	1	1	1	0.00697556	1	1	1	0.999761	1	1	1.35974e-05	0.0956957	1	1	1	0.991536	1	0	0.00959118	1	1	1	0.00927566	0.000993877	1.43271e-05	0.000269261	1.71192e-06	4.45333e-08	1.22113e-06	3.16868e-08	0.099714	3.17534e-06	2.15944e-06	3.01428e-09	2.67903e-09	2.15025e-09	1.91121e-09	0.00883034	1.23387e-05	8.80344e-06	0.00697556	1
71	1	1	1	1	0.00707485	1	1	1	0.999754	1	1	1.41443e-05	0.0956722	1	1	1	0.991367	1	0	0.00961038	1	1	1	0.00930662	0.0010296	1.44733e-05	0.000253599	1.76191e-06	4.47424e-08	1.25678e-06	3.18331e-08	0.0997294	3.31745e-06	2.28949e-06	3.12288e-09	2.81636e-09	2.22771e-09	2.00918e-09	0.00899347	1.25132e-05	8.92796e-06	0.00707485	1
72	1	1	1	1	0.00717414	1	1	1	0.999747	1	1	1.47046e-05	0.0956495	1	1	1	0.991197	1	0	0.00962886	1	1	1	0.00933642	0.00106597	1.46179e-05	0.00023929	1.81261e-06	4.49451e-08	1.29294e-06	3.19748e-08	0.0997434	3.46322e-06	2.42485e-06	3.2336e-09	2.95839e-09	2.30668e-09	2.11049e-09	0.0091566	1.26877e-05	9.05244e-06	0.00717414	1
73	1	1	1	1	0.00727342	1	1	1	0.99974	1	1	1.52784e-05	0.0956276	1	1	1	0.991027	1	0	0.00964666	1	1	1	0.00936512	0.00110299	1.47614e-05	0.000226216	1.86401e-06	4.51422e-08	1.3296e-06	3.21125e-08	0.0997562	3.61265e-06	2.56561e-06	3.34644e-09	3.10519e-09	2.38716e-09	2.21521e-09	0.00931973	1.28621e-05	9.17689e-06	0.00727342	1
74	1	1	1	1	0.00737269	1	1	1	0.999733	1	1	1.58656e-05	0.0956065	1	1	1	0.990857	1	0	0.0096638	1	1	1	0.00939274	0.00114066	1.4904e-05	0.000214271	1.91611e-06	4.5334e-08	1.36676e-06	3.22464e-08	0.0997678	3.76575e-06	2.71189e-06	3.46141e-09	3.25684e-09	2.46916e-09	2.32339e-09	0.00948285	1.30365e-05	9.30131e-06	0.00737269	1
75	1	1	1	1	0.00747195	1	1	1	0.999726	1	1	1.64665e-05	0.0955861	1	1	1	0.990686	1	0	0.0096803	1	1	1	0.00941934	0.00117898	1.50461e-05	0.000203358	1.96891e-06	4.55212e-08	1.40441e-06	3.2377e-08	0.0997784	3.92255e-06	2.86379e-06	3.5785e-09	3.41343e-09	2.55268e-09	2.43509e-09	0.00964597	1.32108e-05	9.42568e-06	0.00747195	1
76	1	1	1	1	0.00757119	1	1	1	0.999719	1	1	1.70812e-05	0.0955665	1	1	1	0.990515	1	0	0.00969618	1	1	1	0.00944495	0.00121795	1.51879e-05	0.000193387	2.02242e-06	4.57042e-08	1.44257e-06	3.25045e-08	0.0997881	4.08306e-06	3.02141e-06	3.69773e-09	3.57502e-09	2.63771e-09	2.55035e-09	0.00980907	1.33851e-05	9.55003e-06	0.00757119	1
77	1	1	1	1	0.00767043	1	1	1	0.999711	1	1	1.77097e-05	0.0955476	1	1	1	0.990344	1	0	0.00971148	1	1	1	0.0094696	0.00125756	1.53297e-05	0.000184277	2.07662e-06	4.58834e-08	1.48122e-06	3.26294e-08	0.0997969	4.24727e-06	3.18485e-06	3.81908e-09	3.74169e-09	2.72426e-09	2.66924e-09	0.00997216	1.35593e-05	9.67434e-06	0.00767043	1
78	1	1	1	1	0.00776966	1	1	1	0.999704	1	1	1.83521e-05	0.0955294	1	1	1	0.990172	1	0	0.00972621	1	1	1	0.00949334	0.00129782	1.54719e-05	0.000175953	2.13153e-06	4.60593e-08	1.52038e-06	3.27519e-08	0.0998049	4.41522e-06	3.35422e-06	3.94256e-09	3.91352e-09	2.81233e-09	2.79181e-09	0.0101352	1.37335e-05	9.79861e-06	0.00776966	1
79	1	1	1	1	0.00786888	1	1	1	0.999696	1	1	1.90085e-05	0.0955118	1	1	1	0.99	1	0	0.0097404	1	1	1	0.00951619	0.00133873	1.56146e-05	0.000168348	2.18713e-06	4.62324e-08	1.56003e-06	3.28723e-08	0.0998122	4.5869e-06	3.52961e-06	4.06817e-09	4.09058e-09	2.90192e-09	2.91812e-09	0.0102983	1.39076e-05	9.92285e-06	0.00786888	1
80	1	1	1	1	0.00796809	1	1	1	0.999689	1	1	1.96791e-05	0.0954948	1	1	1	0.989828	1	0	0.00975406	1	1	1	0.00953819	0.00138028	1.57583e-05	0.0001614	2.24343e-06	4.6403e-08	1.60018e-06	3.2991e-08	0.0998188	4.76232e-06	3.71113e-06	4.19592e-09	4.27296e-09	2.99303e-09	3.04821e-09	0.0104613	1.40817e-05	1.00471e-05	0.00796809	1
81	1	1	1	1	0.00806728	1	1	1	0.999681	1	1	2.03638e-05	0.0954785	1	1	1	0.989655	1	0	0.00976722	1	1	1	0.00955937	0.00142247	1.59031e-05	0.000155052	2.30042e-06	4.65716e-08	1.64082e-06	3.31081e-08	0.0998248	4.9415e-06	3.89888e-06	4.3258e-09	4.46073e-09	3.08566e-09	3.18215e-09	0.0106243	1.42557e-05	1.01712e-05	0.00806728	1
82	1	1	1	1	0.00816647	1	1	1	0.999673	1	1	2.10629e-05	0.0954627	1	1	1	0.989482	1	0	0.00977989	1	1	1	0.00957977	0.00146531	1.60494e-05	0.000149252	2.35812e-06	4.67384e-08	1.68196e-06	3.32241e-08	0.0998303	5.12445e-06	4.09294e-06	4.45782e-09	4.65396e-09	3.17981e-09	3.31998e-09	0.0107873	1.44297e-05	1.02954e-05	0.00816647	1
83	1	1	1	1	0.00826565	1	1	1	0.999665	1	1	2.17764e-05	0.0954475	1	1	1	0.989309	1	0	0.00979209	1	1	1	0.00959941	0.00150879	1.61974e-05	0.000143952	2.4165e-06	4.6904e-08	1.7236e-06	3.33391e-08	0.0998352	5.31116e-06	4.29342e-06	4.59198e-09	4.85273e-09	3.27549e-09	3.46176e-09	0.0109502	1.46036e-05	1.04195e-05	0.00826565	1
84	1	1	1	1	0.00836482	1	1	1	0.999657	1	1	2.25043e-05	0.0954329	1	1	1	0.989136	1	0	0.00980384	1	1	1	0.00961831	0.00155292	1.63473e-05	0.00013911	2.47558e-06	4.70685e-08	1.76573e-06	3.34533e-08	0.0998397	5.50165e-06	4.50042e-06	4.72827e-09	5.0571e-09	3.37269e-09	3.60754e-09	0.0111131	1.47775e-05	1.05435e-05	0.00836482	1
85	1	1	1	1	0.00846398	1	1	1	0.999649	1	1	2.32468e-05	0.0954187	1	1	1	0.988962	1	0	0.00981515	1	1	1	0.00963652	0.00159768	1.64995e-05	0.000134685	2.53536e-06	4.72324e-08	1.80835e-06	3.35671e-08	0.0998437	5.69593e-06	4.71403e-06	4.86669e-09	5.26717e-09	3.47141e-09	3.75738e-09	0.011276	1.49514e-05	1.06676e-05	0.00846398	1
86	1	1	1	1	0.00856313	1	1	1	0.999641	1	1	2.4004e-05	0.0954051	1	1	1	0.988788	1	0	0.00982606	1	1	1	0.00965405	0.00164309	1.66541e-05	0.000130642	2.59583e-06	4.7396e-08	1.85147e-06	3.36806e-08	0.0998474	5.894e-06	4.93433e-06	5.00726e-09	5.48299e-09	3.57166e-09	3.91132e-09	0.0114389	1.51252e-05	1.07915e-05	0.00856313	1
87	1	1	1	1	0.00866226	1	1	1	0.999633	1	1	2.47759e-05	0.0953919	1	1	1	0.988614	1	0	0.00983656	1	1	1	0.00967093	0.00168914	1.68115e-05	0.000126948	2.65699e-06	4.75595e-08	1.89508e-06	3.3794e-08	0.0998507	6.09586e-06	5.16144e-06	5.14996e-09	5.70465e-09	3.67343e-09	4.06943e-09	0.0116017	1.52989e-05	1.09155e-05	0.00866226	1
88	1	1	1	1	0.00876139	1	1	1	0.999625	1	1	2.55626e-05	0.0953792	1	1	1	0.98844	1	0	0.00984668	1	1	1	0.00968718	0.00173583	1.69717e-05	0.000123572	2.71884e-06	4.77232e-08	1.93919e-06	3.39076e-08	0.0998537	6.30153e-06	5.39542e-06	5.2948e-09	5.93221e-09	3.77673e-09	4.23174e-09	0.0117645	1.54726e-05	1.10394e-05	0.00876139	1
89	1	1	1	1	0.00886051	1	1	1	0.999616	1	1	2.63642e-05	0.095367	1	1	1	0.988266	1	0	0.00985642	1	1	1	0.00970283	0.00178316	1.71352e-05	0.000120486	2.78138e-06	4.78874e-08	1.98379e-06	3.40216e-08	0.0998564	6.51101e-06	5.63639e-06	5.44178e-09	6.16575e-09	3.88154e-09	4.39832e-09	0.0119272	1.56462e-05	1.11633e-05	0.00886051	1
90	1	1	1	1	0.00895962	1	1	1	0.999608	1	1	2.71808e-05	0.0953551	1	1	1	0.988091	1	0	0.0098658	1	1	1	0.00971791	0.00183113	1.73021e-05	0.000117667	2.84461e-06	4.80525e-08	2.02888e-06	3.41361e-08	0.0998588	6.72429e-06	5.88442e-06	5.5909e-09	6.40534e-09	3.98789e-09	4.56922e-09	0.0120899	1.58198e-05	1.12872e-05	0.00895962	1
91	1	1	1	1	0.00905872	1	1	1	0.999599	1	1	2.80125e-05	0.0953437	1	1	1	0.987916	1	0	0.00987484	1	1	1	0.00973242	0.00187973	1.74726e-05	0.00011509	2.90854e-06	4.82186e-08	2.07446e-06	3.42513e-08	0.0998609	6.9414e-06	6.1396e-06	5.74215e-09	6.65105e-09	4.09575e-09	4.74448e-09	0.0122526	1.59934e-05	1.1411e-05	0.00905872	1
92	1	1	1	1	0.00915781	1	1	1	0.99959	1	1	2.88593e-05	0.0953327	1	1	1	0.987741	1	0	0.00988356	1	1	1	0.0097464	0.00192898	1.7647e-05	0.000112735	2.97315e-06	4.83859e-08	2.12053e-06	3.43674e-08	0.0998628	7.16232e-06	6.40203e-06	5.89554e-09	6.90296e-09	4.20514e-09	4.92415e-09	0.0124152	1.61669e-05	1.15348e-05	0.00915781	1
93	1	1	1	1	0.00925689	1	1	1	0.999581	1	1	2.97213e-05	0.0953221	1	1	1	0.987566	1	0	0.00989195	1	1	1	0.00975986	0.00197886	1.78255e-05	0.000110582	3.03845e-06	4.85547e-08	2.16709e-06	3.44846e-08	0.0998645	7.38707e-06	6.67178e-06	6.05107e-09	7.16113e-09	4.31606e-09	5.1083e-09	0.0125778	1.63403e-05	1.16585e-05	0.00925689	1
94	1	1	1	1	0.00935596	1	1	1	0.999572	1	1	3.05986e-05	0.0953118	1	1	1	0.98739	1	0	0.00990004	1	1	1	0.00977282	0.00202937	1.80083e-05	0.000108615	3.10444e-06	4.87253e-08	2.21414e-06	3.4603e-08	0.099866	7.61565e-06	6.94895e-06	6.20874e-09	7.42563e-09	4.42849e-09	5.29696e-09	0.0127404	1.65137e-05	1.17823e-05	0.00935596	1
95	1	1	1	1	0.00945502	1	1	1	0.999563	1	1	3.14913e-05	0.0953019	1	1	1	0.987215	1	0	0.00990783	1	1	1	0.00978531	0.00208053	1.81956e-05	0.000106816	3.17111e-06	4.88978e-08	2.26169e-06	3.47227e-08	0.0998673	7.84806e-06	7.23362e-06	6.36855e-09	7.69654e-09	4.54246e-09	5.49018e-09	0.0129029	1.66871e-05	1.19059e-05	0.00945502	1
96	1	1	1	1	0.00955407	1	1	1	0.999554	1	1	3.23994e-05	0.0952923	1	1	1	0.987039	1	0	0.00991533	1	1	1	0.00979733	0.00213231	1.83876e-05	0.000105171	3.23848e-06	4.90725e-08	2.30972e-06	3.4844e-08	0.0998685	8.0843e-06	7.52586e-06	6.53049e-09	7.97393e-09	4.65794e-09	5.68803e-09	0.0130653	1.68604e-05	1.20296e-05	0.00955407	1
97	1	1	1	1	0.00965311	1	1	1	0.999545	1	1	3.33229e-05	0.095283	1	1	1	0.986863	1	0	0.00992257	1	1	1	0.00980891	0.00218474	1.85845e-05	0.000103667	3.30653e-06	4.92494e-08	2.35824e-06	3.49669e-08	0.0998695	8.32437e-06	7.82577e-06	6.69457e-09	8.25785e-09	4.77495e-09	5.89054e-09	0.0132278	1.70336e-05	1.21532e-05	0.00965311	1
98	1	1	1	1	0.00975214	1	1	1	0.999536	1	1	3.42621e-05	0.0952741	1	1	1	0.986687	1	0	0.00992954	1	1	1	0.00982007	0.00223779	1.87865e-05	0.000102292	3.37526e-06	4.94289e-08	2.40725e-06	3.50916e-08	0.0998704	8.56828e-06	8.13342e-06	6.86078e-09	8.54839e-09	4.89347e-09	6.09776e-09	0.0133902	1.72068e-05	1.22768e-05	0.00975214	1
99	1	1	1	1	0.00985116	1	1	1	0.999527	1	1	3.52169e-05	0.0952655	1	1	1	0.986511	1	0	0.00993627	1	1	1	0.00983081	0.00229148	1.89939e-05	0.000101034	3.44468e-06	4.96111e-08	2.45675e-06	3.52181e-08	0.0998711	8.81604e-06	8.4489e-06	7.02913e-09	8.84561e-09	5.01353e-09	6.30975e-09	0.0135525	1.738e-05	1.24003e-05	0.00985116	1
100	1	1	1	1	0.00995017	1	1	1	0.999517	1	1	3.61874e-05	0.0952571	1	1	1	0.986335	1	0	0.00994275	1	1	1	0.00984116	0.00234581	1.92067e-05	9.98833e-05	3.51479e-06	4.97962e-08	2.50673e-06	3.53468e-08	0.0998717	9.06763e-06	8.77228e-06	7.19962e-09	9.14958e-09	5.1351e-09	6.52655e-09	0.0137148	1.75531e-05	1.25238e-05	0.00995017	1
