Time	[H2O2{phagosome}]	[Ferric peroxidase]	[compound I]	[Melatonin{phagosome}]	[compound II]	[Melatonin free radical{phagosome}]	[Superoxide{phagosome}]	[Hydrogen{phagosome}]	[Oxygen{phagosome}]	[NADPH]	[Oxygen{cytoplasm}]	[NADP]	[H2O2{cytoplasm}]	[NADP]	[Superoxide{cytoplasm}]	[Hydrogen{cytoplasm}]	[Melatonin free radical{cytoplasm}]	[Melatonin{cytoplasm}]	[compound III]	[NADP2]
0	0	300	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0
1	1.03658e-07	299.776	5.08323e-07	300	0.000336064	0.000149579	9.00804e-05	-4.25416e-08	10.7676	24.9887	11.1473	0.0113148	5.0917e-05	0.0113148	4.14855e-05	-2.02326e-07	5.91597e-07	300	0.223558	8.10699e-13
2	5.74636e-07	298.791	2.81594e-06	299.999	0.00306623	0.00106384	0.000248252	-6.22762e-07	21.3538	49.9384	21.7473	0.0615793	0.000281295	0.0615793	0.000486372	-6.1371e-05	2.12213e-06	300	1.20565	2.40093e-11
3	1.80208e-06	296.681	8.78954e-06	299.996	0.0113293	0.0036145	0.000468079	-3.19488e-06	31.4032	74.8295	31.8216	0.17045	0.000875867	0.17045	0.00149494	-0.00106682	4.81911e-06	300	3.3073	1.76752e-10
4	4.37201e-06	293.096	2.11164e-05	299.991	0.0305976	0.00925524	0.000752351	-1.06417e-05	40.9051	99.642	41.3595	0.357959	0.00209917	0.357959	0.00274186	-0.00562932	9.27385e-06	300	6.87306	8.49556e-10
5	8.74173e-06	287.698	4.15587e-05	299.981	0.0661709	0.0191799	0.00110697	-2.79065e-05	49.8497	124.355	50.3506	0.644886	0.0041198	0.644886	0.00413387	-0.0175312	1.54055e-05	300	12.2354	3.02974e-09
6	1.54676e-05	280.164	7.18453e-05	299.966	0.122623	0.0344563	0.00154206	-6.29243e-05	58.2285	148.948	58.786	1.05242	0.00709851	1.05242	0.00565777	-0.0415904	2.3112e-05	300	19.713	8.61716e-09
7	2.5305e-05	270.187	0.000113803	299.944	0.204449	0.0561662	0.00207397	-0.000128127	66.0341	173.398	66.6579	1.60203	0.0111994	1.60203	0.0073051	-0.0836953	3.2367e-05	300	29.6086	2.08213e-08
8	3.93485e-05	257.477	0.000169446	299.915	0.316368	0.0854644	0.00272855	-0.000243047	73.2609	197.685	73.96	2.3154	0.0165954	2.3154	0.00907229	-0.150847	4.3205e-05	300	42.2067	4.46972e-08
9	5.92955e-05	241.765	0.000241166	299.876	0.463676	0.123676	0.00354699	-0.000439077	79.9045	221.785	80.6875	3.21449	0.0234822	3.21449	0.0109618	-0.251276	5.57325e-05	300	57.7713	8.79148e-08
10	8.79579e-05	222.804	0.000332088	299.828	0.652842	0.172459	0.00459698	-0.000768772	85.9624	245.678	86.8369	4.32171	0.0321023	4.32171	0.0129843	-0.394689	7.01624e-05	300	76.5432	1.61943e-07
