Time	[CDC28_Clb2_Sic1_Complex]	[Clb2]	[Sic1]	[Phosphorylated Cdc28_Clb2_Sic1 Complex]	[Phosphorylated Clb2]	[SBF]	[Intermediary Enzyme]	[Cdc20 activated]	[Cdc20]	[Cdh1]	[Swe1]	[Swe1 modified]	[Phosphorylated Swe1]	[Phosphorylated Swe1M]	[Mih1a]	[Mcm]	[BE]	[Cln]	[mass]
21	0.0059134	1.99028e-05	1.19007	9.24393e-05	4.41226e-08	0.07243	4.94059e-07	1.97013e-09	0.364177	0.998712	0.00815786	0.0219843	4.64477e-07	1.00684e-06	6.05477e-06	1.21661e-05	0.0452241	0.0572932	0.891066
22	0.0059372	1.97238e-05	1.20792	9.68149e-05	4.59371e-08	0.0753735	4.89252e-07	1.95046e-09	0.334279	0.998672	0.00850224	0.0216137	4.76717e-07	9.85571e-07	5.99435e-06	1.2032e-05	0.046448	0.0588744	0.895532
23	0.005961	1.96026e-05	1.22264	0.000101233	4.79189e-08	0.0785336	4.85899e-07	1.93656e-09	0.307226	0.998628	0.00884815	0.0212493	4.89973e-07	9.67482e-07	5.95183e-06	1.19348e-05	0.0477126	0.0605956	0.900021
24	0.00598484	1.95366e-05	1.23423	0.000105703	5.00895e-08	0.0819327	4.83927e-07	1.92814e-09	0.282748	0.99858	0.00919622	0.0208911	5.04348e-07	9.52334e-07	5.92629e-06	1.18723e-05	0.0490278	0.0624651	0.904533
25	0.00600869	1.95241e-05	1.24268	0.000110233	5.24738e-08	0.085596	4.83288e-07	1.925e-09	0.260599	0.998528	0.00954711	0.0205389	5.19963e-07	9.39937e-07	5.91711e-06	1.18429e-05	0.0504034	0.0644927	0.909067
26	0.00603258	1.95641e-05	1.24797	0.000114832	5.51004e-08	0.0895519	4.83955e-07	1.92702e-09	0.240558	0.99847	0.00990155	0.0201926	5.36957e-07	9.30152e-07	5.92395e-06	1.18458e-05	0.051849	0.0666898	0.913623
27	0.00605648	1.96568e-05	1.25012	0.000119509	5.80027e-08	0.0938323	4.85922e-07	1.93418e-09	0.222424	0.998407	0.0102604	0.0198522	5.55487e-07	9.2288e-07	5.9467e-06	1.18807e-05	0.0533749	0.0690698	0.918203
28	0.0060804	1.98027e-05	1.2491	0.000124276	6.12201e-08	0.0984733	4.89203e-07	1.94652e-09	0.206015	0.998338	0.0106244	0.0195175	5.75737e-07	9.18061e-07	5.98552e-06	1.19476e-05	0.0549916	0.0716477	0.922805
29	0.00610432	2.00035e-05	1.24492	0.000129142	6.47995e-08	0.103515	4.93831e-07	1.96418e-09	0.191169	0.998263	0.0109946	0.0191885	5.97922e-07	9.15671e-07	6.0408e-06	1.20472e-05	0.05671	0.0744411	0.927431
30	0.00612823	2.02616e-05	1.23759	0.000134122	6.87964e-08	0.109004	4.9986e-07	1.98736e-09	0.177735	0.998179	0.0113721	0.018865	6.22288e-07	9.15725e-07	6.11317e-06	1.21807e-05	0.0585418	0.0774696	0.93208
