Time	[A]	[G]	[GA]	[T]	[R]	[G*T]	[GD]	[Pi]	[D]	[RG]	[RG*T]	[G*AT]	[GAD]	[RGD]	[RGA]	[RG*AT]	[RGAD]
30	0	9.82984e-18	0	0.000467986	9.90096e-07	9.58887e-11	1.60089e-14	0.0044	0.000149004	4.36778e-13	9.79156e-09	0	0	1.12103e-10	0	0	0
31	0	9.82991e-18	0	0.000467986	9.90096e-07	9.58887e-11	1.60089e-14	0.0044	0.000149004	4.36781e-13	9.79155e-09	0	0	1.12104e-10	0	0	0
32	0	9.82997e-18	0	0.000467986	9.90096e-07	9.58887e-11	1.60089e-14	0.0044	0.000149004	4.36784e-13	9.79155e-09	0	0	1.12105e-10	0	0	0
33	0	9.82998e-18	0	0.000467986	9.90096e-07	9.58887e-11	1.60089e-14	0.0044	0.000149004	4.36785e-13	9.79155e-09	0	0	1.12105e-10	0	0	0
34	0	9.83014e-18	0	0.000467986	9.90096e-07	9.58886e-11	1.6009e-14	0.0044	0.000149004	4.36792e-13	9.79155e-09	0	0	1.12107e-10	0	0	0
35	0	9.83025e-18	0	0.000467986	9.90096e-07	9.58886e-11	1.6009e-14	0.0044	0.000149004	4.36798e-13	9.79155e-09	0	0	1.12109e-10	0	0	0
36	0	9.83033e-18	0	0.000467986	9.90096e-07	9.58886e-11	1.6009e-14	0.0044	0.000149004	4.36802e-13	9.79155e-09	0	0	1.1211e-10	0	0	0
37	0	9.83036e-18	0	0.000467985	9.90096e-07	9.58886e-11	1.6009e-14	0.0044	0.000149005	4.36803e-13	9.79155e-09	0	0	1.12111e-10	0	0	0
38	0	9.83036e-18	0	0.000467985	9.90096e-07	9.58886e-11	1.6009e-14	0.0044	0.000149005	4.36803e-13	9.79155e-09	0	0	1.12111e-10	0	0	0
39	0	9.83032e-18	0	0.000467985	9.90096e-07	9.58886e-11	1.6009e-14	0.0044	0.000149005	4.36801e-13	9.79155e-09	0	0	1.1211e-10	0	0	0
40	0	9.83025e-18	0	0.000467985	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149005	4.36798e-13	9.79155e-09	0	0	1.12109e-10	0	0	0
41	0	9.83013e-18	0	0.000467985	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149005	4.36792e-13	9.79155e-09	0	0	1.12107e-10	0	0	0
42	0	9.83006e-18	0	0.000467985	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.000149005	4.36788e-13	9.79155e-09	0	0	1.12106e-10	0	0	0
43	0	9.83006e-18	0	0.000467985	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.000149005	4.36788e-13	9.79155e-09	0	0	1.12106e-10	0	0	0
44	0	9.83005e-18	0	0.000467984	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.000149006	4.36788e-13	9.79155e-09	0	0	1.12106e-10	0	0	0
45	0	9.83005e-18	0	0.000467984	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.000149006	4.36788e-13	9.79155e-09	0	0	1.12106e-10	0	0	0
46	0	9.83004e-18	0	0.000467984	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.000149006	4.36787e-13	9.79155e-09	0	0	1.12106e-10	0	0	0
47	0	9.83003e-18	0	0.000467984	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149006	4.36787e-13	9.79155e-09	0	0	1.12106e-10	0	0	0
48	0	9.83002e-18	0	0.000467984	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149006	4.36786e-13	9.79155e-09	0	0	1.12105e-10	0	0	0
49	0	9.83e-18	0	0.000467984	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149006	4.36785e-13	9.79155e-09	0	0	1.12105e-10	0	0	0
50	0	9.82998e-18	0	0.000467984	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149006	4.36784e-13	9.79155e-09	0	0	1.12105e-10	0	0	0
51	0	9.82994e-18	0	0.000467984	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149006	4.36782e-13	9.79155e-09	0	0	1.12104e-10	0	0	0
52	0	9.82995e-18	0	0.000467983	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149007	4.36782e-13	9.79155e-09	0	0	1.12104e-10	0	0	0
53	0	9.82995e-18	0	0.000467983	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149007	4.36783e-13	9.79155e-09	0	0	1.12105e-10	0	0	0
54	0	9.82996e-18	0	0.000467983	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149007	4.36783e-13	9.79155e-09	0	0	1.12105e-10	0	0	0
55	0	9.82997e-18	0	0.000467983	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149007	4.36783e-13	9.79155e-09	0	0	1.12105e-10	0	0	0
56	0	9.82997e-18	0	0.000467983	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149007	4.36783e-13	9.79155e-09	0	0	1.12105e-10	0	0	0
57	0	9.82998e-18	0	0.000467983	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149007	4.36784e-13	9.79155e-09	0	0	1.12105e-10	0	0	0
58	0	9.82998e-18	0	0.000467983	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149007	4.36784e-13	9.79155e-09	0	0	1.12105e-10	0	0	0
59	1.21059e-32	9.82999e-18	8.18222e-42	0.000467983	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149007	4.36784e-13	9.79155e-09	2.35769e-37	1.82272e-36	1.12105e-10	4.38464e-36	1.59438e-34	1.18148e-33
