Time	[clock gene mRNA]	[clock protein]	[Transcriptional repressor]	[Neuropeptide]	[clock gene mRNA]	[clock protein]	[Transcriptional repressor]	[Neuropeptide]
74	1.29059	1.71264	1.68111	0.515339	1.29059	1.71264	1.68111	0.515339
75	1.49466	1.68916	1.59398	0.590293	1.49466	1.68916	1.59398	0.590293
76	1.7102	1.69132	1.52961	0.679685	1.7102	1.69132	1.52961	0.679685
77	1.94014	1.71833	1.48864	0.781827	1.94014	1.71833	1.48864	0.781827
78	2.1884	1.76988	1.47117	0.896529	2.1884	1.76988	1.47117	0.896529
79	2.4587	1.84617	1.47715	1.02469	2.4587	1.84617	1.47715	1.02469
80	2.75293	1.94783	1.50665	1.1678	2.75293	1.94783	1.50665	1.1678
81	3.06865	2.0755	1.55999	1.32726	3.06865	2.0755	1.55999	1.32726
82	3.39458	2.22922	1.63766	1.50318	3.39458	2.22922	1.63766	1.50318
83	3.7035	2.40705	1.74	1.6924	3.7035	2.40705	1.74	1.6924
84	3.94229	2.60291	1.86647	1.88512	3.94229	2.60291	1.86647	1.88512
85	4.02289	2.80335	2.0143	2.06018	4.02289	2.80335	2.0143	2.06018
86	3.82617	2.98395	2.17647	2.18034	3.82617	2.98395	2.17647	2.18034
87	3.24002	3.10817	2.33926	2.19259	3.24002	3.10817	2.33926	2.19259
88	2.25222	3.13346	2.48088	2.04223	2.25222	3.13346	2.48088	2.04223
89	1.13433	3.03246	2.57408	1.71307	1.13433	3.03246	2.57408	1.71307
90	0.560091	2.83683	2.59791	1.30006	0.560091	2.83683	2.59791	1.30006
91	0.465303	2.623	2.55469	0.954319	0.465303	2.623	2.55469	0.954319
92	0.472132	2.42116	2.46211	0.709746	0.472132	2.42116	2.46211	0.709746
93	0.528536	2.23841	2.33798	0.551073	0.528536	2.23841	2.33798	0.551073
94	0.626207	2.07882	2.19735	0.460391	0.626207	2.07882	2.19735	0.460391
95	0.759168	1.94527	2.05261	0.422532	0.759168	1.94527	2.05261	0.422532
96	0.919682	1.83945	1.91355	0.425338	0.919682	1.83945	1.91355	0.425338
97	1.0995	1.76185	1.7875	0.459098	1.0995	1.76185	1.7875	0.459098
98	1.29252	1.71196	1.67952	0.516227	1.29252	1.71196	1.67952	0.516227
99	1.49625	1.68874	1.5927	0.59121	1.49625	1.68874	1.5927	0.59121
100	1.71146	1.6911	1.52862	0.680564	1.71146	1.6911	1.52862	0.680564
