Time	[TGF_beta_ex]	[T1R_surf]	[T1R_endo]	[T2R_surf]	[T2R_endo]	[LRC_surf]	[LRC_endo]	[Smad2c]	[Smad2n]	[Smad4c]	[Smad4n]	[PSmad2c]	[PSmad2_PSmad2_c]	[PSmad2_Smad4_c]	[PSmad2n]	[PSmad2_PSmad2_n]	[PSmad2_Smad4_n]	[TGF_beta_endo]	[TGF_beta_ns]	[AA]	[empty_degraded]
24	0.0475939	0.508074	5.77876	0.0142549	0.788426	0.0388936	0.403086	46.529	23.4158	38.7436	47.295	0.454492	0.0214116	1.84569	2.55891	1.25499	26.9896	0.0523721	0.00118373	0	0
25	0.0475605	0.507374	5.7585	0.0141329	0.774351	0.0375224	0.397248	46.1376	23.2581	38.4454	47.1906	0.459605	0.0219331	1.85307	2.63896	1.34182	27.7628	0.0518245	0.0011829	0	0
26	0.0475276	0.506664	5.73847	0.0140142	0.760624	0.036292	0.391252	45.7751	23.1116	38.172	47.093	0.464095	0.0223982	1.85874	2.71329	1.42528	28.4762	0.0512181	0.00118208	0	0
27	0.0474951	0.505945	5.71866	0.0138987	0.747223	0.0351831	0.385148	45.4404	22.9759	37.9219	47.002	0.468001	0.0228089	1.86287	2.78213	1.50504	29.1329	0.0505653	0.00118126	0	0
28	0.0474631	0.505216	5.69904	0.0137862	0.734131	0.0341795	0.378977	45.1323	22.8506	37.6937	46.9174	0.471362	0.0231676	1.86564	2.84573	1.58085	29.7361	0.0498765	0.00118046	0	0
29	0.0474315	0.504478	5.6796	0.0136765	0.721333	0.0332678	0.372775	44.8494	22.7351	37.4861	46.8388	0.474211	0.0234764	1.86719	2.90433	1.65255	30.2887	0.0491605	0.00117967	0	0
30	0.0474004	0.503731	5.66034	0.0135694	0.708815	0.0324369	0.366571	44.5905	22.6291	37.2977	46.7661	0.476581	0.0237377	1.86764	2.95817	1.72001	30.7937	0.0484247	0.00117889	0	0
31	0.0473696	0.502975	5.64124	0.0134649	0.696566	0.0316772	0.360389	44.3545	22.5321	37.1274	46.6989	0.478502	0.0239538	1.8671	3.00748	1.78316	31.2538	0.0476754	0.00117812	0	0
32	0.0473393	0.502211	5.6223	0.0133629	0.684577	0.0309808	0.354251	44.1401	22.4436	36.974	46.6371	0.480004	0.024127	1.86568	3.05251	1.84199	31.6716	0.0469177	0.00117736	0	0
33	0.0473093	0.501438	5.60352	0.0132632	0.672838	0.0303406	0.348174	43.9463	22.3633	36.8365	46.5803	0.481112	0.0242598	1.86344	3.09346	1.89651	32.0498	0.0461561	0.00117661	0	0
34	0.0472797	0.500658	5.58488	0.0131658	0.661342	0.0297509	0.342172	43.7719	22.2906	36.7139	46.5283	0.481854	0.0243545	1.86047	3.13057	1.94677	32.3906	0.0453942	0.00117587	0	0
35	0.0472505	0.499869	5.56639	0.0130707	0.650081	0.0292064	0.336257	43.6158	22.2252	36.6051	46.481	0.482253	0.0244132	1.85683	3.16404	1.99284	32.6964	0.0446353	0.00117514	0	0
36	0.0472217	0.499073	5.54804	0.0129777	0.639051	0.0287026	0.330441	43.4772	22.1668	36.5094	46.438	0.482332	0.0244384	1.85259	3.19406	2.03482	32.9694	0.0438818	0.00117442	0	0
37	0.0471932	0.498269	5.52982	0.0128868	0.628245	0.0282358	0.32473	43.3548	22.1148	36.4258	46.3992	0.482114	0.0244323	1.8478	3.22084	2.07281	33.2114	0.0431359	0.00117371	0	0
38	0.0471651	0.497458	5.51174	0.012798	0.617659	0.0278025	0.319132	43.248	22.0689	36.3536	46.3643	0.481618	0.024397	1.84251	3.24455	2.10696	33.4245	0.0423995	0.001173	0	0
39	0.0471373	0.496641	5.49379	0.0127113	0.607288	0.0273997	0.313651	43.1557	22.0289	36.2921	46.3332	0.480866	0.0243347	1.83675	3.26537	2.13738	33.6105	0.0416741	0.00117231	0	0
40	0.0471099	0.495816	5.47597	0.0126265	0.597128	0.0270247	0.308292	43.077	21.9943	36.2405	46.3056	0.479875	0.0242474	1.83058	3.28348	2.16423	33.771	0.0409609	0.00117162	0	0
41	0.0470828	0.494985	5.45828	0.0125437	0.587176	0.0266753	0.303059	43.0112	21.9649	36.1982	46.2813	0.478664	0.024137	1.82403	3.29902	2.18766	33.9076	0.0402608	0.00117095	0	0
42	0.047056	0.494147	5.44072	0.0124628	0.577428	0.0263493	0.297952	42.9576	21.9403	36.1646	46.2601	0.477249	0.0240056	1.81714	3.31216	2.20782	34.022	0.0395748	0.00117028	0	0
43	0.0470296	0.493303	5.42328	0.0123839	0.567882	0.0260449	0.292975	42.9153	21.9202	36.1391	46.2419	0.475645	0.0238549	1.80994	3.32303	2.22487	34.1153	0.0389034	0.00116961	0	0
44	0.0470035	0.492453	5.40597	0.0123068	0.558533	0.0257603	0.288127	42.8836	21.9045	36.1212	46.2266	0.473871	0.0236866	1.80245	3.33178	2.23896	34.1891	0.0382471	0.00116896	0	0
