Time	[aca]	[oaa]	[coa]	[cit]	[icit]	[akg]	[sca]	[suc]	[fa]	[mal]	[gly]	[biosyn]
0	0.5	0.004	0.0001	3	0.018	0.2	0.04	0.6	0.3	1.8	4	0.1
1	0.5	0.004	0.0001	0.0819272	0.00413135	0.0373643	2.31683	0.170951	1.11291	0.29696	2.94981	0.1
2	0.5	0.004	0.0001	0.0819266	0.0041118	0.0366073	2.25178	0.170088	1.10709	0.295414	2.03818	0.1
3	0.5	0.004	0.0001	0.0819261	0.00409215	0.0358559	2.18734	0.169179	1.10067	0.293681	1.31057	0.1
4	0.5	0.004	0.0001	0.0819256	0.00407216	0.0351075	2.12336	0.168267	1.09417	0.291936	0.780086	0.1
5	0.5	0.004	0.0001	0.081925	0.00405147	0.0343575	2.05959	0.167499	1.08859	0.29045	0.432418	0.1
6	0.5	0.004	0.0001	0.0819244	0.00402982	0.0336008	1.99563	0.166983	1.08462	0.289397	0.227449	0.1
7	0.5	0.004	0.0001	0.0819238	0.00400743	0.0328351	1.93112	0.16671	1.08224	0.288763	0.116931	0.1
8	0.5	0.004	0.0001	0.0819232	0.00398517	0.0320648	1.86604	0.166582	1.08098	0.288425	0.0612492	0.1
9	0.5	0.004	0.0001	0.0819226	0.00396383	0.0312982	1.80081	0.166499	1.08034	0.288255	0.0345233	0.1
10	0.5	0.004	0.0001	0.0819221	0.00394362	0.0305424	1.73604	0.166412	1.07998	0.288169	0.0220899	0.1
11	0.5	0.004	0.0001	0.0819216	0.00392436	0.0298016	1.67228	0.16631	1.07973	0.288122	0.0163986	0.1
12	0.5	0.004	0.0001	0.0819211	0.00390586	0.0290782	1.60985	0.166195	1.07954	0.288093	0.0138042	0.1
13	0.5	0.004	0.0001	0.0819206	0.00388799	0.0283738	1.549	0.16607	1.07937	0.28807	0.0126128	0.1
14	0.5	0.004	0.0001	0.0819201	0.0038707	0.0276895	1.48986	0.165937	1.07919	0.288051	0.0120533	0.1
15	0.5	0.004	0.0001	0.0819197	0.00385397	0.0270266	1.43254	0.165798	1.07902	0.288032	0.011778	0.1
16	0.5	0.004	0.0001	0.0819192	0.00383782	0.026386	1.37715	0.165651	1.07884	0.288014	0.0116309	0.1
17	0.5	0.004	0.0001	0.0819188	0.00382226	0.0257686	1.32377	0.165499	1.07865	0.287995	0.0115421	0.1
18	0.5	0.004	0.0001	0.0819184	0.00380732	0.0251755	1.27247	0.165342	1.07846	0.287975	0.0114803	0.1
19	0.5	0.004	0.0001	0.081918	0.003793	0.0246073	1.22335	0.165179	1.07826	0.287955	0.0114316	0.1
20	0.5	0.004	0.0001	0.0819176	0.00377934	0.0240651	1.17646	0.165011	1.07806	0.287934	0.0113897	0.1
21	0.5	0.004	0.0001	0.0819173	0.00376635	0.0235494	1.13188	0.16484	1.07785	0.287913	0.011352	0.1
22	0.5	0.004	0.0001	0.0819169	0.00375404	0.0230609	1.08964	0.164665	1.07763	0.287892	0.0113171	0.1
23	0.5	0.004	0.0001	0.0819166	0.00374243	0.0226002	1.04981	0.164487	1.07741	0.28787	0.0112846	0.1
24	0.5	0.004	0.0001	0.0819163	0.00373153	0.0221674	1.01239	0.164308	1.07719	0.287848	0.0112543	0.1
25	0.5	0.004	0.0001	0.0819161	0.00372133	0.0217628	0.977413	0.164129	1.07697	0.287825	0.011226	0.1
26	0.5	0.004	0.0001	0.0819158	0.00371184	0.0213864	0.944868	0.163951	1.07675	0.287803	0.0111997	0.1
27	0.5	0.004	0.0001	0.0819156	0.00370306	0.0210378	0.914735	0.163775	1.07654	0.287781	0.0111754	0.1
28	0.5	0.004	0.0001	0.0819153	0.00369497	0.0207167	0.886974	0.163603	1.07633	0.28776	0.0111529	0.1
29	0.5	0.004	0.0001	0.0819151	0.00368755	0.0204223	0.86153	0.163436	1.07612	0.287739	0.0111324	0.1
30	0.5	0.004	0.0001	0.081915	0.00368078	0.0201539	0.838324	0.163275	1.07592	0.287719	0.0111136	0.1
31	0.5	0.004	0.0001	0.0819148	0.00367464	0.0199103	0.817265	0.163122	1.07573	0.2877	0.0110966	0.1
32	0.5	0.004	0.0001	0.0819146	0.0036691	0.0196903	0.79825	0.162977	1.07555	0.287682	0.0110812	0.1
33	0.5	0.004	0.0001	0.0819145	0.00366411	0.0194926	0.781161	0.16284	1.07538	0.287665	0.0110673	0.1
34	0.5	0.004	0.0001	0.0819144	0.00365966	0.0193157	0.765874	0.162713	1.07522	0.287649	0.011055	0.1
35	0.5	0.004	0.0001	0.0819143	0.00365569	0.0191582	0.752257	0.162596	1.07507	0.287634	0.0110439	0.1
36	0.5	0.004	0.0001	0.0819142	0.00365216	0.0190184	0.740178	0.162489	1.07494	0.28762	0.0110341	0.1
37	0.5	0.004	0.0001	0.0819141	0.00364905	0.0188949	0.729503	0.162391	1.07482	0.287608	0.0110255	0.1
38	0.5	0.004	0.0001	0.081914	0.00364631	0.0187861	0.720104	0.162302	1.07471	0.287597	0.0110179	0.1
39	0.5	0.004	0.0001	0.081914	0.0036439	0.0186907	0.711853	0.162223	1.07461	0.287587	0.0110112	0.1
40	0.5	0.004	0.0001	0.0819139	0.0036418	0.0186071	0.704633	0.162152	1.07452	0.287578	0.0110053	0.1
41	0.5	0.004	0.0001	0.0819139	0.00363996	0.0185342	0.698331	0.162089	1.07444	0.28757	0.0110002	0.1
42	0.5	0.004	0.0001	0.0819138	0.00363836	0.0184707	0.692842	0.162033	1.07437	0.287563	0.0109958	0.1
43	0.5	0.004	0.0001	0.0819138	0.00363696	0.0184155	0.688073	0.161984	1.07431	0.287557	0.0109919	0.1
44	0.5	0.004	0.0001	0.0819137	0.00363576	0.0183677	0.683937	0.16194	1.07425	0.287551	0.0109886	0.1
