Time	[AsIIIex]	[Ycf1]	[Hog1PP]	[Hog1]	[Fps1P]	[Fps1]	[Acr3]	[vAsGS3]	[AsGS3]	[AsIIIin]	[AsIIIProt]	[GSH]
43	861.487	0.013151	0.00876451	0.158235	0.0297803	0.000219654	0.000316038	321.51	1743.29	118.013	196.33	447.701
44	869.307	0.013151	0.0088765	0.158124	0.0297831	0.000216906	0.000316038	324.709	1746.35	119.606	197.247	442.505
45	876.87	0.013151	0.00898457	0.158015	0.0297857	0.000214319	0.000316038	327.823	1749.2	121.144	198.178	437.585
46	884.185	0.013151	0.00908887	0.157911	0.0297881	0.00021188	0.000316038	330.855	1751.84	122.631	199.121	432.923
47	891.26	0.013151	0.00918952	0.15781	0.0297904	0.000209579	0.000316038	333.805	1754.3	124.068	200.076	428.5
48	898.103	0.013151	0.00928666	0.157713	0.0297926	0.000207405	0.000316038	336.674	1756.58	125.456	201.043	424.301
49	904.722	0.013151	0.00938041	0.15762	0.0297947	0.000205349	0.000316038	339.465	1758.71	126.798	202.022	420.313
50	911.124	0.013151	0.0094709	0.157529	0.0297966	0.000203404	0.000316038	342.177	1760.69	128.094	203.011	416.521
51	917.316	0.013151	0.00955824	0.157442	0.0297984	0.000201561	0.000316038	344.814	1762.54	129.347	204.011	412.913
52	923.306	0.013151	0.00964255	0.157357	0.0298002	0.000199813	0.000316038	347.376	1764.27	130.557	205.021	409.479
53	929.098	0.013151	0.00972395	0.157276	0.0298018	0.000198155	0.000316038	349.864	1765.88	131.727	206.041	406.207
54	934.701	0.013151	0.00980253	0.157197	0.0298034	0.000196579	0.000316038	352.282	1767.39	132.858	207.071	403.088
55	940.12	0.013151	0.0098784	0.157122	0.0298049	0.000195082	0.000316038	354.629	1768.8	133.95	208.109	400.114
56	945.362	0.013151	0.00995167	0.157048	0.0298063	0.000193658	0.000316038	356.908	1770.12	135.007	209.157	397.275
57	950.431	0.013151	0.0100224	0.156978	0.0298077	0.000192303	0.000316038	359.121	1771.35	136.027	210.213	394.564
58	955.335	0.013151	0.0100907	0.156909	0.029809	0.000191011	0.000316038	361.268	1772.51	137.014	211.277	391.975
59	960.078	0.013151	0.0101567	0.156843	0.0298102	0.000189781	0.000316038	363.352	1773.6	137.968	212.348	389.499
60	964.665	0.013151	0.0102205	0.15678	0.0298114	0.000188607	0.000316038	365.375	1774.62	138.89	213.428	387.132
61	969.102	0.013151	0.010282	0.156718	0.0298125	0.000187487	0.000316038	367.336	1775.57	139.781	214.514	384.867
62	973.393	0.013151	0.0103415	0.156658	0.0298136	0.000186418	0.000316038	369.239	1776.47	140.643	215.608	382.699
