Time	[EGF]	[EGFR]	[EGF-EGFR]	[EGF-EGFR2]	[pEGF-EGFR2]	[cbl]	[Shc]	[pEGF-EGFR2-Shc]	[SHP]	[pEGF-EGFR2-SHP2]	[pEGF-EGFR2-pShc]	[pShc]	[pShc-SHP2]	[Grb2]	[pEGF-EGFR2-pShc-Grb2]	[pEGF-EGFR2-pShc-Grb2-SHP2]	[SOS]	[pEGF-EGFR2-pShc-Grb2-SOS]	[pEGF-EGFR2-pShc-Grb2-SOS-cbl]	[Grb2-SOS]	[pEGF-EGFR2-Grb2]	[pEGF-EGFR2-Grb2-SHP2]	[pEGF-EGFR2-Grb2-SOS]	[pEGF-EGFR2-Grb2-SOS-cbl]	[Ras-GDP]	[pEGF-EGFR2-pShc-Grb2-SOS-Ras-GDP]	[Ras-GTP]	[pEGF-EGFR2-Grb2-SOS-Ras-GDP]	[Ras-GAP]	[Ras-GTP-Ras-GAP]	[pEGF-EGFR2-Ras-GAP]	[pEGF-EGFR2-Ras-GAP-Ras-GTP]	[pEGF-EGFR2-Ras-GAP-SHP2]	[Raf1]	[Raf1-Ras-GTP]	[Raf1active]	[MEK]	[Raf1active-MEK]	[pMEK]	[Raf1active-pMEK]	[ppMEK]	[ERK]	[ppMEK-ERK]	[pERK]	[ppMEK-pERK]	[ppERK]	[Pase]	[Raf1active-Pase]	[Pase2]	[ppMEK-Pase2]	[pMEK-Pase2]	[Pase3]	[pERK-Pase3]	[ppERK-Pase3]	[ppERK-pEGF-EGFR2-pShc-Grb2-SOS]	[pSOS]	[ppERK-pEGF-EGFR2-Grb2-SOS]	[ProEGFR]	[pEGF-EGFR2-pShc-Grb2-SOS-cbl-EPn]	[EPn]	[pEGF-EGFR2-Grb2-SOS-cbl-EPn]	[pEGF-EGFR2-cbl]	[pEGF-EGFR2-cbl-EPn]	[PI3K]	[pEGF-EGFR2-PI3K]	[pEGF-EGFR2-pPI3K]	[pPI3K]	[TP4]	[TP4-pPI3K]	[TP4-PI3K]	[PIP2]	[pPI3K-PIP2]	[PIP3]	[Akt]	[Aktm]	[PDK1]	[Aktm-PDK1]	[pAktm-PDK1]	[pAktm]	[pAkt]	[pAkt-Takt]	[Akt-Takt]	[Takt]	[pAktm-Takt]	[Aktm-Takt]	[pAktm-PDK1-Takt]	[Aktm-PDK1-Takt]	[pAkt_total]	[pRaf1active]	[STAT3c]	[pEGF-EGFR2-STAT3c]	[pSTAT3c]	[pEGF-EGFR2-pSTAT3c]	[PP1]	[pSTAT3c-PP1]	[pSTAT3c-pSTAT3c-PP1]	[pSTAT3c-pSTAT3c]	[STAT3c-pSTAT3c]	[pSTAT3n-pSTAT3n]	[pSTAT3n]	[PP2]	[pSTAT3n-pSTAT3n-PP2]	[STAT3n-pSTAT3n]	[STAT3n]	[pSTAT3n-PP2]	[pEGF-EGFR2-STAT3c-cbl]	[pEGF-EGFR2-STAT3c-cbl-EPn]	[pEGF-EGFR2-PI3K-cbl]	[pEGF-EGFR2-PI3K-cbl-EPn]
0	0.0081967	0.3	0	0	0	0.8	1	0	0.1	0	0	0	0	1	0	0	0.3	0	0	0	0	0	0	0	0.15	0	0	0	0.1	0	0	0	0	0.5	0	0	0.68	0	0	0	0	0.4	0	0	0	0	0.5	0	0.02	0	0	0.002	0	0	0	0	0	1	0	0.5	0	0	0	0.2	0	0	0	0.2	0	0	0.5	0	0	0.1	0	0.1	0	0	0	0	0	0	0.1	0	0	0	0	0	0	1	0	0	0	0.5	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0
1	9.13668e-07	0.296792	0.007098	0.00023487	7.09503e-06	0.799998	0.999698	0.000247563	0.0999954	1.06392e-06	1.55399e-05	2.22555e-05	1.51858e-06	0.971838	7.54443e-06	1.1205e-06	0.271852	8.01277e-07	5.44007e-08	0.0281358	4.51926e-06	8.68689e-07	4.51853e-07	4.18647e-08	0.149989	5.8927e-06	3.08987e-07	5.13514e-06	0.1	6.66289e-09	3.59176e-08	2.1044e-15	2.17645e-09	0.5	4.57853e-08	8.33364e-10	0.68	2.37309e-10	1.15432e-10	2.35468e-20	4.43878e-21	0.4	1.71125e-22	1.68473e-22	5.99647e-44	1.04158e-44	0.5	4.00734e-09	0.02	7.7091e-23	6.54287e-14	0.002	9.29051e-26	4.19089e-48	1.98044e-51	3.60782e-54	1.15937e-51	0.995012	2.79009e-08	0.499999	3.16255e-08	7.9795e-07	7.95114e-07	0.199989	5.67855e-07	1.03917e-05	1.87487e-08	0.2	1.10104e-09	9.20444e-08	0.5	7.72268e-09	9.87999e-09	0.09999	1.51412e-09	0.1	1.08725e-10	2.13912e-10	3.02822e-12	4.15876e-13	4.83731e-14	9.994e-06	0.09999	4.08449e-13	4.12233e-14	3.36849e-11	2.57376e-13	3.4441e-12	1.12348e-22	0.999996	2.95545e-06	5.22985e-07	4.58961e-12	0.5	8.21873e-08	8.23875e-14	1.02105e-12	3.28976e-11	7.72942e-16	2.01787e-17	0.6	6.32694e-17	3.71994e-20	1.5341e-21	1.43023e-18	3.16679e-07	2.87927e-07	6.27778e-08	6.03657e-08
2	7.87431e-07	0.301754	0.00622389	0.000218577	9.69001e-06	0.799991	0.99917	0.000541776	0.0999695	2.83152e-06	3.83658e-05	0.000134433	1.9803e-05	0.946946	2.70688e-05	5.96256e-06	0.246989	3.34702e-06	3.83822e-07	0.0529251	7.74939e-06	1.91289e-06	8.80144e-07	1.20316e-07	0.149914	5.85657e-05	4.34826e-06	2.16839e-05	0.0999998	1.17246e-07	1.01071e-07	1.10884e-13	8.5282e-09	0.499998	1.25868e-06	2.56262e-08	0.68	1.14754e-08	1.2668e-08	1.47927e-16	6.09088e-17	0.4	3.22727e-18	7.14976e-18	6.67545e-35	2.63803e-35	0.5	2.34427e-07	0.02	2.22593e-18	1.49242e-11	0.002	8.3635e-21	2.33291e-38	4.68934e-41	1.56474e-43	1.26193e-41	0.99005	5.05064e-07	0.499994	2.24548e-07	1.48879e-06	3.5353e-06	0.199965	7.85503e-07	3.37836e-05	5.7161e-08	0.2	6.41089e-09	1.85932e-07	0.5	2.44351e-08	3.36506e-08	0.09998	6.95539e-09	0.1	5.80342e-10	2.52755e-09	6.91534e-11	2.1254e-11	5.24608e-12	1.9976e-05	0.09998	1.98379e-11	7.61979e-13	8.30323e-10	1.5671e-11	9.04074e-11	1.96686e-19	0.999992	4.19143e-06	1.53505e-06	4.01048e-11	0.499999	5.38004e-07	3.62411e-12	1.93615e-11	2.1553e-10	3.16361e-14	1.80185e-15	0.6	5.93554e-15	7.86078e-18	7.19187e-19	2.89275e-16	6.34638e-07	1.43567e-06	1.20056e-07	2.80024e-07
3	6.89522e-07	0.306692	0.00554216	0.000184017	1.06499e-05	0.799983	0.998641	0.000711106	0.099915	4.33754e-06	5.13525e-05	0.000301272	6.76792e-05	0.924856	4.22008e-05	1.05063e-05	0.224921	5.98096e-06	8.42901e-07	0.0748597	9.37561e-06	2.45452e-06	1.19531e-06	1.88248e-07	0.149767	0.00016593	1.64652e-05	4.30287e-05	0.0999993	4.79786e-07	1.63349e-07	7.52937e-13	1.54658e-08	0.499991	6.81871e-06	1.46688e-07	0.68	7.98133e-08	1.46207e-07	1.3389e-14	8.88765e-15	0.4	5.33059e-16	1.93889e-15	3.64085e-30	2.33696e-30	0.499998	1.87716e-06	0.02	4.9884e-16	2.61089e-10	0.002	3.49883e-18	3.2435e-33	1.16461e-35	5.99741e-38	2.36894e-36	0.985112	1.91593e-06	0.499987	5.73018e-07	1.87287e-06	7.24069e-06	0.199936	8.66406e-07	6.18663e-05	9.87264e-08	0.2	1.52851e-08	2.84109e-07	0.5	4.26709e-08	6.01001e-08	0.09997	1.36305e-08	0.1	1.18333e-09	7.89288e-09	2.94387e-10	1.40824e-10	5.06077e-11	2.99461e-05	0.09997	1.21828e-10	4.8335e-12	3.65138e-09	1.1768e-10	4.35211e-10	8.22672e-18	0.999988	4.6522e-06	2.49219e-06	1.08255e-10	0.499999	1.36266e-06	2.37135e-11	7.8038e-11	5.46382e-10	1.93433e-13	1.7013e-14	0.6	5.87182e-14	1.24542e-16	1.81128e-17	4.39571e-15	8.10818e-07	3.03871e-06	1.51859e-07	5.80421e-07
4	6.11427e-07	0.311605	0.00499533	0.000156362	1.08047e-05	0.799973	0.998155	0.000785961	0.0998376	5.40201e-06	5.67191e-05	0.000475332	0.000140853	0.905185	5.115e-05	1.33737e-05	0.205262	8.30377e-06	1.31257e-06	0.0943475	1.01967e-05	2.72994e-06	1.45141e-06	2.49621e-07	0.149567	0.000307724	3.81567e-05	6.57557e-05	0.0999986	1.15358e-06	2.13911e-07	2.40503e-12	2.1411e-08	0.499973	1.97822e-05	4.41052e-07	0.679999	2.66443e-07	7.08537e-07	2.36342e-13	2.22664e-13	0.4	1.42433e-14	7.4585e-14	4.3279e-27	4.00056e-27	0.499993	6.95469e-06	0.02	1.68105e-14	1.67925e-09	0.002	1.81798e-16	7.69491e-30	3.82159e-32	2.77155e-34	6.77757e-33	0.980199	4.30571e-06	0.499978	1.04067e-06	2.10447e-06	1.13005e-05	0.199906	8.806e-07	9.14334e-05	1.37648e-07	0.2	2.59851e-08	3.88179e-07	0.5	5.98059e-08	8.51526e-08	0.09996	2.01652e-08	0.1	1.78114e-09	1.5959e-08	7.18852e-10	4.65686e-10	2.09466e-10	3.99042e-05	0.0999601	3.68378e-10	1.80803e-11	8.96519e-09	4.22624e-10	1.18454e-09	8.81618e-17	0.999984	4.74197e-06	3.30118e-06	1.90565e-10	0.499998	2.43513e-06	7.72842e-11	1.81475e-10	9.77323e-10	5.93304e-13	7.0137e-14	0.6	2.52416e-13	7.45904e-16	1.50829e-16	2.53388e-14	9.16511e-07	4.81265e-06	1.71018e-07	9.1074e-07
5	5.47755e-07	0.316494	0.00454693	0.000134974	1.04987e-05	0.799962	0.997726	0.000801224	0.0997483	6.03923e-06	5.7453e-05	0.000631607	0.000227858	0.887611	5.55912e-05	1.48788e-05	0.187695	1.03147e-05	1.76958e-06	0.111728	1.0521e-05	2.84958e-06	1.6658e-06	3.07485e-07	0.149333	0.000465898	6.90872e-05	8.81941e-05	0.0999976	2.13253e-06	2.50597e-07	5.25556e-12	2.59019e-08	0.499939	4.17079e-05	9.5392e-07	0.679997	6.13815e-07	2.19353e-06	1.79692e-12	2.23254e-12	0.4	1.48402e-13	1.03737e-12	6.89605e-25	8.51178e-25	0.499983	1.73108e-05	0.02	2.10078e-13	6.39852e-09	0.002	3.16554e-15	2.09418e-27	1.29384e-29	1.2243e-31	2.11177e-30	0.97531	7.56835e-06	0.499968	1.60473e-06	2.24733e-06	1.54053e-05	0.199876	8.56689e-07	0.000120768	1.7136e-07	0.199999	3.70275e-08	4.98766e-07	0.5	7.46823e-08	1.07023e-07	0.0999501	2.59818e-08	0.1	2.31704e-09	2.6145e-08	1.3432e-09	1.09872e-09	5.72925e-10	4.98503e-05	0.0999501	7.90412e-10	4.85771e-11	1.66151e-08	1.05268e-09	2.44191e-09	4.75361e-16	0.99998	4.6204e-06	3.96244e-06	2.69585e-10	0.499996	3.64145e-06	1.76818e-10	3.21638e-10	1.46291e-09	1.28816e-12	1.89911e-13	0.6	7.08571e-13	2.70026e-15	7.05939e-16	8.86588e-14	9.81704e-07	6.61462e-06	1.82852e-07	1.24533e-06
6	4.94905e-07	0.321358	0.00417259	0.000117962	9.93502e-06	0.799951	0.997359	0.00078081	0.0996578	6.32299e-06	5.55426e-05	0.000760276	0.000317512	0.871862	5.70466e-05	1.54628e-05	0.171947	1.20578e-05	2.21328e-06	0.127285	1.05174e-05	2.86823e-06	1.84725e-06	3.62994e-07	0.149078	0.000628234	0.000108149	0.000109447	0.0999963	3.38232e-06	2.7402e-07	9.17062e-12	2.89132e-08	0.49989	7.27877e-05	1.69686e-06	0.679994	1.13785e-06	5.19518e-06	8.27544e-12	1.29249e-11	0.4	8.8092e-13	7.8237e-12	3.32157e-23	5.20451e-23	0.499966	3.40115e-05	0.02	1.44262e-12	1.77693e-08	0.002	2.84539e-14	1.56152e-25	1.12449e-27	1.34206e-29	1.73807e-28	0.970446	1.15876e-05	0.499957	2.24918e-06	2.33396e-06	1.93824e-05	0.199848	8.11419e-07	0.000148889	1.98859e-07	0.199999	4.73837e-08	6.15745e-07	0.5	8.68412e-08	1.2499e-07	0.0999401	3.08349e-08	0.0999999	2.76669e-09	3.7835e-08	2.14623e-09	2.12767e-09	1.23136e-09	5.97846e-05	0.0999402	1.3906e-09	1.05157e-10	2.61697e-08	2.11414e-09	4.2739e-09	1.70503e-15	0.999977	4.37997e-06	4.4978e-06	3.34596e-10	0.499995	4.89498e-06	3.27898e-10	4.87468e-10	1.96851e-09	2.28658e-12	4.01329e-13	0.6	1.54269e-12	7.21296e-15	2.32902e-15	2.29941e-13	1.02132e-06	8.36529e-06	1.90053e-07	1.56989e-06
7	4.50378e-07	0.326198	0.00385533	0.000104063	9.24228e-06	0.799939	0.997055	0.000740252	0.0995738	6.33973e-06	5.22248e-05	0.000859367	0.000401555	0.857707	5.65828e-05	1.54518e-05	0.157792	1.35738e-05	2.64595e-06	0.141254	1.02986e-05	2.82071e-06	2.00187e-06	4.16742e-07	0.148813	0.000787042	0.000153943	0.000129056	0.0999948	4.85787e-06	2.86002e-07	1.38075e-11	3.0608e-08	0.499826	0.000112326	2.65748e-06	0.679988	1.83372e-06	1.03235e-05	2.74859e-11	5.2181e-11	0.4	3.61878e-12	3.94304e-11	7.26361e-22	1.39875e-21	0.499943	5.73013e-05	0.02	6.67405e-12	4.00416e-08	0.002	1.65142e-13	4.94693e-24	3.99147e-26	5.81944e-28	5.93428e-27	0.965605	1.62619e-05	0.499946	2.96147e-06	2.3846e-06	2.31366e-05	0.199821	7.55408e-07	0.00017527	2.20024e-07	0.199999	5.64368e-08	7.38506e-07	0.5	9.62198e-08	1.38927e-07	0.0999302	3.46587e-08	0.0999999	3.12293e-09	5.04418e-08	3.0944e-09	3.6198e-09	2.26337e-09	6.97069e-05	0.0999302	2.15187e-09	1.96236e-10	3.71044e-08	3.6888e-09	6.7142e-09	4.6808e-15	0.999974	4.07924e-06	4.93211e-06	3.81281e-10	0.499994	6.13592e-06	5.30346e-10	6.69448e-10	2.47015e-09	3.57014e-12	7.22942e-13	0.6	2.84498e-12	1.57555e-14	6.0886e-15	4.89944e-13	1.04457e-06	1.00207e-05	1.94288e-07	1.87654e-06
8	4.12389e-07	0.331014	0.00358302	9.24751e-05	8.50185e-06	0.799927	0.996809	0.000689505	0.0995011	6.16909e-06	4.82589e-05	0.000930607	0.000474903	0.844951	5.49224e-05	1.5068e-05	0.145033	1.48973e-05	3.06978e-06	0.153836	9.94372e-06	2.73112e-06	2.13432e-06	4.6912e-07	0.148545	0.000937764	0.000205014	0.000146833	0.0999932	6.51146e-06	2.88761e-07	1.87467e-11	3.12196e-08	0.499748	0.000159146	3.80925e-06	0.679979	2.68361e-06	1.81458e-05	7.27449e-11	1.6376e-10	0.4	1.15011e-11	1.49787e-10	9.17548e-21	2.10682e-20	0.499913	8.68028e-05	0.0199999	2.34037e-11	7.79107e-08	0.002	7.04432e-13	8.52023e-23	7.51239e-25	1.29686e-26	1.08426e-25	0.960789	2.15046e-05	0.499934	3.73137e-06	2.41256e-06	2.66208e-05	0.199796	6.95368e-07	0.000199672	2.35233e-07	0.199999	6.38862e-08	8.66173e-07	0.5	1.02978e-07	1.49048e-07	0.0999202	3.74884e-08	0.0999999	3.38832e-09	6.34425e-08	4.1485e-09	5.61973e-09	3.72982e-09	7.96175e-05	0.0999203	3.04512e-09	3.29035e-10	4.88943e-08	5.83186e-09	9.76823e-09	1.06517e-14	0.999971	3.75529e-06	5.28747e-06	4.09675e-10	0.499993	7.32617e-06	7.80344e-10	8.60804e-10	2.95251e-09	5.11149e-12	1.16773e-12	0.6	4.67579e-12	2.98712e-14	1.35002e-14	9.10292e-13	1.05748e-06	1.15588e-05	1.96656e-07	2.16136e-06
9	3.79625e-07	0.335806	0.00334672	8.26672e-05	7.7638e-06	0.799915	0.996617	0.000634853	0.0994419	5.8768e-06	4.41034e-05	0.00097728	0.000535065	0.833427	5.25538e-05	1.44611e-05	0.133506	1.60565e-05	3.48653e-06	0.165199	9.50822e-06	2.61631e-06	2.24826e-06	5.20412e-07	0.148279	0.00107795	0.000259965	0.000162751	0.0999914	8.29706e-06	2.84487e-07	2.35919e-11	3.09913e-08	0.499658	0.000211865	5.1188e-06	0.679967	3.66293e-06	2.91537e-05	1.63174e-10	4.27395e-10	0.4	3.03034e-11	4.62333e-10	7.71426e-20	2.07488e-19	0.499878	0.000121752	0.0199999	6.69652e-11	1.36086e-07	0.002	2.39538e-12	9.41921e-22	8.91577e-24	1.78987e-25	1.25687e-24	0.955997	2.72423e-05	0.499923	4.55046e-06	2.42664e-06	2.98186e-05	0.199773	6.35431e-07	0.000222034	2.45119e-07	0.199999	6.96511e-08	9.97759e-07	0.5	1.07391e-07	1.55739e-07	0.0999103	3.94139e-08	0.0999999	3.57072e-09	7.63959e-08	5.26849e-09	8.14981e-09	5.67138e-09	8.95162e-05	0.0999104	4.03538e-09	5.09153e-10	6.10614e-08	8.57329e-09	1.34183e-08	2.11102e-14	0.999968	3.43097e-06	5.58182e-06	4.22159e-10	0.499992	8.44369e-06	1.07231e-09	1.05722e-09	3.40663e-09	6.88434e-12	1.74506e-12	0.6	7.06946e-12	5.1034e-14	2.6501e-14	1.53083e-12	1.06405e-06	1.29715e-05	1.9788e-07	2.42294e-06
