Time	[_5mTHF]	[THF]	[DHF]	[_5_10_CH2THF]	[_5_10_CHTHF]	[_10fTHF]	[Ser]	[Gly]	[dUMP]	[GAR]	[AICAR]	[HCOOH]	[NADPH]	[Hcy]
60	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
61	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
62	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
63	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
64	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
65	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
66	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
67	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
68	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
69	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
70	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
71	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
72	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
73	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
74	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
75	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
76	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
77	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
78	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
79	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
80	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
81	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
82	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
83	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
84	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
85	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
86	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
87	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
88	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
89	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
90	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
91	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
92	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
93	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
94	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
95	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
96	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
97	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
98	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
99	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
100	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
