Time	[AA]	[5-HPETE]	[5-HETE]	[LTA4]	[LTB4]	[w-LTB4]	[PLA2]	[15-LOX]	[12-LOX]	[COX-2]	[PGES]	[15-HPETE]	[TXAS]	[5-LOX]	[LTA4H]	[CYP4F3]	[PHGPx]	[exo-AA]	[15-HETE]	[12-HPETE]	[12-HETE]	[PGH2]	[PGE2]	[TXA2]	[TXB2]
20	0.45767	0.043725	11.4871	2.05495	5.42349	84.5288	1.5	3.9471	1.48335e-33	0.2	0.5	7.7728	-1.99134e-17	0.0515905	0.0059439	0.07	0.8	0	346.024	-4.87176e-28	0.263521	1.56015	22.249	1.11629	3.85356
21	0.447144	0.0352156	11.6952	1.87466	4.65195	85.3131	1.5	4.05707	-2.32945e-34	0.2	0.5	7.99826	-2.25726e-19	0.0441208	0.00545068	0.07	0.8	0	367.138	2.85361e-29	0.263521	1.56727	23.2637	1.01006	3.95588
22	0.437096	0.0281036	11.8595	1.70897	3.99074	85.9846	1.5	4.16596	-1.65603e-32	0.2	0.5	8.22024	2.16541e-19	0.0373655	0.00503352	0.07	0.8	0	388.127	-8.66501e-30	0.263521	1.57368	24.2377	0.913938	4.048
23	0.427507	0.0222853	11.9875	1.55757	3.42362	86.5602	1.5	4.27376	-2.31487e-33	0.2	0.5	8.4388	1.63492e-19	0.0314273	0.00467867	0.07	0.8	0	408.983	1.42714e-30	0.263521	1.57934	25.1742	0.826965	4.13088
24	0.418359	0.0175994	12.0863	1.41977	2.93696	87.054	1.5	4.38049	5.2362e-34	0.2	0.5	8.65419	6.38929e-20	0.026309	0.00437512	0.07	0.8	0	429.697	7.40641e-30	0.263521	1.58429	26.0758	0.748269	4.20541
25	0.409639	0.0138673	12.1615	1.29463	2.51926	87.478	1.5	4.48615	1.14519e-34	0.2	0.5	8.86667	-8.00572e-21	0.0219578	0.00411403	0.07	0.8	0	450.263	-2.59157e-30	0.263521	1.58861	26.9453	0.677062	4.27238
26	0.401329	0.0109179	12.2181	1.18112	2.16077	87.8421	1.5	4.59077	-4.53899e-34	0.2	0.5	9.07652	1.95873e-20	0.0182944	0.00388828	0.07	0.8	0	470.677	1.34451e-30	0.263521	1.59236	27.7847	0.612631	4.3325
27	0.393412	0.00859877	12.26	1.0782	1.85315	88.1549	1.5	4.69434	2.32673e-34	0.2	0.5	9.28399	-1.47932e-20	0.0152306	0.00369211	0.07	0.8	0	490.936	-4.34404e-31	0.263521	1.59562	28.5961	0.554331	4.38644
28	0.385869	0.00678057	12.2904	0.98485	1.58925	88.4237	1.5	4.79688	3.63407e-33	0.2	0.5	9.48931	8.37845e-21	0.01268	0.00352087	0.07	0.8	0	511.036	-8.73307e-32	0.263521	1.59845	29.3815	0.50158	4.43478
29	0.378681	0.00535698	12.3118	0.900131	1.36293	88.6546	1.5	4.89841	-1.08726e-32	0.2	0.5	9.69263	-1.04466e-20	0.0105626	0.00337074	0.07	0.8	0	530.977	3.83104e-31	0.263521	1.60091	30.1424	0.453848	4.47806
30	0.371828	0.00424239	12.3261	0.823182	1.16889	88.853	1.5	4.99892	-1.08829e-32	0.2	0.5	9.89411	-1.85432e-21	0.00880756	0.00323859	0.07	0.8	0	550.758	1.02404e-31	0.263521	1.60305	30.8804	0.410659	4.51675
31	0.365291	0.0033689	12.3349	0.753229	1.0026	89.0235	1.5	5.09843	2.14585e-36	0.2	0.5	10.0939	-1.13883e-23	0.00735385	0.00312184	0.07	0.8	0	570.378	7.16342e-34	0.263521	1.60492	31.597	0.371579	4.55129
32	0.359052	0.00268318	12.3394	0.689575	0.860114	89.17	1.5	5.19695	-5.87636e-35	0.2	0.5	10.292	-3.52291e-24	0.00614949	0.00301835	0.07	0.8	0	589.837	5.21995e-35	0.263521	1.60654	32.2934	0.336219	4.58209
33	0.353093	0.00214365	12.3404	0.631601	0.738058	89.2959	1.5	5.29449	-3.46527e-35	0.2	0.5	10.4885	-1.644e-27	0.00515097	0.00292633	0.07	0.8	0	609.135	-1.81138e-34	0.263521	1.60795	32.9708	0.304224	4.60949
34	0.347397	0.001718	12.3388	0.578753	0.633521	89.4042	1.5	5.39107	-4.22734e-35	0.2	0.5	10.6835	3.34804e-25	0.00432212	0.00284428	0.07	0.8	0	628.272	-7.53518e-35	0.263521	1.60918	33.6303	0.275273	4.63382
35	0.341948	0.00138119	12.3351	0.530539	0.544	89.4973	1.5	5.48668	-3.23421e-35	0.2	0.5	10.877	1.1209e-25	0.00363304	0.00277092	0.07	0.8	0	647.25	3.66631e-35	0.263521	1.61024	34.2729	0.249077	4.65537
36	0.336732	0.00111383	12.3297	0.486517	0.467341	89.5774	1.5	5.58134	-1.12749e-35	0.2	0.5	11.069	2.95903e-25	0.00305916	0.00270518	0.07	0.8	0	666.068	3.38848e-35	0.263521	1.61116	34.8995	0.225374	4.6744
37	0.331735	0.000900908	12.3229	0.446296	0.401696	89.6463	1.5	5.67505	7.81958e-37	0.2	0.5	11.2596	-5.91749e-26	0.00258029	0.00264614	0.07	0.8	0	684.727	-6.88913e-35	0.263521	1.61194	35.511	0.203927	4.69117
38	0.326944	0.000730776	12.3151	0.409523	0.345478	89.7056	1.5	5.76784	2.16796e-36	0.2	0.5	11.4488	1.70327e-25	0.0021799	0.002593	0.07	0.8	0	703.229	6.7232e-36	0.263521	1.6126	36.1082	0.184521	4.70588
