Time	[CaI]	[IP3]	[CaS]	[g]
0	0.1	0.05	1100	0
1	7.89244	0.107438	1092.21	-0.0199889
2	11.6181	0.155421	1088.48	-0.0398869
3	16.1738	0.193345	1083.93	-0.0594929
4	24.992	0.237592	1075.11	-0.0776283
5	52.69	0.319113	1047.41	-0.0743159
6	131.931	0.484402	968.169	0.58418
7	125.63	0.601519	974.47	0.979779
8	92.9436	0.607246	1007.16	0.98351
9	62.8504	0.553557	1037.25	0.971448
10	36.8876	0.465173	1063.21	0.953796
11	16.7348	0.352683	1083.37	0.934109
12	7.76561	0.248401	1092.33	0.914125
13	5.03521	0.184532	1095.06	0.894127
14	4.08032	0.152187	1096.02	0.874127
15	3.78196	0.137184	1096.32	0.854128
16	3.77963	0.131024	1096.32	0.834128
17	3.91897	0.129281	1096.18	0.814128
18	4.12609	0.129719	1095.97	0.794129
19	4.36507	0.131219	1095.73	0.774129
20	4.61889	0.133225	1095.48	0.75413
21	4.87994	0.135469	1095.22	0.734132
22	5.14516	0.137823	1094.95	0.714133
23	5.41373	0.140229	1094.69	0.694136
24	5.68589	0.142668	1094.41	0.674139
25	5.96243	0.145132	1094.14	0.654143
26	6.24447	0.147627	1093.86	0.634148
27	6.53338	0.15016	1093.57	0.614154
28	6.83069	0.152742	1093.27	0.594162
29	7.13822	0.155385	1092.96	0.574172
30	7.45807	0.158104	1092.64	0.554184
31	7.79274	0.160917	1092.31	0.5342
32	8.14524	0.163843	1091.95	0.514219
33	8.51934	0.166908	1091.58	0.494243
34	8.91977	0.170141	1091.18	0.474272
35	9.35268	0.17358	1090.75	0.45431
36	9.82629	0.177275	1090.27	0.434357
37	10.3519	0.181291	1089.75	0.414416
38	10.9456	0.185718	1089.15	0.394493
39	11.6313	0.190683	1088.47	0.374593
40	12.4465	0.19638	1087.65	0.354726
41	13.4539	0.203109	1086.65	0.33491
42	14.7671	0.211379	1085.33	0.315177
43	16.6156	0.222124	1083.48	0.295595
44	19.5347	0.237267	1080.57	0.276346
45	25.0411	0.261364	1075.06	0.258105
46	38.5142	0.306842	1061.59	0.245373
47	79.3796	0.403869	1020.72	0.312741
48	129.284	0.54477	970.816	0.858546
49	109.685	0.605912	990.415	0.976147
50	79.8916	0.585825	1020.21	0.975063
51	52.7165	0.520532	1047.38	0.961142
52	29.1585	0.425775	1070.94	0.942565
53	12.7563	0.313743	1087.34	0.922702
54	6.66647	0.223399	1093.43	0.902709
55	4.71591	0.172098	1095.38	0.88271
56	4.02323	0.146748	1096.08	0.862711
57	3.83836	0.135278	1096.26	0.842711
58	3.88906	0.130858	1096.21	0.822712
59	4.05295	0.12996	1096.05	0.802712
60	4.27094	0.130799	1095.83	0.782713
61	4.51452	0.132483	1095.59	0.762713
62	4.77035	0.134569	1095.33	0.742715
63	5.03257	0.136847	1095.07	0.722716
64	5.29897	0.139214	1094.8	0.702718
65	5.56911	0.14163	1094.53	0.682721
66	5.84343	0.144078	1094.26	0.662724
67	6.12284	0.146556	1093.98	0.642729
68	6.40855	0.14907	1093.69	0.622735
69	6.70201	0.151628	1093.4	0.602742
70	7.0049	0.154243	1093.1	0.582751
71	7.31916	0.156927	1092.78	0.562762
72	7.64713	0.159697	1092.45	0.542776
73	7.99156	0.162572	1092.11	0.522793
74	8.35587	0.165574	1091.74	0.502815
75	8.74434	0.168731	1091.36	0.482842
76	9.16244	0.172076	1090.94	0.462876
77	9.61741	0.175654	1090.48	0.442919
78	10.1191	0.179523	1089.98	0.422973
79	10.6811	0.18376	1089.42	0.403041
80	11.3237	0.188476	1088.78	0.38313
81	12.0775	0.19383	1088.02	0.363248
82	12.9924	0.200069	1087.11	0.343407
83	14.1553	0.207595	1085.94	0.323632
84	15.7333	0.21712	1084.37	0.303973
85	18.0912	0.230032	1082.01	0.284544
86	22.173	0.249417	1077.93	0.265711
87	31.0239	0.283261	1069.08	0.249281
88	56.3386	0.353439	1043.76	0.25539
89	117.185	0.487159	982.915	0.609084
90	121.526	0.592326	978.574	0.961528
91	92.5523	0.601574	1007.55	0.978131
92	63.9453	0.552698	1036.15	0.967965
93	38.7716	0.469604	1061.33	0.950839
94	18.4074	0.362001	1081.69	0.931268
95	8.4265	0.257147	1091.67	0.911292
96	5.31696	0.190032	1094.78	0.891294
97	4.23256	0.155359	1095.87	0.871294
98	3.87802	0.139037	1096.22	0.851295
99	3.84829	0.132171	1096.25	0.831295
100	3.97348	0.130056	1096.13	0.811296
