Time	[PFKL]	[FBPase]	[F6P]	[PEP]	[Isocitrate]	[2-oxoglutarate]	[Malate]	[Citrate]	[sa4_degraded]	[ALDO]	[pPFKL]	[sa8_degraded]	[sa7_degraded]	[sa5_degraded]	[sa6_degraded]	[sa9_degraded]	[sa13_degraded]	[sa3_degraded]	[sa10_degraded]	[F6P_proxy]
27	1	1	10.6033	182.805	1.35294	22.8507	98.9442	27.3756	24.3856	1	1.11442	-30.0654	2.33789	-74.7109	0.441931	-0.53662	-0.345481	3.47412	-9.62794	10.6033
28	1	1	10.4374	179.185	1.38461	23.0769	100.151	27.7526	25.3564	1	1.12115	-31.272	2.11164	-71.091	0.410257	-0.504019	-0.352211	3.64003	-10.005	10.4374
29	1	1	10.2715	175.566	1.41629	23.3031	101.357	28.1297	26.3295	1	1.12788	-32.4786	1.8854	-67.4711	0.378583	-0.471417	-0.358942	3.80594	-10.3821	10.2715
30	1	1	10.1056	171.946	1.44796	23.5294	102.564	28.5068	27.3046	1	1.13461	-33.6853	1.65915	-63.8512	0.346908	-0.438816	-0.365672	3.97186	-10.7592	10.1056
31	1	1	10.176	171.644	1.47964	23.8989	103.067	28.8135	28.2815	1	1.14134	-34.188	1.28962	-63.5495	0.315234	-0.43576	-0.372403	3.90147	-11.0659	10.176
32	1	1	10.2463	171.342	1.51131	24.2684	103.57	29.1202	29.2599	1	1.14807	-34.6908	0.92009	-63.2478	0.28356	-0.432705	-0.379134	3.83108	-11.3725	10.2463
33	1	1	10.3167	171.041	1.54299	24.638	104.072	29.4268	30.2396	1	1.1548	-35.1936	0.550558	-62.9462	0.251886	-0.429649	-0.385864	3.76069	-11.6792	10.3167
34	1	1	10.3871	170.739	1.57466	25.0075	104.575	29.7335	31.2203	1	1.16153	-35.6963	0.181026	-62.6445	0.220212	-0.426593	-0.392595	3.69031	-11.9859	10.3871
35	1	1	10.4575	170.437	1.60633	25.377	105.078	30.0402	32.2016	1	1.16826	-36.1991	-0.188506	-62.3429	0.188537	-0.423538	-0.399325	3.61992	-12.2926	10.4575
36	1	1	10.5279	170.136	1.63801	25.7466	105.581	30.3469	33.1832	1	1.175	-36.7019	-0.558038	-62.0412	0.156863	-0.420482	-0.406056	3.54953	-12.5993	10.5279
37	1	1	10.5983	169.834	1.66968	26.1161	106.083	30.6536	34.165	1	1.18173	-37.2046	-0.92757	-61.7395	0.125189	-0.417426	-0.412787	3.47915	-12.906	10.5983
38	1	1	10.6687	169.532	1.70136	26.4856	106.586	30.9603	35.1466	1	1.18846	-37.7074	-1.2971	-61.4379	0.0935148	-0.414371	-0.419517	3.40876	-13.2127	10.6687
39	1	1	10.7391	169.231	1.73303	26.8552	107.089	31.267	36.1278	1	1.19519	-38.2102	-1.66663	-61.1362	0.0618406	-0.411315	-0.426248	3.33837	-13.5193	10.7391
40	1	1	10.8094	168.929	1.76471	27.2247	107.592	31.5736	37.1083	1	1.20192	-38.7129	-2.03617	-60.8346	0.0301664	-0.40826	-0.432978	3.26799	-13.826	10.8094
41	1	1	10.8798	168.627	1.79638	27.5942	108.095	31.8803	38.0879	1	1.20865	-39.2157	-2.4057	-60.5329	-0.00150779	-0.405204	-0.439709	3.1976	-14.1327	10.8798
42	1	1	10.9502	168.326	1.82805	27.9638	108.597	32.187	39.0662	1	1.21538	-39.7185	-2.77523	-60.2312	-0.033182	-0.402148	-0.44644	3.12721	-14.4394	10.9502
43	1	1	11.0206	168.024	1.85973	28.3333	109.1	32.4937	40.0431	1	1.22211	-40.2212	-3.14476	-59.9296	-0.0648562	-0.399093	-0.45317	3.05682	-14.7461	11.0206
44	1	1	11.091	167.722	1.8914	28.7028	109.603	32.8004	41.0183	1	1.22884	-40.724	-3.51429	-59.6279	-0.0965304	-0.396037	-0.459901	2.98644	-15.0528	11.091
45	1	1	11.1614	167.421	1.92308	29.0724	110.106	33.1071	41.9916	1	1.23557	-41.2268	-3.88383	-59.3263	-0.128205	-0.392981	-0.466631	2.91605	-15.3595	11.1614
46	1	1	11.2318	167.119	1.95475	29.4419	110.608	33.4138	42.9626	1	1.2423	-41.7295	-4.25336	-59.0246	-0.159879	-0.389926	-0.473362	2.84566	-15.6662	11.2318
47	1	1	11.3022	166.817	1.98642	29.8114	111.111	33.7205	43.9312	1	1.24903	-42.2323	-4.62289	-58.7229	-0.191553	-0.38687	-0.480093	2.77528	-15.9728	11.3022
48	1	1	11.3725	166.516	2.0181	30.181	111.614	34.0271	44.8972	1	1.25576	-42.735	-4.99242	-58.4213	-0.223227	-0.383814	-0.486823	2.70489	-16.2795	11.3725
49	1	1	11.4429	166.214	2.04977	30.5505	112.117	34.3338	45.8602	1	1.26249	-43.2378	-5.36195	-58.1196	-0.254901	-0.380759	-0.493554	2.6345	-16.5862	11.4429
50	1	1	11.5133	165.912	2.08145	30.92	112.619	34.6405	46.8201	1	1.26922	-43.7406	-5.73149	-57.818	-0.286576	-0.377703	-0.500284	2.56411	-16.8929	11.5133
51	1	1	11.5837	165.611	2.11312	31.2896	113.122	34.9472	47.7767	1	1.27595	-44.2433	-6.10102	-57.5163	-0.31825	-0.374648	-0.507015	2.49373	-17.1996	11.5837
52	1	1	11.6541	165.309	2.1448	31.6591	113.625	35.2539	48.7296	1	1.28269	-44.7461	-6.47055	-57.2147	-0.349924	-0.371592	-0.513746	2.42334	-17.5063	11.6541
53	1	1	11.7245	165.008	2.17647	32.0286	114.128	35.5606	49.6787	1	1.28942	-45.2489	-6.84008	-56.913	-0.381598	-0.368536	-0.520476	2.35295	-17.813	11.7245
54	1	1	11.7949	164.706	2.20814	32.3982	114.63	35.8673	50.6239	1	1.29615	-45.7516	-7.20961	-56.6113	-0.413272	-0.365481	-0.527207	2.28257	-18.1197	11.7949
55	1	1	11.8652	164.404	2.23982	32.7677	115.133	36.174	51.5647	1	1.30288	-46.2544	-7.57915	-56.3097	-0.444947	-0.362425	-0.533937	2.21218	-18.4263	11.8652
56	1	1	11.9356	164.103	2.27149	33.1372	115.636	36.4806	52.5011	1	1.30961	-46.7572	-7.94868	-56.008	-0.476621	-0.359369	-0.540668	2.14179	-18.733	11.9356
57	1	1	12.006	163.801	2.30317	33.5067	116.139	36.7873	53.4329	1	1.31634	-47.2599	-8.31821	-55.7064	-0.508295	-0.356314	-0.547399	2.0714	-19.0397	12.006
58	1	1	12.0764	163.499	2.33484	33.8763	116.642	37.094	54.3597	1	1.32307	-47.7627	-8.68774	-55.4047	-0.539969	-0.353258	-0.554129	2.00102	-19.3464	12.0764
59	1	1	12.1468	163.198	2.36652	34.2458	117.144	37.4007	55.2815	1	1.3298	-48.2655	-9.05727	-55.103	-0.571643	-0.350203	-0.56086	1.93063	-19.6531	12.1468
60	1	1	12.2172	162.896	2.39819	34.6153	117.647	37.7074	56.198	1	1.33653	-48.7682	-9.42681	-54.8014	-0.603318	-0.347147	-0.56759	1.86024	-19.9598	12.2172
61	1	1	12.2876	162.594	2.42986	34.9849	118.15	38.0141	57.1091	1	1.34326	-49.271	-9.79634	-54.4997	-0.634992	-0.344091	-0.574321	1.78986	-20.2665	12.2876
62	1	1	12.358	162.293	2.46154	35.3544	118.653	38.3208	58.0144	1	1.34999	-49.7738	-10.1659	-54.1981	-0.666666	-0.341036	-0.581052	1.71947	-20.5732	12.358
63	1	1	12.4283	161.991	2.49321	35.7239	119.155	38.6274	58.9139	1	1.35672	-50.2765	-10.5354	-53.8964	-0.69834	-0.33798	-0.587782	1.64908	-20.8798	12.4283
64	1	1	12.4987	161.689	2.52489	36.0935	119.658	38.9341	59.8074	1	1.36345	-50.7793	-10.9049	-53.5947	-0.730014	-0.334924	-0.594513	1.57869	-21.1865	12.4987
65	1	1	12.5691	161.388	2.55656	36.463	120.161	39.2408	60.6945	1	1.37018	-51.2821	-11.2745	-53.2931	-0.761689	-0.331869	-0.601243	1.50831	-21.4932	12.5691
66	1	1	12.6395	161.086	2.58823	36.8325	120.664	39.5475	61.5753	1	1.37691	-51.7848	-11.644	-52.9914	-0.793363	-0.328813	-0.607974	1.43792	-21.7999	12.6395
67	1	1	12.7099	160.784	2.61991	37.2021	121.166	39.8542	62.4494	1	1.38364	-52.2876	-12.0135	-52.6898	-0.825037	-0.325758	-0.614705	1.36753	-22.1066	12.7099
