Time	[M]	[Mp]	[Mpp]	[MAPKK]	[MKP]	[M_MAPKK]	[Mp_MAPKK]	[Mpp_MKP]	[Mp_MKP]	[Mp_MKP*]	[M_MKP]
34	365.242	2.77011	4.48472	6.06902	16.4277	43.8974	0.0335943	2.95125	0.7122	0.300807	79.608
35	365.053	2.80741	4.62419	6.07172	16.4128	43.8942	0.0340625	3.04345	0.726517	0.304641	79.5126
36	364.865	2.8444	4.76288	6.07441	16.398	43.8911	0.0345272	3.13497	0.74071	0.308434	79.4179
37	364.679	2.88108	4.9008	6.07709	16.3833	43.8879	0.0349885	3.22582	0.754782	0.312188	79.3239
38	364.493	2.91746	5.03795	6.07975	16.3688	43.8848	0.0354464	3.31601	0.768733	0.315904	79.2306
39	364.309	2.95354	5.17434	6.0824	16.3543	43.8817	0.0359009	3.40553	0.782566	0.319582	79.138
40	364.126	2.98933	5.30998	6.08503	16.34	43.8786	0.0363522	3.4944	0.796283	0.323223	79.0461
41	363.944	3.02483	5.44486	6.08765	16.3258	43.8755	0.0368003	3.58262	0.809884	0.326827	78.9549
42	363.763	3.06005	5.57899	6.09026	16.3117	43.8725	0.0372453	3.6702	0.823372	0.330396	78.8643
43	363.583	3.09499	5.71238	6.09285	16.2977	43.8695	0.0376871	3.75715	0.836749	0.33393	78.7745
44	363.405	3.12966	5.84503	6.09543	16.2838	43.8664	0.0381259	3.84346	0.850014	0.33743	78.6853
45	363.227	3.16405	5.97695	6.09799	16.27	43.8634	0.0385616	3.92916	0.863171	0.340895	78.5968
46	363.051	3.19818	6.10814	6.10054	16.2563	43.8605	0.0389943	4.01423	0.87622	0.344327	78.5089
47	362.875	3.23204	6.23862	6.10308	16.2427	43.8575	0.039424	4.0987	0.889163	0.347726	78.4217
48	362.701	3.26564	6.36837	6.1056	16.2293	43.8545	0.0398508	4.18257	0.902	0.351093	78.3351
49	362.528	3.29898	6.49742	6.10811	16.2159	43.8516	0.0402748	4.26583	0.914734	0.354427	78.2491
50	362.355	3.33207	6.62576	6.11061	16.2026	43.8487	0.0406958	4.34851	0.927365	0.35773	78.1638
51	362.184	3.36491	6.75341	6.1131	16.1894	43.8458	0.041114	4.4306	0.939895	0.361002	78.0791
52	362.014	3.39749	6.88036	6.11557	16.1763	43.8429	0.0415294	4.51211	0.952324	0.364243	77.995
53	361.845	3.42983	7.00662	6.11803	16.1633	43.84	0.0419419	4.59305	0.964654	0.367453	77.9115
54	361.677	3.46193	7.13219	6.12048	16.1504	43.8372	0.0423518	4.67342	0.976887	0.370634	77.8286
55	361.51	3.49378	7.25709	6.12291	16.1376	43.8343	0.0427589	4.75322	0.989022	0.373785	77.7463
56	361.344	3.5254	7.38131	6.12533	16.1249	43.8315	0.0431633	4.83247	1.00106	0.376907	77.6646
57	361.178	3.55678	7.50487	6.12774	16.1123	43.8287	0.043565	4.91117	1.01301	0.38	77.5835
58	361.014	3.58792	7.62776	6.13014	16.0998	43.8259	0.0439641	4.98933	1.02486	0.383064	77.503
59	360.851	3.61884	7.74999	6.13253	16.0873	43.8231	0.0443605	5.06694	1.03662	0.386101	77.423
60	360.689	3.64952	7.87156	6.1349	16.075	43.8203	0.0447544	5.14402	1.04829	0.38911	77.3436
61	360.527	3.67998	7.99249	6.13726	16.0627	43.8176	0.0451456	5.22057	1.05986	0.392091	77.2648
62	360.367	3.71022	8.11278	6.13961	16.0505	43.8149	0.0455344	5.2966	1.07135	0.395046	77.1865
63	360.208	3.74023	8.23242	6.14195	16.0384	43.8121	0.0459206	5.3721	1.08275	0.397974	77.1087
64	360.049	3.77003	8.35143	6.14427	16.0264	43.8094	0.0463042	5.4471	1.09407	0.400875	77.0315
65	359.892	3.79961	8.46981	6.14659	16.0145	43.8067	0.0466855	5.52158	1.10529	0.403751	76.9549
66	359.735	3.82897	8.58756	6.14889	16.0027	43.804	0.0470642	5.59556	1.11643	0.4066	76.8787
67	359.579	3.85812	8.70469	6.15118	15.9909	43.8014	0.0474405	5.66904	1.12749	0.409425	76.8031
68	359.424	3.88706	8.82121	6.15346	15.9793	43.7987	0.0478144	5.74203	1.13846	0.412224	76.728
69	359.27	3.91579	8.93711	6.15573	15.9677	43.7961	0.0481859	5.81453	1.14935	0.414999	76.6535
70	359.117	3.94432	9.05241	6.15798	15.9562	43.7935	0.0485551	5.88654	1.16016	0.417749	76.5794
71	358.965	3.97264	9.1671	6.16023	15.9447	43.7909	0.0489219	5.95807	1.17088	0.420475	76.5058
72	358.814	4.00076	9.28119	6.16246	15.9334	43.7883	0.0492863	6.02913	1.18153	0.423177	76.4328
73	358.663	4.02868	9.39469	6.16469	15.9221	43.7857	0.0496485	6.09972	1.1921	0.425855	76.3602
74	358.514	4.0564	9.50759	6.1669	15.9109	43.7831	0.0500084	6.16983	1.20258	0.42851	76.2882
75	358.365	4.08392	9.61991	6.1691	15.8998	43.7805	0.050366	6.23949	1.213	0.431143	76.2166
76	358.217	4.11125	9.73165	6.17129	15.8887	43.778	0.0507213	6.30869	1.22333	0.433752	76.1455
77	358.07	4.13839	9.84281	6.17347	15.8778	43.7755	0.0510745	6.37744	1.23359	0.436339	76.0749
78	357.924	4.16534	9.9534	6.17564	15.8669	43.7729	0.0514254	6.44573	1.24377	0.438904	76.0047
79	357.778	4.1921	10.0634	6.1778	15.856	43.7704	0.0517742	6.51359	1.25388	0.441446	75.935
80	357.634	4.21868	10.1729	6.17994	15.8453	43.7679	0.0521208	6.581	1.26391	0.443967	75.8658
81	357.49	4.24507	10.2818	6.18208	15.8346	43.7655	0.0524652	6.64797	1.27388	0.446467	75.7971
82	357.347	4.27127	10.3901	6.18421	15.824	43.763	0.0528075	6.71451	1.28377	0.448946	75.7288
83	357.205	4.2973	10.4979	6.18633	15.8135	43.7605	0.0531478	6.78062	1.29359	0.451403	75.6609
84	357.063	4.32314	10.6051	6.18843	15.803	43.7581	0.0534859	6.84631	1.30333	0.45384	75.5935
85	356.923	4.34881	10.7118	6.19053	15.7926	43.7557	0.0538219	6.91158	1.31301	0.456256	75.5265
86	356.783	4.3743	10.8179	6.19261	15.7823	43.7532	0.0541559	6.97643	1.32262	0.458652	75.46
87	356.644	4.39962	10.9235	6.19469	15.772	43.7508	0.0544879	7.04086	1.33216	0.461028	75.3939
88	356.505	4.42477	11.0286	6.19676	15.7618	43.7484	0.0548178	7.10489	1.34163	0.463385	75.3283
89	356.368	4.44974	11.1331	6.19881	15.7517	43.746	0.0551458	7.16851	1.35104	0.465722	75.263
90	356.231	4.47455	11.2371	6.20086	15.7416	43.7437	0.0554717	7.23172	1.36038	0.468039	75.1982
91	356.095	4.49918	11.3406	6.20289	15.7316	43.7413	0.0557957	7.29454	1.36965	0.470338	75.1338
92	355.959	4.52365	11.4435	6.20492	15.7217	43.739	0.0561178	7.35697	1.37886	0.472617	75.0698
93	355.825	4.54796	11.546	6.20694	15.7118	43.7366	0.0564379	7.419	1.388	0.474878	75.0063
94	355.691	4.5721	11.6479	6.20895	15.702	43.7343	0.0567561	7.48064	1.39708	0.47712	74.9431
95	355.558	4.59608	11.7493	6.21094	15.6923	43.732	0.0570723	7.5419	1.4061	0.479344	74.8803
96	355.425	4.61991	11.8502	6.21293	15.6826	43.7297	0.0573867	7.60278	1.41506	0.481551	74.818
97	355.294	4.64357	11.9506	6.21491	15.673	43.7274	0.0576993	7.66328	1.42395	0.483739	74.756
98	355.163	4.66708	12.0505	6.21688	15.6635	43.7251	0.0580099	7.7234	1.43278	0.485909	74.6944
99	355.032	4.69043	12.1499	6.21884	15.654	43.7228	0.0583188	7.78315	1.44155	0.488063	74.6333
100	354.903	4.71362	12.2489	6.22079	15.6445	43.7206	0.0586258	7.84254	1.45026	0.490198	74.5725
