Time	[A_b]	[O_b]	[P_b]	[L_b]	[S_b]	[NAPE_b]	[NOPE_b]	[NPPE_b]	[NLPE_b]	[NSPE_b]	[FAAH_b]	[FAAHinh_b]	[A_r]	[O_r]	[P_r]	[L_r]	[S_r]	[NAPE_r]	[NOPE_r]	[NPPE_r]	[NLPE_r]	[NSPE_r]	[FAAH_r]	[FAAHinh_r]	[A_m]	[O_m]	[P_m]	[L_m]	[S_m]	[FAAH_m]	[FAAHinh_m]	[A_p]	[O_p]	[P_p]	[L_p]	[S_p]	[PFM_gut]	[PFM_p]	[PFM_r]
10	71.7158	1280.86	249.358	254.6	364.61	0.000260718	0.00592426	0.00116431	0.000507473	0.00085536	0.000823507	15.3652	5.26518	92.0544	17.8799	19.4417	28.1121	5.812e-06	0.000132065	2.59551e-05	1.13127e-05	1.90679e-05	0.000100608	2.16577	31.7375	789.367	152.527	0	227.951	0.000572692	10.6854	8.48558	32.8766	21.0352	21.8425	3.05896	-7.34093e+06	1.76641e+06	3.00991e+06
11	72.3922	1284.25	249.914	259.684	372.444	0.000261835	0.00594963	0.0011693	0.000509646	0.000859022	0.000872031	15.3651	5.27728	92.073	17.8831	19.5801	28.3122	5.81401e-06	0.000132111	2.59641e-05	1.13166e-05	1.90745e-05	0.000106535	2.16576	31.9403	791.138	152.817	0	232.247	0.000606438	10.6854	8.50776	32.8833	21.0389	21.9987	3.08075	-7.34093e+06	1.66822e+06	2.96884e+06
12	72.8659	1286.24	250.235	263.635	378.594	0.0002626	0.00596703	0.00117272	0.000511136	0.000861535	0.000916302	15.3651	5.28454	92.0809	17.8844	19.6753	28.4499	5.8153e-06	0.00013214	2.59699e-05	1.13192e-05	1.90787e-05	0.000111943	2.16576	32.0774	792.171	152.984	0	235.589	0.000637225	10.6854	8.52109	32.8861	21.0405	22.1061	3.09574	-7.34093e+06	1.58769e+06	2.91723e+06
13	73.1964	1287.37	250.418	266.7	383.419	0.000263131	0.00597909	0.00117509	0.000512169	0.000863276	0.000957197	15.365	5.28888	92.0839	17.885	19.7408	28.5446	5.81614e-06	0.000132159	2.59736e-05	1.13208e-05	1.90815e-05	0.000116938	2.16575	32.1701	792.759	153.079	0	238.188	0.000665665	10.6853	8.52907	32.8872	21.0412	22.18	3.10605	-7.34093e+06	1.51991e+06	2.8588e+06
14	73.4257	1288	250.519	269.077	387.2	0.000263502	0.00598751	0.00117674	0.000512891	0.000864492	0.000995545	15.365	5.29146	92.0847	17.8851	19.7858	28.6097	5.81668e-06	0.000132172	2.5976e-05	1.13218e-05	1.90833e-05	0.000121623	2.16575	32.2325	793.08	153.131	0	240.21	0.000692333	10.6853	8.53383	32.8875	21.0414	22.2308	3.11314	-7.34093e+06	1.4614e+06	2.79615e+06
15	73.5836	1288.31	250.57	270.917	390.16	0.000263762	0.00599342	0.0011779	0.000513397	0.000865345	0.00103207	15.365	5.29298	92.0846	17.8852	19.8167	28.6544	5.81704e-06	0.00013218	2.59776e-05	1.13225e-05	1.90844e-05	0.000126085	2.16574	32.2745	793.24	153.158	0	241.781	0.000717734	10.6853	8.53664	32.8874	21.0414	22.2656	3.11801	-7.34093e+06	1.4097e+06	2.73111e+06
16	73.691	1288.44	250.593	272.337	392.472	0.000263945	0.00599757	0.00117872	0.000513753	0.000865945	0.00106738	15.3649	5.29387	92.0839	17.8851	19.8379	28.6851	5.81727e-06	0.000132185	2.59787e-05	1.1323e-05	1.90852e-05	0.000130398	2.16574	32.3024	793.305	153.169	0	243.002	0.000742289	10.6853	8.53828	32.8872	21.0414	22.2895	3.12134	-7.34093e+06	1.36309e+06	2.66492e+06
17	73.7628	1288.45	250.599	273.431	394.274	0.000264072	0.00600048	0.00117929	0.000514002	0.000866364	0.00110196	15.3649	5.29436	92.0831	17.885	19.8523	28.706	5.81743e-06	0.000132188	2.59794e-05	1.13233e-05	1.90857e-05	0.000134623	2.16573	32.3206	793.311	153.172	0	243.949	0.000766339	10.6852	8.53921	32.8869	21.0413	22.3058	3.12362	-7.34093e+06	1.32031e+06	2.59846e+06
18	73.8093	1288.4	250.595	274.27	395.675	0.00026416	0.00600247	0.00117968	0.000514173	0.000866652	0.00113621	15.3649	5.29463	92.0822	17.8849	19.8621	28.7203	5.81752e-06	0.000132191	2.59798e-05	1.13235e-05	1.9086e-05	0.000138808	2.16573	32.3322	793.282	153.17	0	244.682	0.00079016	10.6852	8.53972	32.8866	21.0411	22.3169	3.12517	-7.34093e+06	1.28051e+06	2.53235e+06
19	73.8381	1288.3	250.585	274.91	396.759	0.000264219	0.00600381	0.00117994	0.000514287	0.000866845	0.00117044	15.3648	5.29475	92.0813	17.8848	19.8688	28.7299	5.81758e-06	0.000132192	2.59801e-05	1.13236e-05	1.90862e-05	0.000142989	2.16572	32.3392	793.233	153.165	0	245.246	0.000813964	10.6852	8.53996	32.8863	21.041	22.3244	3.12622	-7.34093e+06	1.24306e+06	2.46699e+06
20	73.8542	1288.18	250.572	275.395	397.593	0.000264256	0.00600465	0.00118011	0.000514359	0.000866966	0.0012049	15.3648	5.29479	92.0803	17.8847	19.8732	28.7364	5.81761e-06	0.000132193	2.59802e-05	1.13237e-05	1.90863e-05	0.000147198	2.16572	32.343	793.17	153.158	0	245.679	0.000837922	10.6852	8.54006	32.8859	21.0409	22.3294	3.12693	-7.34093e+06	1.20751e+06	2.40265e+06
21	73.8613	1288.05	250.556	275.758	398.23	0.000264277	0.00600512	0.0011802	0.000514399	0.000867034	0.00123976	15.3648	5.29478	92.0794	17.8846	19.8762	28.7407	5.81763e-06	0.000132193	2.59803e-05	1.13237e-05	1.90864e-05	0.000151458	2.16572	32.3445	793.099	153.149	0	246.009	0.000862167	10.6851	8.54006	32.8856	21.0407	22.3328	3.1274	-7.34093e+06	1.17354e+06	2.33952e+06
22	73.8619	1287.9	250.539	276.027	398.712	0.000264285	0.00600531	0.00118024	0.000514415	0.000867061	0.00127519	15.3647	5.29474	92.0784	17.8845	19.8781	28.7434	5.81763e-06	0.000132193	2.59803e-05	1.13237e-05	1.90864e-05	0.000155786	2.16571	32.3444	793.023	153.14	0	246.258	0.000886804	10.6851	8.54	32.8852	21.0406	22.3349	3.1277	-7.34093e+06	1.14093e+06	2.27771e+06
23	73.8579	1287.75	250.52	276.222	399.071	0.000264283	0.00600527	0.00118023	0.000514413	0.000867057	0.0013113	15.3647	5.29467	92.0774	17.8843	19.8793	28.7452	5.81763e-06	0.000132193	2.59803e-05	1.13237e-05	1.90864e-05	0.000160198	2.16571	32.3432	792.942	153.131	0	246.442	0.000911918	10.6851	8.5399	32.8849	21.0405	22.3363	3.12788	-7.34093e+06	1.10949e+06	2.21729e+06
24	73.8506	1287.59	250.501	276.358	399.332	0.000264274	0.00600507	0.00118019	0.000514395	0.000867027	0.00134819	15.3647	5.2946	92.0764	17.8842	19.88	28.7462	5.81762e-06	0.000132193	2.59802e-05	1.13237e-05	1.90863e-05	0.000164706	2.1657	32.3412	792.859	153.121	0	246.576	0.000937577	10.6851	8.53978	32.8845	21.0403	22.337	3.12799	-7.34093e+06	1.07911e+06	2.15829e+06
25	73.8407	1287.42	250.482	276.448	399.517	0.000264259	0.00600473	0.00118013	0.000514366	0.000866978	0.00138596	15.3646	5.29451	92.0753	17.8841	19.8803	28.7467	5.8176e-06	0.000132192	2.59802e-05	1.13236e-05	1.90863e-05	0.000169319	2.1657	32.3386	792.773	153.111	0	246.67	0.000963837	10.685	8.53965	32.8842	21.0402	22.3374	3.12805	-7.34093e+06	1.0497e+06	2.10073e+06
26	73.8289	1287.25	250.461	276.502	399.64	0.00026424	0.00600427	0.00118004	0.000514327	0.000866912	0.00142465	15.3646	5.29442	92.0743	17.884	19.8804	28.7468	5.81758e-06	0.000132192	2.59801e-05	1.13236e-05	1.90862e-05	0.000174047	2.16569	32.3355	792.684	153.1	0	246.733	0.000990747	10.685	8.53951	32.8838	21.04	22.3375	3.12806	-7.34093e+06	1.02117e+06	2.04461e+06
27	73.8157	1287.08	250.441	276.527	399.714	0.000264216	0.00600373	0.00117993	0.000514281	0.000866834	0.00146434	15.3645	5.29433	92.0732	17.8838	19.8803	28.7467	5.81756e-06	0.000132192	2.598e-05	1.13236e-05	1.90862e-05	0.000178896	2.16569	32.3321	792.593	153.089	0	246.77	0.00101835	10.685	8.53936	32.8834	21.0399	22.3374	3.12805	-7.34093e+06	993480	1.98991e+06
28	73.8014	1286.9	250.419	276.53	399.748	0.000264188	0.00600311	0.00117981	0.000514228	0.000866745	0.00150508	15.3645	5.29423	92.0721	17.8837	19.8801	28.7464	5.81754e-06	0.000132191	2.59799e-05	1.13235e-05	1.90861e-05	0.000183873	2.16568	32.3284	792.499	153.078	0	246.787	0.00104668	10.685	8.5392	32.883	21.0397	22.3372	3.12802	-7.34093e+06	966574	1.93661e+06
29	73.7861	1286.71	250.397	276.514	399.752	0.000264158	0.00600243	0.00117967	0.000514169	0.000866646	0.00154691	15.3645	5.29413	92.0709	17.8836	19.8798	28.746	5.81752e-06	0.000132191	2.59798e-05	1.13235e-05	1.9086e-05	0.000188984	2.16568	32.3245	792.403	153.067	0	246.789	0.00107577	10.6849	8.53903	32.8826	21.0396	22.3368	3.12798	-7.34093e+06	940420	1.8847e+06
