Time	[A_b]	[O_b]	[P_b]	[L_b]	[S_b]	[NAPE_b]	[NOPE_b]	[NPPE_b]	[NLPE_b]	[NSPE_b]	[FAAH_b]	[FAAHinh_b]	[A_r]	[O_r]	[P_r]	[L_r]	[S_r]	[NAPE_r]	[NOPE_r]	[NPPE_r]	[NLPE_r]	[NSPE_r]	[FAAH_r]	[FAAHinh_r]	[A_m]	[O_m]	[P_m]	[L_m]	[S_m]	[FAAH_m]	[FAAHinh_m]	[A_p]	[O_p]	[P_p]	[L_p]	[S_p]	[PFM_gut]	[PFM_p]	[PFM_r]
59	73.0093	1277.99	249.353	273.275	395.294	0.000262446	0.00596352	0.00117203	0.000510836	0.000861028	0.00354227	15.3625	5.28921	92.0167	17.8771	19.8581	28.7154	5.8163e-06	0.000132163	2.59743e-05	1.13211e-05	1.9082e-05	0.000432804	2.16544	32.1266	787.856	152.523	0	244.486	0.0024634	10.6835	8.53116	32.8632	21.032	22.3125	3.12465	-7.34093e+06	410330	827463
60	72.9704	1277.55	249.301	273.103	395.052	0.000262359	0.00596155	0.00117164	0.000510667	0.000860744	0.00364286	15.3624	5.28897	92.0139	17.8768	19.857	28.7138	5.81624e-06	0.000132161	2.59741e-05	1.1321e-05	1.90818e-05	0.000445097	2.16542	32.1167	787.629	152.496	0	244.362	0.00253336	10.6835	8.53077	32.8622	21.0316	22.3113	3.12448	-7.34093e+06	398982	804814
61	72.9304	1277.1	249.247	272.927	394.804	0.00026227	0.00595952	0.00117124	0.000510493	0.000860451	0.00374644	15.3623	5.28871	92.0111	17.8765	19.8559	28.7122	5.81617e-06	0.00013216	2.59738e-05	1.13208e-05	1.90816e-05	0.000457755	2.16541	32.1065	787.395	152.468	0	244.234	0.00260539	10.6834	8.53036	32.8612	21.0312	22.31	3.1243	-7.34093e+06	387934	782765
62	72.8893	1276.64	249.192	272.746	394.549	0.000262178	0.00595743	0.00117083	0.000510315	0.000860149	0.00385309	15.3621	5.28845	92.0082	17.8761	19.8547	28.7106	5.81611e-06	0.000132159	2.59735e-05	1.13207e-05	1.90814e-05	0.00047079	2.1654	32.096	787.154	152.439	0	244.102	0.00267956	10.6833	8.52994	32.8602	21.0308	22.3087	3.12412	-7.34093e+06	377178	761298
63	72.847	1276.16	249.135	272.56	394.286	0.000262084	0.00595528	0.00117041	0.000510131	0.000859839	0.00396293	15.362	5.28818	92.0052	17.8758	19.8535	28.7089	5.81604e-06	0.000132157	2.59732e-05	1.13206e-05	1.90812e-05	0.000484213	2.16538	32.0852	786.906	152.409	0	243.967	0.00275594	10.6832	8.52951	32.8591	21.0304	22.3073	3.12393	-7.34093e+06	366707	740400
64	72.8035	1275.67	249.076	272.369	394.016	0.000261986	0.00595307	0.00116997	0.000509941	0.00085952	0.00407604	15.3619	5.2879	92.0022	17.8754	19.8523	28.7071	5.81597e-06	0.000132155	2.59729e-05	1.13205e-05	1.90809e-05	0.000498038	2.16537	32.0741	786.651	152.378	0	243.827	0.00283461	10.6832	8.52906	32.858	21.03	22.3059	3.12374	-7.34093e+06	356512	720054
65	72.7587	1275.17	249.015	272.172	393.739	0.000261886	0.0059508	0.00116953	0.000509747	0.000859192	0.00419255	15.3618	5.28762	91.999	17.875	19.851	28.7053	5.8159e-06	0.000132154	2.59726e-05	1.13203e-05	1.90807e-05	0.000512276	2.16536	32.0626	786.388	152.347	0	243.684	0.00291563	10.6831	8.5286	32.8569	21.0295	22.3045	3.12354	-7.34093e+06	346587	700247
66	72.7127	1274.65	248.953	271.969	393.453	0.000261783	0.00594846	0.00116907	0.000509546	0.000858854	0.00431255	15.3617	5.28732	91.9958	17.8746	19.8497	28.7034	5.81583e-06	0.000132152	2.59722e-05	1.13202e-05	1.90805e-05	0.000526943	2.16534	32.0509	786.118	152.314	0	243.537	0.00299908	10.683	8.52813	32.8557	21.0291	22.303	3.12334	-7.34093e+06	336925	680963
67	72.6653	1274.12	248.889	271.761	393.159	0.000261677	0.00594605	0.00116859	0.00050934	0.000858506	0.00443616	15.3616	5.28702	91.9924	17.8742	19.8483	28.7015	5.81575e-06	0.00013215	2.59719e-05	1.132e-05	1.90802e-05	0.000542051	2.16533	32.0388	785.839	152.281	0	243.385	0.00308505	10.6829	8.52765	32.8545	21.0286	22.3015	3.12313	-7.34093e+06	327519	662190
68	72.6166	1273.57	248.823	271.546	392.857	0.000261568	0.00594357	0.00116811	0.000509127	0.000858148	0.00456351	15.3614	5.28671	91.9889	17.8738	19.8469	28.6995	5.81567e-06	0.000132149	2.59715e-05	1.13199e-05	1.908e-05	0.000557615	2.16531	32.0263	785.553	152.246	0	243.229	0.00317361	10.6828	8.52714	32.8533	21.0281	22.2999	3.12292	-7.34093e+06	318361	643913
69	72.5664	1273	248.755	271.326	392.546	0.000261456	0.00594102	0.00116761	0.000508909	0.00085778	0.00469471	15.3613	5.28638	91.9854	17.8734	19.8455	28.6975	5.81559e-06	0.000132147	2.59712e-05	1.13197e-05	1.90797e-05	0.000573651	2.16529	32.0135	785.258	152.211	0	243.069	0.00326485	10.6827	8.52663	32.852	21.0276	22.2983	3.1227	-7.34093e+06	309446	626120
70	72.5148	1272.42	248.685	271.099	392.227	0.00026134	0.0059384	0.00116709	0.000508684	0.000857401	0.0048299	15.3612	5.28605	91.9817	17.873	19.844	28.6954	5.81551e-06	0.000132145	2.59708e-05	1.13196e-05	1.90794e-05	0.000590174	2.16528	32.0003	784.955	152.174	0	242.904	0.00335886	10.6826	8.5261	32.8507	21.0271	22.2967	3.12247	-7.34093e+06	300766	608798
71	72.4618	1271.82	248.613	270.866	391.898	0.000261221	0.00593569	0.00116656	0.000508453	0.000857011	0.0049692	15.361	5.28571	91.9779	17.8725	19.8425	28.6932	5.81543e-06	0.000132143	2.59704e-05	1.13194e-05	1.90791e-05	0.000607201	2.16526	31.9867	784.642	152.137	0	242.734	0.00345574	10.6825	8.52555	32.8494	21.0266	22.2949	3.12223	-7.34093e+06	292317	591933
72	72.4071	1271.2	248.538	270.626	391.559	0.000261099	0.00593291	0.00116601	0.000508214	0.000856609	0.00511276	15.3609	5.28536	91.974	17.8721	19.8409	28.691	5.81534e-06	0.000132141	2.597e-05	1.13192e-05	1.90789e-05	0.000624748	2.16524	31.9727	784.321	152.098	0	242.56	0.00355557	10.6824	8.52499	32.848	21.026	22.2932	3.12199	-7.34093e+06	284090	575515
73	72.3509	1270.57	248.462	270.379	391.211	0.000260973	0.00593005	0.00116545	0.000507969	0.000856195	0.00526072	15.3607	5.285	91.97	17.8716	19.8393	28.6887	5.81525e-06	0.000132139	2.59696e-05	1.1319e-05	1.90786e-05	0.000642834	2.16523	31.9583	783.989	152.058	0	242.38	0.00365847	10.6823	8.52441	32.8465	21.0255	22.2913	3.12174	-7.34093e+06	276082	559531
74	72.2931	1269.91	248.383	270.125	390.853	0.000260843	0.0059271	0.00116487	0.000507716	0.00085577	0.00541322	15.3606	5.28462	91.9659	17.8711	19.8376	28.6864	5.81516e-06	0.000132137	2.59692e-05	1.13189e-05	1.90783e-05	0.000661476	2.16521	31.9435	783.648	152.017	0	242.195	0.00376453	10.6822	8.52381	32.8451	21.0249	22.2895	3.12148	-7.34093e+06	268285	543971
75	72.2335	1269.24	248.302	269.863	390.484	0.00026071	0.00592406	0.00116427	0.000507456	0.000855332	0.00557044	15.3604	5.28424	91.9616	17.8706	19.8359	28.6839	5.81506e-06	0.000132135	2.59688e-05	1.13187e-05	1.90779e-05	0.000680693	2.16519	31.9283	783.297	151.975	0	242.005	0.00387386	10.6821	8.52319	32.8435	21.0243	22.2875	3.12122	-7.34093e+06	260695	528821
76	72.1722	1268.55	248.218	269.594	390.105	0.000260572	0.00592094	0.00116366	0.000507189	0.00085488	0.00573252	15.3603	5.28384	91.9572	17.8701	19.8341	28.6814	5.81496e-06	0.000132132	2.59684e-05	1.13185e-05	1.90776e-05	0.000700505	2.16517	31.9126	782.935	151.931	0	241.809	0.00398657	10.682	8.52256	32.842	21.0237	22.2855	3.12095	-7.34093e+06	253305	514073
77	72.1092	1267.83	248.132	269.318	389.715	0.00026043	0.00591772	0.00116303	0.000506913	0.000854416	0.00589963	15.3601	5.28343	91.9527	17.8695	19.8323	28.6788	5.81486e-06	0.00013213	2.59679e-05	1.13183e-05	1.90773e-05	0.000720933	2.16515	31.8964	782.563	151.886	0	241.608	0.00410279	10.6819	8.5219	32.8404	21.0231	22.2835	3.12066	-7.34093e+06	246111	499715
78	72.0442	1267.09	248.043	269.033	389.313	0.000260285	0.00591441	0.00116237	0.000506629	0.000853937	0.00607195	15.3599	5.28301	91.9481	17.869	19.8304	28.6762	5.81475e-06	0.000132128	2.59674e-05	1.13181e-05	1.90769e-05	0.000741999	2.16513	31.8797	782.179	151.84	0	241.4	0.00422263	10.6818	8.52123	32.8387	21.0224	22.2814	3.12037	-7.34093e+06	239108	485736
79	71.9774	1266.34	247.951	268.74	388.9	0.000260134	0.00591099	0.0011617	0.000506337	0.000853444	0.00624967	15.3598	5.28258	91.9432	17.8684	19.8285	28.6734	5.81465e-06	0.000132125	2.5967e-05	1.13179e-05	1.90766e-05	0.000763724	2.1651	31.8626	781.784	151.792	0	241.187	0.00434621	10.6817	8.52053	32.837	21.0217	22.2792	3.12008	-7.34093e+06	232290	472128
80	71.9086	1265.55	247.857	268.439	388.475	0.00025998	0.00590748	0.00116101	0.000506035	0.000852937	0.00643296	15.3596	5.28213	91.9383	17.8678	19.8265	28.6706	5.81453e-06	0.000132123	2.59665e-05	1.13177e-05	1.90762e-05	0.000786132	2.16508	31.8449	781.376	151.743	0	240.968	0.00447368	10.6815	8.51981	32.8352	21.021	22.2769	3.11977	-7.34093e+06	225652	458880
81	71.8377	1264.75	247.76	268.128	388.037	0.00025982	0.00590386	0.0011603	0.000505725	0.000852414	0.00662204	15.3594	5.28167	91.9332	17.8672	19.8244	28.6676	5.81442e-06	0.00013212	2.59659e-05	1.13174e-05	1.90758e-05	0.000809247	2.16506	31.8267	780.957	151.692	0	240.742	0.00460517	10.6814	8.51907	32.8334	21.0203	22.2746	3.11945	-7.34093e+06	219190	445982
82	71.7648	1263.92	247.66	267.809	387.586	0.000259656	0.00590013	0.00115957	0.000505406	0.000851875	0.0068171	15.3592	5.28119	91.9279	17.8666	19.8223	28.6646	5.8143e-06	0.000132117	2.59654e-05	1.13172e-05	1.90755e-05	0.000833095	2.16503	31.808	780.524	151.64	0	240.509	0.00474082	10.6813	8.51831	32.8315	21.0196	22.2722	3.11912	-7.34093e+06	212899	433425
83	71.6897	1263.07	247.556	267.48	387.123	0.000259487	0.00589628	0.00115881	0.000505077	0.00085132	0.00701836	15.359	5.2807	91.9224	17.8659	19.8201	28.6615	5.81418e-06	0.000132115	2.59649e-05	1.1317e-05	1.90751e-05	0.000857701	2.16501	31.7887	780.079	151.586	0	240.27	0.00488079	10.6811	8.51752	32.8295	21.0188	22.2698	3.11878	-7.34093e+06	206774	421201
84	71.6124	1262.19	247.45	267.142	386.645	0.000259313	0.00589233	0.00115804	0.000504738	0.000850749	0.00722604	15.3588	5.28019	91.9168	17.8653	19.8178	28.6583	5.81405e-06	0.000132112	2.59643e-05	1.13167e-05	1.90746e-05	0.000883093	2.16498	31.7688	779.62	151.531	0	240.023	0.00502522	10.681	8.51671	32.8275	21.018	22.2672	3.11843	-7.34093e+06	200812	409300
85	71.5327	1261.28	247.34	266.793	386.154	0.000259133	0.00588825	0.00115723	0.000504388	0.00085016	0.00744038	15.3586	5.27967	91.911	17.8646	19.8155	28.655	5.81392e-06	0.000132109	2.59637e-05	1.13165e-05	1.90742e-05	0.0009093	2.16496	31.7484	779.147	151.474	0	239.769	0.00517428	10.6808	8.51587	32.8255	21.0172	22.2646	3.11807	-7.34093e+06	195007	397714
86	71.4507	1260.34	247.227	266.435	385.648	0.000258948	0.00588404	0.00115641	0.000504028	0.000849553	0.00766163	15.3583	5.27913	91.905	17.8639	19.8131	28.6516	5.81379e-06	0.000132106	2.59631e-05	1.13162e-05	1.90738e-05	0.000936351	2.16493	31.7273	778.659	151.415	0	239.508	0.00532814	10.6807	8.51501	32.8233	21.0164	22.2619	3.1177	-7.34093e+06	189356	386435
87	71.3662	1259.38	247.11	266.066	385.127	0.000258758	0.00587971	0.00115556	0.000503657	0.000848928	0.00789003	15.3581	5.27857	91.8989	17.8631	19.8106	28.6481	5.81365e-06	0.000132103	2.59625e-05	1.13159e-05	1.90733e-05	0.000964278	2.1649	31.7055	778.156	151.354	0	239.239	0.00548697	10.6805	8.51412	32.8211	21.0155	22.2591	3.11732	-7.34093e+06	183855	375454
88	71.2792	1258.38	246.989	265.685	384.591	0.000258561	0.00587525	0.00115468	0.000503275	0.000848283	0.00812585	15.3579	5.278	91.8925	17.8624	19.808	28.6445	5.8135e-06	0.000132099	2.59619e-05	1.13157e-05	1.90728e-05	0.000993114	2.16487	31.6831	777.638	151.291	0	238.962	0.00565097	10.6803	8.5132	32.8189	21.0146	22.2562	3.11693	-7.34093e+06	178499	364764
89	71.1896	1257.36	246.865	265.294	384.038	0.000258359	0.00587065	0.00115377	0.000502881	0.000847619	0.00836937	15.3576	5.2774	91.8859	17.8616	19.8054	28.6407	5.81336e-06	0.000132096	2.59612e-05	1.13154e-05	1.90724e-05	0.00102289	2.16484	31.66	777.104	151.226	0	238.677	0.00582033	10.6802	8.51225	32.8165	21.0137	22.2532	3.11652	-7.34093e+06	173285	354356
90	71.0973	1256.3	246.737	264.891	383.47	0.00025815	0.00586591	0.00115284	0.000502474	0.000846934	0.00862089	15.3574	5.27679	91.8791	17.8608	19.8026	28.6368	5.8132e-06	0.000132093	2.59605e-05	1.13151e-05	1.90719e-05	0.00105365	2.16481	31.6362	776.553	151.159	0	238.383	0.00599524	10.68	8.51127	32.8141	21.0128	22.2502	3.1161	-7.34093e+06	168209	344224
91	71.0021	1255.21	246.604	264.476	382.884	0.000257935	0.00586102	0.00115188	0.000502056	0.000846228	0.0088807	15.3571	5.27616	91.8721	17.86	19.7998	28.6328	5.81305e-06	0.000132089	2.59598e-05	1.13148e-05	1.90713e-05	0.00108542	2.16478	31.6117	775.984	151.09	0	238.081	0.00617592	10.6798	8.51025	32.8116	21.0118	22.247	3.11566	-7.34093e+06	163268	334361
92	70.9041	1254.09	246.468	264.049	382.281	0.000257713	0.00585598	0.00115089	0.000501624	0.000845501	0.00914911	15.3569	5.2755	91.8649	17.8591	19.7969	28.6287	5.81288e-06	0.000132085	2.59591e-05	1.13144e-05	1.90708e-05	0.00111825	2.16475	31.5864	775.398	151.019	0	237.769	0.00636258	10.6796	8.50921	32.809	21.0108	22.2437	3.11521	-7.34093e+06	158457	324758
93	70.8031	1252.93	246.327	263.608	381.659	0.000257484	0.00585078	0.00114987	0.000501178	0.00084475	0.00942647	15.3566	5.27483	91.8574	17.8582	19.7939	28.6245	5.81271e-06	0.000132081	2.59583e-05	1.13141e-05	1.90703e-05	0.00115217	2.16472	31.5603	774.794	150.945	0	237.448	0.00655547	10.6794	8.50813	32.8063	21.0097	22.2404	3.11475	-7.34093e+06	153774	315410
94	70.699	1251.73	246.181	263.155	381.019	0.000257248	0.00584542	0.00114882	0.000500719	0.000843976	0.00971313	15.3563	5.27413	91.8497	17.8573	19.7908	28.6201	5.81254e-06	0.000132077	2.59576e-05	1.13138e-05	1.90697e-05	0.00118723	2.16468	31.5334	774.17	150.87	0	237.118	0.00675482	10.6792	8.50701	32.8036	21.0086	22.2369	3.11427	-7.34093e+06	149215	306309
95	70.5917	1250.5	246.031	262.688	380.36	0.000257005	0.00583989	0.00114773	0.000500246	0.000843178	0.0100094	15.356	5.27341	91.8417	17.8563	19.7876	28.6155	5.81236e-06	0.000132073	2.59568e-05	1.13134e-05	1.90691e-05	0.00122347	2.16464	31.5057	773.527	150.791	0	236.777	0.00696089	10.679	8.50586	32.8007	21.0075	22.2333	3.11378	-7.34093e+06	144776	297449
96	70.4812	1249.23	245.876	262.207	379.681	0.000256754	0.00583419	0.00114661	0.000499757	0.000842355	0.0103158	15.3557	5.27267	91.8334	17.8554	19.7842	28.6108	5.81218e-06	0.000132069	2.59559e-05	1.13131e-05	1.90685e-05	0.00126094	2.16461	31.4771	772.863	150.71	0	236.426	0.00717394	10.6788	8.50467	32.7978	21.0064	22.2295	3.11327	-7.34093e+06	140456	288823
97	70.3672	1247.91	245.715	261.711	378.981	0.000256495	0.0058283	0.00114545	0.000499253	0.000841505	0.0106326	15.3554	5.2719	91.8249	17.8543	19.7808	28.606	5.81198e-06	0.000132065	2.59551e-05	1.13127e-05	1.90679e-05	0.00129969	2.16457	31.4476	772.177	150.627	0	236.065	0.00739426	10.6786	8.50344	32.7947	21.0052	22.2257	3.11274	-7.34093e+06	136249	280426
98	70.2497	1246.56	245.55	261.201	378.26	0.000256228	0.00582224	0.00114426	0.000498734	0.000840629	0.0109603	15.355	5.27111	91.8161	17.8533	19.7773	28.601	5.81179e-06	0.00013206	2.59542e-05	1.13123e-05	1.90672e-05	0.00133977	2.16453	31.4172	771.47	150.54	0	235.692	0.00762213	10.6784	8.50217	32.7916	21.0039	22.2217	3.11219	-7.34093e+06	132154	272251
99	70.1285	1245.16	245.379	260.674	377.517	0.000255953	0.00581597	0.00114303	0.000498197	0.000839725	0.0112993	15.3547	5.27028	91.8069	17.8522	19.7736	28.5958	5.81158e-06	0.000132056	2.59533e-05	1.13119e-05	1.90665e-05	0.00138124	2.16449	31.3858	770.74	150.451	0	235.308	0.00785786	10.6781	8.50085	32.7883	21.0027	22.2176	3.11163	-7.34093e+06	128168	264293
100	70.0036	1243.71	245.202	260.132	376.751	0.000255668	0.00580951	0.00114176	0.000497644	0.000838792	0.01165	15.3543	5.26943	91.7975	17.8511	19.7698	28.5904	5.81137e-06	0.000132051	2.59523e-05	1.13115e-05	1.90658e-05	0.00142415	2.16444	31.3534	769.986	150.359	0	234.913	0.00810178	10.6779	8.49949	32.7849	21.0014	22.2133	3.11105	-7.34093e+06	124287	256545
