Time	[RuBP]	[PGA]	[TP]	[HeP]	[TPGA]	[E4P]	[S7P]	[Ru5P]	[GG]	[ATP]	[ADP]	[UTP]	[UDP]	[Pi]	[CO2]	[TPc]	[HePc]	[Suc]	[Pic]	[SucV]	[E]	[Resp]
0	2	2.4	0.5	2.2	0.2	0.05	2	0.05	100	3.875	0.53	3.871	1.613	2.5	31	0.114	0.1	77.31	0.8	77.31	0.5	1
1	1.71479	2.87157	0.0630459	2.2609	0.524136	0.09145	1.49097	0.814407	100.007	3.93703	0.46797	3.87027	1.61373	2.61607	31	0.123311	0.105302	77.3103	0.786116	77.31	0.5	1
2	1.54279	3.22674	0.0441269	2.1952	0.785622	0.14229	1.10927	1.29228	100.014	3.89403	0.510975	3.86947	1.61453	2.58548	31	0.103881	0.104121	77.3108	0.807525	77.31	0.5	1
3	1.44228	3.51079	0.0395971	2.12862	0.929149	0.188082	0.831922	1.63669	100.021	3.82189	0.583107	3.8693	1.6147	2.53284	31	0.0914845	0.0985077	77.3109	0.825711	77.31	0.5	1
4	1.38708	3.75136	0.0385175	2.06381	0.987015	0.227944	0.631858	1.88678	100.027	3.7463	0.658701	3.86997	1.61403	2.45427	31	0.0839758	0.0913883	77.3104	0.839669	77.31	0.5	1
5	1.35992	3.96525	0.0392164	2.00136	0.984636	0.261481	0.488872	2.06909	100.032	3.67358	0.731425	3.8715	1.6125	2.35632	31	0.0796937	0.0841873	77.3092	0.849624	77.31	0.5	1
6	1.34943	4.16266	0.0411623	1.94155	0.940766	0.288334	0.388127	2.20279	100.037	3.60398	0.801017	3.8738	1.6102	2.24755	31	0.07768	0.0775952	77.3072	0.855926	77.31	0.5	1
7	1.34816	4.34964	0.0441684	1.88462	0.869607	0.308169	0.318723	2.30147	100.042	3.53654	0.868462	3.87675	1.60725	2.13535	31	0.0773695	0.0719469	77.3047	0.858934	77.31	0.5	1
8	1.35126	4.52967	0.0481878	1.83085	0.782209	0.320718	0.272614	2.37462	100.047	3.47047	0.934532	3.8802	1.6038	2.02534	31	0.0784123	0.0674018	77.3017	0.858984	77.31	0.5	1
9	1.35562	4.70457	0.0532308	1.78062	0.687368	0.325849	0.24379	2.42866	100.051	3.40552	0.999479	3.88401	1.59999	1.92152	31	0.0805772	0.0640323	77.2982	0.856385	77.31	0.5	1
10	1.35926	4.87508	0.0593111	1.73443	0.592156	0.323657	0.227657	2.46779	100.056	3.34193	1.06307	3.88801	1.59599	1.82662	31	0.0836912	0.061869	77.2945	0.851431	77.31	0.5	1
11	1.361	5.0413	0.0663947	1.69289	0.502172	0.314579	0.220564	2.49469	100.06	3.2803	1.1247	3.89206	1.59194	1.74228	31	0.0875968	0.0609211	77.2907	0.844418	77.31	0.5	1
12	1.36018	5.20286	0.0743482	1.65672	0.421559	0.299496	0.219466	2.51108	100.064	3.22144	1.18356	3.89603	1.58797	1.66923	31	0.0921176	0.0611799	77.2868	0.835677	77.31	0.5	1
13	1.3565	5.35914	0.0829043	1.62665	0.352902	0.279774	0.221734	2.51826	100.068	3.1662	1.2388	3.89976	1.58424	1.60735	31	0.0970361	0.0626108	77.283	0.825595	77.31	0.5	1
14	1.34993	5.50935	0.0916742	1.60329	0.297139	0.257179	0.225116	2.51741	100.072	3.11529	1.28971	3.90314	1.58086	1.55582	31	0.102091	0.0651377	77.2795	0.814634	77.31	0.5	1
15	1.34064	5.65266	0.100221	1.58701	0.253684	0.233641	0.227842	2.50981	100.076	3.06918	1.33582	3.90605	1.57795	1.51335	31	0.107006	0.0686294	77.2762	0.803311	77.31	0.5	1
16	1.32892	5.78829	0.108164	1.57782	0.220838	0.210927	0.228764	2.49677	100.079	3.028	1.377	3.90842	1.57558	1.47843	31	0.111537	0.0728973	77.2733	0.792145	77.31	0.5	1
