Time	[srci]	[srco]	[srca]	[srcc]	[Cbp_P_CSK]	[CSK_cytoplasm]	[PTP]	[PTP_pY789]	[Cbp]	[Cbp_P]
0	1	0	0	0	0	1	1	0	1	0
1	0.986875	0.013125	4.40741e-07	3.33857e-13	4.82363e-06	0.999995	0.967957	0.0320431	0.9999	9.52829e-05
2	0.951394	0.0486023	3.34133e-06	1.83491e-11	1.86759e-05	0.999981	0.941327	0.0586729	0.999798	0.00018301
3	0.899525	0.100464	1.08699e-05	1.82314e-10	4.09095e-05	0.999959	0.919193	0.0808071	0.999692	0.000267377
4	0.836848	0.163127	2.5472e-05	9.16533e-10	7.13866e-05	0.999929	0.90079	0.0992101	0.999574	0.000354314
5	0.768151	0.231799	5.07753e-05	3.23832e-09	0.000110664	0.999889	0.885481	0.114519	0.999437	0.000451998
6	0.697265	0.302642	9.29567e-05	9.35247e-09	0.000160277	0.99984	0.872732	0.127268	0.999267	0.000572378
7	0.627076	0.372761	0.00016313	2.40313e-08	0.000223241	0.999777	0.862095	0.137905	0.999042	0.000734286
8	0.55962	0.440098	0.000281917	5.80244e-08	0.000304989	0.999695	0.853184	0.146816	0.998726	0.000969445
9	0.496228	0.503283	0.000488628	1.36931e-07	0.000415143	0.999585	0.845656	0.154344	0.998251	0.00133419
10	0.437674	0.561465	0.000860182	3.25697e-07	0.000570951	0.999429	0.839185	0.160815	0.997496	0.00193286
11	0.384316	0.614132	0.00155094	8.009e-07	0.00080406	0.999196	0.833416	0.166584	0.99623	0.00296551
12	0.336209	0.660911	0.00287783	2.07952e-06	0.00117418	0.998826	0.827883	0.172117	0.993999	0.0048269
13	0.29321	0.701281	0.00550348	5.79509e-06	0.00179712	0.998203	0.82185	0.17815	0.989889	0.00831397
14	0.255063	0.734092	0.0108276	1.75034e-05	0.00290261	0.997097	0.813982	0.186018	0.98204	0.0150577
15	0.221489	0.756662	0.0217913	5.73261e-05	0.00495265	0.995047	0.801686	0.198314	0.96666	0.0283878
16	0.192308	0.763139	0.044352	0.000201068	0.00887148	0.991129	0.779922	0.220078	0.936259	0.0548691
17	0.167604	0.742309	0.0893544	0.000732586	0.0164313	0.983569	0.739693	0.260307	0.87743	0.106139
18	0.147831	0.677881	0.171665	0.00262294	0.0306509	0.969349	0.668547	0.331453	0.77169	0.197659
19	0.133446	0.560167	0.297897	0.00849007	0.0554181	0.944582	0.55957	0.44043	0.609045	0.335537
20	0.124068	0.410002	0.443259	0.0226713	0.0930726	0.906927	0.428975	0.571025	0.414084	0.492844
21	0.11904	0.27579	0.557788	0.0473817	0.1413	0.8587	0.313432	0.686568	0.241493	0.617207
22	0.119096	0.188308	0.614061	0.0785351	0.194027	0.805973	0.236323	0.763677	0.125618	0.680355
23	0.125229	0.143729	0.622094	0.108948	0.245627	0.754373	0.194636	0.805364	0.0614307	0.692943
24	0.136758	0.125842	0.603504	0.133897	0.293083	0.706917	0.175433	0.824567	0.0294181	0.677498
25	0.151751	0.121893	0.574133	0.152224	0.335481	0.664519	0.168299	0.831701	0.0141348	0.650384
26	0.168262	0.124613	0.542357	0.164768	0.372947	0.627053	0.167238	0.832762	0.00689902	0.620154
27	0.184924	0.130267	0.511883	0.172927	0.405988	0.594012	0.169171	0.830829	0.00343904	0.590573
28	0.200961	0.136991	0.484068	0.17798	0.435179	0.564821	0.17256	0.82744	0.00175364	0.563067
29	0.216011	0.143877	0.459208	0.180904	0.461059	0.538941	0.176624	0.823376	0.000914491	0.538027
30	0.22995	0.150499	0.437166	0.182385	0.484094	0.515906	0.18096	0.81904	0.000487145	0.515419
31	0.24278	0.156676	0.41765	0.182894	0.504678	0.495322	0.185354	0.814646	0.000264686	0.495057
32	0.254563	0.162351	0.400341	0.182745	0.523143	0.476857	0.189689	0.810311	0.00014646	0.47671
33	0.26538	0.167529	0.38494	0.182151	0.539764	0.460236	0.193906	0.806094	8.24081e-05	0.460153
34	0.275321	0.172238	0.371183	0.181258	0.554775	0.445225	0.197973	0.802027	4.70836e-05	0.445178
35	0.284469	0.17652	0.358843	0.180167	0.56837	0.43163	0.201877	0.798123	2.72811e-05	0.431603
36	0.292904	0.180418	0.34773	0.178948	0.580717	0.419283	0.205611	0.794389	1.6012e-05	0.419267
37	0.300695	0.183971	0.337683	0.177651	0.591958	0.408042	0.209178	0.790822	9.50967e-06	0.408033
38	0.307906	0.187217	0.328566	0.176311	0.602214	0.397786	0.212582	0.787418	5.70974e-06	0.39778
39	0.314592	0.190189	0.320266	0.174953	0.611592	0.388408	0.215827	0.784173	3.46284e-06	0.388404
40	0.320801	0.192918	0.312685	0.173597	0.620183	0.379817	0.218921	0.781079	2.11974e-06	0.379815
41	0.326577	0.195427	0.305741	0.172255	0.628065	0.371935	0.22187	0.77813	1.3088e-06	0.371933
42	0.331959	0.197741	0.299363	0.170936	0.63531	0.36469	0.224681	0.775319	8.14572e-07	0.364689
43	0.33698	0.199879	0.293492	0.169649	0.641978	0.358022	0.22736	0.77264	5.10753e-07	0.358021
44	0.341671	0.201858	0.288075	0.168396	0.648123	0.351877	0.229915	0.770085	3.22472e-07	0.351876
45	0.346058	0.203693	0.283067	0.167182	0.653794	0.346206	0.232349	0.767651	2.04914e-07	0.346206
46	0.350165	0.205398	0.278428	0.166009	0.659033	0.340967	0.234671	0.765329	1.30998e-07	0.340967
47	0.354015	0.206984	0.274124	0.164877	0.663877	0.336123	0.236884	0.763116	8.42164e-08	0.336123
48	0.357626	0.208462	0.270124	0.163788	0.668362	0.331638	0.238994	0.761006	5.4427e-08	0.331638
49	0.361016	0.209842	0.266402	0.162741	0.672516	0.327484	0.241005	0.758995	3.53486e-08	0.327484
50	0.364201	0.21113	0.262934	0.161735	0.676369	0.323631	0.242924	0.757076	2.3064e-08	0.323631
