Time	[Cdc20]	[Cdh1]	[cyclin A:Cdk2]	[cyclin B:Cdk2]	[cyclin D:Cdk2]	[cyclin E:Cdk2]	[delayed-response genes]	[E2F]	[E2F:Rb]	[early-response genes]	[general machinery for protein synthesis]	[hypophosphorylated Rb]	[inactive Cdc20]	[mass]	[P27]	[P27:cyclin A:Cdk2]	[P27:cyclin D:Cdk2]	[P27:cyclin E:Cdk2]	[phosphorylated E2F]	[phosphorylated E2F:Rb]	[phosphorylated intermediary enzyme]	[PPX]	[retinoblastoma protein (Rb)]
20	1.46681e-07	0.999062	0.0382724	0.00508028	0.206845	0.438484	0.900533	3.96431	0.891656	0.0121809	0.902956	9.07706	0.0150229	1.12417	0.0432891	0.0479381	0.243421	0.552061	0.117588	0.0264481	1.95987e-05	1	0.00484114
21	1.17242e-07	0.989506	0.307428	0.00512867	0.400921	1.12446	0.900533	4.26469	0.0575839	0.0121809	0.9483	9.93301	0.00731997	1.18062	0.011947	0.0395787	0.049345	0.142783	0.668691	0.00902896	1.97848e-05	1	0.000378834
22	1.08679e-07	0.952825	0.510658	0.00531264	0.395927	0.828013	0.900533	3.608	0.058206	0.0121809	0.99592	9.92018	0.00568521	1.2399	0.0127114	0.0737593	0.0543393	0.11707	1.31262	0.0211759	2.04884e-05	1	0.000438956
23	1.81068e-07	0.538289	0.6818	0.00852564	0.388196	0.534881	0.900533	3.12133	0.063681	0.0121809	1.04593	9.8995	0.00630327	1.30217	0.0138751	0.115319	0.0620705	0.087543	1.7787	0.0362889	3.26738e-05	1	0.000535895
24	8.89954e-06	0.00605168	0.87609	0.230464	0.399969	0.308967	0.900533	2.66137	0.050748	0.0121809	1.09846	9.90593	0.0744545	1.36756	0.0134216	0.115398	0.0502973	0.0390127	2.24507	0.04281	0.000956445	1	0.000510552
25	4.72528e-05	0.00189772	1.06947	0.844254	0.419472	0.100871	0.900533	1.91142	0.0255316	0.0121809	1.15362	9.9337	0.489823	1.43623	0.0122955	0.0808743	0.0307947	0.00716652	3.02267	0.0403748	0.00475367	1	0.000392439
26	0.000124988	0.00114401	1.21137	1.44928	0.429953	0.0478399	0.900533	1.44394	0.0129605	0.0121809	1.21155	9.95523	1.0585	1.50836	0.0109858	0.0584688	0.0203134	0.00214645	3.51157	0.031519	0.0123124	1	0.000292339
27	0.000337586	0.000835707	1.31944	2.02642	0.435472	0.0319425	0.900533	1.18776	0.00775716	0.0121809	1.27239	9.96733	1.64211	1.5841	0.0100199	0.0455883	0.0147943	0.00102732	3.77979	0.0246855	0.0318975	1	0.000233208
28	0.00132503	0.000678634	1.39732	2.57427	0.43865	0.0243225	0.900533	1.0261	0.00525138	0.0121809	1.33628	9.97435	2.20669	1.66365	0.00935614	0.0375288	0.0116163	0.000610098	3.94844	0.0202074	0.105816	1	0.000197805
29	0.0110615	0.000685075	1.36787	3.08283	0.440164	0.0212916	0.900533	0.924166	0.00415432	0.0121809	1.40339	9.97744	2.74114	1.74719	0.00924291	0.0317833	0.010102	0.000464986	4.05346	0.0182211	0.355193	1	0.000184811
30	0.397501	0.0102867	0.118822	3.04439	0.423612	0.0918889	0.900533	1.06639	0.0195133	0.0121809	1.47386	9.90946	3.09874	1.83493	0.0214707	0.00757058	0.0266547	0.005755	3.84376	0.0703353	0.773478	1	0.000690138
31	1.94617e-07	0.999723	6.7981e-05	0.00508155	0.0107623	0.00668849	0.900533	0.136059	2.89217	0.0121809	0.773937	4.76668	1.12077	0.963538	1.05555	0.00313388	0.439504	0.334817	0.0885917	1.88317	1.96056e-05	1	0.457976
