Time	[Hsp90]	[HCom]	[HSF1]	[MisP]	[MCom]	[TriH]	[DiH]	[NatP]	[AggP]	[HSE]	[HSETriH]	[X]	[ROS]	[ATP]	[ADP]	[source]
50	52847.4	6000	0.000227069	0.00435613	246477	-8.34311e-08	-2.13326e-06	5.75402e+06	-5.44273e-09	1	-2.92616e-08	50	100	10149.3	850.737	0
51	51370.7	6000	0.000233596	0.00448022	247950	-8.84444e-08	-2.19556e-06	5.75256e+06	-5.66265e-09	1	-3.1142e-08	51	100	10144.7	855.336	0
52	49951	6000	0.000240235	0.00460643	249365	-9.37022e-08	-2.25898e-06	5.75115e+06	-5.88878e-09	1	-3.31246e-08	52	100	10140.2	859.753	0
53	48586.2	6000	0.000246984	0.00473472	250726	-9.92117e-08	-2.32351e-06	5.7498e+06	-6.1212e-09	1	-3.52136e-08	53	100	10136	863.996	0
54	47274.1	6000	0.000253839	0.00486505	252034	-1.0498e-07	-2.38913e-06	5.74851e+06	-6.36004e-09	1	-3.7413e-08	54	100	10131.9	868.072	0
55	46012.6	6000	0.000260798	0.00499735	253292	-1.11013e-07	-2.45581e-06	5.74726e+06	-6.60537e-09	1	-3.97269e-08	55	100	10128	871.987	0
56	44799.7	6000	0.000267859	0.00513158	254501	-1.17318e-07	-2.52353e-06	5.74606e+06	-6.85731e-09	1	-4.21593e-08	56	100	10124.3	875.748	0
57	43633.6	6000	0.000275018	0.00526767	255664	-1.23901e-07	-2.59227e-06	5.74491e+06	-7.11593e-09	1	-4.47145e-08	57	100	10120.6	879.361	0
58	42512.3	6000	0.000282271	0.00540558	256782	-1.30767e-07	-2.66199e-06	5.7438e+06	-7.38133e-09	1	-4.73964e-08	58	100	10117.2	882.833	0
59	41434.1	6000	0.000289617	0.00554522	257856	-1.37923e-07	-2.73267e-06	5.74273e+06	-7.65359e-09	1	-5.02091e-08	59	100	10113.8	886.169	0
60	40397.3	6000	0.000297049	0.00568652	258890	-1.45372e-07	-2.80427e-06	5.74171e+06	-7.9328e-09	1	-5.31565e-08	60	100	10110.6	889.375	0
61	39400.4	6000	0.000304565	0.00582941	259883	-1.53121e-07	-2.87677e-06	5.74073e+06	-8.21903e-09	1	-5.62425e-08	61	100	10107.5	892.455	0
62	38441.8	6000	0.00031216	0.00597379	260839	-1.61172e-07	-2.95011e-06	5.73978e+06	-8.51237e-09	1	-5.9471e-08	62	100	10104.6	895.415	0
63	37519.9	6000	0.00031983	0.0061196	261758	-1.69529e-07	-3.02426e-06	5.73887e+06	-8.81287e-09	1	-6.28455e-08	63	100	10101.7	898.26	0
64	36633.4	6000	0.00032757	0.00626675	262641	-1.78196e-07	-3.09919e-06	5.738e+06	-9.1206e-09	1	-6.63697e-08	64	100	10099	900.994	0
65	35780.8	6000	0.000335375	0.00641514	263491	-1.87174e-07	-3.17484e-06	5.73716e+06	-9.43563e-09	1	-7.0047e-08	65	100	10096.4	903.622	0
66	34961	6000	0.00034324	0.00656467	264308	-1.96465e-07	-3.25118e-06	5.73635e+06	-9.75802e-09	1	-7.38805e-08	66	100	10093.9	906.147	0
67	34172.4	6000	0.00035116	0.00671524	265094	-2.0607e-07	-3.32815e-06	5.73558e+06	-1.00878e-08	1	-7.78735e-08	67	100	10091.4	908.575	0
68	33414.1	6000	0.00035913	0.00686675	265849	-2.1599e-07	-3.40571e-06	5.73483e+06	-1.0425e-08	1	-8.20287e-08	68	100	10089.1	910.909	0
69	32684.7	6000	0.000367144	0.00701911	266576	-2.26224e-07	-3.4838e-06	5.73411e+06	-1.07698e-08	1	-8.63487e-08	69	100	10086.8	913.152	0
