Time	[G3P]	[PYR]	[ATP]	[NADHm]	[NADHc]	[Vm]	[Cam]	Values[Vp]	Values[Cac]
0	30	10	3700	50	10	100	0.2	-70	0.1
1	29.8972	10.1024	3699.94	52.0834	10.0715	100.028	0.200005	-69.9987	0.0999991
2	29.7948	10.2048	3699.88	54.0134	10.1431	100.064	0.20001	-69.9973	0.0999981
3	29.6928	10.3069	3699.82	55.8054	10.2147	100.105	0.200016	-69.996	0.0999972
4	29.5912	10.4089	3699.76	57.4727	10.2862	100.152	0.200021	-69.9946	0.0999963
5	29.4899	10.5106	3699.7	59.0267	10.3577	100.204	0.200026	-69.9933	0.0999954
6	29.3889	10.6122	3699.64	60.4777	10.429	100.261	0.200031	-69.992	0.0999944
7	29.2883	10.7134	3699.58	61.8348	10.5003	100.322	0.200036	-69.9906	0.0999935
8	29.1881	10.8144	3699.53	63.106	10.5713	100.387	0.200042	-69.9893	0.0999926
9	29.0883	10.9151	3699.47	64.2986	10.6422	100.456	0.200047	-69.9879	0.0999916
10	28.9888	11.0155	3699.41	65.419	10.7129	100.528	0.200052	-69.9866	0.0999907
11	28.8897	11.1156	3699.36	66.4732	10.7834	100.603	0.200057	-69.9853	0.0999898
12	28.7909	11.2153	3699.3	67.4663	10.8536	100.681	0.200063	-69.9839	0.0999889
13	28.6925	11.3148	3699.24	68.4033	10.9236	100.761	0.200068	-69.9826	0.0999879
14	28.5944	11.4138	3699.19	69.2884	10.9934	100.844	0.200073	-69.9812	0.099987
15	28.4967	11.5126	3699.14	70.1256	11.0629	100.928	0.200078	-69.9799	0.0999861
16	28.3993	11.611	3699.08	70.9185	11.1321	101.015	0.200083	-69.9785	0.0999851
17	28.3023	11.709	3699.03	71.6704	11.201	101.103	0.200089	-69.9772	0.0999842
18	28.2057	11.8067	3698.98	72.3844	11.2696	101.193	0.200094	-69.9759	0.0999833
19	28.1094	11.904	3698.93	73.0631	11.338	101.284	0.200099	-69.9745	0.0999824
20	28.0134	12.001	3698.88	73.7092	11.406	101.376	0.200104	-69.9732	0.0999814
21	27.9178	12.0976	3698.83	74.325	11.4737	101.47	0.20011	-69.9718	0.0999805
22	27.8226	12.1938	3698.78	74.9125	11.5411	101.564	0.200115	-69.9705	0.0999796
23	27.7277	12.2896	3698.73	75.4738	11.6082	101.66	0.20012	-69.9692	0.0999787
24	27.6331	12.3851	3698.69	76.0106	11.675	101.756	0.200125	-69.9678	0.0999777
25	27.5389	12.4802	3698.64	76.5248	11.7414	101.853	0.200131	-69.9665	0.0999768
26	27.445	12.5749	3698.59	77.0177	11.8075	101.951	0.200136	-69.9651	0.0999759
27	27.3515	12.6692	3698.55	77.4908	11.8733	102.049	0.200141	-69.9638	0.0999749
28	27.2583	12.7632	3698.51	77.9454	11.9387	102.147	0.200147	-69.9624	0.099974
29	27.1655	12.8567	3698.46	78.3828	12.0038	102.246	0.200152	-69.9611	0.0999731
30	27.073	12.9499	3698.42	78.804	12.0685	102.346	0.200157	-69.9598	0.0999722
31	26.9808	13.0427	3698.38	79.2101	12.1329	102.445	0.200162	-69.9584	0.0999712
32	26.889	13.1352	3698.34	79.6021	12.197	102.545	0.200168	-69.9571	0.0999703
33	26.7975	13.2272	3698.3	79.9808	12.2607	102.644	0.200173	-69.9557	0.0999694
34	26.7063	13.3189	3698.26	80.3472	12.324	102.744	0.200178	-69.9544	0.0999685
35	26.6155	13.4101	3698.22	80.7018	12.387	102.844	0.200184	-69.9531	0.0999675
36	26.525	13.501	3698.19	81.0455	12.4497	102.944	0.200189	-69.9517	0.0999666
37	26.4349	13.5916	3698.15	81.379	12.512	103.044	0.200194	-69.9504	0.0999657
38	26.345	13.6817	3698.11	81.7027	12.574	103.144	0.2002	-69.949	0.0999648
39	26.2555	13.7714	3698.08	82.0174	12.6356	103.243	0.200205	-69.9477	0.0999639
40	26.1664	13.8608	3698.05	82.3235	12.6968	103.342	0.20021	-69.9463	0.0999629
41	26.0775	13.9498	3698.01	82.6214	12.7577	103.442	0.200216	-69.945	0.099962
42	25.989	14.0384	3697.98	82.9118	12.8183	103.541	0.200221	-69.9437	0.0999611
43	25.9009	14.1267	3697.95	83.1949	12.8785	103.639	0.200226	-69.9423	0.0999602
44	25.813	14.2145	3697.92	83.4713	12.9384	103.738	0.200232	-69.941	0.0999592
45	25.7255	14.302	3697.89	83.7411	12.9979	103.836	0.200237	-69.9396	0.0999583
46	25.6383	14.3891	3697.86	84.0049	13.057	103.933	0.200242	-69.9383	0.0999574
47	25.5514	14.4758	3697.84	84.2629	13.1158	104.031	0.200248	-69.9369	0.0999565
48	25.4649	14.5622	3697.81	84.5154	13.1743	104.128	0.200253	-69.9356	0.0999555
49	25.3786	14.6482	3697.78	84.7627	13.2324	104.224	0.200258	-69.9343	0.0999546
50	25.2927	14.7338	3697.76	85.005	13.2901	104.321	0.200264	-69.9329	0.0999537
51	25.2071	14.819	3697.73	85.2426	13.3475	104.416	0.200269	-69.9316	0.0999528
