Time	Values[v]	Values[u]
0	-63.8	63.8
1	-63.7834	63.8002
2	-63.7686	63.8007
3	-63.7559	63.8014
4	-63.7453	63.8025
5	-63.7368	63.8037
6	-63.7303	63.8051
7	-63.7259	63.8067
8	-63.7234	63.8083
9	-63.7227	63.81
10	-63.7238	63.8118
11	-63.7264	63.8135
12	-63.7304	63.8153
13	-63.7357	63.8169
14	-63.7421	63.8185
15	-63.7493	63.82
16	-63.7571	63.8213
17	-63.7655	63.8226
18	-63.7741	63.8236
19	-63.7828	63.8245
20	-63.7914	63.8253
21	-63.7999	63.8259
22	-63.8081	63.8263
23	-63.8157	63.8266
24	-63.8228	63.8268
25	-63.8293	63.8268
26	-63.835	63.8267
27	-63.84	63.8265
28	-63.8443	63.8262
29	-63.8478	63.8258
30	-63.8505	63.8253
31	-63.8525	63.8248
32	-63.8537	63.8242
33	-63.8543	63.8236
34	-63.8542	63.823
35	-63.8536	63.8223
36	-63.8524	63.8217
37	-63.8508	63.8211
38	-63.8487	63.8205
39	-63.8464	63.82
40	-63.8438	63.8195
41	-63.841	63.819
42	-63.838	63.8186
43	-63.835	63.8182
44	-63.8319	63.8179
45	-63.8289	63.8177
46	-63.826	63.8175
47	-63.8232	63.8173
48	-63.8206	63.8172
49	-63.8181	63.8172
50	-63.816	63.8172
51	-68.2667	63.7702
52	-71.066	63.6482
53	-72.3981	63.483
54	-72.8852	63.297
55	-72.9683	63.1021
56	-72.8706	62.9035
57	-72.6923	62.7039
58	-72.4766	62.5042
59	-72.242	62.3051
60	-71.9961	62.1069
61	-71.7423	61.9096
62	-71.482	61.7136
63	-71.2155	61.5189
64	-70.943	61.3258
65	-70.6643	61.1343
66	-70.3791	60.9447
67	-70.0871	60.757
68	-69.7879	60.5715
69	-69.481	60.3884
70	-69.1658	60.2079
71	-68.8419	60.0302
72	-68.5084	59.8556
73	-68.1646	59.6842
74	-67.8094	59.5165
75	-67.4418	59.3526
76	-67.0604	59.1931
77	-66.6635	59.0381
78	-66.2491	58.8882
79	-65.8145	58.7438
80	-65.3566	58.6056
81	-64.8712	58.474
82	-64.3527	58.35
83	-63.7935	58.2343
84	-63.183	58.128
85	-62.5058	58.0326
86	-61.7384	57.9498
87	-60.8428	57.882
88	-59.754	57.8328
89	-58.3488	57.8074
90	-56.3621	57.8151
91	-53.1004	57.8741
92	-45.9946	58.0306
93	-11.319	58.4992
94	-66.194	66.8359
95	-72.196	66.7828
96	-75.0084	66.6406
97	-75.9623	66.46
98	-76.1739	66.2653
99	-76.1244	66.0653
100	-75.9851	65.8635
