Time	[Receptor]	[Open State]	[Inactivated State 1]	[Shut State]	[Activated State]	[Inactivated State 2]
0	1	0	0	0	0	0
1	0.000696556	8.23987e-05	0.00970601	2.6147e-07	0.382932	0.606583
2	0.000349765	6.5868e-05	0.0042882	2.06236e-07	0.327943	0.667353
3	0.000204076	6.23712e-05	0.00190442	1.94853e-07	0.32386	0.673969
4	0.000140501	6.11147e-05	0.000856013	1.90809e-07	0.323564	0.675378
5	0.000112579	6.05832e-05	0.000394941	1.89102e-07	0.323547	0.675885
6	0.000100302	6.0351e-05	0.000192171	1.88357e-07	0.323547	0.6761
7	9.49035e-05	6.0249e-05	0.000102998	1.88029e-07	0.323548	0.676194
8	9.25293e-05	6.02041e-05	6.37819e-05	1.87885e-07	0.323548	0.676235
9	9.14852e-05	6.01844e-05	4.65356e-05	1.87822e-07	0.323549	0.676253
10	9.1026e-05	6.01757e-05	3.8951e-05	1.87794e-07	0.323549	0.676261
11	9.0824e-05	6.01719e-05	3.56155e-05	1.87782e-07	0.323549	0.676265
12	9.07352e-05	6.01702e-05	3.41487e-05	1.87777e-07	0.323549	0.676266
13	9.06962e-05	6.01695e-05	3.35035e-05	1.87774e-07	0.323549	0.676267
14	9.0679e-05	6.01692e-05	3.32198e-05	1.87773e-07	0.323549	0.676267
15	9.06715e-05	6.0169e-05	3.30951e-05	1.87773e-07	0.323549	0.676267
16	9.06681e-05	6.0169e-05	3.30402e-05	1.87773e-07	0.323549	0.676267
17	9.06667e-05	6.01689e-05	3.30161e-05	1.87772e-07	0.323549	0.676267
18	9.0666e-05	6.01689e-05	3.30055e-05	1.87772e-07	0.323549	0.676267
19	9.06657e-05	6.01689e-05	3.30008e-05	1.87772e-07	0.323549	0.676267
20	9.06656e-05	6.01689e-05	3.29987e-05	1.87772e-07	0.323549	0.676267
21	9.06656e-05	6.01689e-05	3.29978e-05	1.87772e-07	0.323549	0.676267
22	9.06655e-05	6.01689e-05	3.29974e-05	1.87772e-07	0.323549	0.676267
23	9.06655e-05	6.01689e-05	3.29973e-05	1.87772e-07	0.323549	0.676267
24	9.06655e-05	6.01689e-05	3.29972e-05	1.87772e-07	0.323549	0.676267
25	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
26	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
27	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
28	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
29	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
30	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
31	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
32	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
33	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
34	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
35	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
36	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
37	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
38	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
39	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
40	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
41	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
42	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
43	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
44	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
45	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
46	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
47	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
48	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
49	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
50	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
51	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
52	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
53	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
54	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
55	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
56	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
57	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
58	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
59	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
60	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
61	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
62	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
63	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
64	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
65	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
66	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
67	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
68	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
69	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
70	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
71	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
72	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
73	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
74	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
75	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
76	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
77	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
78	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
79	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
80	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
81	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
82	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
83	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
84	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
85	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
86	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
87	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
88	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
89	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
90	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
91	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
92	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
93	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
94	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
95	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
96	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
97	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
98	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
99	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
100	9.06655e-05	6.01689e-05	3.29971e-05	1.87772e-07	0.323549	0.676267
