Time	[HP{Lumen}]	[HP Dose]	[LB]	[LB Dose]	[nTh1]	[nTh1_LP]	[nTh17]	[nTh17_LP]	[nTreg]	[nTreg_LP]	[eDC{"Lamina Propia"}]	[Th1{"Lamina Propia"}]	[iTreg{"Lamina Propia"}]	[Th17{"Lamina Propia"}]	[M1]	[M2]	[M0]	[tDC{"Lamina Propia"}]	[emT]	[HP{"Lamina Propia"}]	[iDC{"Lamina Propia"}]	[TotalDC{"Lamina Propia"}]	[TotalM]	[TotalT{"Lamina Propia"}]	[eDCLB{"Lamina Propia"}]	[pEC]	[E]	[Ep]	[Edead]	[iDC{Epithelium}]	[eDC{"Gastric Lymph Node"}]	[tDC{"Gastric Lymph Node"}]	[nT]	[cmT]	[Th17{"Gastric Lymph Node"}]	[Th1{"Gastric Lymph Node"}]	[iTreg{"Gastric Lymph Node"}]	[TotalDC{"Gastric Lymph Node"}]	[TotalT{"Gastric Lymph Node"}]	[TotalT-s]	[eDCLB{"Gastric Lymph Node"}]
39	-6.77009e-23	0.0534	0.215154	1	1.21133e+06	1.87969e+06	981680	428787	1.56909e+06	2.1841e+06	46263.1	207956	332819	159764	1.82811e+06	762486	17050.3	73811.9	1541.9	-1.96024e-31	875834	1.63959e+06	2.60765e+06	702081	9.1969e-17	1	9997.77	6.88128e-26	2.22667	643684	105245	167916	9.91846e+07	25812.8	7047.67	12635.5	27122.3	273160	9.92572e+07	99678.5	2.65041e-15
40	8.9832e-23	0.0534	0.200327	1	1.2114e+06	1.89725e+06	981731	428886	1.56917e+06	2.19393e+06	43475.6	187802	301951	142394	1.83777e+06	780137	17459.1	69364.4	1379.83	2.58761e-31	883365	1.64549e+06	2.63537e+06	633528	-7.82572e-18	1	9997.8	2.67086e-25	2.19654	649282	99042.8	158021	9.91846e+07	24815.5	6503.61	11856.7	25560.1	257064	9.92534e+07	99648.7	-4.07008e-18
41	-6.94057e-23	0.0534	0.186523	1	1.21146e+06	1.91382e+06	981771	428966	1.56923e+06	2.20285e+06	40833.8	169804	274593	126820	1.84471e+06	799452	17912.6	65149.5	1236.87	-1.99716e-31	890509	1.65108e+06	2.66207e+06	572454	-9.46969e-18	1	9997.83	-1.0994e-25	2.16834	654593	93150	148619	9.91846e+07	23899.8	6002.62	11138.5	24118.8	241769	9.92498e+07	99621.1	-2.1815e-16
42	-1.10809e-22	0.0534	0.173669	1	1.2115e+06	1.92945e+06	981804	429031	1.56928e+06	2.21093e+06	38332.7	153719	250300	112874	1.84885e+06	820465	18412	61159.1	1110.66	-3.1596e-31	897277	1.65639e+06	2.68773e+06	518003	1.9484e-17	1	9997.86	-1.84101e-25	2.14142	659624	87557.2	139696	9.91846e+07	23059.1	5542.02	10475.5	22786.5	227253	9.92465e+07	99595.7	4.88389e-16
43	2.71789e-22	0.0534	0.161702	1	1.21154e+06	1.9442e+06	981831	429084	1.56932e+06	2.21826e+06	35967.2	139333	228670	100416	1.8503e+06	843062	18956.6	57385	999.1	7.74353e-31	903684	1.66142e+06	2.71232e+06	469418	8.52888e-18	1	9997.88	2.94987e-25	2.11535	664387	82255	131236	9.91846e+07	22287.3	5119.32	9862.97	21552.7	213491	9.92435e+07	99572.3	2.55457e-16
44	2.17483e-23	0.0534	0.150559	1	1.21157e+06	1.95811e+06	981852	429127	1.56935e+06	2.22491e+06	33732	126459	209341	89331.8	1.84932e+06	866951	19543.3	53818.7	900.401	6.1687e-32	909741	1.66618e+06	2.73582e+06	426032	-3.37779e-18	1	9997.91	-2.16111e-25	2.08988	668889	77233.3	123224	9.91846e+07	21579.1	4732.15	9296.44	20407.9	200458	9.92407e+07	99550.6	-6.21333e-17
45	-1.6305e-25	0.0534	0.140184	1	1.21159e+06	1.97124e+06	981869	429162	1.56937e+06	2.23092e+06	31621.7	114929	191993	79519.8	1.8464e+06	891649	20166.9	50451.9	812.981	-4.57785e-34	915463	1.67068e+06	2.75821e+06	387255	-1.10207e-18	1	9997.94	-7.26906e-26	2.06499	673143	72482.2	115644	9.91846e+07	20929.6	4378.21	8772.05	19343.9	188126	9.92381e+07	99530.5	-2.06354e-17
46	2.67516e-27	0.0534	0.130524	1	1.21161e+06	1.98362e+06	981883	429190	1.56939e+06	2.23638e+06	29631.1	104595	176352	70884.5	1.84215e+06	916521	20820.1	47275.9	735.462	7.47372e-36	920864	1.67493e+06	2.7795e+06	352568	-4.45146e-19	1	9997.96	-5.10102e-26	2.04086	677158	67991.1	108479	9.91846e+07	20334.2	4055.28	8286.25	18353.2	176470	9.92357e+07	99511.9	-9.00054e-18
47	1.1603e-26	0.0534	0.121529	1	1.21163e+06	1.99531e+06	981894	429213	1.56941e+06	2.24132e+06	27754.8	95327.3	162186	63329.5	1.83732e+06	940845	21494.7	44282.3	666.64	3.24242e-35	925957	1.67894e+06	2.79966e+06	321510	-1.61986e-19	1	9997.98	-1.56376e-26	2.01786	680943	63749.7	101712	9.91846e+07	19789	3761.22	7835.82	17429.4	165461	9.92335e+07	99494.7	-3.43371e-18
48	-1.08466e-26	0.0534	0.113154	1	1.21164e+06	2.00632e+06	981903	429232	1.56942e+06	2.24579e+06	25987.7	87009.2	149307	56753.8	1.83264e+06	963899	22182.7	41462.9	605.462	-3.03175e-35	930754	1.68271e+06	2.81872e+06	293676	-5.97446e-20	1	9998	-5.67706e-27	1.99645	684510	59747.5	95326.1	9.91846e+07	19290.1	3493.92	7417.83	16566.6	155074	9.92314e+07	99478.7	-1.33572e-18
