Time	[HP{Lumen}]	[HP Dose]	[LB]	[LB Dose]	[nTh1]	[nTh1_LP]	[nTh17]	[nTh17_LP]	[nTreg]	[nTreg_LP]	[eDC{"Lamina Propia"}]	[Th1{"Lamina Propia"}]	[iTreg{"Lamina Propia"}]	[Th17{"Lamina Propia"}]	[M1]	[M2]	[M0]	[tDC{"Lamina Propia"}]	[emT]	[HP{"Lamina Propia"}]	[iDC{"Lamina Propia"}]	[TotalDC{"Lamina Propia"}]	[TotalM]	[TotalT{"Lamina Propia"}]	[eDCLB{"Lamina Propia"}]	[pEC]	[E]	[Ep]	[Edead]	[iDC{Epithelium}]	[eDC{"Gastric Lymph Node"}]	[tDC{"Gastric Lymph Node"}]	[nT]	[cmT]	[Th17{"Gastric Lymph Node"}]	[Th1{"Gastric Lymph Node"}]	[iTreg{"Gastric Lymph Node"}]	[TotalDC{"Gastric Lymph Node"}]	[TotalT{"Gastric Lymph Node"}]	[TotalT-s]	[eDCLB{"Gastric Lymph Node"}]
49	-1.50231e-27	0.0534	0.105357	1	1.21165e+06	2.01672e+06	981910	429247	1.56943e+06	2.24985e+06	24324.4	79538.7	137564	51053.3	1.82876e+06	985049	22876.3	38809.2	551.009	-4.18831e-36	935271	1.68627e+06	2.83668e+06	268707	-2.1352e-20	1	9998.02	-2.13647e-27	1.97712	687867	55974.1	89305.6	9.91846e+07	18834.2	3251.32	7029.63	15759.6	145280	9.92295e+07	99463.9	-4.98624e-19
50	-8.81417e-28	0.0534	0.0980967	1	1.21166e+06	2.02652e+06	981916	429259	1.56944e+06	2.25352e+06	22760.1	72824.6	126837	46123	1.82619e+06	1.0038e+06	23568.9	36313.3	502.479	-2.44895e-36	939520	1.68962e+06	2.85357e+06	246287	-7.68071e-21	1	9998.04	-6.65273e-28	1.96026	691026	52418.9	83633.5	9.91846e+07	18418.2	3031.43	6668.75	15003.8	136052	9.92278e+07	99450.1	-1.8862e-19
51	-1.82042e-27	0.0534	0.0913368	1	1.21167e+06	2.03577e+06	981920	429269	1.56945e+06	2.25684e+06	21289.7	66786	117027	41861.5	1.8253e+06	1.01985e+06	24254.8	33967.3	459.167	-5.05648e-36	943514	1.69276e+06	2.8694e+06	226134	-2.78731e-21	1	9998.05	-2.73092e-28	1.94619	693994	49071.9	78293.4	9.91846e+07	18039.3	2832.35	6332.98	14295.1	127365	9.92261e+07	99437.3	-7.13768e-20
52	-6.11188e-27	0.0534	0.0850427	1	1.21167e+06	2.0445e+06	981924	429276	1.56945e+06	2.25985e+06	19908.4	61350.9	108054	38173.7	1.82625e+06	1.03304e+06	24929	31763.4	420.46	-1.69732e-35	947265	1.69572e+06	2.88422e+06	207999	-1.05749e-21	1	9998.06	-8.41545e-29	1.93505	696783	45923	73269.4	9.91846e+07	17694.8	2652.21	6020.25	13629.7	119192	9.92246e+07	99425.4	-2.70287e-20
53	-4.17525e-28	0.0534	0.0791824	1	1.21168e+06	2.05273e+06	981927	429283	1.56946e+06	2.26257e+06	18611.5	56455.1	99848.9	34974	1.82907e+06	1.04339e+06	25586.8	29694.3	385.818	-1.12594e-36	950786	1.69849e+06	2.89804e+06	191664	-4.38132e-22	1	9998.07	-4.33733e-29	1.92687	699400	42962.4	68545.7	9.91846e+07	17382.4	2489.28	5728.7	13004.5	111508	9.92233e+07	99414.3	-1.127e-20
54	5.5529e-26	0.0534	0.0737258	1	1.21168e+06	2.06049e+06	981929	429288	1.56946e+06	2.26504e+06	17394.5	52041.3	92349.8	32186.1	1.83365e+06	1.05105e+06	26224.1	27752.6	354.768	1.53601e-34	954089	1.70109e+06	2.91092e+06	176932	-1.48806e-22	1	9998.08	-3.4162e-30	1.92152	701855	40180.5	64107.2	9.91846e+07	17099.9	2341.89	5456.6	12416.3	104288	9.9222e+07	99403.9	-4.05842e-21
55	-7.57961e-27	0.0534	0.0686454	1	1.21168e+06	2.06781e+06	981931	429292	1.56946e+06	2.26727e+06	16253.1	48058.5	85501.2	29744.5	1.83979e+06	1.05626e+06	26837.1	25931.6	326.898	-2.09654e-35	957185	1.70353e+06	2.92289e+06	163631	-5.87056e-23	1	9998.08	1.78743e-29	1.91877	704157	37567.9	59939	9.91846e+07	16845.2	2208.49	5202.37	11862.4	97506.9	9.92208e+07	99394.2	-1.45017e-21
56	-1.01817e-26	0.0534	0.063915	1	1.21169e+06	2.07471e+06	981933	429296	1.56947e+06	2.26929e+06	15183.1	44461.1	79251.4	27593.2	1.84722e+06	1.05936e+06	27422.2	24224.4	301.843	-2.80537e-35	960085	1.70581e+06	2.934e+06	151608	-3.5287e-23	1	9998.08	-1.33812e-29	1.91832	706313	35115.8	56026.7	9.91846e+07	16616.5	2087.63	4964.56	11340.3	91142.5	9.92197e+07	99385.2	-8.77572e-22
57	2.42564e-27	0.0534	0.0595105	1	1.21169e+06	2.08123e+06	981934	429298	1.56947e+06	2.27112e+06	14180.5	41208.3	73552.2	25685.4	1.85563e+06	1.06067e+06	27976.4	22624.7	279.285	6.67618e-36	962801	1.70794e+06	2.94428e+06	140725	-8.09968e-24	1	9998.08	-2.37592e-30	1.91981	708332	32815.5	52356.5	9.91846e+07	16412.1	1977.98	4741.84	10847.9	85172	9.92186e+07	99376.7	-3.00295e-22
58	5.90849e-27	0.0534	0.0554096	1	1.21169e+06	2.08737e+06	981935	429301	1.56947e+06	2.27278e+06	13241.3	38264	68357.9	23982.2	1.86473e+06	1.06057e+06	28497.5	21126.3	258.941	1.61151e-35	965343	1.70993e+06	2.95379e+06	130863	-1.37738e-24	1	9998.08	6.85387e-30	1.92288	710221	30658.5	48915.1	9.91846e+07	16230.4	1878.3	4532.99	10383	79573.7	9.92177e+07	99368.8	-3.41767e-23
59	-3.28054e-27	0.0534	0.0515913	1	1.21169e+06	2.09317e+06	981936	429302	1.56947e+06	2.27428e+06	12362	35595.7	63625.4	22451.9	1.87422e+06	1.05937e+06	28983.5	19723.3	240.564	-8.94804e-36	967720	1.71179e+06	2.96258e+06	121914	-4.42487e-24	1	9998.07	-4.01212e-30	1.92715	711988	28636.9	45689.7	9.91846e+07	16069.8	1787.49	4336.91	9943.66	74326.7	9.92168e+07	99361.4	-9.32038e-23
60	-1.09843e-27	0.0534	0.0480361	1	1.21169e+06	2.09863e+06	981937	429304	1.56947e+06	2.27563e+06	11539	33174.5	59314	21068.7	1.88387e+06	1.05739e+06	29433.8	18410.2	223.938	-2.91151e-36	969943	1.71353e+06	2.97069e+06	113781	-2.69332e-25	1	9998.07	-1.88027e-30	1.93228	713640	26743	42668	9.91846e+07	15929	1704.52	4152.55	9528.26	69411.1	9.9216e+07	99354.4	-3.28898e-23
61	3.41289e-26	0.0534	0.0447259	1	1.21169e+06	2.10379e+06	981937	429305	1.56947e+06	2.27686e+06	10768.9	30974.5	55385.6	19811.6	1.89345e+06	1.05487e+06	29848.1	17181.7	208.869	9.23577e-35	972020	1.71515e+06	2.97817e+06	106381	3.98498e-24	1	9998.06	1.71494e-29	1.93797	715184	24969.5	39838.3	9.91846e+07	15806.7	1628.47	3979.01	9135.13	64807.8	9.92152e+07	99347.9	7.3687e-23
62	1.72996e-26	0.0534	0.0416438	1	1.21169e+06	2.10865e+06	981938	429306	1.56947e+06	2.27797e+06	10048.7	28972.8	51804.5	18663.8	1.90281e+06	1.05204e+06	30227	16032.5	195.188	4.64211e-35	973960	1.71667e+06	2.98508e+06	99636.3	1.93814e-24	1	9998.06	1.75317e-29	1.94398	716627	23309.2	37189.4	9.91846e+07	15701.7	1558.54	3815.41	8762.79	60498.6	9.92145e+07	99341.7	5.74038e-23
63	-5.01111e-25	0.0534	0.0387741	1	1.21169e+06	2.11323e+06	981938	429307	1.56947e+06	2.27898e+06	9375.28	27148.9	48537.6	17611.4	1.91182e+06	1.04906e+06	30571.8	14958.1	182.745	-1.35005e-33	975772	1.71808e+06	2.99145e+06	93480.6	-8.37834e-25	1	9998.05	-9.4739e-29	1.95009	717974	21755.5	34710.6	9.91846e+07	15612.9	1493.97	3660.98	8409.87	56466.1	9.92138e+07	99335.9	-7.5198e-24
64	1.62616e-24	0.0534	0.0361022	1	1.2117e+06	2.11756e+06	981938	429307	1.56947e+06	2.27989e+06	8745.77	25484.4	45554.5	16643.2	1.92039e+06	1.04606e+06	30884	13953.7	171.409	4.37844e-33	977464	1.71939e+06	2.99733e+06	87853.5	-5.15214e-25	1	9998.04	3.19201e-28	1.95615	719232	20302.1	32391.7	9.91846e+07	15539.2	1434.12	3515.02	8075.1	52693.8	9.92132e+07	99330.4	-1.58729e-23
65	-3.0356e-24	0.0534	0.0336144	1	1.2117e+06	2.12164e+06	981939	429308	1.56947e+06	2.28071e+06	8157.47	23963	42827.3	15750	1.92848e+06	1.04312e+06	31165.8	13015.1	161.061	-8.17461e-33	979043	1.72062e+06	3.00276e+06	82701.3	6.4219e-25	1	9998.04	-6.01474e-28	1.96203	720406	18943	30223.2	9.91846e+07	15479.6	1378.42	3376.87	7757.3	49166.1	9.92126e+07	99325.2	1.02153e-23
66	-6.57093e-24	0.0534	0.031298	1	1.2117e+06	2.12549e+06	981939	429308	1.56947e+06	2.28145e+06	7607.84	22570.1	40330.7	14923.8	1.93606e+06	1.04031e+06	31419.2	12138.2	151.599	-1.75796e-32	980517	1.72176e+06	3.00779e+06	77976.2	3.16988e-25	1	9998.03	-1.65498e-27	1.96767	721501	17672.3	28195.8	9.91846e+07	15433.1	1326.37	3245.93	7455.36	45868	9.92121e+07	99320.3	1.00065e-23
67	9.07332e-23	0.0534	0.0291412	1	1.2117e+06	2.12912e+06	981939	429309	1.56948e+06	2.28213e+06	7094.44	21292.9	38041.6	14158.2	1.94311e+06	1.03768e+06	31646.7	11319.1	142.93	2.43131e-31	981893	1.72283e+06	3.01244e+06	73635.6	-3.00248e-25	1	9998.03	2.1665e-26	1.973	722524	16484.6	26300.9	9.91846e+07	15399	1277.52	3121.68	7168.28	42785.5	9.92116e+07	99315.7	-3.97992e-24
68	-2.82718e-22	0.0534	0.0271331	1	1.2117e+06	2.13254e+06	981939	429309	1.56948e+06	2.28274e+06	6615	20119.6	35939.4	13447.4	1.94966e+06	1.03523e+06	31850.6	10554.1	134.974	-7.5708e-31	983176	1.72382e+06	3.01675e+06	69641.3	-1.77963e-25	1	9998.02	-6.87205e-26	1.97801	723478	15374.9	24530.3	9.91846e+07	15376.3	1231.49	3003.62	6895.1	39905.2	9.92111e+07	99311.3	-5.20676e-24
69	1.06171e-21	0.0534	0.0252633	1	1.2117e+06	2.13577e+06	981939	429309	1.56948e+06	2.28329e+06	6167.36	19040	34005.3	12786.3	1.95572e+06	1.03299e+06	32033.1	9839.91	127.657	2.83864e-30	984374	1.72475e+06	3.02075e+06	65959.3	1.41629e-25	1	9998.02	3.96465e-25	1.98267	724369	14338.2	22876.3	9.91846e+07	15364.3	1187.96	2891.3	6634.94	37214.5	9.92107e+07	99307.1	1.87989e-24
70	9.87077e-22	0.0534	0.0235224	1	1.2117e+06	2.13882e+06	981939	429309	1.56948e+06	2.28379e+06	5749.49	18044.8	32222.8	12170.6	1.96132e+06	1.03095e+06	32196.4	9173.21	120.916	2.64001e-30	985492	1.72561e+06	3.02447e+06	62559.1	1.17378e-26	1	9998.01	5.20411e-25	1.98699	725200	13369.9	21331.5	9.91846e+07	15362.2	1146.64	2784.32	6386.99	34701.4	9.92103e+07	99303.2	1.38927e-24
71	-9.93079e-22	0.0534	0.0219015	1	1.2117e+06	2.14169e+06	981939	429309	1.56948e+06	2.28424e+06	5359.48	17125.8	30576.8	11596.3	1.96648e+06	1.02911e+06	32342.5	8550.95	114.694	-2.65259e-30	986534	1.72642e+06	3.02794e+06	59413.6	-1.69438e-25	1	9998.01	2.64748e-25	1.99098	725975	12465.8	19889	9.91846e+07	15369.3	1107.3	2682.31	6150.49	32354.8	9.92099e+07	99299.4	-2.18528e-24
72	8.42031e-21	0.0534	0.0203922	1	1.2117e+06	2.1444e+06	981939	429309	1.56948e+06	2.28465e+06	4995.54	16275.6	29054	11060	1.97124e+06	1.02746e+06	32473.3	7970.29	108.938	2.25029e-29	987508	1.72717e+06	3.03117e+06	56498.5	-1.46197e-25	1	9998.01	4.08638e-25	1.99465	726698	11621.8	18542.3	9.91846e+07	15385	1069.73	2584.92	5924.72	30164.1	9.92096e+07	99295.8	-3.03322e-24
73	2.57742e-21	0.0534	0.018987	1	1.2117e+06	2.14695e+06	981939	429309	1.56948e+06	2.28502e+06	4655.97	15487.5	27642.4	10558.4	1.97562e+06	1.02598e+06	32590.5	7428.51	103.605	6.8804e-30	988416	1.72787e+06	3.03419e+06	53791.9	-8.10355e-27	1	9998	1.38058e-24	1.99803	727374	10833.9	17285.3	9.91846e+07	15408.6	1033.76	2491.86	5709.03	28119.2	9.92093e+07	99292.4	-6.79318e-25
74	-5.5303e-21	0.0534	0.0176786	1	1.2117e+06	2.14936e+06	981939	429310	1.56948e+06	2.28536e+06	4339.18	14755.9	26331.4	10088.6	1.97966e+06	1.02466e+06	32695.7	6923.08	98.6539	-1.47626e-29	989263	1.72853e+06	3.03701e+06	51274.5	2.35078e-26	1	9998	3.68441e-25	2.00113	728004	10098.6	16112.2	9.91846e+07	15439.5	999.243	2402.83	5502.81	26210.8	9.9209e+07	99289.1	5.74883e-25
75	8.69812e-21	0.0534	0.0164603	1	1.2117e+06	2.15164e+06	981939	429310	1.56948e+06	2.28566e+06	4043.69	14075.3	25111.3	9648.02	1.98338e+06	1.02349e+06	32790.1	6451.64	94.0481	2.32309e-29	990054	1.72914e+06	3.03966e+06	48928.6	-2.70236e-26	1	9998	-1.9769e-26	2.00398	728592	9412.54	15017.5	9.91846e+07	15477.2	966.064	2317.6	5305.48	24430.1	9.92087e+07	99286	-2.40016e-25
76	-5.01683e-21	0.0534	0.015326	1	1.2117e+06	2.15378e+06	981939	429310	1.56948e+06	2.28594e+06	3768.11	13441	23973.7	9234.32	1.98683e+06	1.02245e+06	32875.1	6011.95	89.7558	-1.33153e-29	990792	1.72971e+06	3.04215e+06	46738.8	-4.40275e-26	1	9997.99	-1.84543e-26	2.00659	729140	8772.44	13996.3	9.91846e+07	15521.1	934.117	2235.91	5116.52	22768.7	9.92084e+07	99283	-8.77476e-25
77	-1.08349e-21	0.0534	0.0142699	1	1.2117e+06	2.1558e+06	981939	429310	1.56948e+06	2.28618e+06	3511.11	12848.9	22911	8845.31	1.99001e+06	1.02154e+06	32951.6	5601.91	85.7483	-2.9196e-30	991481	1.73025e+06	3.04449e+06	44691	-5.4872e-27	1	9997.99	-6.58659e-25	2.00899	729652	8175.34	13043.6	9.91846e+07	15570.8	903.317	2157.57	4935.45	21218.9	9.92082e+07	99280.1	-2.30579e-25
78	7.02624e-21	0.0534	0.0132866	1	1.2117e+06	2.15771e+06	981939	429310	1.56948e+06	2.28641e+06	3271.47	12295	21916.5	8479.02	1.99295e+06	1.02073e+06	33020.7	5219.57	81.9996	1.87032e-29	992124	1.73074e+06	3.0467e+06	42772.5	1.31842e-26	1	9997.99	2.53306e-25	2.0112	730130	7618.41	12155	9.91846e+07	15625.6	873.592	2082.38	4761.8	19773.4	9.92079e+07	99277.4	3.13468e-25
79	3.66529e-21	0.0534	0.012371	1	1.2117e+06	2.15951e+06	981939	429310	1.56948e+06	2.28661e+06	3048.04	11776.2	20983.9	8133.66	1.99568e+06	1.02002e+06	33083.1	4863.1	78.4869	9.73677e-30	992724	1.73121e+06	3.04878e+06	40972.2	3.63119e-27	1	9997.99	1.74325e-24	2.01323	730576	7099.02	11326.4	9.91846e+07	15685.2	844.88	2010.15	4595.17	18425.4	9.92077e+07	99274.8	2.15828e-25
80	1.26698e-20	0.0534	0.0115185	1	1.2117e+06	2.16121e+06	981939	429310	1.56948e+06	2.2868e+06	2839.75	11289.2	20107.9	7807.6	1.99821e+06	1.0194e+06	33139.7	4530.77	75.1895	3.39281e-29	993283	1.73165e+06	3.05076e+06	39279.9	-8.48233e-27	1	9997.98	4.77269e-24	2.0151	730992	6614.68	10553.6	9.91846e+07	15749.2	817.128	1940.73	4435.15	17168.3	9.92075e+07	99272.3	-1.07479e-25
81	-6.90785e-21	0.0534	0.0107247	1	1.2117e+06	2.16281e+06	981939	429310	1.56948e+06	2.28696e+06	2645.58	10831.4	19283.6	7499.34	2.00057e+06	1.01886e+06	33191	4220.97	72.0888	-1.8503e-29	993806	1.73205e+06	3.05262e+06	37686.5	-2.10593e-27	1	9997.98	2.60897e-24	2.01683	731381	6163.09	9833.09	9.91846e+07	15817.1	790.291	1873.97	4281.4	15996.2	9.92074e+07	99269.9	-6.95519e-26
82	4.18351e-21	0.0534	0.0099857	1	1.2117e+06	2.16432e+06	981939	429310	1.56948e+06	2.28711e+06	2464.59	10400.3	18506.7	7207.54	2.00276e+06	1.01839e+06	33237.7	3932.21	69.1683	1.11981e-29	994293	1.73243e+06	3.05439e+06	36183.7	4.40712e-27	1	9997.98	-1.09608e-25	2.01843	731743	5742.06	9161.34	9.91846e+07	15888.5	764.329	1809.72	4133.57	14903.4	9.92072e+07	99267.6	8.00045e-26
83	3.21217e-21	0.0534	0.00929758	1	1.2117e+06	2.16574e+06	981939	429310	1.56948e+06	2.28725e+06	2295.9	9993.69	17773.2	6930.97	2.00481e+06	1.01798e+06	33280.2	3663.07	66.4132	8.67153e-30	994748	1.73279e+06	3.05607e+06	34764.3	2.46598e-27	1	9997.98	5.71913e-25	2.0199	732081	5349.56	8535.12	9.91846e+07	15963.1	739.206	1747.86	3991.36	13884.7	9.9207e+07	99265.3	8.97518e-26
84	-5.82485e-23	0.0534	0.00865688	1	1.2117e+06	2.16708e+06	981939	429310	1.56948e+06	2.28737e+06	2138.68	9609.6	17079.6	6668.49	2.00672e+06	1.01763e+06	33319	3412.23	63.8098	-3.64197e-31	995172	1.73312e+06	3.05767e+06	33421.5	-4.02054e-27	1	9997.98	2.40635e-24	2.02127	732396	4983.69	7951.38	9.91846e+07	16040.5	714.89	1688.27	3854.48	12935.1	9.92069e+07	99263.2	-3.63904e-26
85	-1.15764e-21	0.0534	0.00806032	1	1.2117e+06	2.16835e+06	981939	429310	1.56948e+06	2.28748e+06	1992.17	9246.22	16422.8	6419.11	2.00851e+06	1.01733e+06	33354.5	3178.47	61.3463	1.25989e-24	995568	1.73343e+06	3.05919e+06	32149.4	-6.00016e-27	1	9997.98	2.37168e-24	2.02254	732691	4642.67	7407.29	9.91846e+07	16120.4	691.351	1630.85	3722.67	12050	9.92068e+07	99261.2	-1.22003e-25
86	1.53874e-21	0.0534	0.00750488	1	1.2117e+06	2.16954e+06	981939	429310	1.56948e+06	2.28758e+06	1855.64	8901.95	15799.8	6181.87	2.01019e+06	1.01707e+06	33386.9	2960.64	59.0118	1.11672e-24	995937	1.73372e+06	3.06064e+06	30942.6	-1.04498e-27	1	9997.98	1.14527e-25	2.02372	732965	4324.83	6900.18	9.91846e+07	16202.6	668.563	1575.48	3595.67	11225	9.92066e+07	99259.2	-5.14341e-26
87	-6.71943e-22	0.0534	0.00698772	1	1.2117e+06	2.17067e+06	981939	429310	1.56948e+06	2.28768e+06	1728.42	8575.33	15208.2	5955.94	2.01176e+06	1.01685e+06	33416.7	2757.66	56.7963	-1.99583e-24	996282	1.73399e+06	3.06203e+06	29796.3	2.48977e-27	1	9997.98	-1.07107e-24	2.02482	733221	4028.62	6427.59	9.91846e+07	16286.6	646.501	1522.08	3473.26	10456.2	9.92065e+07	99257.3	3.6954e-26
88	1.83447e-22	0.0534	0.00650619	1	1.2117e+06	2.17173e+06	981939	429310	1.56948e+06	2.28776e+06	1609.88	8265.04	14645.6	5740.54	2.01324e+06	1.01667e+06	33444	2568.54	54.6912	1.91863e-24	996603	1.73424e+06	3.06335e+06	28705.9	1.45938e-27	1	9997.97	-2.31758e-25	2.02585	733460	3752.58	5987.18	9.91846e+07	16372.2	625.139	1470.55	3355.23	9739.76	9.92064e+07	99255.5	4.10797e-26
89	-9.84724e-23	0.0534	0.00605784	1	1.2117e+06	2.17274e+06	981939	429310	1.56948e+06	2.28783e+06	1499.44	7969.9	14110	5534.97	2.01464e+06	1.01651e+06	33469.1	2392.32	52.6883	-8.72695e-25	996903	1.73448e+06	3.06462e+06	27667.5	-8.65302e-28	1	9997.97	4.78213e-25	2.0268	733683	3495.36	5576.78	9.91846e+07	16459.2	604.457	1420.83	3241.37	9072.14	9.92063e+07	99253.7	-3.72103e-27
90	-3.36951e-23	0.0534	0.0056404	1	1.2117e+06	2.17368e+06	981939	429310	1.56948e+06	2.2879e+06	1396.54	7688.82	13599.4	5338.58	2.01595e+06	1.01639e+06	33492.3	2228.15	50.7805	-9.34969e-25	997182	1.7347e+06	3.06583e+06	26677.6	-1.74392e-27	1	9997.97	5.18721e-25	2.0277	733890	3255.68	5194.38	9.91846e+07	16547.4	584.432	1372.82	3131.51	8450.07	9.92062e+07	99252	-3.79897e-26
91	-6.76644e-22	0.0534	0.00525171	1	1.2117e+06	2.17457e+06	981939	429310	1.56948e+06	2.28796e+06	1300.67	7420.83	13112.1	5150.8	2.01719e+06	1.01629e+06	33513.6	2075.2	48.9613	-1.10065e-23	997442	1.7349e+06	3.06699e+06	25732.7	-2.09541e-27	1	9997.97	1.96249e-25	2.02854	734084	3032.37	4838.09	9.91846e+07	16636.4	565.043	1326.46	3025.46	7870.45	9.92061e+07	99250.4	-6.68313e-26
92	-2.04835e-22	0.0534	0.00488981	1	1.2117e+06	2.17541e+06	981939	429310	1.56948e+06	2.28802e+06	1211.36	7165.05	12646.6	4971.07	2.01837e+06	1.01621e+06	33533.3	1932.71	47.2245	-5.31522e-24	997685	1.73509e+06	3.06811e+06	24830	-7.03501e-28	1	9997.97	-5.12051e-25	2.02933	734265	2824.3	4506.12	9.91846e+07	16726.1	546.271	1281.68	2923.07	7330.43	9.92061e+07	99248.8	-5.19588e-26
93	1.24672e-21	0.0534	0.00455286	1	1.2117e+06	2.17621e+06	981939	429310	1.56948e+06	2.28807e+06	1128.17	6920.66	12201.5	4798.92	2.01948e+06	1.01615e+06	33551.5	1799.97	45.5649	1.51706e-23	997912	1.73527e+06	3.06918e+06	23966.6	1.29154e-27	1	9997.97	-9.82763e-25	2.03007	734433	2630.46	4196.85	9.91846e+07	16816.4	528.095	1238.42	2824.19	6827.31	9.9206e+07	99247.3	-6.04307e-27
94	-4.54902e-21	0.0534	0.00423912	1	1.2117e+06	2.17696e+06	981939	429310	1.56947e+06	2.28811e+06	1050.67	6686.94	11775.4	4633.88	2.02053e+06	1.0161e+06	33568.4	1676.32	43.9775	-6.3811e-23	998123	1.73544e+06	3.0702e+06	23140.2	1.5212e-27	1	9997.97	-9.68191e-25	2.03076	734590	2449.87	3908.72	9.91846e+07	16907	510.498	1196.62	2728.66	6358.59	9.92059e+07	99245.8	1.82763e-26
95	6.4861e-21	0.0534	0.003947	1	1.2117e+06	2.17766e+06	981939	429310	1.56947e+06	2.28815e+06	978.476	6463.22	11367.3	4475.55	2.02153e+06	1.01608e+06	33584	1561.14	42.4578	8.97869e-23	998320	1.7356e+06	3.07119e+06	22348.5	1.12738e-27	1	9997.97	1.77342e-28	2.03142	734736	2281.63	3640.31	9.91846e+07	16997.7	493.461	1156.21	2636.37	5921.94	9.92059e+07	99244.4	2.84836e-26
96	2.11191e-20	0.0534	0.00367501	1	1.2117e+06	2.17833e+06	981939	429310	1.56947e+06	2.28819e+06	911.232	6248.89	10976	4323.55	2.02248e+06	1.01607e+06	33598.4	1453.85	41.0017	2.9193e-22	998503	1.73574e+06	3.07214e+06	21589.4	5.60768e-28	1	9997.97	1.42715e-24	2.03204	734872	2124.92	3390.27	9.91846e+07	17088.4	476.968	1117.16	2547.18	5515.18	9.92058e+07	99243.1	2.0258e-26
97	-5.87377e-22	0.0534	0.00342176	1	1.2117e+06	2.17895e+06	981939	429310	1.56947e+06	2.28822e+06	848.597	6043.4	10600.6	4177.53	2.02338e+06	1.01607e+06	33611.9	1353.92	39.6056	-9.38631e-24	998674	1.73588e+06	3.07306e+06	20861.1	1.66468e-28	1	9997.97	1.84111e-24	2.03262	734999	1978.93	3157.35	9.91846e+07	17178.9	461	1079.4	2460.98	5136.28	9.92058e+07	99241.8	4.57608e-27
98	-1.23992e-20	0.0534	0.00318597	1	1.2117e+06	2.17955e+06	981939	429310	1.56947e+06	2.28825e+06	790.258	5846.22	10240.1	4037.17	2.02424e+06	1.01608e+06	33624.3	1260.84	38.2658	-1.71943e-22	998833	1.736e+06	3.07394e+06	20161.7	9.25723e-29	1	9997.97	1.59191e-25	2.03317	735118	1842.95	2940.39	9.91846e+07	17269.1	445.541	1042.9	2377.64	4783.33	9.92057e+07	99240.5	-2.87574e-27
99	-5.1176e-21	0.0534	0.00296642	1	1.2117e+06	2.1801e+06	981939	429310	1.56947e+06	2.28828e+06	735.92	5656.91	9893.74	3902.17	2.02506e+06	1.0161e+06	33635.9	1174.15	36.9794	-7.00101e-23	998982	1.73612e+06	3.07479e+06	19489.8	2.47592e-28	1	9997.97	-1.25846e-24	2.0337	735228	1716.28	2738.29	9.91846e+07	17359	430.576	1007.6	2297.08	4454.58	9.92057e+07	99239.3	-5.27041e-28
100	2.07961e-20	0.0534	0.002762	1	1.2117e+06	2.18063e+06	981939	429310	1.56947e+06	2.28831e+06	685.311	5475.02	9560.79	3772.26	2.02584e+06	1.01613e+06	33646.7	1093.4	35.7434	2.8883e-22	999120	1.73623e+06	3.07562e+06	18843.8	2.309e-28	1	9997.97	-3.89483e-25	2.03419	735331	1598.3	2550.06	9.91846e+07	17448.3	416.089	973.461	2219.18	4148.36	9.92056e+07	99238.1	5.22553e-27
