Time	[Mb]	[Bc]	[Bcp]	[Bn]	[Cc]	[Mc]	[Ccp]	[Mp]	[Pc]	[Pcp]	[PCc]	[PCcp]	[PCn]	[Bnp]	[PCnp]	[In]	[Mr]	[Rc]	[Rn]
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1.07287	0.108237	0.0105211	0.024172	0.000164449	0.000359682	1.47718e-05	0.000401235	3.85489e-05	1.59292e-05	3.22568e-10	3.8675e-11	1.61027e-11	0.00203204	1.83325e-12	1.76659e-14	0.000288605	2.36403e-05	2.04233e-06
2	1.82702	0.262164	0.0253942	0.093231	0.00711927	0.00754809	0.000908391	0.0077968	0.00107141	0.000524288	7.50056e-07	1.4961e-07	7.54432e-08	0.00828559	1.4463e-08	5.74267e-10	0.00635917	0.000619205	9.07279e-05
3	2.48779	0.423286	0.0389656	0.184653	0.0453905	0.0329499	0.00651042	0.0334603	0.00519081	0.00268599	3.18219e-05	7.83083e-06	4.52735e-06	0.0161274	1.08487e-06	8.89882e-08	0.0282498	0.00291782	0.000529291
4	3.09513	0.591249	0.0512504	0.291672	0.148857	0.0850681	0.0220591	0.0879102	0.0142521	0.00764785	0.000340976	9.30073e-05	5.83855e-05	0.0245349	1.56718e-05	2.08481e-06	0.0728801	0.00781107	0.00157176
5	3.66519	0.767322	0.0624543	0.414344	0.361016	0.171671	0.0523758	0.185301	0.0302546	0.0168895	0.00194507	0.000561337	0.000366696	0.0332315	0.00010488	2.01566e-05	0.145251	0.0161453	0.00344814
6	4.20641	0.952538	0.072729	0.554423	0.747675	0.299773	0.100687	0.345023	0.0552984	0.0325307	0.00787777	0.00235719	0.00155478	0.042097	0.00046251	0.000120274	0.248471	0.0288563	0.00642206
7	4.72388	1.14764	0.0821823	0.713593	1.40132	0.473056	0.165936	0.587612	0.0902702	0.0569327	0.0254782	0.00786903	0.00512881	0.051008	0.00157088	0.000529971	0.382236	0.0468847	0.0107966
8	5.22089	1.35295	0.0908894	0.892029	2.41786	0.6893	0.241263	0.925376	0.132848	0.0912325	0.0685419	0.0220102	0.0139084	0.0597824	0.00438017	0.0018592	0.541959	0.0710379	0.0168977
9	5.69963	1.56796	0.0988922	1.08641	3.85325	0.940038	0.317246	1.35497	0.177282	0.133588	0.155905	0.0527782	0.0316702	0.0681523	0.0102874	0.00535393	0.719538	0.101876	0.0250592
10	6.1615	1.79059	0.106195	1.28802	5.7004	1.21288	0.386757	1.85905	0.217424	0.179279	0.306333	0.110726	0.0618849	0.0757777	0.0208214	0.0129774	0.90539	0.139654	0.0356162
11	6.60725	2.01655	0.112766	1.48212	7.90414	1.49483	0.446595	2.41404	0.250004	0.223172	0.535241	0.207968	0.107114	0.0823037	0.0374706	0.0273854	1.09056	0.184301	0.0489053
12	7.03696	2.23905	0.118555	1.6491	10.3893	1.77449	0.496393	2.9947	0.274879	0.261979	0.853735	0.356699	0.169734	0.0874158	0.0619508	0.0521542	1.26782	0.235366	0.065251
13	7.45003	2.4497	0.123511	1.77372	13.2422	2.04276	0.537416	3.07019	0.252017	0.245832	1.15163	0.548552	0.237169	0.0909674	0.0927527	0.0882708	1.43182	0.291887	0.0849089
14	7.84508	2.64543	0.127697	1.87554	16.6029	2.29621	0.571818	3.1669	0.226773	0.207755	1.38424	0.74589	0.287841	0.09362	0.119234	0.126022	1.58126	0.352993	0.108096
15	8.21984	2.82897	0.131292	1.9663	20.4194	2.53652	0.60075	3.2767	0.205056	0.177597	1.60853	0.951549	0.3334	0.0958533	0.143338	0.167643	1.71829	0.418784	0.135325
16	8.57078	3.00094	0.134413	2.04417	24.6506	2.76511	0.624974	3.39452	0.186714	0.154502	1.83536	1.17143	0.379035	0.0976998	0.168015	0.217356	1.84462	0.489537	0.1674
17	8.89279	3.15954	0.137108	2.10584	29.2622	2.98244	0.645178	3.51621	0.171162	0.136447	2.0652	1.40787	0.426384	0.0991284	0.194543	0.278078	1.96111	0.565235	0.205234
18	9.17876	3.30169	0.139394	2.14868	34.2219	3.18835	0.662001	3.63828	0.157841	0.121983	2.29602	1.66098	0.476188	0.100118	0.223605	0.352233	2.06806	0.645511	0.249727
19	9.41943	3.42354	0.141272	2.17074	39.4985	3.3823	0.676011	3.75769	0.146297	0.110126	2.52523	1.92964	0.529045	0.100655	0.255781	0.441963	2.16549	0.729636	0.301676
20	9.60356	3.52064	0.142731	2.17033	45.0606	3.56344	0.687694	3.87169	0.136169	0.100207	2.75016	2.21216	0.585646	0.10072	0.291727	0.548859	2.25311	0.816483	0.361631
21	9.71869	3.58798	0.143747	2.14582	50.8754	3.73055	0.697463	3.97749	0.127171	0.0917492	2.96807	2.50657	0.646863	0.10028	0.332265	0.673377	2.33036	0.904433	0.429692
22	9.75278	3.62027	0.144284	2.0956	56.908	3.88179	0.705657	4.072	0.119069	0.0844061	3.17606	2.81075	0.713779	0.0992809	0.378439	0.814035	2.39624	0.991208	0.505232
23	9.6966	3.61262	0.144294	2.01843	63.1203	4.01453	0.712555	4.15143	0.111663	0.0779105	3.37076	3.12253	0.787643	0.0976526	0.431536	0.966543	2.44918	1.0736	0.586535
24	9.54634	3.56143	0.143723	1.91416	69.4684	4.12488	0.718384	4.21295	0.104774	0.0720463	3.54787	3.43964	0.869676	0.0953118	0.49305	1.12306	2.48675	1.14711	0.670343
25	9.30592	3.46463	0.142512	1.77191	75.6241	4.20667	0.723311	4.77435	0.109166	0.0746847	3.9138	3.7676	0.995739	0.0919651	0.569972	1.28555	2.50496	1.20533	0.751285
26	8.98858	3.31365	0.140491	1.54232	81.2566	4.24111	0.727423	5.25193	0.113609	0.0785164	4.4979	4.12808	1.24159	0.0859972	0.69518	1.5042	2.49092	1.23583	0.820392
27	8.62061	3.1055	0.137431	1.24552	86.2858	4.18436	0.730819	5.58742	0.116271	0.0810266	5.12695	4.52181	1.62277	0.0766118	0.892358	1.76776	2.41439	1.20974	0.859403
28	8.25211	2.86257	0.133392	0.953085	90.5366	3.96836	0.73359	5.68641	0.115599	0.0808295	5.67425	4.93858	2.13463	0.0649877	1.16639	2.00651	2.22945	1.07804	0.83297
29	7.97762	2.6284	0.12891	0.725541	93.7231	3.52788	0.735805	5.45371	0.110205	0.0766868	6.00056	5.36482	2.71082	0.0537476	1.50625	2.1534	1.89614	0.797392	0.692011
30	7.94428	2.45732	0.125075	0.584249	95.5163	2.86717	0.7375	4.88126	0.0999013	0.068475	5.97308	5.78471	3.1954	0.045453	1.88663	2.18513	1.43217	0.429901	0.424055
31	8.20567	2.39533	0.12325	0.524987	95.7128	2.09697	0.738694	4.09342	0.0862088	0.057692	5.53574	6.17963	3.38916	0.0414112	2.2733	2.1258	0.943526	0.183612	0.158145
32	8.58107	2.43805	0.123815	0.539887	94.4027	1.39761	0.739397	3.29074	0.0716964	0.0466284	4.75282	6.52702	3.15675	0.0418663	2.62525	2.01419	0.586496	0.0877083	0.0441349
33	8.9608	2.54937	0.125969	0.631794	92.0442	0.954205	0.739643	2.67907	0.0593861	0.0375302	3.80125	6.79892	2.52715	0.0467581	2.88935	1.85707	0.457032	0.0607996	0.0195671
34	9.33177	2.71013	0.129044	0.8217	89.3458	0.854071	0.739507	2.42284	0.0525305	0.0324101	2.93672	6.96625	1.72089	0.0561493	2.99029	1.61953	0.517884	0.0679571	0.017549
35	9.69323	2.91822	0.132771	1.12384	86.8948	1.02113	0.739107	2.56569	0.0532441	0.03248	2.40868	7.02265	1.06272	0.0689497	2.84388	1.27562	0.696066	0.096986	0.0236592
36	10.0449	3.16786	0.136905	1.48342	84.9446	1.32119	0.738572	2.99326	0.0607318	0.0373103	2.31967	7.01832	0.733644	0.0816154	2.45043	0.910218	0.927328	0.143024	0.0356015
37	10.3861	3.43326	0.140971	1.80241	83.7887	1.65685	0.73802	3.04928	0.0628992	0.039252	2.39107	7.02085	0.625156	0.0910138	1.94345	0.685699	1.16156	0.201383	0.0526746
38	10.7153	3.69103	0.144589	2.07765	83.6214	1.98846	0.73758	3.17106	0.065403	0.0410067	2.46369	7.03655	0.576187	0.0978044	1.42828	0.61539	1.37952	0.269344	0.0746822
39	11.03	3.9353	0.147726	2.32457	84.3386	2.30745	0.737339	3.32613	0.0680452	0.0428965	2.57941	7.07023	0.556483	0.103102	0.96674	0.642062	1.57971	0.346887	0.102372
40	11.326	4.16366	0.150431	2.54175	85.8496	2.61205	0.737338	3.49825	0.070539	0.0447137	2.73526	7.12815	0.555808	0.107273	0.61913	0.732248	1.76351	0.434678	0.137216
41	11.5963	4.37278	0.152742	2.72568	88.0764	2.90193	0.737582	3.67799	0.0726869	0.0463054	2.92099	7.21359	0.568477	0.110505	0.423396	0.873675	1.93236	0.533313	0.181189
42	11.8299	4.55808	0.154676	2.87226	90.9503	3.17725	0.738055	3.85959	0.0743831	0.0475826	3.12768	7.32703	0.592732	0.112923	0.352742	1.06599	2.0875	0.643182	0.236737
43	12.0105	4.71315	0.15623	2.97619	94.4097	3.43818	0.738727	4.03917	0.0755897	0.0485068	3.34882	7.46726	0.628211	0.114584	0.346135	1.31425	2.2299	0.7644	0.306731
44	12.1149	4.82937	0.15738	3.03267	98.3987	3.68471	0.739562	4.21393	0.076311	0.0490739	3.57946	7.63213	0.674718	0.115513	0.366751	1.62261	2.3602	0.896741	0.394317
45	12.1142	4.896	0.158076	3.03686	102.865	3.91659	0.74052	4.38148	0.0765753	0.0493001	3.81568	7.8191	0.733116	0.115698	0.402167	1.99133	2.47873	1.0396	0.502614
46	11.9775	4.9003	0.15824	2.9827	107.759	4.13303	0.741563	4.53944	0.0764201	0.0492117	4.05423	8.02552	0.805763	0.115067	0.450143	2.41551	2.58533	1.19181	0.634257
47	11.6799	4.82902	0.157761	2.86336	113.032	4.33236	0.742659	4.68481	0.0758797	0.0488351	4.2923	8.24879	0.896819	0.113467	0.512395	2.88364	2.6792	1.35135	0.790755
48	11.2109	4.67124	0.156499	2.67366	118.632	4.51135	0.743778	4.81532	0.0749779	0.0481873	4.5269	8.48643	1.01267	0.110662	0.592869	3.37594	2.75837	1.51461	0.971682
49	10.5785	4.42055	0.154275	2.39603	124.195	4.66374	0.744887	5.4752	0.0810148	0.0522024	4.99165	8.74212	1.19949	0.106126	0.702305	3.88271	2.81871	1.67522	1.17358
50	9.80708	4.06594	0.150761	1.97293	129.364	4.77146	0.745942	6.05842	0.0870216	0.0568187	5.72521	9.03183	1.55744	0.0978951	0.876509	4.45248	2.8477	1.81939	1.38772
51	8.93154	3.6106	0.145491	1.46074	134.056	4.78673	0.746911	6.50114	0.0917524	0.0606334	6.54995	9.35594	2.15481	0.0845807	1.14484	5.02902	2.81186	1.91226	1.5929
52	7.9947	3.09587	0.138198	0.992611	138.072	4.60928	0.747775	6.66523	0.0936343	0.0624043	7.33215	9.70649	3.04745	0.0674396	1.51516	5.45978	2.64127	1.87479	1.73885
53	7.05308	2.58332	0.129038	0.659548	141.015	4.10287	0.748513	6.35866	0.0905861	0.0604356	7.87892	10.0725	4.17503	0.0507145	1.97146	5.61529	2.24422	1.57236	1.7223
54	6.20702	2.12581	0.118623	0.458256	142.34	3.22422	0.749098	5.50663	0.0815696	0.0538658	7.95083	10.4398	5.28676	0.0380272	2.4816	5.46341	1.60684	0.919792	1.39888
55	5.70619	1.77223	0.108367	0.346957	141.614	2.10216	0.74949	4.24738	0.0675134	0.0436616	7.3964	10.7913	6.02721	0.0299385	3.01167	5.04415	0.866371	0.246618	0.756048
56	5.86291	1.59696	0.10171	0.299554	138.794	0.982209	0.749655	2.8102	0.0501196	0.0315509	6.21758	11.1037	6.07645	0.026062	3.53106	4.44173	0.298654	0.0496628	0.200162
57	6.30446	1.60308	0.101062	0.308799	134.575	0.271614	0.749576	1.44777	0.0314003	0.0192527	4.54801	11.3391	5.25394	0.0263692	4.00556	3.76562	0.121479	0.0151034	0.0214835
58	6.7488	1.70693	0.104084	0.38418	130.523	0.167585	0.749297	0.522188	0.0155404	0.00929872	2.69882	11.4194	3.65566	0.0312761	4.37817	3.06353	0.135919	0.0153563	0.00466605
59	7.18006	1.86859	0.108785	0.575887	127.213	0.291522	0.74891	0.391824	0.00904862	0.00514774	1.26351	11.1883	1.8062	0.0426949	4.5183	2.27456	0.240541	0.0274754	0.0060081
60	7.59887	2.09186	0.114698	0.949822	124.442	0.586338	0.748477	0.770757	0.0111841	0.00611495	0.659101	10.5268	0.586273	0.0610537	4.15268	1.3042	0.464157	0.0573836	0.0123263
61	8.00562	2.37526	0.121456	1.40103	122.501	0.989603	0.748048	1.01156	0.0138387	0.00769529	0.584773	9.66321	0.231977	0.0785872	3.21507	0.393274	0.754528	0.106137	0.0243383
62	8.40005	2.67954	0.127949	1.79688	121.568	1.39687	0.74768	1.33972	0.0182216	0.0102333	0.711413	8.85455	0.183024	0.0905705	2.10502	0.0862122	1.03355	0.16669	0.0412938
63	8.78119	2.97841	0.133587	2.14138	121.543	1.7808	0.747412	1.67165	0.022883	0.0130148	0.921313	8.20485	0.20072	0.0990085	1.09523	0.0932096	1.28484	0.2367	0.0629291
64	9.14696	3.26139	0.138335	2.436	122.335	2.13935	0.747266	1.99068	0.0273613	0.0157481	1.16603	7.71881	0.227199	0.105126	0.369497	0.129893	1.51005	0.316465	0.0901442
65	9.49361	3.52443	0.142303	2.69141	123.867	2.47463	0.747247	2.29362	0.0314906	0.0183181	1.42807	7.37436	0.251451	0.109749	0.128902	0.174574	1.71287	0.406745	0.124469
66	9.81469	3.76555	0.145619	2.90344	126.071	2.78933	0.747354	2.58072	0.0352127	0.0206751	1.70165	7.1473	0.28552	0.113247	0.121664	0.235548	1.89675	0.508421	0.168007
67	10.0996	3.9778	0.148332	3.05752	128.887	3.08486	0.747576	2.85199	0.0384986	0.0227892	1.98375	7.01715	0.326775	0.115644	0.140669	0.322058	2.0638	0.62197	0.223394
68	10.332	4.15336	0.150457	3.15267	132.26	3.3622	0.747902	3.10748	0.0413324	0.0246386	2.27001	6.96665	0.372533	0.117095	0.16433	0.436616	2.21551	0.747385	0.293675
69	10.4883	4.28429	0.152001	3.18889	136.138	3.62204	0.748315	3.3473	0.0437172	0.0262147	2.55685	6.9814	0.423541	0.117714	0.191834	0.583863	2.35303	0.884308	0.38218
70	10.5383	4.3608	0.152937	3.16414	140.473	3.86467	0.748798	3.57123	0.0456674	0.0275183	2.8415	7.04953	0.481549	0.117521	0.224211	0.768308	2.47706	1.03198	0.492217
71	10.4492	4.37078	0.153196	3.0742	145.217	4.0896	0.749335	3.77837	0.0472005	0.0285542	3.12157	7.16134	0.549249	0.116447	0.263213	0.991594	2.58768	1.18906	0.626548
