Time	[S-adenosyl-L-methionine]	[S-adenosylmethioninamine]	[Putrescine]	[Spermine]	[Spermidine]	[N1-Acetylspermine]	[N1-Acetylspermidine]	[Methionine]	[L-Ornithine]	[Acetyl-CoA]	[CoA]	Values[Vmaxodc]	Values[Vmaxssat]	Values[Vmaxsamdc]	Values[Antz]
13	1.52352	0.00938051	252.653	0.057491	1.58845	2.00329e-06	0.00137275	50	300	39.5	160	39.4563	0.109619	8.23669	0.44436
14	1.52228	0.00928096	281.925	0.06921	1.80907	2.26417e-06	0.00148628	50	300	39.5	160	40.389	0.102573	8.43224	0.435904
15	1.51633	0.00915991	311.472	0.0822435	2.03173	2.54233e-06	0.00159359	50	300	39.5	160	41.1781	0.0965902	8.59587	0.42766
16	1.50721	0.00902494	341.183	0.096527	2.25503	2.83527e-06	0.001695	50	300	39.5	160	41.8461	0.0914628	8.73203	0.419624
17	1.49613	0.00888214	370.964	0.111992	2.47788	3.14099e-06	0.00179098	50	300	39.5	160	42.4115	0.0870312	8.84447	0.411793
18	1.48404	0.00873624	400.74	0.128568	2.69951	3.45789e-06	0.00188204	50	300	39.5	160	42.8899	0.0831722	8.93634	0.404161
19	1.47163	0.00859078	430.444	0.146188	2.91932	3.78476e-06	0.00196873	50	300	39.5	160	43.2943	0.0797896	9.01029	0.396725
20	1.45943	0.00844835	460.024	0.164789	3.13694	4.12071e-06	0.00205157	50	300	39.5	160	43.6353	0.0768073	9.06856	0.38948
21	1.44783	0.00831076	489.434	0.184312	3.35208	4.46511e-06	0.00213109	50	300	39.5	160	43.9222	0.0741647	9.11306	0.382423
22	1.43707	0.00817921	518.638	0.204704	3.56461	4.81756e-06	0.00220774	50	300	39.5	160	44.1624	0.0718123	9.14541	0.375548
23	1.42734	0.00805442	547.603	0.225917	3.77444	5.17781e-06	0.00228198	50	300	39.5	160	44.3624	0.0697103	9.16702	0.368853
24	1.41874	0.00793674	576.304	0.247907	3.98156	5.54581e-06	0.00235421	50	300	39.5	160	44.5276	0.0678259	9.17908	0.362332
25	1.41131	0.00782625	604.72	0.270639	4.18597	5.92158e-06	0.0024248	50	300	39.5	160	44.6627	0.0661316	9.18263	0.355981
