Time	[S1]	[DNA0000]	[DNA0001]	[DNA0010]	[DNA0100]	[DNA1000]	[DNA1100]	[DNA1010]	[DNA1001]	[DNA0110]	[DNA0101]	[DNA0011]	[DNA1110]	[DNA1011]	[DNA1101]	[DNA0111]	[DNA1111]	[DNA001_1]	[DNA01_10]	[DNA01_11]	[DNA011_1]	[DNA01_1_1]	[DNA101_1]	[DNA1_100]	[DNA1_101]	[DNA1_110]	[DNA11_10]	[DNA1_1_10]	[DNA1_111]	[DNA11_11]	[DNA111_1]	[DNA1_1_11]	[DNA1_11_1]	[DNA11_1_1]	[DNA1_1_1_1]
38	1.00437e-11	9.93381e-11	3.99087e-15	1.99543e-13	1.99543e-13	3.99087e-15	8.01645e-18	8.0164e-18	1.60332e-19	4.00402e-16	8.0164e-18	8.01645e-18	6.63075e-21	3.22052e-22	3.22052e-22	6.63075e-21	1.49479e-26	4.80987e-15	2.40241e-13	3.7326e-18	3.7326e-18	2.23932e-15	1.93232e-19	4.80987e-15	1.93232e-19	3.7326e-18	3.7326e-18	2.23932e-15	1.66072e-25	1.66072e-25	1.66072e-25	9.52421e-23	9.52421e-23	9.52421e-23	5.71365e-20
39	1.00434e-11	9.93381e-11	3.99077e-15	1.99538e-13	1.99538e-13	3.99077e-15	8.01603e-18	8.01598e-18	1.60323e-19	4.00387e-16	8.01598e-18	8.01603e-18	6.76026e-21	3.22027e-22	3.22027e-22	6.76026e-21	1.52328e-26	4.80962e-15	2.40232e-13	3.81371e-18	3.81371e-18	2.28798e-15	1.93216e-19	4.80962e-15	1.93216e-19	3.81371e-18	3.81371e-18	2.28798e-15	1.73576e-25	1.73576e-25	1.73576e-25	9.96626e-23	9.96626e-23	9.96626e-23	5.97887e-20
40	1.00431e-11	9.9338e-11	3.99066e-15	1.99533e-13	1.99533e-13	3.99066e-15	8.01561e-18	8.01556e-18	1.60315e-19	4.00372e-16	8.01556e-18	8.01561e-18	6.88799e-21	3.22002e-22	3.22002e-22	6.88799e-21	1.55142e-26	4.80937e-15	2.40223e-13	3.89369e-18	3.89369e-18	2.33598e-15	1.93201e-19	4.80937e-15	1.93201e-19	3.89369e-18	3.89369e-18	2.33598e-15	1.81213e-25	1.81213e-25	1.81213e-25	1.04164e-22	1.04164e-22	1.04164e-22	6.24893e-20
41	1.00429e-11	9.93379e-11	3.99056e-15	1.99527e-13	1.99527e-13	3.99056e-15	8.0152e-18	8.01515e-18	1.60307e-19	4.00357e-16	8.01515e-18	8.0152e-18	7.01405e-21	3.21977e-22	3.21977e-22	7.01405e-21	1.57923e-26	4.80912e-15	2.40214e-13	3.97263e-18	3.97263e-18	2.38334e-15	1.93186e-19	4.80912e-15	1.93186e-19	3.97263e-18	3.97263e-18	2.38334e-15	1.88973e-25	1.88973e-25	1.88973e-25	1.0874e-22	1.0874e-22	1.0874e-22	6.5235e-20
42	1.00426e-11	9.93378e-11	3.99045e-15	1.99522e-13	1.99522e-13	3.99045e-15	8.01479e-18	8.01474e-18	1.60299e-19	4.00342e-16	8.01474e-18	8.01479e-18	7.13821e-21	3.21953e-22	3.21953e-22	7.13821e-21	1.60665e-26	4.80888e-15	2.40205e-13	4.05038e-18	4.05038e-18	2.43e-15	1.93172e-19	4.80888e-15	1.93172e-19	4.05038e-18	4.05038e-18	2.43e-15	1.96874e-25	1.96874e-25	1.96874e-25	1.13403e-22	1.13403e-22	1.13403e-22	6.80324e-20
43	1.00424e-11	9.93378e-11	3.99035e-15	1.99517e-13	1.99517e-13	3.99035e-15	8.01439e-18	8.01434e-18	1.60291e-19	4.00328e-16	8.01434e-18	8.01439e-18	7.26069e-21	3.21929e-22	3.21929e-22	7.26069e-21	1.63374e-26	4.80864e-15	2.40197e-13	4.12708e-18	4.12708e-18	2.47602e-15	1.93157e-19	4.80864e-15	1.93157e-19	4.12708e-18	4.12708e-18	2.47602e-15	2.049e-25	2.049e-25	2.049e-25	1.18141e-22	1.18141e-22	1.18141e-22	7.08751e-20
44	1.00421e-11	9.93377e-11	3.99025e-15	1.99512e-13	1.99512e-13	3.99025e-15	8.01399e-18	8.01395e-18	1.60283e-19	4.00314e-16	8.01395e-18	8.01399e-18	7.38153e-21	3.21905e-22	3.21905e-22	7.38153e-21	1.6605e-26	4.8084e-15	2.40188e-13	4.20275e-18	4.20275e-18	2.52142e-15	1.93143e-19	4.8084e-15	1.93143e-19	4.20275e-18	4.20275e-18	2.52142e-15	2.13047e-25	2.13047e-25	2.13047e-25	1.22953e-22	1.22953e-22	1.22953e-22	7.37623e-20
45	1.00419e-11	9.93376e-11	3.99015e-15	1.99507e-13	1.99507e-13	3.99015e-15	8.0136e-18	8.01356e-18	1.60275e-19	4.00299e-16	8.01356e-18	8.0136e-18	7.50086e-21	3.21881e-22	3.21881e-22	7.50086e-21	1.68696e-26	4.80817e-15	2.4018e-13	4.27747e-18	4.27747e-18	2.56626e-15	1.93129e-19	4.80817e-15	1.93129e-19	4.27747e-18	4.27747e-18	2.56626e-15	2.21307e-25	2.21307e-25	2.21307e-25	1.27834e-22	1.27834e-22	1.27834e-22	7.66904e-20
46	1.00417e-11	9.93376e-11	3.99006e-15	1.99502e-13	1.99502e-13	3.99006e-15	8.01322e-18	8.01318e-18	1.60267e-19	4.00286e-16	8.01318e-18	8.01322e-18	7.61856e-21	3.21858e-22	3.21858e-22	7.61856e-21	1.71309e-26	4.80793e-15	2.40171e-13	4.35118e-18	4.35118e-18	2.61049e-15	1.93115e-19	4.80793e-15	1.93115e-19	4.35118e-18	4.35118e-18	2.61049e-15	2.29686e-25	2.29686e-25	2.29686e-25	1.32787e-22	1.32787e-22	1.32787e-22	7.96624e-20
47	1.00414e-11	9.93375e-11	3.98996e-15	1.99498e-13	1.99498e-13	3.98996e-15	8.01284e-18	8.0128e-18	1.60259e-19	4.00272e-16	8.0128e-18	8.01284e-18	7.73464e-21	3.21836e-22	3.21836e-22	7.73464e-21	1.7389e-26	4.80771e-15	2.40163e-13	4.42387e-18	4.42387e-18	2.65411e-15	1.93101e-19	4.80771e-15	1.93101e-19	4.42387e-18	4.42387e-18	2.65411e-15	2.38186e-25	2.38186e-25	2.38186e-25	1.37814e-22	1.37814e-22	1.37814e-22	8.26783e-20
48	1.00412e-11	9.93374e-11	3.98986e-15	1.99493e-13	1.99493e-13	3.98986e-15	8.01247e-18	8.01242e-18	1.60252e-19	4.00258e-16	8.01242e-18	8.01247e-18	7.8491e-21	3.21813e-22	3.21813e-22	7.8491e-21	1.76439e-26	4.80748e-15	2.40155e-13	4.49555e-18	4.49555e-18	2.69712e-15	1.93088e-19	4.80748e-15	1.93088e-19	4.49555e-18	4.49555e-18	2.69712e-15	2.46806e-25	2.46806e-25	2.46806e-25	1.42914e-22	1.42914e-22	1.42914e-22	8.57382e-20
49	1.0041e-11	9.93374e-11	3.98977e-15	1.99488e-13	1.99488e-13	3.98977e-15	8.0121e-18	8.01206e-18	1.60245e-19	4.00245e-16	8.01206e-18	8.0121e-18	7.96194e-21	3.21791e-22	3.21791e-22	7.96194e-21	1.78955e-26	4.80726e-15	2.40147e-13	4.56621e-18	4.56621e-18	2.73951e-15	1.93075e-19	4.80726e-15	1.93075e-19	4.56621e-18	4.56621e-18	2.73951e-15	2.55547e-25	2.55547e-25	2.55547e-25	1.48087e-22	1.48087e-22	1.48087e-22	8.8842e-20
50	1.00407e-11	9.93373e-11	3.98968e-15	1.99484e-13	1.99484e-13	3.98968e-15	8.01173e-18	8.01169e-18	1.60237e-19	4.00232e-16	8.01169e-18	8.01173e-18	8.07315e-21	3.21769e-22	3.21769e-22	8.07315e-21	1.81439e-26	4.80704e-15	2.40139e-13	4.63585e-18	4.63585e-18	2.7813e-15	1.93062e-19	4.80704e-15	1.93062e-19	4.63585e-18	4.63585e-18	2.7813e-15	2.64408e-25	2.64408e-25	2.64408e-25	1.53334e-22	1.53334e-22	1.53334e-22	9.19897e-20
51	1.00405e-11	9.93372e-11	3.98959e-15	1.99479e-13	1.99479e-13	3.98959e-15	8.01138e-18	8.01133e-18	1.6023e-19	4.00219e-16	8.01133e-18	8.01138e-18	8.18297e-21	3.21748e-22	3.21748e-22	8.18297e-21	1.83895e-26	4.80683e-15	2.40131e-13	4.70462e-18	4.70462e-18	2.82257e-15	1.93049e-19	4.80683e-15	1.93049e-19	4.70462e-18	4.70462e-18	2.82257e-15	2.73372e-25	2.73372e-25	2.73372e-25	1.58643e-22	1.58643e-22	1.58643e-22	9.51752e-20
52	1.00403e-11	9.93372e-11	3.9895e-15	1.99475e-13	1.99475e-13	3.9895e-15	8.01102e-18	8.01098e-18	1.60223e-19	4.00206e-16	8.01098e-18	8.01102e-18	8.29141e-21	3.21726e-22	3.21726e-22	8.29141e-21	1.86323e-26	4.80662e-15	2.40124e-13	4.77252e-18	4.77252e-18	2.86331e-15	1.93036e-19	4.80662e-15	1.93036e-19	4.77252e-18	4.77252e-18	2.86331e-15	2.82438e-25	2.82438e-25	2.82438e-25	1.64015e-22	1.64015e-22	1.64015e-22	9.83979e-20
53	1.00401e-11	9.93371e-11	3.98941e-15	1.9947e-13	1.9947e-13	3.98941e-15	8.01067e-18	8.01063e-18	1.60216e-19	4.00193e-16	8.01063e-18	8.01067e-18	8.39833e-21	3.21705e-22	3.21705e-22	8.39833e-21	1.88721e-26	4.80641e-15	2.40116e-13	4.83948e-18	4.83948e-18	2.90349e-15	1.93023e-19	4.80641e-15	1.93023e-19	4.83948e-18	4.83948e-18	2.90349e-15	2.91617e-25	2.91617e-25	2.91617e-25	1.69454e-22	1.69454e-22	1.69454e-22	1.01662e-19
54	1.00399e-11	9.9337e-11	3.98932e-15	1.99466e-13	1.99466e-13	3.98932e-15	8.01033e-18	8.01029e-18	1.60209e-19	4.00181e-16	8.01029e-18	8.01033e-18	8.50373e-21	3.21685e-22	3.21685e-22	8.50373e-21	1.91089e-26	4.8062e-15	2.40108e-13	4.90548e-18	4.90548e-18	2.94309e-15	1.93011e-19	4.8062e-15	1.93011e-19	4.90548e-18	4.90548e-18	2.94309e-15	3.00908e-25	3.00908e-25	3.00908e-25	1.74963e-22	1.74963e-22	1.74963e-22	1.04966e-19
55	1.00397e-11	9.9337e-11	3.98924e-15	1.99461e-13	1.99461e-13	3.98924e-15	8.00999e-18	8.00995e-18	1.60202e-19	4.00168e-16	8.00995e-18	8.00999e-18	8.60762e-21	3.21664e-22	3.21664e-22	8.60762e-21	1.93427e-26	4.806e-15	2.40101e-13	4.97054e-18	4.97054e-18	2.98213e-15	1.92999e-19	4.806e-15	1.92999e-19	4.97054e-18	4.97054e-18	2.98213e-15	3.10311e-25	3.10311e-25	3.10311e-25	1.80539e-22	1.80539e-22	1.80539e-22	1.08312e-19
56	1.00394e-11	9.93369e-11	3.98915e-15	1.99457e-13	1.99457e-13	3.98915e-15	8.00965e-18	8.00962e-18	1.60195e-19	4.00156e-16	8.00962e-18	8.00965e-18	8.71e-21	3.21644e-22	3.21644e-22	8.71e-21	1.95734e-26	4.80579e-15	2.40094e-13	5.03465e-18	5.03465e-18	3.0206e-15	1.92987e-19	4.80579e-15	1.92987e-19	5.03465e-18	5.03465e-18	3.0206e-15	3.19827e-25	3.19827e-25	3.19827e-25	1.86184e-22	1.86184e-22	1.86184e-22	1.11699e-19
57	1.00392e-11	9.93368e-11	3.98907e-15	1.99453e-13	1.99453e-13	3.98907e-15	8.00933e-18	8.00929e-18	1.60189e-19	4.00144e-16	8.00929e-18	8.00933e-18	8.81004e-21	3.21625e-22	3.21625e-22	8.81004e-21	1.97994e-26	4.8056e-15	2.40087e-13	5.0973e-18	5.0973e-18	3.05819e-15	1.92975e-19	4.8056e-15	1.92975e-19	5.0973e-18	5.0973e-18	3.05819e-15	3.29516e-25	3.29516e-25	3.29516e-25	1.91934e-22	1.91934e-22	1.91934e-22	1.15149e-19
58	1.0039e-11	9.93368e-11	3.98898e-15	1.99449e-13	1.99449e-13	3.98898e-15	8.009e-18	8.00896e-18	1.60182e-19	4.00132e-16	8.00896e-18	8.009e-18	8.91017e-21	3.21605e-22	3.21605e-22	8.91017e-21	2.00257e-26	4.8054e-15	2.4008e-13	5.16e-18	5.16e-18	3.09582e-15	1.92963e-19	4.8054e-15	1.92963e-19	5.16e-18	5.16e-18	3.09582e-15	3.39196e-25	3.39196e-25	3.39196e-25	1.9768e-22	1.9768e-22	1.9768e-22	1.18596e-19
59	1.00388e-11	9.93367e-11	3.9889e-15	1.99445e-13	1.99445e-13	3.9889e-15	8.00868e-18	8.00864e-18	1.60176e-19	4.00121e-16	8.00864e-18	8.00868e-18	9.00881e-21	3.21586e-22	3.21586e-22	9.00881e-21	2.02489e-26	4.80521e-15	2.40073e-13	5.22177e-18	5.22177e-18	3.13288e-15	1.92951e-19	4.80521e-15	1.92951e-19	5.22177e-18	5.22177e-18	3.13288e-15	3.48988e-25	3.48988e-25	3.48988e-25	2.03493e-22	2.03493e-22	2.03493e-22	1.22084e-19
60	1.00386e-11	9.93367e-11	3.98882e-15	1.99441e-13	1.99441e-13	3.98882e-15	8.00836e-18	8.00832e-18	1.60169e-19	4.00109e-16	8.00832e-18	8.00836e-18	9.10597e-21	3.21567e-22	3.21567e-22	9.10597e-21	2.04693e-26	4.80502e-15	2.40066e-13	5.28261e-18	5.28261e-18	3.16939e-15	1.9294e-19	4.80502e-15	1.9294e-19	5.28261e-18	5.28261e-18	3.16939e-15	3.58889e-25	3.58889e-25	3.58889e-25	2.09372e-22	2.09372e-22	2.09372e-22	1.25611e-19
61	1.00384e-11	9.93366e-11	3.98874e-15	1.99437e-13	1.99437e-13	3.98874e-15	8.00805e-18	8.00801e-18	1.60163e-19	4.00098e-16	8.00801e-18	8.00805e-18	9.20167e-21	3.21548e-22	3.21548e-22	9.20167e-21	2.06867e-26	4.80483e-15	2.40059e-13	5.34254e-18	5.34254e-18	3.20535e-15	1.92929e-19	4.80483e-15	1.92929e-19	5.34254e-18	5.34254e-18	3.20535e-15	3.68898e-25	3.68898e-25	3.68898e-25	2.15318e-22	2.15318e-22	2.15318e-22	1.29179e-19
62	1.00383e-11	9.93366e-11	3.98866e-15	1.99433e-13	1.99433e-13	3.98866e-15	8.00774e-18	8.0077e-18	1.60157e-19	4.00087e-16	8.0077e-18	8.00774e-18	9.29593e-21	3.21529e-22	3.21529e-22	9.29593e-21	2.09012e-26	4.80465e-15	2.40052e-13	5.40157e-18	5.40157e-18	3.24077e-15	1.92918e-19	4.80465e-15	1.92918e-19	5.40157e-18	5.40157e-18	3.24077e-15	3.79014e-25	3.79014e-25	3.79014e-25	2.21328e-22	2.21328e-22	2.21328e-22	1.32785e-19
63	1.00381e-11	9.93365e-11	3.98859e-15	1.99429e-13	1.99429e-13	3.98859e-15	8.00744e-18	8.0074e-18	1.60151e-19	4.00076e-16	8.0074e-18	8.00744e-18	9.38877e-21	3.21511e-22	3.21511e-22	9.38877e-21	2.11129e-26	4.80446e-15	2.40045e-13	5.4597e-18	5.4597e-18	3.27565e-15	1.92907e-19	4.80446e-15	1.92907e-19	5.4597e-18	5.4597e-18	3.27565e-15	3.89235e-25	3.89235e-25	3.89235e-25	2.27402e-22	2.27402e-22	2.27402e-22	1.36429e-19
64	1.00379e-11	9.93364e-11	3.98851e-15	1.99425e-13	1.99425e-13	3.98851e-15	8.00714e-18	8.0071e-18	1.60145e-19	4.00065e-16	8.0071e-18	8.00714e-18	9.48033e-21	3.21493e-22	3.21493e-22	9.48033e-21	2.1322e-26	4.80428e-15	2.40039e-13	5.51704e-18	5.51704e-18	3.31005e-15	1.92896e-19	4.80428e-15	1.92896e-19	5.51704e-18	5.51704e-18	3.31005e-15	3.99551e-25	3.99551e-25	3.99551e-25	2.33534e-22	2.33534e-22	2.33534e-22	1.40108e-19
65	1.00377e-11	9.93364e-11	3.98844e-15	1.99422e-13	1.99422e-13	3.98844e-15	8.00684e-18	8.00681e-18	1.60139e-19	4.00054e-16	8.00681e-18	8.00684e-18	9.57068e-21	3.21475e-22	3.21475e-22	9.57068e-21	2.15288e-26	4.80411e-15	2.40033e-13	5.57362e-18	5.57362e-18	3.344e-15	1.92885e-19	4.80411e-15	1.92885e-19	5.57362e-18	5.57362e-18	3.344e-15	4.09956e-25	4.09956e-25	4.09956e-25	2.3972e-22	2.3972e-22	2.3972e-22	1.43819e-19
66	1.00375e-11	9.93363e-11	3.98836e-15	1.99418e-13	1.99418e-13	3.98836e-15	8.00655e-18	8.00652e-18	1.60133e-19	4.00044e-16	8.00652e-18	8.00655e-18	9.65974e-21	3.21458e-22	3.21458e-22	9.65974e-21	2.17329e-26	4.80393e-15	2.40026e-13	5.62939e-18	5.62939e-18	3.37747e-15	1.92875e-19	4.80393e-15	1.92875e-19	5.62939e-18	5.62939e-18	3.37747e-15	4.20457e-25	4.20457e-25	4.20457e-25	2.45964e-22	2.45964e-22	2.45964e-22	1.47566e-19
67	1.00373e-11	9.93363e-11	3.98829e-15	1.99414e-13	1.99414e-13	3.98829e-15	8.00627e-18	8.00623e-18	1.60127e-19	4.00033e-16	8.00623e-18	8.00627e-18	9.74752e-21	3.21441e-22	3.21441e-22	9.74752e-21	2.19345e-26	4.80376e-15	2.4002e-13	5.68436e-18	5.68436e-18	3.41045e-15	1.92865e-19	4.80376e-15	1.92865e-19	5.68436e-18	5.68436e-18	3.41045e-15	4.31052e-25	4.31052e-25	4.31052e-25	2.52266e-22	2.52266e-22	2.52266e-22	1.51347e-19
68	1.00372e-11	9.93362e-11	3.98822e-15	1.99411e-13	1.99411e-13	3.98822e-15	8.00598e-18	8.00595e-18	1.60122e-19	4.00023e-16	8.00595e-18	8.00598e-18	9.83405e-21	3.21424e-22	3.21424e-22	9.83405e-21	2.21336e-26	4.80359e-15	2.40014e-13	5.73855e-18	5.73855e-18	3.44297e-15	1.92854e-19	4.80359e-15	1.92854e-19	5.73855e-18	5.73855e-18	3.44297e-15	4.41739e-25	4.41739e-25	4.41739e-25	2.58624e-22	2.58624e-22	2.58624e-22	1.55162e-19
69	1.0037e-11	9.93362e-11	3.98815e-15	1.99407e-13	1.99407e-13	3.98815e-15	8.0057e-18	8.00567e-18	1.60116e-19	4.00013e-16	8.00567e-18	8.0057e-18	9.91936e-21	3.21407e-22	3.21407e-22	9.91936e-21	2.23303e-26	4.80342e-15	2.40008e-13	5.79196e-18	5.79196e-18	3.47502e-15	1.92844e-19	4.80342e-15	1.92844e-19	5.79196e-18	5.79196e-18	3.47502e-15	4.52517e-25	4.52517e-25	4.52517e-25	2.65038e-22	2.65038e-22	2.65038e-22	1.5901e-19
70	1.00368e-11	9.93361e-11	3.98808e-15	1.99404e-13	1.99404e-13	3.98808e-15	8.00543e-18	8.0054e-18	1.60111e-19	4.00003e-16	8.0054e-18	8.00543e-18	1.00035e-20	3.21391e-22	3.21391e-22	1.00035e-20	2.25245e-26	4.80326e-15	2.40002e-13	5.84463e-18	5.84463e-18	3.50662e-15	1.92834e-19	4.80326e-15	1.92834e-19	5.84463e-18	5.84463e-18	3.50662e-15	4.63384e-25	4.63384e-25	4.63384e-25	2.71505e-22	2.71505e-22	2.71505e-22	1.6289e-19
71	1.00367e-11	9.93361e-11	3.98801e-15	1.994e-13	1.994e-13	3.98801e-15	8.00516e-18	8.00513e-18	1.60105e-19	3.99993e-16	8.00513e-18	8.00516e-18	1.00864e-20	3.21374e-22	3.21374e-22	1.00864e-20	2.27164e-26	4.8031e-15	2.39996e-13	5.89656e-18	5.89656e-18	3.53778e-15	1.92825e-19	4.8031e-15	1.92825e-19	5.89656e-18	5.89656e-18	3.53778e-15	4.74338e-25	4.74338e-25	4.74338e-25	2.78025e-22	2.78025e-22	2.78025e-22	1.66802e-19
72	1.00365e-11	9.9336e-11	3.98794e-15	1.99397e-13	1.99397e-13	3.98794e-15	8.00489e-18	8.00486e-18	1.601e-19	3.99983e-16	8.00486e-18	8.00489e-18	1.01682e-20	3.21358e-22	3.21358e-22	1.01682e-20	2.2906e-26	4.80294e-15	2.3999e-13	5.94777e-18	5.94777e-18	3.56851e-15	1.92815e-19	4.80294e-15	1.92815e-19	5.94777e-18	5.94777e-18	3.56851e-15	4.85377e-25	4.85377e-25	4.85377e-25	2.84597e-22	2.84597e-22	2.84597e-22	1.70745e-19
73	1.00363e-11	9.9336e-11	3.98787e-15	1.99393e-13	1.99393e-13	3.98787e-15	8.00463e-18	8.0046e-18	1.60094e-19	3.99974e-16	8.0046e-18	8.00463e-18	1.02488e-20	3.21342e-22	3.21342e-22	1.02488e-20	2.30934e-26	4.80278e-15	2.39984e-13	5.99826e-18	5.99826e-18	3.59881e-15	1.92806e-19	4.80278e-15	1.92806e-19	5.99826e-18	5.99826e-18	3.59881e-15	4.965e-25	4.965e-25	4.965e-25	2.9122e-22	2.9122e-22	2.9122e-22	1.74719e-19
74	1.00362e-11	9.93359e-11	3.98781e-15	1.9939e-13	1.9939e-13	3.98781e-15	8.00437e-18	8.00434e-18	1.60089e-19	3.99964e-16	8.00434e-18	8.00437e-18	1.03283e-20	3.21327e-22	3.21327e-22	1.03283e-20	2.32785e-26	4.80262e-15	2.39979e-13	6.04807e-18	6.04807e-18	3.62869e-15	1.92796e-19	4.80262e-15	1.92796e-19	6.04807e-18	6.04807e-18	3.62869e-15	5.07705e-25	5.07705e-25	5.07705e-25	2.97893e-22	2.97893e-22	2.97893e-22	1.78722e-19
75	1.0036e-11	9.93359e-11	3.98774e-15	1.99387e-13	1.99387e-13	3.98774e-15	8.00411e-18	8.00408e-18	1.60084e-19	3.99955e-16	8.00408e-18	8.00411e-18	1.04068e-20	3.21311e-22	3.21311e-22	1.04068e-20	2.34615e-26	4.80247e-15	2.39973e-13	6.09719e-18	6.09719e-18	3.65817e-15	1.92787e-19	4.80247e-15	1.92787e-19	6.09719e-18	6.09719e-18	3.65817e-15	5.18989e-25	5.18989e-25	5.18989e-25	3.04615e-22	3.04615e-22	3.04615e-22	1.82755e-19
76	1.00358e-11	9.93359e-11	3.98768e-15	1.99384e-13	1.99384e-13	3.98768e-15	8.00386e-18	8.00383e-18	1.60079e-19	3.99946e-16	8.00383e-18	8.00386e-18	1.0484e-20	3.21296e-22	3.21296e-22	1.0484e-20	2.36421e-26	4.80232e-15	2.39968e-13	6.14555e-18	6.14555e-18	3.68718e-15	1.92778e-19	4.80232e-15	1.92778e-19	6.14555e-18	6.14555e-18	3.68718e-15	5.30365e-25	5.30365e-25	5.30365e-25	3.11391e-22	3.11391e-22	3.11391e-22	1.86821e-19
77	1.00357e-11	9.93358e-11	3.98762e-15	1.99381e-13	1.99381e-13	3.98762e-15	8.00361e-18	8.00358e-18	1.60074e-19	3.99937e-16	8.00358e-18	8.00361e-18	1.05601e-20	3.21281e-22	3.21281e-22	1.05601e-20	2.38204e-26	4.80217e-15	2.39962e-13	6.19322e-18	6.19322e-18	3.71579e-15	1.92769e-19	4.80217e-15	1.92769e-19	6.19322e-18	6.19322e-18	3.71579e-15	5.41821e-25	5.41821e-25	5.41821e-25	3.18217e-22	3.18217e-22	3.18217e-22	1.90917e-19
78	1.00355e-11	9.93358e-11	3.98755e-15	1.99377e-13	1.99377e-13	3.98755e-15	8.00337e-18	8.00334e-18	1.60069e-19	3.99928e-16	8.00334e-18	8.00337e-18	1.06352e-20	3.21267e-22	3.21267e-22	1.06352e-20	2.39967e-26	4.80202e-15	2.39957e-13	6.24022e-18	6.24022e-18	3.74399e-15	1.9276e-19	4.80202e-15	1.9276e-19	6.24022e-18	6.24022e-18	3.74399e-15	5.53355e-25	5.53355e-25	5.53355e-25	3.25091e-22	3.25091e-22	3.25091e-22	1.95041e-19
79	1.00354e-11	9.93357e-11	3.98749e-15	1.99374e-13	1.99374e-13	3.98749e-15	8.00312e-18	8.0031e-18	1.60064e-19	3.99919e-16	8.0031e-18	8.00312e-18	1.07092e-20	3.21252e-22	3.21252e-22	1.07092e-20	2.41708e-26	4.80188e-15	2.39951e-13	6.28658e-18	6.28658e-18	3.77181e-15	1.92751e-19	4.80188e-15	1.92751e-19	6.28658e-18	6.28658e-18	3.77181e-15	5.64966e-25	5.64966e-25	5.64966e-25	3.32011e-22	3.32011e-22	3.32011e-22	1.99193e-19
80	1.00352e-11	9.93357e-11	3.98743e-15	1.99371e-13	1.99371e-13	3.98743e-15	8.00289e-18	8.00286e-18	1.60059e-19	3.9991e-16	8.00286e-18	8.00289e-18	1.07822e-20	3.21238e-22	3.21238e-22	1.07822e-20	2.43429e-26	4.80173e-15	2.39946e-13	6.33229e-18	6.33229e-18	3.79924e-15	1.92743e-19	4.80173e-15	1.92743e-19	6.33229e-18	6.33229e-18	3.79924e-15	5.76653e-25	5.76653e-25	5.76653e-25	3.38977e-22	3.38977e-22	3.38977e-22	2.03372e-19
81	1.00351e-11	9.93356e-11	3.98737e-15	1.99368e-13	1.99368e-13	3.98737e-15	8.00265e-18	8.00262e-18	1.60055e-19	3.99902e-16	8.00262e-18	8.00265e-18	1.08542e-20	3.21224e-22	3.21224e-22	1.08542e-20	2.45131e-26	4.80159e-15	2.39941e-13	6.37738e-18	6.37738e-18	3.82629e-15	1.92734e-19	4.80159e-15	1.92734e-19	6.37738e-18	6.37738e-18	3.82629e-15	5.88413e-25	5.88413e-25	5.88413e-25	3.45988e-22	3.45988e-22	3.45988e-22	2.07579e-19
82	1.0035e-11	9.93356e-11	3.98731e-15	1.99365e-13	1.99365e-13	3.98731e-15	8.00242e-18	8.00239e-18	1.6005e-19	3.99893e-16	8.00239e-18	8.00242e-18	1.09252e-20	3.2121e-22	3.2121e-22	1.09252e-20	2.46812e-26	4.80145e-15	2.39936e-13	6.42186e-18	6.42186e-18	3.85298e-15	1.92726e-19	4.80145e-15	1.92726e-19	6.42186e-18	6.42186e-18	3.85298e-15	6.00246e-25	6.00246e-25	6.00246e-25	3.53043e-22	3.53043e-22	3.53043e-22	2.11812e-19
83	1.00348e-11	9.93355e-11	3.98725e-15	1.99363e-13	1.99363e-13	3.98725e-15	8.00219e-18	8.00216e-18	1.60045e-19	3.99885e-16	8.00216e-18	8.00219e-18	1.09953e-20	3.21196e-22	3.21196e-22	1.09953e-20	2.48475e-26	4.80132e-15	2.39931e-13	6.46573e-18	6.46573e-18	3.87931e-15	1.92718e-19	4.80132e-15	1.92718e-19	6.46573e-18	6.46573e-18	3.87931e-15	6.1215e-25	6.1215e-25	6.1215e-25	3.60142e-22	3.60142e-22	3.60142e-22	2.16071e-19
84	1.00347e-11	9.93355e-11	3.9872e-15	1.9936e-13	1.9936e-13	3.9872e-15	8.00197e-18	8.00194e-18	1.60041e-19	3.99877e-16	8.00194e-18	8.00197e-18	1.10644e-20	3.21183e-22	3.21183e-22	1.10644e-20	2.50119e-26	4.80118e-15	2.39926e-13	6.50901e-18	6.50901e-18	3.90528e-15	1.9271e-19	4.80118e-15	1.9271e-19	6.50901e-18	6.50901e-18	3.90528e-15	6.24122e-25	6.24122e-25	6.24122e-25	3.67282e-22	3.67282e-22	3.67282e-22	2.20355e-19
85	1.00345e-11	9.93355e-11	3.98714e-15	1.99357e-13	1.99357e-13	3.98714e-15	8.00174e-18	8.00172e-18	1.60036e-19	3.99869e-16	8.00172e-18	8.00174e-18	1.11326e-20	3.21169e-22	3.21169e-22	1.11326e-20	2.51744e-26	4.80105e-15	2.39921e-13	6.55172e-18	6.55172e-18	3.9309e-15	1.92702e-19	4.80105e-15	1.92702e-19	6.55172e-18	6.55172e-18	3.9309e-15	6.36163e-25	6.36163e-25	6.36163e-25	3.74464e-22	3.74464e-22	3.74464e-22	2.24664e-19
