Time	[S1]	[DNA0000]	[DNA0001]	[DNA0010]	[DNA0100]	[DNA1000]	[DNA1100]	[DNA1010]	[DNA1001]	[DNA0110]	[DNA0101]	[DNA0011]	[DNA1110]	[DNA1011]	[DNA1101]	[DNA0111]	[DNA1111]	[DNA001_1]	[DNA01_10]	[DNA01_11]	[DNA011_1]	[DNA01_1_1]	[DNA101_1]	[DNA1_100]	[DNA1_101]	[DNA1_110]	[DNA11_10]	[DNA1_1_10]	[DNA1_111]	[DNA11_11]	[DNA111_1]	[DNA1_1_11]	[DNA1_11_1]	[DNA11_1_1]	[DNA1_1_1_1]
10	1.00649e-11	9.93467e-11	3.99968e-15	1.99973e-13	1.99973e-13	3.99968e-15	8.05411e-18	8.05052e-18	1.61025e-19	3.903e-16	8.05052e-18	8.05411e-18	2.16475e-21	3.24248e-22	3.24248e-22	2.16475e-21	5.29725e-27	4.83265e-15	2.34157e-13	9.46014e-19	9.46014e-19	5.67257e-16	1.94559e-19	4.83265e-15	1.94559e-19	9.46014e-19	9.46014e-19	5.67257e-16	1.82373e-26	1.82373e-26	1.82373e-26	9.36232e-24	9.36232e-24	9.36232e-24	5.61425e-21
11	1.00608e-11	9.93448e-11	3.99797e-15	1.9989e-13	1.9989e-13	3.99797e-15	8.04666e-18	8.04402e-18	1.60892e-19	3.93513e-16	8.04402e-18	8.04666e-18	2.3562e-21	3.23812e-22	3.23812e-22	2.3562e-21	5.7036e-27	4.82813e-15	2.36092e-13	1.06291e-18	1.06291e-18	6.37399e-16	1.94293e-19	4.82813e-15	1.94293e-19	1.06291e-18	1.06291e-18	6.37399e-16	2.1159e-26	2.1159e-26	2.1159e-26	1.09949e-23	1.09949e-23	1.09949e-23	6.59357e-21
12	1.00579e-11	9.93434e-11	3.99674e-15	1.99831e-13	1.99831e-13	3.99674e-15	8.03975e-18	8.03943e-18	1.60799e-19	3.95743e-16	8.03943e-18	8.03975e-18	2.54474e-21	3.23445e-22	3.23445e-22	2.54474e-21	6.10433e-27	4.82386e-15	2.37435e-13	1.17902e-18	1.17902e-18	7.07064e-16	1.94067e-19	4.82386e-15	1.94067e-19	1.17902e-18	1.17902e-18	7.07064e-16	2.42765e-26	2.42765e-26	2.42765e-26	1.27468e-23	1.27468e-23	1.27468e-23	7.64445e-21
13	1.00557e-11	9.93424e-11	3.9958e-15	1.99787e-13	1.99787e-13	3.9958e-15	8.03597e-18	8.03467e-18	1.607e-19	3.97288e-16	8.03467e-18	8.03597e-18	2.733e-21	3.23252e-22	3.23252e-22	2.733e-21	6.51099e-27	4.82165e-15	2.38365e-13	1.29409e-18	1.29409e-18	7.76108e-16	1.9396e-19	4.82165e-15	1.9396e-19	1.29409e-18	1.29409e-18	7.76108e-16	2.7593e-26	2.7593e-26	2.7593e-26	1.46163e-23	1.46163e-23	1.46163e-23	8.76593e-21
14	1.00541e-11	9.93417e-11	3.99516e-15	1.99755e-13	1.99755e-13	3.99516e-15	8.03366e-18	8.0336e-18	1.6068e-19	3.98357e-16	8.0336e-18	8.03366e-18	2.91391e-21	3.23073e-22	3.23073e-22	2.91391e-21	6.89144e-27	4.8202e-15	2.39009e-13	1.40796e-18	1.40796e-18	8.44437e-16	1.93842e-19	4.8202e-15	1.93842e-19	1.40796e-18	1.40796e-18	8.44437e-16	3.10896e-26	3.10896e-26	3.10896e-26	1.66019e-23	1.66019e-23	1.66019e-23	9.95707e-21
15	1.00528e-11	9.93412e-11	3.99464e-15	1.9973e-13	1.9973e-13	3.99464e-15	8.03135e-18	8.03111e-18	1.60629e-19	3.99089e-16	8.03111e-18	8.03135e-18	3.09571e-21	3.22927e-22	3.22927e-22	3.09571e-21	7.28255e-27	4.81882e-15	2.3945e-13	1.52054e-18	1.52054e-18	9.11989e-16	1.93755e-19	4.81882e-15	1.93755e-19	1.52054e-18	1.52054e-18	9.11989e-16	3.47823e-26	3.47823e-26	3.47823e-26	1.8702e-23	1.8702e-23	1.8702e-23	1.12169e-20
16	1.00519e-11	9.93408e-11	3.99424e-15	1.9971e-13	1.9971e-13	3.99424e-15	8.02962e-18	8.02961e-18	1.60599e-19	3.9959e-16	8.02961e-18	8.02962e-18	3.27402e-21	3.2284e-22	3.2284e-22	3.27402e-21	7.66446e-27	4.81777e-15	2.39751e-13	1.63176e-18	1.63176e-18	9.78725e-16	1.93703e-19	4.81777e-15	1.93703e-19	1.63176e-18	1.63176e-18	9.78725e-16	3.86585e-26	3.86585e-26	3.86585e-26	2.09151e-23	2.09151e-23	2.09151e-23	1.25445e-20
17	1.00511e-11	9.93405e-11	3.99392e-15	1.99695e-13	1.99695e-13	3.99392e-15	8.02846e-18	8.02834e-18	1.60573e-19	3.99934e-16	8.02834e-18	8.02846e-18	3.44998e-21	3.22776e-22	3.22776e-22	3.44998e-21	8.0422e-27	4.81708e-15	2.39959e-13	1.74158e-18	1.74158e-18	1.04462e-15	1.93666e-19	4.81708e-15	1.93666e-19	1.74158e-18	1.74158e-18	1.04462e-15	4.27182e-26	4.27182e-26	4.27182e-26	2.32396e-23	2.32396e-23	2.32396e-23	1.3939e-20
18	1.00504e-11	9.93403e-11	3.99365e-15	1.99681e-13	1.99681e-13	3.99365e-15	8.02749e-18	8.02729e-18	1.60552e-19	4.0017e-16	8.02729e-18	8.02749e-18	3.62346e-21	3.22713e-22	3.22713e-22	3.62346e-21	8.41495e-27	4.8165e-15	2.40101e-13	1.84996e-18	1.84996e-18	1.10965e-15	1.93629e-19	4.8165e-15	1.93629e-19	1.84996e-18	1.84996e-18	1.10965e-15	4.69584e-26	4.69584e-26	4.69584e-26	2.56741e-23	2.56741e-23	2.56741e-23	1.53995e-20
19	1.00499e-11	9.93401e-11	3.99342e-15	1.9967e-13	1.9967e-13	3.99342e-15	8.02649e-18	8.02641e-18	1.60534e-19	4.0033e-16	8.02641e-18	8.02649e-18	3.79452e-21	3.22654e-22	3.22654e-22	3.79452e-21	8.78284e-27	4.8159e-15	2.40197e-13	1.95692e-18	1.95692e-18	1.17383e-15	1.93592e-19	4.8159e-15	1.93592e-19	1.95692e-18	1.95692e-18	1.17383e-15	5.13767e-26	5.13767e-26	5.13767e-26	2.82169e-23	2.82169e-23	2.82169e-23	1.69249e-20
