Time	[PLG]	[PLS]	[scUPA]	[tcUPA]	[LTGFb1]	[TGFb1]	[TSP1]	[PAI1]	[TSP1:PLS]	[A2M]	[A2M:PLS]	[PAI1:tcUPA]	[PAI1:scUPA]
0	0.003	0	0.001	0	0.001	0	0	0	0	0.005	0	0	0
1	0.0376412	2.111e-06	0.00435857	7.7787e-10	0.00443862	1.25245e-05	1.71475e-06	5.27946e-06	1.4256e-12	0.0083827	1.15834e-07	1.92895e-17	3.88382e-10
2	0.0716721	1.1936e-05	0.00754533	1.43737e-08	0.0078	3.83927e-05	9.38081e-06	3.06355e-05	7.1484e-11	0.0117053	1.69254e-06	3.91631e-15	7.36786e-09
3	0.105096	3.21843e-05	0.010569	8.12373e-08	0.0110835	7.67079e-05	2.49401e-05	8.89293e-05	5.30186e-10	0.0149648	8.62268e-06	9.53361e-14	4.38252e-08
4	0.137917	6.22489e-05	0.0134379	2.70744e-07	0.0142865	0.000128483	4.84047e-05	0.000192888	2.02686e-09	0.018156	2.72214e-05	9.20543e-13	1.58482e-07
5	0.170141	9.95329e-05	0.0161596	6.6706e-07	0.0174051	0.000195906	7.87937e-05	0.000356719	5.33494e-09	0.0212722	6.50766e-05	5.27771e-12	4.34287e-07
6	0.201772	0.000140921	0.0187416	1.35203e-06	0.0204342	0.000281619	0.000114953	0.000596906	1.11013e-08	0.024307	0.000129703	2.16591e-11	9.97633e-07
7	0.232815	0.000183797	0.0211906	2.39335e-06	0.0233684	0.000388278	0.00015602	0.000932373	1.97511e-08	0.0272547	0.0002276	7.04899e-11	2.02862e-06
8	0.263278	0.000226441	0.0235132	3.84028e-06	0.0262017	0.000518404	0.000201558	0.00138434	3.15474e-08	0.0301113	0.000363893	1.9359e-10	3.77189e-06
9	0.293167	0.000267976	0.0257154	5.72505e-06	0.028928	0.000674408	0.000251508	0.00197615	4.67038e-08	0.0328736	0.000542412	4.67218e-10	6.54763e-06
10	0.322487	0.000308106	0.027803	8.06668e-06	0.0315406	0.00085868	0.000306084	0.00273314	6.54704e-08	0.0355399	0.000765975	1.01898e-09	1.07623e-05
11	0.351247	0.000346856	0.0297812	1.08749e-05	0.0340324	0.00107368	0.00036568	0.00368259	8.81754e-08	0.0381089	0.00103667	2.04887e-09	1.6919e-05
12	0.379453	0.000384381	0.0316551	1.41532e-05	0.0363958	0.001322	0.000430816	0.00485387	1.1524e-07	0.04058	0.00135607	3.85475e-09	2.5628e-05
13	0.407113	0.000420863	0.0334291	1.79004e-05	0.0386225	0.00160637	0.000502118	0.00627842	1.47179e-07	0.0429527	0.00172538	6.86246e-09	3.76164e-05
14	0.434234	0.000456467	0.0351074	2.21122e-05	0.0407033	0.00192972	0.000580313	0.00799	1.84607e-07	0.0452271	0.00214548	1.1661e-08	5.37384e-05
15	0.460823	0.000491328	0.0366939	2.67813e-05	0.0426287	0.00229516	0.000666238	0.0100247	2.28245e-07	0.0474034	0.00261699	1.90425e-08	7.49845e-05
16	0.486889	0.000525553	0.038192	3.1898e-05	0.0443883	0.00270594	0.00076086	0.0124213	2.78934e-07	0.0494819	0.00314025	3.00479e-08	0.000102492
17	0.512439	0.000559221	0.039605	3.74505e-05	0.0459709	0.00316553	0.000865297	0.015221	3.37659e-07	0.0514635	0.0037154	4.60178e-08	0.000137553
18	0.537482	0.000592393	0.0409354	4.34246e-05	0.0473646	0.0036775	0.000980848	0.0184679	4.05568e-07	0.0533489	0.00434231	6.86483e-08	0.000181624
19	0.562025	0.000625111	0.042186	4.98044e-05	0.0485568	0.00424554	0.00110903	0.0222088	4.84009e-07	0.0551393	0.00502065	1.00052e-07	0.000236336
20	0.586076	0.000657399	0.0433586	5.65717e-05	0.0495342	0.00487342	0.00125162	0.0264937	5.74563e-07	0.056836	0.00574987	1.42826e-07	0.000303498
21	0.609643	0.000689267	0.0444552	6.37061e-05	0.0502829	0.00556489	0.00141071	0.0313749	6.79094e-07	0.0584405	0.0065292	2.00119e-07	0.000385108
22	0.632735	0.00072071	0.0454772	7.11852e-05	0.0507884	0.00632363	0.00158878	0.036908	7.99805e-07	0.0599545	0.00735764	2.75707e-07	0.000483354
23	0.65536	0.000751705	0.0464259	7.89841e-05	0.051036	0.00715307	0.00178879	0.0431506	9.3931e-07	0.06138	0.00823401	3.74068e-07	0.00060062
24	0.677526	0.000782213	0.0473021	8.70753e-05	0.0510108	0.00805629	0.00201426	0.050163	1.10072e-06	0.062719	0.00915687	5.0046e-07	0.000739482
25	0.699241	0.000812176	0.0481064	9.54285e-05	0.0506982	0.00903575	0.00226945	0.0580066	1.28775e-06	0.063974	0.0101246	6.6099e-07	0.000902709
