Time	[U]	[V]	[IPTG]
0	0	0	0
1	94.1445	0.273198	0
2	131.227	0.18373	0
3	146.126	0.137095	0
4	151.999	0.115755	0
5	154.294	0.106408	0
6	155.189	0.102406	0
7	155.538	0.100716	0
8	155.675	0.10001	0
9	155.728	0.0997174	0
10	155.75	0.0995967	0
11	155.758	0.0995471	0
12	155.761	0.0995269	0
13	155.763	0.0995187	0
14	155.763	0.0995153	0
15	155.763	0.0995139	0
16	155.763	0.0995134	0
17	155.763	0.0995132	0
18	155.763	0.0995131	0
19	155.763	0.099513	0
20	155.763	0.099513	0
21	155.763	0.099513	0
22	155.763	0.099513	0
23	155.763	0.099513	0
24	155.763	0.099513	0
25	155.763	0.099513	0
26	155.763	0.099513	0
27	155.763	0.099513	0
28	155.763	0.099513	0
29	155.763	0.099513	0
30	155.763	0.099513	0
31	155.763	0.099513	0
32	155.763	0.099513	0
33	155.763	0.099513	0
34	155.763	0.099513	0
35	155.763	0.099513	0
36	155.763	0.099513	0
37	155.763	0.099513	0
38	155.763	0.099513	0
39	155.763	0.099513	0
40	155.763	0.099513	0
41	155.763	0.099513	0
42	155.763	0.099513	0
43	155.763	0.099513	0
44	155.763	0.099513	0
45	155.763	0.099513	0
46	155.763	0.099513	0
47	155.763	0.099513	0
48	155.763	0.099513	0
49	155.763	0.099513	0
50	155.763	0.099513	0
51	155.763	0.099513	0
52	155.763	0.099513	0
53	155.763	0.099513	0
54	155.763	0.099513	0
55	155.763	0.099513	0
56	155.763	0.099513	0
57	155.763	0.099513	0
58	155.763	0.099513	0
59	155.763	0.099513	0
60	155.763	0.099513	0
61	155.763	0.099513	0
62	155.763	0.099513	0
63	155.763	0.099513	0
64	155.763	0.099513	0
65	155.763	0.099513	0
66	155.763	0.099513	0
67	155.763	0.099513	0
68	155.763	0.099513	0
69	155.763	0.099513	0
70	155.763	0.099513	0
71	155.763	0.099513	0
72	155.763	0.099513	0
73	155.763	0.099513	0
74	155.763	0.099513	0
75	155.763	0.099513	0
76	155.763	0.099513	0
77	155.763	0.099513	0
78	155.763	0.099513	0
79	155.763	0.099513	0
80	155.763	0.099513	0
81	155.763	0.099513	0
82	155.763	0.099513	0
83	155.763	0.099513	0
84	155.763	0.099513	0
85	155.763	0.099513	0
86	155.763	0.099513	0
87	155.763	0.099513	0
88	155.763	0.099513	0
89	155.763	0.099513	0
90	155.763	0.099513	0
91	155.763	0.099513	0
92	155.763	0.099513	0
93	155.763	0.099513	0
94	155.763	0.099513	0
95	155.763	0.099513	0
96	155.763	0.099513	0
97	155.763	0.099513	0
98	155.763	0.099513	0
99	155.763	0.099513	0
100	155.763	0.099513	0
