Time	[acc]	[toc1_mrna]	[toc1_1]	[toc1_2]	[cca1_mrna]	[cca1_c]	[cca1_n]	[toc1luc_mrna]	[toc1luc_1]	[toc1luc_2]	[cca1luc_mrna]	[cca1luc]	[luc_mrna]	[luc]
58	0.679438	0.244128	0.518031	0.108062	0.0400817	0.0181802	0.456453	0	0	0	0	0	0	0
59	0.704679	0.281381	0.64194	0.131933	0.0615113	0.0277605	0.485052	0	0	0	0	0	0	0
60	0.727933	0.306135	0.772597	0.161018	0.0955645	0.0431827	0.606624	0	0	0	0	0	0	0
61	0.670615	0.309086	0.760606	0.3231	0.0682997	0.0317186	0.767956	0	0	0	0	0	0	0
62	0.617811	0.295508	0.747854	0.433433	0.11798	0.0535431	0.950803	0	0	0	0	0	0	0
63	0.569164	0.265375	0.724009	0.505764	0.177815	0.0823207	1.32915	0	0	0	0	0	0	0
64	0.524348	0.224263	0.682648	0.547361	0.223586	0.105017	1.8472	0	0	0	0	0	0	0
65	0.483061	0.1823	0.625047	0.562645	0.249884	0.11849	2.40015	0	0	0	0	0	0	0
66	0.445024	0.145258	0.557461	0.555905	0.257687	0.12303	2.89897	0	0	0	0	0	0	0
67	0.409983	0.114742	0.486617	0.532006	0.249887	0.119968	3.28384	0	0	0	0	0	0	0
68	0.377701	0.0904833	0.417675	0.495993	0.229977	0.110952	3.52246	0	0	0	0	0	0	0
69	0.347961	0.0716171	0.353927	0.452543	0.201738	0.0977791	3.6053	0	0	0	0	0	0	0
70	0.320562	0.0572015	0.297141	0.405599	0.169072	0.0823107	3.54124	0	0	0	0	0	0	0
71	0.295321	0.046406	0.248003	0.358243	0.135668	0.0663277	3.35312	0	0	0	0	0	0	0
72	0.272067	0.0385665	0.20652	0.312711	0.104555	0.0513149	3.07284	0	0	0	0	0	0	0
73	0.329385	0.0340986	0.206075	0.219685	0.239196	0.11232	2.76204	0	0	0	0	0	0	0
74	0.382189	0.03225	0.203506	0.160857	0.182266	0.0891069	2.64487	0	0	0	0	0	0	0
75	0.430836	0.0332572	0.200909	0.123474	0.113957	0.0563237	2.30877	0	0	0	0	0	0	0
76	0.475652	0.0389148	0.200944	0.0997539	0.0687086	0.0339529	1.86441	0	0	0	0	0	0	0
77	0.516939	0.0519016	0.207563	0.0851508	0.0432902	0.0212453	1.43592	0	0	0	0	0	0	0
78	0.554976	0.0750671	0.226286	0.0773259	0.0301545	0.0146222	1.08069	0	0	0	0	0	0	0
79	0.590017	0.10951	0.263476	0.0754714	0.024383	0.0116305	0.811292	0	0	0	0	0	0	0
80	0.622299	0.152784	0.324218	0.0797218	0.0238384	0.0111521	0.621975	0	0	0	0	0	0	0
81	0.652039	0.19958	0.410009	0.0905227	0.0285012	0.0130911	0.504513	0	0	0	0	0	0	0
82	0.679438	0.244128	0.518031	0.108062	0.0400816	0.0181802	0.456453	0	0	0	0	0	0	0
83	0.704679	0.281381	0.641941	0.131933	0.0615114	0.0277606	0.485052	0	0	0	0	0	0	0
84	0.727933	0.306135	0.772597	0.161018	0.0955645	0.0431827	0.606625	0	0	0	0	0	0	0
85	0.670615	0.309086	0.760606	0.3231	0.0682997	0.0317187	0.767957	0	0	0	0	0	0	0
86	0.617811	0.295508	0.747854	0.433433	0.11798	0.0535431	0.950804	0	0	0	0	0	0	0
87	0.569164	0.265375	0.724009	0.505764	0.177815	0.0823207	1.32915	0	0	0	0	0	0	0
88	0.524348	0.224263	0.682648	0.547361	0.223586	0.105017	1.8472	0	0	0	0	0	0	0
89	0.483061	0.1823	0.625047	0.562645	0.249884	0.11849	2.40015	0	0	0	0	0	0	0
90	0.445024	0.145258	0.557461	0.555905	0.257687	0.12303	2.89897	0	0	0	0	0	0	0
91	0.409983	0.114742	0.486617	0.532006	0.249887	0.119967	3.28384	0	0	0	0	0	0	0
92	0.377701	0.0904832	0.417674	0.495993	0.229977	0.110952	3.52246	0	0	0	0	0	0	0
93	0.347961	0.071617	0.353927	0.452543	0.201738	0.097779	3.6053	0	0	0	0	0	0	0
94	0.320562	0.0572015	0.297141	0.405599	0.169072	0.0823106	3.54124	0	0	0	0	0	0	0
95	0.295321	0.046406	0.248003	0.358243	0.135668	0.0663276	3.35312	0	0	0	0	0	0	0
96	0.272067	0.0385664	0.20652	0.312711	0.104555	0.0513149	3.07284	0	0	0	0	0	0	0
97	0.329385	0.0340986	0.206075	0.219685	0.239196	0.11232	2.76204	0	0	0	0	0	0	0
98	0.382189	0.03225	0.203506	0.160857	0.182266	0.0891069	2.64487	0	0	0	0	0	0	0
99	0.430836	0.0332571	0.200909	0.123474	0.113957	0.0563237	2.30877	0	0	0	0	0	0	0
100	0.475652	0.0389147	0.200944	0.0997538	0.0687086	0.0339529	1.86441	0	0	0	0	0	0	0
