Time	[NADH]	[O2]	[H2O2]	[per3]	[coI]	[ArH]	[coII]	[Ar]	[NADrad]	[super]	[coIII]	[per2]	[NAD2]	[NAD]	[O2g]	[NADHres]
30	2.39959	1.97637	5.63263e-07	1.39973	1.89149e-07	500	5.32364e-06	1.63705e-05	6.53237e-07	1.08204e-06	0.000258519	7.50007e-06	0	0	12	0
31	2.47954	2.03629	5.99741e-07	1.3997	2.01408e-07	500	5.67338e-06	1.68985e-05	6.77491e-07	1.15638e-06	0.00028666	7.65572e-06	0	0	12	0
32	2.5595	2.09585	6.37252e-07	1.39967	2.14014e-07	500	6.03318e-06	1.74226e-05	7.01722e-07	1.23291e-06	0.00031667	7.79654e-06	0	0	12	0
33	2.63945	2.15504	6.75786e-07	1.39964	2.26965e-07	500	6.40294e-06	1.79429e-05	7.25932e-07	1.31162e-06	0.000348599	7.92398e-06	0	0	12	0
34	2.7194	2.21389	7.15334e-07	1.3996	2.40257e-07	500	6.7826e-06	1.84596e-05	7.50122e-07	1.39248e-06	0.000382498	8.03944e-06	0	0	12	0
35	2.79934	2.27237	7.55887e-07	1.39957	2.53888e-07	500	7.17204e-06	1.89726e-05	7.74296e-07	1.47548e-06	0.000418416	8.14427e-06	0	0	12	0
36	2.87928	2.33051	7.97435e-07	1.39953	2.67854e-07	500	7.57118e-06	1.94822e-05	7.98454e-07	1.5606e-06	0.000456401	8.23971e-06	0	0	12	0
37	2.95922	2.38829	8.39969e-07	1.39949	2.82151e-07	500	7.97993e-06	1.99882e-05	8.22598e-07	1.64782e-06	0.000496503	8.32693e-06	0	0	12	0
38	3.03916	2.44572	8.83481e-07	1.39944	2.96778e-07	500	8.3982e-06	2.04909e-05	8.46729e-07	1.73711e-06	0.000538769	8.40698e-06	0	0	12	0
39	3.11909	2.50281	9.27961e-07	1.3994	3.1173e-07	500	8.82592e-06	2.09903e-05	8.70848e-07	1.82847e-06	0.000583248	8.48082e-06	0	0	12	0
40	3.19902	2.55955	9.734e-07	1.39935	3.27006e-07	500	9.26298e-06	2.14864e-05	8.94957e-07	1.92186e-06	0.000629987	8.54927e-06	0	0	12	0
41	3.27895	2.61595	1.01979e-06	1.3993	3.42601e-07	500	9.7093e-06	2.19792e-05	9.19055e-07	2.01728e-06	0.000679034	8.61309e-06	0	0	12	0
42	3.35887	2.67201	1.06712e-06	1.39925	3.58514e-07	500	1.01648e-05	2.24689e-05	9.43144e-07	2.11471e-06	0.000730434	8.67293e-06	0	0	12	0
43	3.43879	2.72773	1.11539e-06	1.3992	3.74741e-07	500	1.06294e-05	2.29554e-05	9.67224e-07	2.21412e-06	0.000784235	8.72935e-06	0	0	12	0
44	3.5187	2.78311	1.16458e-06	1.39914	3.91279e-07	500	1.1103e-05	2.34388e-05	9.91297e-07	2.31551e-06	0.000840483	8.78284e-06	0	0	12	0
45	3.59861	2.83816	1.21468e-06	1.39908	4.08125e-07	500	1.15855e-05	2.39191e-05	1.01536e-06	2.41884e-06	0.000899223	8.83383e-06	0	0	12	0
46	3.67852	2.89287	1.26569e-06	1.39902	4.25277e-07	500	1.20769e-05	2.43964e-05	1.03942e-06	2.52411e-06	0.0009605	8.88266e-06	0	0	12	0
47	3.75842	2.94725	1.31761e-06	1.39895	4.42731e-07	500	1.25771e-05	2.48707e-05	1.06348e-06	2.6313e-06	0.00102436	8.92966e-06	0	0	12	0
48	3.83832	3.00131	1.37041e-06	1.39889	4.60485e-07	500	1.30859e-05	2.53421e-05	1.08752e-06	2.74039e-06	0.00109085	8.97506e-06	0	0	12	0
49	3.91822	3.05503	1.4241e-06	1.39882	4.78537e-07	500	1.36033e-05	2.58105e-05	1.11156e-06	2.85136e-06	0.00116001	9.0191e-06	0	0	12	0
50	3.99811	3.10843	1.47866e-06	1.39874	4.96883e-07	500	1.41292e-05	2.62761e-05	1.1356e-06	2.9642e-06	0.00123188	9.06195e-06	0	0	12	0
51	4.078	3.16151	1.53409e-06	1.39867	5.15521e-07	500	1.46636e-05	2.67387e-05	1.15963e-06	3.07889e-06	0.00130651	9.10376e-06	0	0	12	0
52	4.15788	3.21427	1.59037e-06	1.39859	5.34447e-07	500	1.52064e-05	2.71985e-05	1.18366e-06	3.19542e-06	0.00138395	9.14466e-06	0	0	12	0
53	4.23776	3.2667	1.64751e-06	1.39851	5.5366e-07	500	1.57574e-05	2.76555e-05	1.20769e-06	3.31376e-06	0.00146422	9.18478e-06	0	0	12	0
54	4.31763	3.31882	1.70549e-06	1.39843	5.73157e-07	500	1.63167e-05	2.81098e-05	1.23171e-06	3.4339e-06	0.00154739	9.22418e-06	0	0	12	0
55	4.3975	3.37062	1.76431e-06	1.39834	5.92935e-07	500	1.68841e-05	2.85612e-05	1.25573e-06	3.55583e-06	0.00163348	9.26296e-06	0	0	12	0
56	4.47737	3.42211	1.82396e-06	1.39825	6.12991e-07	500	1.74596e-05	2.901e-05	1.27974e-06	3.67953e-06	0.00172254	9.30118e-06	0	0	12	0
57	4.55723	3.47328	1.88443e-06	1.39816	6.33323e-07	500	1.8043e-05	2.9456e-05	1.30376e-06	3.80498e-06	0.00181461	9.3389e-06	0	0	12	0
58	4.63708	3.52415	1.94571e-06	1.39806	6.53928e-07	500	1.86344e-05	2.98993e-05	1.32777e-06	3.93218e-06	0.00190973	9.37616e-06	0	0	12	0
59	4.71694	3.5747	2.00779e-06	1.39796	6.74804e-07	500	1.92336e-05	3.034e-05	1.35178e-06	4.0611e-06	0.00200794	9.413e-06	0	0	12	0
60	4.79678	3.62495	2.07068e-06	1.39786	6.95949e-07	500	1.98405e-05	3.0778e-05	1.37578e-06	4.19173e-06	0.00210928	9.44947e-06	0	0	12	0
61	4.87662	3.67489	2.13436e-06	1.39776	7.17359e-07	500	2.04552e-05	3.12134e-05	1.39979e-06	4.32405e-06	0.00221379	9.48559e-06	0	0	12	0
62	4.95646	3.72453	2.19882e-06	1.39765	7.39033e-07	500	2.10775e-05	3.16462e-05	1.42379e-06	4.45805e-06	0.00232151	9.52139e-06	0	0	12	0
63	5.03629	3.77387	2.26405e-06	1.39754	7.60967e-07	500	2.17073e-05	3.20765e-05	1.44779e-06	4.59372e-06	0.00243248	9.55689e-06	0	0	12	0
