Time	[C]	[P]	Values[l]
0	1	1	1
1	0.35765	0.808115	0.981188
2	0.122935	0.552501	0.961466
3	0.0460863	0.355346	0.94212
4	0.0231185	0.224648	0.923192
5	0.0180952	0.143381	0.904676
6	0.0195519	0.0947387	0.886566
7	0.0239712	0.0668537	0.868855
8	0.0304469	0.0522321	0.851539
9	0.038968	0.0464149	0.834613
10	0.049869	0.0468967	0.818071
11	0.0636545	0.0524075	0.80191
12	0.0809371	0.062469	0.786125
13	0.102402	0.0771257	0.770713
14	0.128764	0.0967763	0.75567
15	0.160701	0.122054	0.740995
16	0.198764	0.153727	0.726684
17	0.243254	0.192588	0.712737
18	0.294099	0.239334	0.69915
19	0.350739	0.294433	0.685925
20	0.412074	0.357989	0.673059
21	0.476504	0.429637	0.660554
22	0.542068	0.508498	0.64841
23	0.606672	0.593205	0.636628
24	0.668347	0.682019	0.62521
25	0.725473	0.772997	0.614159
26	0.776921	0.864183	0.603476
27	0.822092	0.95379	0.593165
28	0.860871	1.04032	0.58323
29	0.89352	1.12265	0.573676
30	0.920556	1.20001	0.564508
31	0.942637	1.272	0.55573
32	0.960465	1.33849	0.547348
33	0.974726	1.39956	0.539369
34	0.986048	1.45546	0.531799
35	0.994982	1.50651	0.524645
36	1.002	1.55309	0.517913
37	1.00749	1.59557	0.511611
38	1.01177	1.63433	0.505744
39	1.0151	1.6697	0.50032
40	1.01769	1.70197	0.495345
41	1.01969	1.7314	0.490825
42	1.02125	1.75818	0.486764
43	1.02245	1.78249	0.483168
44	1.02338	1.80447	0.480041
45	1.0241	1.82421	0.477383
46	1.02466	1.84178	0.475198
47	1.02509	1.85726	0.473486
48	1.02542	1.87066	0.472244
49	1.02568	1.88202	0.47147
50	1.02588	1.89137	0.47116
51	1.02603	1.89873	0.471308
52	1.02615	1.90411	0.471906
53	1.02624	1.90753	0.472945
54	1.02631	1.90904	0.474415
55	1.02636	1.90867	0.476302
56	1.02641	1.90647	0.478594
57	1.02644	1.90249	0.481274
58	1.02647	1.8968	0.484327
59	1.02648	1.88949	0.487735
60	1.0265	1.88064	0.49148
61	1.02651	1.87035	0.495542
62	1.02652	1.85872	0.499903
63	1.02653	1.84586	0.504541
64	1.02653	1.83189	0.509438
65	1.02653	1.81693	0.514572
66	1.02654	1.80108	0.519923
67	1.02654	1.78449	0.525472
68	1.02654	1.76725	0.531199
69	1.02654	1.74948	0.537085
70	1.02654	1.7313	0.543111
71	1.02655	1.7128	0.549259
72	1.02655	1.69408	0.555513
73	1.02655	1.67523	0.561856
74	1.02655	1.65634	0.568273
75	1.02655	1.63748	0.574749
76	1.02655	1.61871	0.58127
77	1.02655	1.6001	0.587824
78	1.02655	1.58169	0.594397
79	1.02655	1.56354	0.600979
80	1.02655	1.54568	0.60756
81	1.02655	1.52815	0.61413
82	1.02655	1.51096	0.62068
83	1.02655	1.49415	0.627202
84	1.02655	1.47772	0.633688
85	1.02655	1.4617	0.640133
86	1.02655	1.44608	0.646529
87	1.02655	1.43087	0.652872
88	1.02655	1.41608	0.659155
89	1.02655	1.40171	0.665376
90	1.02655	1.38775	0.671531
91	1.02655	1.3742	0.677614
92	1.02655	1.36105	0.683625
93	1.02655	1.3483	0.68956
94	1.02655	1.33594	0.695416
95	1.02655	1.32396	0.701193
96	1.02655	1.31235	0.706888
97	1.02655	1.3011	0.7125
98	1.02655	1.29021	0.718029
99	1.02655	1.27965	0.723472
100	1.02655	1.26943	0.72883
