Time	[Mb]	[Bc]	[Bcp]	[Bn]	[Cc]	[Mc]	[Ccp]	[Mp]	[Pc]	[Pcp]	[PCc]	[PCcp]	[PCn]	[Bnp]	[PCnp]	[In]
0	9.5	2	0	1.9	0	1.7	0	2.5	0	0	0	0	1	0	0	0
1	9.27413	2.17785	0.261533	1.59526	1.99333	1.94324	0.255269	3.22379	1.16769	0.100149	0.258033	0.0762323	0.220018	0.198607	0.126453	0.159423
2	9.05791	2.2879	0.397375	1.70064	3.06575	2.16638	0.38866	3.91853	1.6761	0.121748	1.13896	0.160029	0.152827	0.263893	0.111035	0.0676712
3	8.81974	2.35604	0.491705	1.74014	3.68874	2.37779	0.472562	4.60397	1.89863	0.126991	2.28105	0.204091	0.357451	0.295814	0.134846	0.105602
4	8.59859	2.3707	0.563146	1.59419	4.13056	2.57449	0.530729	5.26709	2.07912	0.128783	3.4433	0.226497	0.701911	0.31176	0.170358	0.240898
5	8.44708	2.32374	0.619435	1.28188	4.44527	2.74583	0.573117	5.87291	2.2618	0.129815	4.59053	0.238398	1.18514	0.316978	0.197482	0.448888
6	8.40107	2.22561	0.664572	0.902156	4.63437	2.84318	0.60487	6.28772	2.43739	0.13061	5.70891	0.24502	1.86736	0.31214	0.216459	0.678034
7	8.45324	2.1035	0.700972	0.572963	4.63178	2.67554	0.628925	6.13131	2.54915	0.131174	6.70967	0.248861	2.80429	0.295069	0.229588	0.848656
8	8.5621	1.98846	0.730361	0.362705	4.25564	2.07906	0.646788	5.3216	2.57914	0.131425	7.3467	0.251101	3.9379	0.264137	0.238508	0.911728
9	8.69254	1.90062	0.754177	0.255696	3.45001	1.32452	0.658716	4.30429	2.66308	0.131609	7.4412	0.252298	5.05918	0.225332	0.244352	0.888827
10	8.82929	1.84441	0.773674	0.204428	2.3765	0.636077	0.663513	3.27028	2.91229	0.132085	7.02219	0.252745	5.94515	0.190328	0.248022	0.826882
11	8.96725	1.8155	0.789889	0.180385	1.32886	0.17307	0.656663	2.26453	3.37133	0.13294	6.17926	0.252567	6.45115	0.165995	0.25021	0.754104
12	9.10449	1.80775	0.803638	0.172308	0.641485	0.0238597	0.626668	1.31935	3.94372	0.133942	5.09204	0.251741	6.51741	0.152727	0.251379	0.682395
13	9.24004	1.81587	0.815535	0.175677	0.335499	0.00492887	0.560656	0.509769	4.35963	0.134714	4.04299	0.250194	6.18933	0.148316	0.251806	0.616499
14	9.37319	1.83583	0.826035	0.188481	0.209923	0.00395986	0.46385	0.0645108	4.49217	0.135092	3.18244	0.247911	5.58911	0.150402	0.251644	0.557947
15	9.50324	1.86473	0.83547	0.210379	0.146192	0.00559558	0.356701	0.0053169	4.49179	0.135195	2.50121	0.244883	4.83831	0.157222	0.250953	0.506164
16	9.62926	1.90073	0.844085	0.242646	0.105836	0.00943032	0.25794	0.0052768	4.45097	0.13519	1.94767	0.240982	4.02325	0.167665	0.249699	0.458889
17	9.74982	1.94284	0.852062	0.288404	0.0786513	0.0179636	0.18028	0.0100849	4.37286	0.135128	1.48157	0.235842	3.1989	0.181085	0.247722	0.41257
18	9.86246	1.99098	0.859544	0.353276	0.0623448	0.0381388	0.129038	0.0219648	4.25532	0.135015	1.08163	0.228711	2.40213	0.197077	0.244645	0.362662
19	9.96268	2.04596	0.866649	0.446538	0.0604481	0.0883029	0.105453	0.053574	4.09762	0.134844	0.742948	0.218177	1.66312	0.215267	0.239632	0.303986
