Time	[E]	[E_P_1]	[P]	[M]	[E_M]	[T]	[E_P_2]	[P2]	[E_P2]
43	8.27216e-05	5.16945e-05	0.78827	0.155541	9.27785e-06	0.0466713	6.21987e-06	0.00945092	8.62095e-08
44	8.28258e-05	5.14674e-05	0.783819	0.157828	9.42616e-06	0.048638	6.19255e-06	0.00964767	8.81161e-08
45	8.29311e-05	5.12415e-05	0.779388	0.160065	9.57197e-06	0.0506357	6.16537e-06	0.00984345	9.00197e-08
46	8.30375e-05	5.10169e-05	0.774977	0.162254	9.71533e-06	0.0526639	6.13834e-06	0.0100383	9.19202e-08
47	8.31451e-05	5.07934e-05	0.770585	0.164394	9.85625e-06	0.0547219	6.11145e-06	0.0102322	9.38178e-08
48	8.32537e-05	5.05711e-05	0.766212	0.166487	9.99478e-06	0.0568093	6.08471e-06	0.0104251	9.57126e-08
49	8.33633e-05	5.035e-05	0.761858	0.168533	1.01309e-05	0.0589257	6.0581e-06	0.0106171	9.76046e-08
50	8.34741e-05	5.013e-05	0.757523	0.170532	1.02647e-05	0.0610705	6.03164e-06	0.0108081	9.94939e-08
51	8.35859e-05	4.99112e-05	0.753207	0.172485	1.03962e-05	0.0632431	6.0053e-06	0.0109982	1.0138e-07
52	8.36987e-05	4.96935e-05	0.74891	0.174393	1.05254e-05	0.0654433	5.97911e-06	0.0111874	1.03264e-07
53	8.38126e-05	4.94768e-05	0.744632	0.176256	1.06524e-05	0.0676704	5.95304e-06	0.0113757	1.05146e-07
54	8.39276e-05	4.92612e-05	0.740372	0.178075	1.07771e-05	0.0699239	5.9271e-06	0.011563	1.07025e-07
55	8.40435e-05	4.90467e-05	0.736131	0.17985	1.08995e-05	0.0722035	5.90129e-06	0.0117495	1.08902e-07
56	8.41605e-05	4.88333e-05	0.731909	0.181582	1.10199e-05	0.0745087	5.87561e-06	0.011935	1.10776e-07
57	8.42785e-05	4.86208e-05	0.727705	0.183271	1.1138e-05	0.076839	5.85005e-06	0.0121196	1.12648e-07
58	8.43975e-05	4.84094e-05	0.723519	0.184919	1.1254e-05	0.0791939	5.82461e-06	0.0123033	1.14518e-07
59	8.45175e-05	4.8199e-05	0.719351	0.186525	1.13679e-05	0.081573	5.79929e-06	0.0124861	1.16385e-07
60	8.46385e-05	4.79895e-05	0.715201	0.18809	1.14797e-05	0.0839759	5.77409e-06	0.012668	1.1825e-07
61	8.47604e-05	4.7781e-05	0.71107	0.189614	1.15894e-05	0.0864021	5.749e-06	0.012849	1.20114e-07
62	8.48834e-05	4.75735e-05	0.706956	0.191099	1.16971e-05	0.0888512	5.72403e-06	0.0130291	1.21975e-07
63	8.50073e-05	4.73669e-05	0.70286	0.192544	1.18028e-05	0.0913228	5.69918e-06	0.0132084	1.23834e-07
64	8.51321e-05	4.71613e-05	0.698782	0.19395	1.19065e-05	0.0938164	5.67443e-06	0.0133868	1.25692e-07
65	8.52579e-05	4.69566e-05	0.694722	0.195317	1.20082e-05	0.0963317	5.6498e-06	0.0135642	1.27547e-07
66	8.53847e-05	4.67527e-05	0.690679	0.196647	1.21079e-05	0.0988682	5.62528e-06	0.0137409	1.29401e-07
67	8.55124e-05	4.65498e-05	0.686654	0.197939	1.22057e-05	0.101425	5.60086e-06	0.0139166	1.31252e-07
68	8.56411e-05	4.63477e-05	0.682646	0.199195	1.23016e-05	0.104003	5.57654e-06	0.0140915	1.33102e-07
69	8.57706e-05	4.61465e-05	0.678656	0.200413	1.23956e-05	0.106601	5.55234e-06	0.0142655	1.34951e-07
70	8.59011e-05	4.59461e-05	0.674683	0.201596	1.24877e-05	0.109218	5.52823e-06	0.0144387	1.36797e-07
71	8.60325e-05	4.57466e-05	0.670727	0.202743	1.2578e-05	0.111855	5.50422e-06	0.014611	1.38642e-07
72	8.61648e-05	4.5548e-05	0.666789	0.203855	1.26664e-05	0.11451	5.48032e-06	0.0147824	1.40485e-07
73	8.6298e-05	4.53501e-05	0.662868	0.204932	1.2753e-05	0.117184	5.45651e-06	0.014953	1.42327e-07
74	8.64321e-05	4.5153e-05	0.658963	0.205975	1.28379e-05	0.119876	5.4328e-06	0.0151228	1.44167e-07
75	8.65671e-05	4.49568e-05	0.655076	0.206984	1.29209e-05	0.122586	5.40919e-06	0.0152917	1.46005e-07
76	8.6703e-05	4.47613e-05	0.651205	0.207959	1.30022e-05	0.125312	5.38567e-06	0.0154598	1.47842e-07
77	8.68397e-05	4.45666e-05	0.647352	0.208902	1.30818e-05	0.128056	5.36224e-06	0.015627	1.49678e-07
78	8.69774e-05	4.43726e-05	0.643515	0.209812	1.31596e-05	0.130817	5.33891e-06	0.0157934	1.51512e-07
79	8.71158e-05	4.41794e-05	0.639695	0.21069	1.32357e-05	0.133593	5.31566e-06	0.015959	1.53345e-07
80	8.72552e-05	4.3987e-05	0.635891	0.211536	1.33101e-05	0.136386	5.29251e-06	0.0161238	1.55176e-07
81	8.73954e-05	4.37953e-05	0.632104	0.212351	1.33829e-05	0.139194	5.26944e-06	0.0162877	1.57006e-07
82	8.75364e-05	4.36043e-05	0.628334	0.213136	1.3454e-05	0.142018	5.24646e-06	0.0164508	1.58835e-07
83	8.76783e-05	4.3414e-05	0.62458	0.213889	1.35235e-05	0.144856	5.22357e-06	0.0166131	1.60662e-07
84	8.7821e-05	4.32245e-05	0.620842	0.214613	1.35913e-05	0.147708	5.20076e-06	0.0167745	1.62488e-07
85	8.79645e-05	4.30356e-05	0.617121	0.215307	1.36576e-05	0.150575	5.17803e-06	0.0169352	1.64313e-07
86	8.81088e-05	4.28474e-05	0.613415	0.215972	1.37222e-05	0.153456	5.15539e-06	0.017095	1.66137e-07
87	8.8254e-05	4.26599e-05	0.609727	0.216608	1.37853e-05	0.15635	5.13283e-06	0.0172541	1.67959e-07
88	8.83999e-05	4.24731e-05	0.606054	0.217215	1.38468e-05	0.159257	5.11035e-06	0.0174123	1.6978e-07
89	8.85467e-05	4.22869e-05	0.602397	0.217795	1.39068e-05	0.162177	5.08795e-06	0.0175697	1.716e-07
90	8.86943e-05	4.21014e-05	0.598757	0.218346	1.39653e-05	0.165109	5.06563e-06	0.0177264	1.73419e-07
91	8.88426e-05	4.19165e-05	0.595132	0.21887	1.40222e-05	0.168054	5.04339e-06	0.0178822	1.75236e-07
92	8.89917e-05	4.17323e-05	0.591524	0.219367	1.40777e-05	0.171011	5.02122e-06	0.0180372	1.77053e-07
93	8.91416e-05	4.15487e-05	0.587931	0.219838	1.41317e-05	0.173979	4.99913e-06	0.0181915	1.78868e-07
94	8.92923e-05	4.13657e-05	0.584354	0.220282	1.41842e-05	0.176958	4.97712e-06	0.0183449	1.80682e-07
95	8.94438e-05	4.11834e-05	0.580793	0.2207	1.42352e-05	0.179949	4.95518e-06	0.0184976	1.82496e-07
96	8.9596e-05	4.10016e-05	0.577247	0.221093	1.42848e-05	0.18295	4.93331e-06	0.0186495	1.84308e-07
97	8.97489e-05	4.08205e-05	0.573717	0.221461	1.4333e-05	0.185961	4.91151e-06	0.0188006	1.86118e-07
98	8.99026e-05	4.06399e-05	0.570203	0.221803	1.43798e-05	0.188983	4.88979e-06	0.0189509	1.87928e-07
99	9.00571e-05	4.04599e-05	0.566704	0.222122	1.44251e-05	0.192014	4.86813e-06	0.0191005	1.89737e-07
100	9.02123e-05	4.02805e-05	0.563221	0.222416	1.44691e-05	0.195054	4.84655e-06	0.0192492	1.91545e-07
