Time	[AC_active_cyto_mem]	[G_GDP_cyto]	[G_protein_cyto]	[G_a_s_cyto]	[GRK_bg_cyto]	[iso_BAR_p_cyto_mem]	[PDE4_cyto]	[ATP_cyto]	[AC_PKA_cyto_mem]	[R2C2_cyto]	[PP_PDE_cyto]	[BAR_cyto_mem]	[BAR_G_cyto_mem]	[iso_extra]	[iso_BAR_cyto_mem]	[MAPK_active_cyto]	[MEK_cyto]	[MEK_active_cyto]	[B_Raf_active_cyto]	[bg_cyto]	[B_Raf_cyto]	[PKA_cyto]	[AC_cyto_mem]	[AMP_cyto]	[GRK_cyto]	[PP2A_cyto]	[MAPK_cyto]	[PTP_cyto]	[PTP_PKA_cyto]	[c_R2C2_cyto]	[c2_R2C2_cyto]	[c3_R2C2_cyto]	[iso_BAR_G_cyto_mem]	[PDE_high_km_cyto]	[cAMP_cyto]	[PTP_PP_cyto]	[PDE4_P_cyto]
63	132.812	0.225493	2120.71	0.969985	0.0894652	0.000623556	239.769	3.00225e+06	0	116.933	120.4	0.0116158	0.588801	5851.88	0.331555	0.112509	107.821	0.539084	1.18853	27.6683	119.211	0.0454844	167.188	3.01765e+06	0.512535	60.2	216.607	120.361	0.0388479	3.41618	0.00239402	0.0028722	93.0674	301	92.086	60.2	1.03082
64	134.688	0.227998	2120.31	0.994584	0.0906503	0.000640814	239.694	3.00202e+06	0	116.828	120.4	0.0116171	0.5888	5851.88	0.331618	0.123446	107.77	0.589787	1.28239	28.0695	119.118	0.048461	165.312	3.01788e+06	0.51135	60.2	216.597	120.358	0.0417515	3.51831	0.00246707	0.00297398	93.0673	301	93.4318	60.2	1.10557
65	136.554	0.230541	2119.91	1.01961	0.0918255	0.000658273	239.616	3.00178e+06	0	116.721	120.4	0.0116185	0.5888	5851.88	0.33168	0.135206	107.716	0.64417	1.38173	28.4691	119.018	0.0515752	163.446	3.01812e+06	0.510175	60.2	216.585	120.355	0.0448126	3.62172	0.00254102	0.00307761	93.0672	301	94.7704	60.2	1.1842
66	138.409	0.233123	2119.51	1.04506	0.0929907	0.000675929	239.533	3.00155e+06	0	116.613	120.4	0.0116199	0.588799	5851.88	0.331742	0.147833	107.658	0.70242	1.48676	28.867	118.913	0.0548307	161.591	3.01835e+06	0.509009	60.2	216.572	120.352	0.0480363	3.72637	0.00261586	0.00318309	93.0672	301	96.1014	60.2	1.26682
67	140.254	0.235745	2119.11	1.07094	0.094146	0.000693782	239.446	3.00131e+06	0	116.504	120.4	0.0116212	0.588798	5851.88	0.331804	0.161371	107.595	0.764728	1.59766	29.2633	118.802	0.058231	159.746	3.01859e+06	0.507854	60.2	216.559	120.349	0.051428	3.83227	0.00269158	0.00329043	93.0671	301	97.4246	60.2	1.35357
68	142.087	0.238408	2118.72	1.09728	0.0952914	0.000711829	239.355	3.00106e+06	0	116.393	120.4	0.0116226	0.588798	5851.88	0.331866	0.175867	107.529	0.831289	1.71466	29.6578	118.685	0.0617798	157.913	3.01884e+06	0.506709	60.2	216.544	120.345	0.0549929	3.93939	0.00276817	0.00339963	93.067	301	98.7395	60.2	1.44455
69	143.91	0.241112	2118.32	1.12406	0.0964268	0.00073007	239.26	3.00081e+06	0	116.28	120.4	0.0116239	0.588797	5851.88	0.331928	0.191368	107.458	0.902302	1.83796	30.0507	118.562	0.0654808	156.09	3.01908e+06	0.505573	60.2	216.529	120.341	0.0587365	4.04771	0.00284562	0.00351069	93.0669	301	100.046	60.2	1.5399
70	145.721	0.24386	2117.93	1.1513	0.0975525	0.000748503	239.16	3.00057e+06	0	116.167	120.4	0.0116253	0.588797	5851.88	0.331989	0.207922	107.382	0.977974	1.96777	30.4418	118.432	0.0693374	154.279	3.01933e+06	0.504448	60.2	216.512	120.337	0.0626642	4.15721	0.0029239	0.00362361	93.0668	301	101.343	60.2	1.63972
71	147.521	0.24665	2117.54	1.17901	0.0986682	0.000767126	239.056	3.00031e+06	0	116.052	120.4	0.0116266	0.588796	5851.88	0.33205	0.225578	107.301	1.05851	2.10429	30.8311	118.296	0.0733533	152.479	3.01958e+06	0.503332	60.2	216.494	120.333	0.0667813	4.26788	0.00300302	0.0037384	93.0668	301	102.631	60.2	1.74414
72	149.309	0.249484	2117.15	1.20719	0.0997741	0.000785938	238.947	3.00006e+06	0	115.936	120.4	0.0116279	0.588795	5851.88	0.33211	0.244388	107.216	1.14413	2.24774	31.2187	118.152	0.0775321	150.691	3.01983e+06	0.502226	60.2	216.476	120.329	0.0710933	4.37969	0.00308296	0.00385507	93.0667	301	103.909	60.2	1.85328
73	151.085	0.252363	2116.76	1.23586	0.10087	0.000804936	238.833	2.9998e+06	0	115.818	120.4	0.0116293	0.588795	5851.88	0.332171	0.264402	107.125	1.23504	2.39833	31.6043	118.002	0.0818773	148.915	3.02009e+06	0.50113	60.2	216.456	120.324	0.0756056	4.49263	0.0031637	0.0039736	93.0666	301	105.177	60.2	1.96726
74	152.849	0.255288	2116.38	1.26501	0.101957	0.00082412	238.714	2.99954e+06	0	115.7	120.4	0.0116306	0.588794	5851.88	0.332231	0.285674	107.029	1.33146	2.55626	31.9881	117.844	0.0863924	147.151	3.02035e+06	0.500043	60.2	216.434	120.32	0.0803238	4.60668	0.00324523	0.004094	93.0665	301	106.435	60.2	2.08619
75	154.601	0.258258	2116	1.29465	0.103033	0.000843488	238.59	2.99927e+06	0	115.58	120.4	0.0116319	0.588794	5851.88	0.332291	0.308257	106.926	1.43362	2.72176	32.37	117.678	0.0910809	145.399	3.02062e+06	0.498967	60.2	216.412	120.315	0.0852533	4.72182	0.00332753	0.00421628	93.0664	301	107.682	60.2	2.2102
76	156.34	0.261275	2115.61	1.3248	0.1041	0.000863037	238.461	2.999e+06	0	115.458	120.4	0.0116332	0.588793	5851.88	0.33235	0.332205	106.818	1.54175	2.89503	32.75	117.505	0.0959462	143.66	3.02088e+06	0.4979	60.2	216.388	120.31	0.0903996	4.83802	0.0034106	0.00434043	93.0664	301	108.917	60.2	2.3394
77	158.067	0.26434	2115.24	1.35545	0.105157	0.000882768	238.326	2.99873e+06	0	115.336	120.4	0.0116345	0.588792	5851.88	0.33241	0.357574	106.704	1.65607	3.07627	33.128	117.324	0.100992	141.933	3.02115e+06	0.496843	60.2	216.362	120.304	0.0957681	4.95527	0.00349441	0.00446646	93.0663	301	110.141	60.2	2.4739
78	159.781	0.267452	2114.86	1.38662	0.106204	0.000902677	238.186	2.99846e+06	0	115.212	120.4	0.0116358	0.588792	5851.88	0.332469	0.384421	106.583	1.77681	3.2657	33.504	117.134	0.106221	140.219	3.02142e+06	0.495796	60.2	216.336	120.299	0.101364	5.07354	0.00357895	0.00459437	93.0662	301	111.352	60.2	2.61383
79	161.481	0.270613	2114.48	1.41832	0.107241	0.000922764	238.041	2.99818e+06	0	115.087	120.4	0.0116371	0.588791	5851.88	0.332527	0.412802	106.456	1.90421	3.46353	33.878	116.936	0.111637	138.519	3.0217e+06	0.494759	60.2	216.307	120.293	0.107194	5.19281	0.00366421	0.00472416	93.0661	301	112.551	60.2	2.7593
80	163.169	0.273823	2114.11	1.45054	0.108269	0.000943027	237.89	2.99791e+06	0	114.961	120.4	0.0116384	0.588791	5851.88	0.332586	0.442775	106.321	2.03851	3.66996	34.2498	116.73	0.117243	136.831	3.02197e+06	0.493731	60.2	216.277	120.287	0.113262	5.31307	0.00375017	0.00485583	93.066	301	113.737	60.2	2.91042
81	164.843	0.277083	2113.74	1.48329	0.109287	0.000963464	237.733	2.99762e+06	0	114.834	120.4	0.0116396	0.58879	5851.88	0.332644	0.474399	106.18	2.17994	3.88518	34.6196	116.515	0.123043	135.157	3.02225e+06	0.492713	60.2	216.246	120.28	0.119574	5.43428	0.00383682	0.00498938	93.066	301	114.91	60.2	3.0673
82	166.503	0.280393	2113.37	1.51658	0.110295	0.000984073	237.57	2.99734e+06	0	114.705	120.4	0.0116409	0.588789	5851.88	0.332702	0.507732	106.031	2.32874	4.10941	34.9872	116.291	0.12904	133.497	3.02254e+06	0.491705	60.2	216.212	120.274	0.126136	5.55643	0.00392414	0.00512481	93.0659	301	116.069	60.2	3.23005
83	168.149	0.283753	2113.01	1.55043	0.111294	0.00100485	237.401	2.99705e+06	0	114.576	120.4	0.0116422	0.588789	5851.88	0.332759	0.542833	105.875	2.48515	4.34283	35.3527	116.057	0.135235	131.851	3.02282e+06	0.490706	60.2	216.177	120.267	0.132953	5.67949	0.00401211	0.00526213	93.0658	301	117.214	60.2	3.39878
84	169.781	0.287164	2112.64	1.58482	0.112282	0.0010258	237.226	2.99676e+06	0	114.445	120.4	0.0116434	0.588788	5851.88	0.332816	0.579764	105.711	2.64941	4.58564	35.7159	115.814	0.141634	130.219	3.02311e+06	0.489718	60.2	216.14	120.26	0.14003	5.80344	0.00410072	0.00540133	93.0657	301	118.344	60.2	3.5736
85	171.399	0.290627	2112.28	1.61977	0.113261	0.00104692	237.045	2.99647e+06	0	114.314	120.4	0.0116447	0.588788	5851.88	0.332873	0.618583	105.538	2.82177	4.83803	36.0769	115.562	0.148238	128.601	3.0234e+06	0.488739	60.2	216.101	120.253	0.147372	5.92825	0.00418994	0.00554242	93.0656	301	119.459	60.2	3.7546
86	173.002	0.294142	2111.92	1.65527	0.11423	0.00106821	236.858	2.99618e+06	0	114.181	120.4	0.0116459	0.588787	5851.88	0.332929	0.659351	105.358	3.00245	5.10018	36.4356	115.3	0.155051	126.998	3.0237e+06	0.48777	60.2	216.061	120.245	0.154984	6.05391	0.00427978	0.00568539	93.0656	301	120.559	60.2	3.94189
87	174.591	0.297709	2111.56	1.69135	0.11519	0.00108966	236.664	2.99588e+06	0	114.047	120.4	0.0116471	0.588787	5851.88	0.332986	0.702129	105.168	3.19171	5.37228	36.792	115.028	0.162075	125.409	3.02399e+06	0.48681	60.2	216.018	120.237	0.162873	6.18037	0.00437019	0.00583025	93.0655	301	121.643	60.2	4.13557
88	176.164	0.301328	2111.21	1.72799	0.11614	0.00111127	236.464	2.99558e+06	0	113.913	120.4	0.0116483	0.588786	5851.88	0.333041	0.746977	104.97	3.38977	5.6545	37.146	114.746	0.169313	123.836	3.02429e+06	0.48586	60.2	215.973	120.229	0.171042	6.30763	0.00446118	0.005977	93.0654	301	122.711	60.2	4.33573
89	177.723	0.305	2110.85	1.76521	0.117079	0.00113304	236.258	2.99527e+06	0	113.777	120.4	0.0116496	0.588785	5851.88	0.333097	0.793956	104.763	3.59688	5.947	37.4976	114.453	0.176767	122.277	3.02459e+06	0.484921	60.2	215.926	120.221	0.179497	6.43566	0.00455272	0.00612564	93.0653	301	123.763	60.2	4.54247
90	179.266	0.308725	2110.5	1.803	0.11801	0.00115497	236.044	2.99497e+06	0	113.64	120.4	0.0116508	0.588785	5851.88	0.333152	0.843126	104.547	3.81327	6.24995	37.8468	114.15	0.18444	120.734	3.0249e+06	0.48399	60.2	215.877	120.212	0.188244	6.56442	0.00464479	0.00627616	93.0653	301	124.797	60.2	4.75587
91	180.793	0.312503	2110.16	1.84137	0.11893	0.00117707	235.824	2.99466e+06	0	113.503	120.4	0.011652	0.588784	5851.88	0.333206	0.894547	104.321	4.03916	6.5635	38.1935	113.836	0.192335	119.207	3.02521e+06	0.48307	60.2	215.825	120.203	0.197285	6.6939	0.00473738	0.00642857	93.0652	301	125.814	60.2	4.97602
92	182.304	0.316334	2109.81	1.88032	0.119841	0.00119931	235.597	2.99435e+06	0	113.364	120.4	0.0116531	0.588784	5851.88	0.333261	0.948279	104.085	4.27479	6.88781	38.5377	113.512	0.200454	117.696	3.02551e+06	0.482159	60.2	215.772	120.193	0.206627	6.82407	0.00483047	0.00658287	93.0651	301	126.813	60.2	5.20301
93	183.8	0.320219	2109.47	1.91985	0.120742	0.00122172	235.363	2.99404e+06	0	113.225	120.4	0.0116543	0.588783	5851.88	0.333314	1.00438	103.84	4.52038	7.22302	38.8793	113.177	0.208799	116.2	3.02583e+06	0.481258	60.2	215.716	120.184	0.216275	6.9549	0.00492404	0.00673907	93.065	301	127.795	60.2	5.43692
94	185.28	0.324156	2109.13	1.95996	0.121633	0.00124427	235.122	2.99372e+06	0	113.084	120.4	0.0116555	0.588783	5851.88	0.333368	1.06291	103.584	4.77615	7.56926	39.2184	112.831	0.217372	114.72	3.02614e+06	0.480367	60.2	215.657	120.174	0.226232	7.08637	0.00501807	0.00689715	93.0649	301	128.757	60.2	5.67782
95	186.743	0.328147	2108.79	2.00066	0.122514	0.00126698	234.874	2.9934e+06	0	112.943	120.4	0.0116567	0.588782	5851.88	0.333421	1.12392	103.318	5.04231	7.92666	39.5548	112.473	0.226175	113.257	3.02646e+06	0.479486	60.2	215.596	120.163	0.236503	7.21845	0.00511254	0.00705713	93.0649	301	129.701	60.2	5.92578
96	188.189	0.332191	2108.46	2.04194	0.123386	0.00128984	234.619	2.99308e+06	0	112.801	120.4	0.0116578	0.588782	5851.88	0.333474	1.18748	103.041	5.31906	8.29533	39.8885	112.105	0.23521	111.811	3.02678e+06	0.478614	60.2	215.533	120.153	0.247092	7.35111	0.00520744	0.007219	93.0648	301	130.626	60.2	6.18087
97	189.619	0.336287	2108.13	2.08379	0.124247	0.00131285	234.357	2.99276e+06	0	112.659	120.4	0.011659	0.588781	5851.88	0.333526	1.25364	102.753	5.60662	8.67537	40.2196	111.725	0.244479	110.381	3.0271e+06	0.477753	60.2	215.466	120.142	0.258005	7.48433	0.00530275	0.00738277	93.0647	301	131.531	60.2	6.44316
98	191.031	0.340436	2107.8	2.12623	0.125099	0.001336	234.087	2.99244e+06	0	112.515	120.4	0.0116601	0.58878	5851.88	0.333578	1.32244	102.455	5.90518	9.0669	40.5478	111.333	0.253983	108.969	3.02742e+06	0.476901	60.2	215.398	120.131	0.269244	7.61807	0.00539844	0.00754843	93.0646	301	132.417	60.2	6.7127
99	192.427	0.344637	2107.47	2.16924	0.125941	0.0013593	233.81	2.99211e+06	0	112.371	120.4	0.0116612	0.58878	5851.88	0.333629	1.39395	102.145	6.21491	9.46999	40.8733	110.93	0.263724	107.573	3.02775e+06	0.476059	60.2	215.326	120.119	0.280814	7.75232	0.0054945	0.00771599	93.0646	301	133.283	60.2	6.98956
100	193.805	0.348889	2107.15	2.21283	0.126773	0.00138274	233.526	2.99178e+06	0	112.226	120.4	0.0116623	0.588779	5851.88	0.33368	1.46822	101.824	6.53601	9.88473	41.196	110.515	0.273704	106.195	3.02808e+06	0.475227	60.2	215.252	120.107	0.292718	7.88704	0.00559091	0.00788544	93.0645	301	134.128	60.2	7.27378
