Time	[AC_active_cyto_mem]	[G_GDP_cyto]	[G_protein_cyto]	[G_a_s_cyto]	[GRK_bg_cyto]	[iso_BAR_p_cyto_mem]	[PDE4_cyto]	[ATP_cyto]	[AC_PKA_cyto_mem]	[R2C2_cyto]	[PP_PDE_cyto]	[BAR_cyto_mem]	[BAR_G_cyto_mem]	[iso_extra]	[iso_BAR_cyto_mem]	[MAPK_active_cyto]	[MEK_cyto]	[MEK_active_cyto]	[B_Raf_active_cyto]	[bg_cyto]	[B_Raf_cyto]	[PKA_cyto]	[AC_cyto_mem]	[AMP_cyto]	[GRK_cyto]	[PP2A_cyto]	[MAPK_cyto]	[PTP_cyto]	[PTP_PKA_cyto]	[c_R2C2_cyto]	[c2_R2C2_cyto]	[c3_R2C2_cyto]	[iso_BAR_G_cyto_mem]	[PDE_high_km_cyto]	[cAMP_cyto]	[PTP_PP_cyto]	[PDE4_P_cyto]
11	24.4938	0.0388135	2143.41	0.116806	0.0130408	4.35406e-05	240.8	3.00967e+06	0	120.263	120.4	0.011539	0.588832	5851.88	0.328057	2.77322e-07	108.36	2.77683e-06	3.79684e-05	5.04134	120.4	8.91598e-06	275.506	3.01031e+06	0.588959	60.2	216.72	120.4	1.65901e-06	0.136514	4.89771e-05	1.96857e-05	93.0715	301	18.3727	60.2	5.25604e-05
12	26.726	0.044762	2142.95	0.127576	0.0147214	4.80574e-05	240.8	3.00962e+06	0	120.241	120.4	0.0115406	0.588831	5851.88	0.328127	5.87909e-07	108.36	5.57706e-06	6.98413e-05	5.50282	120.4	1.49902e-05	273.274	3.01036e+06	0.587279	60.2	216.72	120.4	3.0338e-06	0.158931	6.22757e-05	2.79207e-05	93.0715	301	19.787	60.2	9.57019e-05
13	28.9538	0.0508961	2142.49	0.1385	0.0164145	5.28536e-05	240.8	3.00956e+06	0	120.217	120.4	0.0115421	0.588831	5851.88	0.328198	1.16821e-06	108.36	1.05557e-05	0.000121785	5.96375	120.4	2.40291e-05	271.046	3.01042e+06	0.585585	60.2	216.72	120.4	5.25879e-06	0.182998	7.73204e-05	3.81583e-05	93.0714	301	21.203	60.2	0.000165173
14	31.1772	0.0571612	2142.03	0.149584	0.0181147	5.7931e-05	240.8	3.0095e+06	0	120.191	120.4	0.0115437	0.58883	5851.88	0.328269	2.19555e-06	108.36	1.89827e-05	0.000202794	6.42407	120.4	3.69663e-05	268.823	3.01048e+06	0.583885	60.2	216.72	120.4	8.70434e-06	0.208715	9.4065e-05	5.05131e-05	93.0713	301	22.6207	60.2	0.000272208
15	33.396	0.0635046	2141.56	0.160828	0.0198174	6.32905e-05	240.8	3.00944e+06	0	120.164	120.4	0.0115452	0.588829	5851.88	0.328339	3.93124e-06	108.36	3.26502e-05	0.0003244	6.88372	120.4	5.48697e-05	266.604	3.01054e+06	0.582183	60.2	216.72	120.4	1.38394e-05	0.236081	0.000112449	6.50487e-05	93.0712	301	24.0401	60.2	0.000430912
16	35.6102	0.0698759	2141.1	0.172238	0.0215192	6.89323e-05	240.799	3.00937e+06	0	120.135	120.4	0.0115467	0.588829	5851.88	0.328409	6.74614e-06	108.36	5.40031e-05	0.000500951	7.34264	120.399	7.89303e-05	264.39	3.0106e+06	0.580481	60.2	216.72	120.4	2.12403e-05	0.265095	0.000132406	8.17833e-05	93.0711	301	25.4611	60.2	0.000658462
17	37.8198	0.0762283	2140.64	0.183814	0.0232174	7.4856e-05	240.799	3.0093e+06	0	120.104	120.4	0.0115483	0.588828	5851.88	0.32848	1.11494e-05	108.36	8.62804e-05	0.000749853	7.80078	120.399	0.000110448	262.18	3.01067e+06	0.578783	60.2	216.72	120.4	3.15968e-05	0.295756	0.000153865	0.000100697	93.0711	301	26.8835	60.2	0.000975228
18	40.0246	0.0825188	2140.19	0.195562	0.0249098	8.10612e-05	240.799	3.00923e+06	0	120.071	120.4	0.0115498	0.588828	5851.88	0.32855	1.78202e-05	108.36	0.000133663	0.00109176	8.25809	120.399	0.000150818	259.975	3.01075e+06	0.57709	60.2	216.72	120.4	4.57159e-05	0.328062	0.000176762	0.000121741	93.071	301	28.3075	60.2	0.00140483
19	42.2246	0.0887088	2139.73	0.207484	0.0265948	8.75466e-05	240.798	3.00915e+06	0	120.037	120.4	0.0115514	0.588827	5851.88	0.32862	2.76416e-05	108.36	0.000201427	0.00155072	8.71452	120.398	0.000201515	257.775	3.01082e+06	0.575405	60.2	216.72	120.4	6.45242e-05	0.362013	0.000201037	0.000144851	93.0709	301	29.7329	60.2	0.0019741
20	44.4197	0.0947646	2139.27	0.219583	0.0282711	9.43112e-05	240.797	3.00907e+06	0	120.002	120.4	0.0115529	0.588827	5851.88	0.32869	4.17358e-05	108.36	0.000296098	0.00215427	9.17002	120.398	0.000264089	255.58	3.0109e+06	0.573729	60.2	216.72	120.4	8.90678e-05	0.397606	0.000226636	0.000169952	93.0708	301	31.1596	60.2	0.00271306
21	46.6098	0.100657	2138.81	0.231864	0.0299377	0.000101354	240.796	3.00898e+06	0	119.964	120.4	0.0115544	0.588826	5851.88	0.32876	6.15009e-05	108.36	0.000425607	0.00293354	9.62455	120.397	0.000340146	253.39	3.01099e+06	0.572062	60.2	216.72	120.4	0.000120511	0.43484	0.000253516	0.000196968	93.0708	301	32.5875	60.2	0.0036548
22	48.7949	0.106363	2138.36	0.244329	0.0315938	0.000108672	240.795	3.00889e+06	0	119.925	120.4	0.011556	0.588825	5851.88	0.32883	8.86477e-05	108.359	0.000599442	0.00392327	10.0781	120.396	0.000431352	251.205	3.01107e+06	0.570406	60.2	216.72	120.4	0.000160134	0.473713	0.00028164	0.000225831	93.0707	301	34.0167	60.2	0.00483535
23	50.9748	0.111863	2137.9	0.256983	0.0332389	0.000116265	240.794	3.0088e+06	0	119.885	120.4	0.0115575	0.588825	5851.88	0.328899	0.000125237	108.359	0.000828803	0.00516188	10.5306	120.395	0.000539426	249.025	3.01116e+06	0.568761	60.2	216.72	120.4	0.000209333	0.514222	0.000310981	0.000256478	93.0706	301	35.447	60.2	0.00629359
