Time	[tim mRNA]	[per mRNA]	[TIM]	[TIM-p]	[TIM-pp]	[PER]	[PER-p]	[PER-pp]	[PER_TIM complex cytoplasm]	[PER_TIM complex nuclear]	[total TIM]	[total PER]
0	1.41	0.09	0.54	0.79	4.65	0.02	0.02	0.01	0.18	1.2	7.36	1.43
1	1.13385	0.10247	0.410035	0.605742	2.33095	0.0252292	0.0231325	0.014622	0.161114	1.15669	4.66453	1.38079
2	0.919343	0.120675	0.310153	0.382893	0.305779	0.0295627	0.0272124	0.0186465	0.138649	1.0999	2.23737	1.31397
3	0.782128	0.148594	0.239503	0.23598	0.0586378	0.0360436	0.0327394	0.0207079	0.121172	1.03062	1.68591	1.24128
4	0.727099	0.187072	0.208866	0.194945	0.0468415	0.0453016	0.040627	0.0234214	0.111522	0.960861	1.52304	1.18173
5	0.744916	0.23509	0.20555	0.185445	0.0437628	0.0572523	0.051052	0.027459	0.103745	0.895119	1.43362	1.13463
6	0.82217	0.292147	0.222572	0.195866	0.0456382	0.0718188	0.0639184	0.0327756	0.0967903	0.833903	1.39477	1.09921
7	0.946999	0.357695	0.256204	0.221808	0.0513733	0.088967	0.0791937	0.0394445	0.0905045	0.777132	1.39702	1.07524
8	1.11008	0.430772	0.304311	0.260813	0.0605472	0.108588	0.0968056	0.0475628	0.0848917	0.724684	1.43525	1.06253
9	1.30385	0.509979	0.365722	0.311463	0.0731011	0.130456	0.116585	0.0572072	0.0800063	0.676497	1.50679	1.06075
10	1.5218	0.593614	0.439803	0.372917	0.0892149	0.154235	0.138262	0.0684158	0.0759423	0.632599	1.61048	1.06945
11	1.75814	0.679853	0.526221	0.44466	0.109254	0.179512	0.161492	0.0811798	0.072838	0.59314	1.74611	1.08816
12	2.00775	0.766912	0.624835	0.526375	0.133756	0.205835	0.185887	0.0954354	0.0708846	0.55842	1.91427	1.11646
13	2.26511	0.85231	0.738462	0.656793	0.534248	0.232581	0.210353	0.104229	0.0852769	0.535975	2.55075	1.16841
14	2.51939	0.929331	0.864155	0.79454	0.829621	0.258124	0.234139	0.113929	0.107849	0.538829	3.13499	1.25287
15	2.75739	0.989602	0.995533	0.937764	1.17258	0.279899	0.255094	0.121045	0.138001	0.569618	3.8135	1.36366
16	2.9607	1.02091	1.12518	1.08484	1.58551	0.294234	0.270098	0.123533	0.176472	0.631956	4.60396	1.49629
17	3.09918	1.00268	1.2385	1.22678	2.0723	0.295118	0.274379	0.119784	0.220364	0.727613	5.48555	1.63726
18	3.1311	0.907622	1.31032	1.3462	2.62605	0.274076	0.260773	0.10825	0.262194	0.852411	6.39718	1.7577
19	3.02367	0.721176	1.31027	1.41724	3.22836	0.225072	0.222409	0.0883338	0.289837	0.99213	7.23784	1.81778
20	2.78345	0.472187	1.22278	1.4132	3.84256	0.154352	0.160989	0.0626767	0.291181	1.12138	7.89111	1.79058
21	2.45481	0.241759	1.06422	1.32289	4.40127	0.0839135	0.0934363	0.0378851	0.264626	1.21135	8.26437	1.69121
22	2.09051	0.118337	0.87395	1.16312	4.80137	0.0396235	0.0450676	0.0211039	0.225587	1.24651	8.31055	1.5779
23	1.73238	0.0887307	0.689883	0.972789	4.93182	0.0248025	0.025579	0.0140548	0.195138	1.23616	8.02579	1.49574
24	1.40686	0.0908051	0.533312	0.790353	4.73175	0.0231094	0.0219092	0.0124408	0.178506	1.20293	7.43685	1.43889
25	1.12886	0.101771	0.408081	0.605291	2.39692	0.0252661	0.0234199	0.0147092	0.162301	1.15982	4.73242	1.38552
26	0.91212	0.119369	0.308297	0.384675	0.33337	0.0292803	0.0270004	0.0185509	0.139592	1.1036	2.26954	1.31803
27	0.772613	0.146779	0.236852	0.23403	0.0582032	0.0356108	0.0323739	0.0205921	0.121694	1.03437	1.68515	1.24464
28	0.715693	0.184796	0.205552	0.192105	0.0461787	0.0447393	0.0401376	0.0232397	0.11193	0.964394	1.52016	1.18444
29	0.732045	0.232366	0.20176	0.182153	0.0429985	0.0565632	0.0504447	0.0272169	0.104107	0.898396	1.42942	1.13673
30	0.808083	0.288987	0.218346	0.192197	0.0447791	0.0710013	0.0631921	0.0324693	0.0971166	0.836931	1.38937	1.10071
31	0.93183	0.354135	0.251516	0.217758	0.0504044	0.0880232	0.0783491	0.0390685	0.0907949	0.779919	1.39039	1.07616
32	1.09394	0.426875	0.299116	0.256354	0.0594436	0.107527	0.0958487	0.0471127	0.0851437	0.727237	1.42729	1.06287
33	1.2869	0.505828	0.359975	0.30656	0.0718326	0.129293	0.115527	0.0566808	0.080215	0.678815	1.4974	1.06053
34	1.5042	0.589304	0.433465	0.367544	0.0877463	0.15299	0.137121	0.0678135	0.0761005	0.634676	1.59953	1.0687
35	1.74008	0.675481	0.519257	0.438792	0.107544	0.178209	0.160289	0.0805048	0.0729358	0.594962	1.73349	1.0869
36	1.98943	0.76257	0.617213	0.519993	0.131755	0.204499	0.184642	0.0946946	0.0709088	0.559963	1.89983	1.11471
37	2.2467	0.848094	0.73012	0.649276	0.525391	0.23124	0.209107	0.103611	0.0848807	0.537054	2.52672	1.16589
38	2.50121	0.925439	0.855054	0.785748	0.81446	0.25683	0.232938	0.113462	0.106833	0.538937	3.10103	1.249
