Time	[IKBA]	[sa13_degraded]	[sa12_degraded]	[mRNAIKBA]	[A20{nucleus}]	[mRNAA20]	[A20{default}]	[sa444_degraded]	[IKKi]	[sa19_degraded]	[IKKa]	[IKKn]	[sa20_degraded]	[NFkB:IkB_alpha]	[IKKa/IKBa]	[IKK]	[NFkB/Ikb_alpha/IKKa]	[sa96_degraded]	[sa97_degraded]	[NFkB/IkB_alpha]	[IkB_alpha{default}]	[NFkB{default}]	[NFkB{nucleus}]	[IkB_alpha{nucleus}]
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0
1	0	0	0	1.25519e-15	0	1.25519e-15	1.71632e-16	0	1.54358e-12	0	3.06049e-09	2.49672e-06	0	0.0599988	2.68228e-26	0	6.00907e-11	0	0	6.7879e-27	1.71599e-16	1.19849e-06	7.49368e-09	2.00944e-19
2	0	0	0	9.98302e-15	0	9.98302e-15	2.53653e-15	0	1.21138e-11	0	1.20042e-08	4.9869e-06	0	0.0599976	1.9249e-24	0	4.60831e-10	0	0	8.2294e-25	2.53564e-15	2.39399e-06	2.99498e-08	5.33222e-18
3	0	0	0	3.36738e-14	0	3.36738e-14	1.26998e-14	0	4.03162e-11	0	2.65104e-08	7.47055e-06	0	0.0599964	2.9193e-23	0	1.49729e-09	0	0	1.88356e-23	1.26932e-14	3.58654e-06	6.73311e-08	3.88038e-17
4	0	0	0	7.97656e-14	0	7.97656e-14	3.99556e-14	0	9.42763e-11	0	4.63048e-08	9.94768e-06	0	0.0599952	2.0826e-22	0	3.41853e-09	0	0	1.81531e-22	3.99275e-14	4.77624e-06	1.19601e-07	1.60861e-16
5	0	0	0	1.55683e-13	0	1.55683e-13	9.73786e-14	0	1.81738e-10	0	7.11526e-08	1.24183e-05	0	0.059994	9.51741e-22	0	6.43481e-09	0	0	1.04694e-21	9.72917e-14	5.96319e-06	1.86726e-07	4.87527e-16
6	0	0	0	2.68832e-13	0	2.68832e-13	2.01758e-13	0	3.10116e-10	0	1.00852e-07	1.48825e-05	0	0.0599928	3.29921e-21	0	1.0724e-08	0	0	4.41214e-21	2.01538e-13	7.14752e-06	2.6867e-07	1.20945e-15
7	0	0	0	4.26597e-13	0	4.26597e-13	3.73519e-13	0	4.86552e-10	0	1.35227e-07	1.73402e-05	0	0.0599916	9.4258e-21	0	1.64369e-08	0	0	1.49226e-20	3.73035e-13	8.32936e-06	3.65403e-07	2.60889e-15
8	0	0	0	6.36347e-13	0	6.36347e-13	6.36786e-13	0	7.17938e-10	0	1.74129e-07	1.97915e-05	0	0.0599904	2.338e-20	0	2.37005e-08	0	0	4.30653e-20	6.35826e-13	9.50887e-06	4.76895e-07	5.07878e-15
9	0	0	0	9.0543e-13	0	9.0543e-13	1.01936e-12	0	1.01096e-09	0	2.17426e-07	2.22363e-05	0	0.0599892	5.22404e-20	0	3.26221e-08	0	0	1.1126e-19	1.0176e-12	1.06862e-05	6.03116e-07	9.14332e-15
10	0	0	0	1.24118e-12	0	1.24118e-12	1.5527e-12	0	1.37211e-09	0	2.65006e-07	2.46747e-05	0	0.0599879	1.06429e-19	0	4.32906e-08	0	0	2.55338e-19	1.54966e-12	1.18616e-05	7.44042e-07	1.54646e-14
11	0	0	0	1.65092e-12	0	1.65092e-12	2.27192e-12	0	1.80771e-09	0	3.16773e-07	2.71068e-05	0	0.0599867	2.01962e-19	0	5.578e-08	0	0	5.40329e-19	2.26695e-12	1.30352e-05	8.99648e-07	2.48679e-14
12	0	0	0	2.14194e-12	0	2.14194e-12	3.21578e-12	0	2.32399e-09	0	3.72639e-07	2.95324e-05	0	0.0599855	3.62443e-19	0	7.01547e-08	0	0	1.07295e-18	3.20797e-12	1.42071e-05	1.06991e-06	3.83702e-14
13	0	0	0	2.72154e-12	0	2.72154e-12	4.42667e-12	0	2.92705e-09	0	4.32527e-07	3.19517e-05	0	0.0599843	6.20147e-19	0	8.64695e-08	0	0	2.01334e-18	4.41482e-12	1.53776e-05	1.25482e-06	5.71894e-14
14	0	0	0	3.39701e-12	0	3.39701e-12	5.95061e-12	0	3.62283e-09	0	4.96374e-07	3.43647e-05	0	0.0599831	1.0189e-18	0	1.04765e-07	0	0	3.6109e-18	5.93317e-12	1.6547e-05	1.45435e-06	8.27455e-14
15	0	0	0	4.1756e-12	0	4.1756e-12	7.83726e-12	0	4.41721e-09	0	5.64123e-07	3.67713e-05	0	0.0599818	1.61629e-18	0	1.25076e-07	0	0	6.22393e-18	7.81224e-12	1.77152e-05	1.66849e-06	1.16697e-13
16	0	0	0	5.06458e-12	0	5.06458e-12	1.01399e-11	0	5.31601e-09	0	6.35722e-07	3.91716e-05	0	0.0599806	2.48645e-18	0	1.47432e-07	0	0	1.03537e-17	1.01048e-11	1.88827e-05	1.89723e-06	1.60957e-13
17	0	0	0	6.07119e-12	0	6.07119e-12	1.29153e-11	0	6.32494e-09	0	7.11126e-07	4.15657e-05	0	0.0599794	3.72363e-18	0	1.71858e-07	0	0	1.66978e-17	1.28671e-11	2.00496e-05	2.14056e-06	2.17701e-13
18	0	0	0	7.20269e-12	0	7.20269e-12	1.62241e-11	0	7.44968e-09	0	7.90293e-07	4.39534e-05	0	0.0599781	5.44527e-18	0	1.98372e-07	0	0	2.61968e-17	1.61589e-11	2.12161e-05	2.39847e-06	2.89391e-13
19	0	0	0	8.46631e-12	0	8.46631e-12	2.01302e-11	0	8.69582e-09	0	8.73187e-07	4.63349e-05	0	0.0599769	7.79585e-18	0	2.26989e-07	0	0	4.00991e-17	2.00436e-11	2.23824e-05	2.67096e-06	3.7879e-13
20	0	0	0	9.86928e-12	0	9.86928e-12	2.47015e-11	0	1.00689e-08	0	9.59775e-07	4.87102e-05	0	0.0599756	1.09511e-17	0	2.57719e-07	0	0	6.00391e-17	2.45878e-11	2.35487e-05	2.95803e-06	4.88977e-13
21	0	0	0	1.14188e-11	0	1.14188e-11	3.0009e-11	0	1.15745e-08	0	1.05003e-06	5.10792e-05	0	0.0599743	1.5122e-17	0	2.90573e-07	0	0	8.81166e-17	2.98619e-11	2.47153e-05	3.25968e-06	6.23365e-13
22	0	0	0	1.31222e-11	0	1.31222e-11	3.61279e-11	0	1.32179e-08	0	1.14391e-06	5.3442e-05	0	0.0599731	2.05601e-17	0	3.25556e-07	0	0	1.27006e-16	3.59396e-11	2.58823e-05	3.57591e-06	7.85719e-13
23	0	0	0	1.49867e-11	0	1.49867e-11	4.31364e-11	0	1.50047e-08	0	1.24141e-06	5.57986e-05	0	0.0599718	2.75619e-17	0	3.62671e-07	0	0	1.80074e-16	4.28979e-11	2.705e-05	3.90674e-06	9.80168e-13
24	0	0	0	1.70194e-11	0	1.70194e-11	5.11166e-11	0	1.69402e-08	0	1.3425e-06	5.81491e-05	0	0.0599705	3.64744e-17	0	4.01922e-07	0	0	2.5148e-16	5.08175e-11	2.82185e-05	4.25216e-06	1.21123e-12
25	0	0	0	1.92276e-11	0	1.92276e-11	6.01542e-11	0	1.90297e-08	0	1.44715e-06	6.04934e-05	0	0.0599692	4.77008e-17	0	4.43308e-07	0	0	3.4637e-16	5.97825e-11	2.93882e-05	4.6122e-06	1.4838e-12
26	0	0	0	2.16186e-11	0	2.16186e-11	7.03385e-11	0	2.12786e-08	0	1.55535e-06	6.28315e-05	0	0.059968	6.17064e-17	0	4.86829e-07	0	0	4.71008e-16	6.98802e-11	3.05591e-05	4.98687e-06	1.80322e-12
27	0	0	0	2.41996e-11	0	2.41996e-11	8.17622e-11	0	2.36922e-08	0	1.66707e-06	6.51635e-05	0	0.0599667	7.9025e-17	0	5.32483e-07	0	0	6.32985e-16	8.12014e-11	3.17315e-05	5.37619e-06	2.17525e-12
28	0	0	0	2.69779e-11	0	2.69779e-11	9.45218e-11	0	2.62757e-08	0	1.7823e-06	6.74894e-05	0	0.0599654	1.00265e-16	0	5.80269e-07	0	0	8.41411e-16	9.38404e-11	3.29057e-05	5.78017e-06	2.60608e-12
29	0	0	0	2.99606e-11	0	2.99606e-11	1.08717e-10	0	2.90343e-08	0	1.90102e-06	6.98092e-05	0	0.059964	1.26118e-16	0	6.30181e-07	0	0	1.10715e-15	1.07895e-10	3.40817e-05	6.19884e-06	3.10237e-12
30	0	0	0	3.31552e-11	0	3.31552e-11	1.24452e-10	0	3.19732e-08	0	2.02321e-06	7.21229e-05	0	0.0599627	1.57362e-16	0	6.82217e-07	0	0	1.44309e-15	1.23466e-10	3.52599e-05	6.63222e-06	3.67126e-12
31	0	0	0	3.65688e-11	0	3.65688e-11	1.41834e-10	0	3.50977e-08	0	2.14886e-06	7.44305e-05	0	0.0599614	1.94873e-16	0	7.36371e-07	0	0	1.86437e-15	1.40657e-10	3.64405e-05	7.08035e-06	4.3204e-12
32	0	0	0	4.02087e-11	0	4.02087e-11	1.60974e-10	0	3.84128e-08	0	2.27795e-06	7.67321e-05	0	0.0599601	2.39633e-16	0	7.92639e-07	0	0	2.38878e-15	1.59577e-10	3.76235e-05	7.54324e-06	5.05791e-12
33	0	0	0	4.40823e-11	0	4.40823e-11	1.81985e-10	0	4.19236e-08	0	2.41047e-06	7.90277e-05	0	0.0599587	2.92735e-16	0	8.51014e-07	0	0	3.03698e-15	1.80336e-10	3.88093e-05	8.02095e-06	5.89245e-12
34	0	0	0	4.81968e-11	0	4.81968e-11	2.04987e-10	0	4.56354e-08	0	2.5464e-06	8.13172e-05	0	0.0599574	3.55391e-16	0	9.11492e-07	0	0	3.83298e-15	2.03049e-10	3.99981e-05	8.51349e-06	6.83322e-12
35	0	0	0	5.25597e-11	0	5.25597e-11	2.301e-10	0	4.95531e-08	0	2.68572e-06	8.36008e-05	0	0.059956	4.28947e-16	0	9.74065e-07	0	0	4.80453e-15	2.27834e-10	4.119e-05	9.02091e-06	7.88998e-12
36	0	0	0	5.71781e-11	0	5.71781e-11	2.57451e-10	0	5.36819e-08	0	2.82843e-06	8.58783e-05	0	0.0599547	5.14888e-16	0	1.03873e-06	0	0	5.98364e-15	2.54811e-10	4.23853e-05	9.54325e-06	9.07304e-12
