Time	[Fringe]	[fucose]	[Delta]	[NI_sub_c_sub_t]	[N_sub_tm]	[TACE]	[a7_degraded]	[Neuralized]	[Numb]	[Mastermind]	[Su(H)]	[CoR]	[Complex_br_(Su(H)/CoR)]	[CoA]	[NI_sub_c_sub_s{nucleus}]	[Complex_br_(Mastermind/Su(H)/_br_CoA/NI_sub_c_sub_s)]	[NI_sub_c_sub_s{nucleus}]	[Sel 10]	[Ub]	[a46_degraded]	[Notch]	[Complex_br_(Delta/N_sub_ext)]	[Notch]	[Neurotic]	[Serrate]	[Complex_br_(Serrate/Notch)]	[Complex_br_(Serrate/N_sub_ext)]	[NI_sub_c_sub_s{cytosol}]	[a25_degraded]	[LNXp80]	[Complex_br_(Notch/Delta)]	[E(spl)-C genes]	[s76]	[s77]	[dapt]	[gama secretase]
70	5	1.19423	1.69174	4.09004	1.31412	0.5	2.29488	0.5	0.434331	1.98077	1.48077	5.31075e-07	1.46464e-07	1.98077	2.3592	3.42508	2.3592	0.6	0.0884399	0.205707	1.19423	0.0431632	1.19423	5	2.84167	1.79733	0.360998	0.0241276	0.205669	0.33	0.970215	0.09415	4.95098	4.95098	0	0.0490243
71	5	1.19458	1.68683	4.07431	1.33133	0.5	2.30202	0.5	0.434331	1.97781	1.47781	3.47949e-07	9.6293e-08	1.97781	2.37299	3.42796	2.37299	0.6	0.0880081	0.205924	1.19458	0.0432263	1.19458	5	2.84014	1.79744	0.362417	0.0241621	0.205669	0.33	0.967914	0.0942295	4.95098	4.95098	0	0.0490243
72	5	1.19491	1.68204	4.05864	1.34849	0.5	2.30902	0.5	0.434331	1.97488	1.47488	2.27709e-07	6.32334e-08	1.97488	2.38675	3.43082	2.38675	0.6	0.087581	0.206138	1.19491	0.0432913	1.19491	5	2.83863	1.79753	0.363838	0.0241965	0.205669	0.33	0.965655	0.0943082	4.95098	4.95098	0	0.0490243
73	5	1.19524	1.67735	4.04302	1.3656	0.5	2.31586	0.5	0.434331	1.97197	1.47197	1.48854e-07	4.14759e-08	1.97197	2.40049	3.43364	2.40049	0.6	0.0871586	0.20635	1.19524	0.0433581	1.19524	5	2.83714	1.7976	0.36526	0.0242309	0.205669	0.33	0.963438	0.0943864	4.95098	4.95098	0	0.0490243
74	5	1.19555	1.67276	4.02745	1.38266	0.5	2.32256	0.5	0.434331	1.96908	1.46908	9.71971e-08	2.71734e-08	1.96908	2.41422	3.43645	2.41422	0.6	0.0867409	0.20656	1.19555	0.0434267	1.19555	5	2.83567	1.79765	0.366684	0.0242652	0.205669	0.33	0.96126	0.0944639	4.95098	4.95098	0	0.0490243
75	5	1.19585	1.66827	4.01193	1.39967	0.5	2.32911	0.5	0.434331	1.96622	1.46622	6.33973e-08	1.77827e-08	1.96622	2.42792	3.43923	2.42792	0.6	0.0863277	0.206767	1.19585	0.0434971	1.19585	5	2.83421	1.79768	0.368109	0.0242994	0.205669	0.33	0.959122	0.0945407	4.95098	4.95098	0	0.0490243
76	5	1.19614	1.66388	3.99647	1.41664	0.5	2.33553	0.5	0.434331	1.96339	1.46339	4.13063e-08	1.16243e-08	1.96339	2.44161	3.44199	2.44161	0.6	0.085919	0.206973	1.19614	0.0435692	1.19614	5	2.83278	1.79768	0.369536	0.0243335	0.205669	0.33	0.957022	0.0946169	4.95098	4.95098	0	0.0490243
77	5	1.19642	1.65958	3.98105	1.43355	0.5	2.34182	0.5	0.434331	1.96058	1.46058	2.68822e-08	7.58963e-09	1.96058	2.45528	3.44473	2.45528	0.6	0.0855147	0.207175	1.19642	0.043643	1.19642	5	2.83137	1.79767	0.370965	0.0243675	0.205669	0.33	0.954959	0.0946925	4.95098	4.95098	0	0.0490243
78	5	1.19669	1.65537	3.96569	1.45042	0.5	2.34798	0.5	0.434331	1.95779	1.45779	1.74774e-08	4.95021e-09	1.95779	2.46892	3.44745	2.46892	0.6	0.0851148	0.207376	1.19669	0.0437185	1.19669	5	2.82997	1.79763	0.372396	0.0244015	0.205669	0.33	0.952932	0.0947674	4.95098	4.95098	0	0.0490243
79	5	1.19696	1.65125	3.95038	1.46725	0.5	2.35401	0.5	0.434331	1.95502	1.45502	1.13498e-08	3.22486e-09	1.95502	2.48255	3.45014	2.48255	0.6	0.0847192	0.207575	1.19696	0.0437956	1.19696	5	2.82859	1.79758	0.373829	0.0244353	0.205669	0.33	0.950941	0.0948418	4.95098	4.95098	0	0.0490243
80	5	1.19721	1.64722	3.93512	1.48402	0.5	2.35992	0.5	0.434331	1.95228	1.45228	7.36244e-09	2.09848e-09	1.95228	2.49616	3.45281	2.49616	0.6	0.0843278	0.207771	1.19721	0.0438744	1.19721	5	2.82723	1.7975	0.375264	0.0244691	0.205669	0.33	0.948984	0.0949155	4.95098	4.95098	0	0.0490243
81	5	1.19745	1.64328	3.91991	1.50075	0.5	2.3657	0.5	0.434331	1.94956	1.44956	4.77118e-09	1.36412e-09	1.94956	2.50974	3.45546	2.50974	0.6	0.0839407	0.207965	1.19745	0.0439547	1.19745	5	2.82589	1.79741	0.376701	0.0245028	0.205669	0.33	0.94706	0.0949886	4.95098	4.95098	0	0.0490243
82	5	1.19769	1.63942	3.90475	1.51742	0.5	2.37137	0.5	0.434331	1.94686	1.44686	3.08871e-09	8.85805e-10	1.94686	2.5233	3.45808	2.5233	0.6	0.0835576	0.208157	1.19769	0.0440367	1.19769	5	2.82456	1.7973	0.37814	0.0245365	0.205669	0.33	0.94517	0.0950611	4.95098	4.95098	0	0.0490243
83	5	1.19791	1.63564	3.88965	1.53406	0.5	2.37693	0.5	0.434331	1.94418	1.44418	1.99833e-09	5.74818e-10	1.94418	2.53685	3.46069	2.53685	0.6	0.0831787	0.208348	1.19791	0.0441202	1.19791	5	2.82324	1.79717	0.379581	0.02457	0.205669	0.33	0.943311	0.095133	4.95098	4.95098	0	0.0490243
84	5	1.19813	1.63194	3.87459	1.55064	0.5	2.38238	0.5	0.434331	1.94153	1.44153	1.29131e-09	3.72561e-10	1.94153	2.55037	3.46327	2.55037	0.6	0.0828037	0.208536	1.19813	0.0442053	1.19813	5	2.82195	1.79703	0.381024	0.0246035	0.205669	0.33	0.941484	0.0952044	4.95098	4.95098	0	0.0490243
85	5	1.19834	1.62831	3.85959	1.56717	0.5	2.38771	0.5	0.434331	1.93889	1.43889	8.33461e-10	2.41186e-10	1.93889	2.56386	3.46583	2.56386	0.6	0.0824328	0.208722	1.19834	0.0442919	1.19834	5	2.82066	1.79687	0.38247	0.0246368	0.205669	0.33	0.939687	0.0952751	4.95098	4.95098	0	0.0490243
86	5	1.19854	1.62476	3.84464	1.58366	0.5	2.39294	0.5	0.434331	1.93628	1.43628	5.37766e-10	1.5607e-10	1.93628	2.57734	3.46837	2.57734	0.6	0.0820657	0.208906	1.19854	0.0443799	1.19854	5	2.81939	1.79669	0.383918	0.0246701	0.205669	0.33	0.93792	0.0953453	4.95098	4.95098	0	0.0490243
87	5	1.19873	1.62128	3.82974	1.6001	0.5	2.39807	0.5	0.434331	1.93369	1.43369	3.467e-10	1.0091e-10	1.93369	2.59079	3.47089	2.59079	0.6	0.0817025	0.209088	1.19873	0.0444695	1.19873	5	2.81814	1.79649	0.385369	0.0247033	0.205669	0.33	0.936182	0.0954149	4.95098	4.95098	0	0.0490243
88	5	1.19892	1.61787	3.81489	1.61649	0.5	2.40309	0.5	0.434331	1.93112	1.43112	2.23162e-10	6.51413e-11	1.93112	2.60422	3.47339	2.60422	0.6	0.0813431	0.209269	1.19892	0.0445605	1.19892	5	2.8169	1.79628	0.386821	0.0247364	0.205669	0.33	0.934472	0.095484	4.95098	4.95098	0	0.0490243
89	5	1.19909	1.61454	3.80009	1.63284	0.5	2.40802	0.5	0.434331	1.92857	1.42857	1.43585e-10	4.20293e-11	1.92857	2.61763	3.47587	2.61763	0.6	0.0809874	0.209447	1.19909	0.044653	1.19909	5	2.81567	1.79605	0.388277	0.0247694	0.205669	0.33	0.93279	0.0955524	4.95098	4.95098	0	0.0490243
90	5	1.19926	1.61127	3.78535	1.64914	0.5	2.41285	0.5	0.434331	1.92604	1.42604	9.25834e-11	2.71722e-11	1.92604	2.63101	3.47834	2.63101	0.6	0.0806355	0.209624	1.19926	0.0447469	1.19926	5	2.81445	1.79581	0.389735	0.0248023	0.205669	0.33	0.931135	0.0956204	4.95098	4.95098	0	0.0490243
91	5	1.19943	1.60806	3.77065	1.66539	0.5	2.41759	0.5	0.434331	1.92354	1.42354	5.99212e-11	1.76336e-11	1.92354	2.64437	3.48078	2.64437	0.6	0.0802871	0.209798	1.19943	0.0448422	1.19943	5	2.81325	1.79555	0.391195	0.0248352	0.205669	0.33	0.929507	0.0956878	4.95098	4.95098	0	0.0490243
92	5	1.19958	1.60492	3.75601	1.68159	0.5	2.42223	0.5	0.434331	1.92105	1.42105	3.8859e-11	1.14657e-11	1.92105	2.65771	3.4832	2.65771	0.6	0.0799424	0.209971	1.19958	0.0449389	1.19958	5	2.81206	1.79528	0.392658	0.0248679	0.205669	0.33	0.927904	0.0957546	4.95098	4.95098	0	0.0490243
93	5	1.19973	1.60185	3.74142	1.69774	0.5	2.42679	0.5	0.434331	1.91858	1.41858	2.50507e-11	7.40861e-12	1.91858	2.67102	3.4856	2.67102	0.6	0.0796013	0.210143	1.19973	0.045037	1.19973	5	2.81088	1.79499	0.394124	0.0249006	0.205669	0.33	0.926327	0.095821	4.95098	4.95098	0	0.0490243
94	5	1.19987	1.59884	3.72688	1.71385	0.5	2.43125	0.5	0.434331	1.91613	1.41613	1.60534e-11	4.75906e-12	1.91613	2.68431	3.48798	2.68431	0.6	0.0792636	0.210312	1.19987	0.0451364	1.19987	5	2.80972	1.79469	0.395592	0.0249331	0.205669	0.33	0.924774	0.0958868	4.95098	4.95098	0	0.0490243
95	5	1.2	1.59588	3.71239	1.72991	0.5	2.43564	0.5	0.434331	1.9137	1.4137	1.03006e-11	3.06335e-12	1.9137	2.69758	3.49035	2.69758	0.6	0.0789295	0.21048	1.2	0.0452371	1.2	5	2.80856	1.79437	0.397063	0.0249656	0.205669	0.33	0.923246	0.095952	4.95098	4.95098	0	0.0490243
96	5	1.20013	1.59299	3.69795	1.74592	0.5	2.43993	0.5	0.434331	1.91129	1.41129	6.73422e-12	2.00903e-12	1.91129	2.71081	3.49269	2.71081	0.6	0.0785987	0.210646	1.20013	0.0453392	1.20013	5	2.80742	1.79404	0.398537	0.024998	0.205669	0.33	0.921741	0.0960168	4.95098	4.95098	0	0.0490243
97	5	1.20025	1.59015	3.68357	1.76189	0.5	2.44415	0.5	0.434331	1.9089	1.4089	4.60497e-12	1.37783e-12	1.9089	2.72403	3.49502	2.72403	0.6	0.0782713	0.21081	1.20025	0.0454426	1.20025	5	2.80629	1.7937	0.400014	0.0250303	0.205669	0.33	0.920259	0.096081	4.95098	4.95098	0	0.0490243
98	5	1.20036	1.58737	3.66923	1.77781	0.5	2.44829	0.5	0.434331	1.90653	1.40653	3.28824e-12	9.84995e-13	1.90653	2.73722	3.49733	2.73722	0.6	0.0779472	0.210972	1.20036	0.0455474	1.20036	5	2.80516	1.79334	0.401493	0.0250624	0.205669	0.33	0.918799	0.0961448	4.95098	4.95098	0	0.0490243
99	5	1.20047	1.58464	3.65495	1.79368	0.5	2.45234	0.5	0.434331	1.90417	1.40417	2.32825e-12	6.98673e-13	1.90417	2.75038	3.49962	2.75038	0.6	0.0776264	0.211133	1.20047	0.0456534	1.20047	5	2.80405	1.79297	0.402975	0.0250945	0.205669	0.33	0.917362	0.096208	4.95098	4.95098	0	0.0490243
100	5	1.20057	1.58197	3.64072	1.8095	0.5	2.45633	0.5	0.434331	1.90184	1.40184	1.63443e-12	4.89364e-13	1.90184	2.76352	3.50189	2.76352	0.6	0.0773088	0.211293	1.20057	0.0457606	1.20057	5	2.80295	1.79259	0.40446	0.0251265	0.205669	0.33	0.915946	0.0962708	4.95098	4.95098	0	0.0490243
