Time	[Fringe]	[fucose]	[Delta]	[NI_sub_c_sub_t]	[N_sub_tm]	[TACE]	[a7_degraded]	[Neuralized]	[Numb]	[Mastermind]	[Su(H)]	[CoR]	[Complex_br_(Su(H)/CoR)]	[CoA]	[NI_sub_c_sub_s{nucleus}]	[Complex_br_(Mastermind/Su(H)/_br_CoA/NI_sub_c_sub_s)]	[NI_sub_c_sub_s{nucleus}]	[Sel 10]	[Ub]	[a46_degraded]	[Notch]	[Complex_br_(Delta/N_sub_ext)]	[Notch]	[Neurotic]	[Serrate]	[Complex_br_(Serrate/Notch)]	[Complex_br_(Serrate/N_sub_ext)]	[NI_sub_c_sub_s{cytosol}]	[a25_degraded]	[LNXp80]	[Complex_br_(Notch/Delta)]	[E(spl)-C genes]	[s76]	[s77]	[dapt]	[gama secretase]
13	5	1.13715	2.39429	5.06256	0.253299	0.5	1.30254	0.5	0.44631	0.676933	4.73208	4.55515	0.0439102	0.676933	0.29608	0.179641	0.29608	0.6	0.381692	0.0564233	1.13715	0.0453394	1.13715	5	3.01619	1.71328	0.270522	0.0158444	0.19369	0.33	1.25783	0.0443644	4.95098	4.95098	0	0.0490243
14	5	1.13933	2.36439	5.04563	0.273272	0.5	1.34458	0.5	0.44396	0.716844	4.67407	4.45723	0.0501625	0.716844	0.339078	0.224348	0.339078	0.6	0.36495	0.0647265	1.13933	0.0450513	1.13933	5	3.00842	1.71773	0.273847	0.0159876	0.19604	0.33	1.24597	0.0514164	4.95098	4.95098	0	0.0490243
15	5	1.14147	2.33604	5.02832	0.293197	0.5	1.38429	0.5	0.442071	0.759778	4.60634	4.34656	0.0566912	0.759778	0.384819	0.277973	0.384819	0.6	0.347994	0.0731753	1.14147	0.0447944	1.14147	5	3.00136	1.72192	0.27672	0.0161503	0.197929	0.33	1.23488	0.0589998	4.95098	4.95098	0	0.0490243
16	5	1.14357	2.3091	5.01075	0.313075	0.5	1.42191	0.5	0.440552	0.805352	4.52809	4.22274	0.0634235	0.805352	0.433144	0.34141	0.433144	0.6	0.331047	0.0816562	1.14357	0.0445631	1.14357	5	2.99486	1.72587	0.279263	0.0163306	0.199448	0.33	1.22442	0.0670746	4.95098	4.95098	0	0.0490243
17	5	1.14559	2.28349	4.99301	0.332906	0.5	1.45762	0.5	0.439332	0.853218	4.43875	4.08554	0.0702798	0.853218	0.483912	0.415376	0.483912	0.6	0.314315	0.0900632	1.14559	0.0443534	1.14559	5	2.98882	1.72962	0.281562	0.0165271	0.200668	0.33	1.21453	0.0755888	4.95098	4.95098	0	0.0490243
18	5	1.14756	2.2591	4.97515	0.352689	0.5	1.49161	0.5	0.438351	0.903092	4.33796	3.93487	0.0771751	0.903092	0.537017	0.500382	0.537017	0.6	0.297975	0.098303	1.14756	0.0441622	1.14756	5	2.98315	1.73317	0.28368	0.0167383	0.201649	0.33	1.20512	0.084479	4.95098	4.95098	0	0.0490243
19	5	1.14945	2.23584	4.95722	0.372424	0.5	1.52401	0.5	0.437562	0.954756	4.2256	3.77085	0.084019	0.954756	0.592386	0.596706	0.592386	0.6	0.282169	0.106298	1.14945	0.0439871	1.14945	5	2.9778	1.73653	0.285661	0.0169633	0.202438	0.33	1.19616	0.0936707	4.95098	4.95098	0	0.0490243
20	5	1.15128	2.21363	4.93925	0.392111	0.5	1.55496	0.5	0.436929	1.00807	4.10183	3.59376	0.0907138	1.00807	0.649986	0.704384	0.649986	0.6	0.267008	0.113989	1.15128	0.0438262	1.15128	5	2.97273	1.73973	0.287539	0.0172013	0.203071	0.33	1.18758	0.103076	4.95098	4.95098	0	0.0490243
21	5	1.15304	2.19239	4.92127	0.41175	0.5	1.58456	0.5	0.436419	1.06295	3.96704	3.4041	0.0971534	1.06295	0.709811	0.823208	0.709811	0.6	0.252564	0.121332	1.15304	0.0436781	1.15304	5	2.96789	1.74277	0.289338	0.0174519	0.203581	0.33	1.17937	0.112595	4.95098	4.95098	0	0.0490243
22	5	1.15473	2.17205	4.90328	0.43134	0.5	1.61292	0.5	0.43601	1.11937	3.82197	3.2026	0.103217	1.11937	0.771879	0.952708	0.771879	0.6	0.238883	0.1283	1.15473	0.0435415	1.15473	5	2.96327	1.74566	0.291076	0.0177147	0.20399	0.33	1.17148	0.122105	4.95098	4.95098	0	0.0490243
