Time	[Xi]	[Yi]	[Xj]	[Yj]
0	0	0	0	0
1	0.152561	0.156845	0.152561	0.156845
2	0.153292	0.162339	0.153292	0.162339
3	0.153301	0.165658	0.153301	0.165658
4	0.153301	0.168153	0.153301	0.168153
5	0.153301	0.170184	0.153301	0.170184
6	0.153301	0.17195	0.153301	0.17195
7	0.153301	0.173585	0.153301	0.173585
8	0.153301	0.175192	0.153301	0.175192
9	0.153301	0.176873	0.153301	0.176873
10	0.153301	0.178755	0.153301	0.178755
11	0.153301	0.18104	0.153301	0.18104
12	0.153301	0.18412	0.153301	0.18412
13	0.153301	0.188976	0.153301	0.188976
14	0.153301	0.199225	0.153301	0.199225
15	0.153301	0.260476	0.153301	0.260476
16	0.153301	0.696388	0.153301	0.696388
17	0.153301	0.888214	0.153301	0.888214
18	0.153301	0.958847	0.153301	0.958847
19	0.153301	0.984841	0.153301	0.984841
20	0.153301	0.994405	0.153301	0.994405
21	0.153301	0.997925	0.153301	0.997925
22	0.153301	0.99922	0.153301	0.99922
23	0.153301	0.999696	0.153301	0.999696
24	0.153301	0.999872	0.153301	0.999872
25	0.153301	0.999936	0.153301	0.999936
26	0.153301	0.99996	0.153301	0.99996
27	0.153301	0.999969	0.153301	0.999969
28	0.153301	0.999972	0.153301	0.999972
29	0.153301	0.999973	0.153301	0.999973
30	0.153301	0.999974	0.153301	0.999974
31	0.153301	0.999974	0.153301	0.999974
32	0.153301	0.999974	0.153301	0.999974
33	0.153301	0.999974	0.153301	0.999974
34	0.153301	0.999974	0.153301	0.999974
35	0.153301	0.999973	0.153301	0.999973
36	0.153301	0.999974	0.153301	0.999974
37	0.153301	0.999973	0.153301	0.999973
38	0.153301	0.999973	0.153301	0.999973
39	0.153301	0.999974	0.153301	0.999974
40	0.153301	0.999974	0.153301	0.999974
41	0.153301	0.999974	0.153301	0.999974
42	0.153301	0.999974	0.153301	0.999974
43	0.153301	0.999974	0.153301	0.999974
44	0.153301	0.999974	0.153301	0.999974
45	0.153301	0.999974	0.153301	0.999974
46	0.153301	0.999974	0.153301	0.999974
47	0.153301	0.999974	0.153301	0.999974
48	0.153301	0.999974	0.153301	0.999974
49	0.153301	0.999974	0.153301	0.999974
50	0.153301	0.999974	0.153301	0.999974
51	0.153301	0.999974	0.153301	0.999974
52	0.153301	0.999974	0.153301	0.999974
53	0.153301	0.999974	0.153301	0.999974
54	0.153301	0.999974	0.153301	0.999974
55	0.153301	0.999974	0.153301	0.999974
56	0.153301	0.999974	0.153301	0.999974
57	0.153301	0.999974	0.153301	0.999974
58	0.153301	0.999974	0.153301	0.999974
59	0.153301	0.999974	0.153301	0.999974
60	0.153301	0.999974	0.153301	0.999974
61	0.153301	0.999974	0.153301	0.999974
62	0.153301	0.999974	0.153301	0.999974
63	0.153301	0.999974	0.153301	0.999974
64	0.153301	0.999974	0.153301	0.999974
65	0.153301	0.999974	0.153301	0.999974
66	0.153301	0.999974	0.153301	0.999974
67	0.153301	0.999974	0.153301	0.999974
68	0.153301	0.999974	0.153301	0.999974
69	0.153301	0.999974	0.153301	0.999974
70	0.153301	0.999974	0.153301	0.999974
71	0.153301	0.999974	0.153301	0.999974
72	0.153301	0.999974	0.153301	0.999974
73	0.153301	0.999974	0.153301	0.999974
74	0.153301	0.999974	0.153301	0.999974
75	0.153301	0.999974	0.153301	0.999974
76	0.153301	0.999974	0.153301	0.999974
77	0.153301	0.999974	0.153301	0.999974
78	0.153301	0.999974	0.153301	0.999974
79	0.153301	0.999974	0.153301	0.999974
80	0.153301	0.999974	0.153301	0.999974
81	0.153301	0.999974	0.153301	0.999974
82	0.153301	0.999974	0.153301	0.999974
83	0.153301	0.999974	0.153301	0.999974
84	0.153301	0.999974	0.153301	0.999974
85	0.153301	0.999974	0.153301	0.999974
86	0.153301	0.999974	0.153301	0.999974
87	0.153301	0.999974	0.153301	0.999974
88	0.153301	0.999974	0.153301	0.999974
89	0.153301	0.999974	0.153301	0.999974
90	0.153301	0.999974	0.153301	0.999974
91	0.153301	0.999974	0.153301	0.999974
92	0.153301	0.999974	0.153301	0.999974
93	0.153301	0.999974	0.153301	0.999974
94	0.153301	0.999974	0.153301	0.999974
95	0.153301	0.999974	0.153301	0.999974
96	0.153301	0.999974	0.153301	0.999974
97	0.153301	0.999974	0.153301	0.999974
98	0.153301	0.999974	0.153301	0.999974
99	0.153301	0.999974	0.153301	0.999974
100	0.153301	0.999974	0.153301	0.999974
