Time	[Mad1:C-Mad2]	[O-Mad2]	[Mad1:C-Mad2:O-Mad2*]	[Cdc20]	[Cdc20:C-Mad2]
0	5e-08	1.5e-07	0	2.2e-07	0
1	4.99932e-08	1.48516e-07	6.7894e-12	2.18523e-07	1.47688e-09
2	4.99932e-08	1.47062e-07	6.76785e-12	2.17069e-07	2.93122e-09
3	4.99933e-08	1.45636e-07	6.74651e-12	2.15643e-07	4.3568e-09
4	4.99933e-08	1.44239e-07	6.72533e-12	2.14246e-07	5.75405e-09
5	4.99933e-08	1.4287e-07	6.70429e-12	2.12876e-07	7.12362e-09
6	4.99933e-08	1.41527e-07	6.68341e-12	2.11534e-07	8.46608e-09
7	4.99933e-08	1.40211e-07	6.66267e-12	2.10218e-07	9.78197e-09
8	4.99934e-08	1.38922e-07	6.6421e-12	2.08928e-07	1.10718e-08
9	4.99934e-08	1.37657e-07	6.62169e-12	2.07664e-07	1.23361e-08
10	4.99934e-08	1.36418e-07	6.60144e-12	2.06425e-07	1.35754e-08
11	4.99934e-08	1.35203e-07	6.58135e-12	2.0521e-07	1.47902e-08
12	4.99934e-08	1.34013e-07	6.56143e-12	2.04019e-07	1.59809e-08
13	4.99935e-08	1.32845e-07	6.54168e-12	2.02852e-07	1.7148e-08
14	4.99935e-08	1.31701e-07	6.52209e-12	2.01708e-07	1.8292e-08
15	4.99935e-08	1.3058e-07	6.50268e-12	2.00587e-07	1.94134e-08
16	4.99935e-08	1.29481e-07	6.48344e-12	1.99487e-07	2.05125e-08
17	4.99935e-08	1.28404e-07	6.46437e-12	1.9841e-07	2.15899e-08
18	4.99936e-08	1.27348e-07	6.44548e-12	1.97354e-07	2.2646e-08
19	4.99936e-08	1.26312e-07	6.42677e-12	1.96319e-07	2.36813e-08
20	4.99936e-08	1.25298e-07	6.40823e-12	1.95304e-07	2.4696e-08
21	4.99936e-08	1.24303e-07	6.38986e-12	1.94309e-07	2.56906e-08
22	4.99936e-08	1.23328e-07	6.37167e-12	1.93334e-07	2.66655e-08
23	4.99936e-08	1.22372e-07	6.35367e-12	1.92379e-07	2.76212e-08
24	4.99937e-08	1.21436e-07	6.33585e-12	1.91442e-07	2.85579e-08
25	4.99937e-08	1.20518e-07	6.31822e-12	1.90524e-07	2.94761e-08
26	4.99937e-08	1.19618e-07	6.30078e-12	1.89624e-07	3.03761e-08
27	4.99937e-08	1.18735e-07	6.28353e-12	1.88742e-07	3.12583e-08
28	4.99937e-08	1.17871e-07	6.26646e-12	1.87877e-07	3.21231e-08
29	4.99938e-08	1.17023e-07	6.24958e-12	1.87029e-07	3.29707e-08
30	4.99938e-08	1.16192e-07	6.23289e-12	1.86198e-07	3.38015e-08
31	4.99938e-08	1.15378e-07	6.21638e-12	1.85384e-07	3.46159e-08
32	4.99938e-08	1.1458e-07	6.20005e-12	1.84586e-07	3.54141e-08
33	4.99938e-08	1.13797e-07	6.1839e-12	1.83803e-07	3.61966e-08
34	4.99938e-08	1.1303e-07	6.16792e-12	1.83036e-07	3.69635e-08
35	4.99938e-08	1.12279e-07	6.15213e-12	1.82285e-07	3.77153e-08
36	4.99939e-08	1.11542e-07	6.13651e-12	1.81548e-07	3.84522e-08
37	4.99939e-08	1.10819e-07	6.12107e-12	1.80825e-07	3.91745e-08
38	4.99939e-08	1.10111e-07	6.10581e-12	1.80117e-07	3.98825e-08
39	4.99939e-08	1.09417e-07	6.09074e-12	1.79423e-07	4.05765e-08
40	4.99939e-08	1.08737e-07	6.07586e-12	1.78743e-07	4.12568e-08
41	4.99939e-08	1.0807e-07	6.06117e-12	1.78076e-07	4.19235e-08
42	4.9994e-08	1.07417e-07	6.04669e-12	1.77423e-07	4.25771e-08
43	4.9994e-08	1.06776e-07	6.0324e-12	1.76782e-07	4.32178e-08
44	4.9994e-08	1.06148e-07	6.01832e-12	1.76154e-07	4.38458e-08
45	4.9994e-08	1.05533e-07	6.00443e-12	1.75539e-07	4.44613e-08
46	4.9994e-08	1.04929e-07	5.99075e-12	1.74935e-07	4.50646e-08
47	4.9994e-08	1.04338e-07	5.97726e-12	1.74344e-07	4.56561e-08
48	4.9994e-08	1.03758e-07	5.96394e-12	1.73764e-07	4.62358e-08
49	4.9994e-08	1.0319e-07	5.95079e-12	1.73196e-07	4.6804e-08
50	4.99941e-08	1.02633e-07	5.93778e-12	1.72639e-07	4.7361e-08
51	4.99941e-08	1.02087e-07	5.92491e-12	1.72093e-07	4.79069e-08
52	4.99941e-08	1.01552e-07	5.91219e-12	1.71558e-07	4.84421e-08
53	4.99941e-08	1.01027e-07	5.8996e-12	1.71033e-07	4.89666e-08
54	4.99941e-08	1.00513e-07	5.88712e-12	1.70519e-07	4.94808e-08
55	4.99941e-08	1.00009e-07	5.87473e-12	1.70015e-07	4.99848e-08
56	4.99941e-08	9.95154e-08	5.86242e-12	1.69521e-07	5.04788e-08
57	4.99941e-08	9.90312e-08	5.85032e-12	1.69037e-07	5.0963e-08
58	4.99942e-08	9.85565e-08	5.8384e-12	1.68562e-07	5.14376e-08
59	4.99942e-08	9.80913e-08	5.82669e-12	1.68097e-07	5.19029e-08
60	4.99942e-08	9.76353e-08	5.81523e-12	1.67641e-07	5.23589e-08
61	4.99942e-08	9.71883e-08	5.80404e-12	1.67194e-07	5.28059e-08
62	4.99942e-08	9.67501e-08	5.79313e-12	1.66756e-07	5.32441e-08
63	4.99942e-08	9.63206e-08	5.78257e-12	1.66326e-07	5.36736e-08
64	4.99942e-08	9.58997e-08	5.7724e-12	1.65905e-07	5.40946e-08
65	4.99942e-08	9.5487e-08	5.7627e-12	1.65493e-07	5.45072e-08
66	4.99942e-08	9.50825e-08	5.75327e-12	1.65088e-07	5.49117e-08
67	4.99943e-08	9.46861e-08	5.74394e-12	1.64692e-07	5.53082e-08
68	4.99943e-08	9.42974e-08	5.73475e-12	1.64303e-07	5.56968e-08
69	4.99943e-08	9.39165e-08	5.72557e-12	1.63922e-07	5.60778e-08
70	4.99943e-08	9.35431e-08	5.71627e-12	1.63549e-07	5.64512e-08
71	4.99943e-08	9.31771e-08	5.70681e-12	1.63183e-07	5.68172e-08
72	4.99943e-08	9.28184e-08	5.69701e-12	1.62824e-07	5.71759e-08
73	4.99943e-08	9.24667e-08	5.68665e-12	1.62472e-07	5.75276e-08
74	4.99943e-08	9.2122e-08	5.67552e-12	1.62128e-07	5.78723e-08
75	4.99943e-08	9.17842e-08	5.66353e-12	1.6179e-07	5.82102e-08
76	4.99943e-08	9.1453e-08	5.65267e-12	1.61459e-07	5.85414e-08
77	4.99944e-08	9.11284e-08	5.64185e-12	1.61134e-07	5.8866e-08
78	4.99944e-08	9.08102e-08	5.63127e-12	1.60816e-07	5.91842e-08
79	4.99944e-08	9.04983e-08	5.62114e-12	1.60504e-07	5.94961e-08
80	4.99944e-08	9.01925e-08	5.61173e-12	1.60198e-07	5.98019e-08
81	4.99944e-08	8.98928e-08	5.60337e-12	1.59898e-07	6.01015e-08
82	4.99944e-08	8.95991e-08	5.59524e-12	1.59605e-07	6.03953e-08
83	4.99944e-08	8.93112e-08	5.58783e-12	1.59317e-07	6.06832e-08
84	4.99944e-08	8.9029e-08	5.58155e-12	1.59035e-07	6.09655e-08
85	4.99944e-08	8.87523e-08	5.57662e-12	1.58758e-07	6.12421e-08
86	4.99944e-08	8.84812e-08	5.57327e-12	1.58487e-07	6.15133e-08
87	4.99944e-08	8.82154e-08	5.57179e-12	1.58221e-07	6.17791e-08
88	4.99944e-08	8.79548e-08	5.57045e-12	1.5796e-07	6.20396e-08
89	4.99944e-08	8.76994e-08	5.5681e-12	1.57705e-07	6.2295e-08
90	4.99944e-08	8.74491e-08	5.56538e-12	1.57455e-07	6.25453e-08
91	4.99944e-08	8.72038e-08	5.56172e-12	1.57209e-07	6.27907e-08
92	4.99944e-08	8.69633e-08	5.55643e-12	1.56969e-07	6.30312e-08
93	4.99945e-08	8.67275e-08	5.54868e-12	1.56733e-07	6.32669e-08
94	4.99945e-08	8.64964e-08	5.53887e-12	1.56502e-07	6.3498e-08
95	4.99945e-08	8.62699e-08	5.52969e-12	1.56275e-07	6.37246e-08
96	4.99945e-08	8.60479e-08	5.51873e-12	1.56053e-07	6.39466e-08
97	4.99945e-08	8.58303e-08	5.50575e-12	1.55836e-07	6.41642e-08
98	4.99945e-08	8.56169e-08	5.49056e-12	1.55622e-07	6.43776e-08
99	4.99945e-08	8.54078e-08	5.47296e-12	1.55413e-07	6.45867e-08
100	4.99945e-08	8.52029e-08	5.453e-12	1.55208e-07	6.47917e-08
