Time	[Z1]	[Z2]	[Z4]	[E1]	[E2]	[E3]	[E4]
36	1.23738	6.86363	17.658	0.00789675	0.00584877	0.000100212	0.00498098
37	1.23045	6.85843	17.6567	0.00726068	0.00540177	5.24669e-05	0.00261178
38	1.22408	6.85365	17.656	0.00666651	0.00497647	2.82708e-05	0.0013744
39	1.21825	6.84927	17.6556	0.00610996	0.00457335	1.60578e-05	0.000734316
40	1.21293	6.84527	17.6554	0.00558913	0.004193	9.8697e-06	0.000405418
41	1.20807	6.84161	17.6553	0.00510301	0.00383585	6.67871e-06	0.000236717
42	1.20365	6.83827	17.6552	0.00465078	0.00350202	4.96711e-06	0.000149591
43	1.19963	6.83523	17.6551	0.00423151	0.0031913	3.98415e-06	0.000103631
44	1.19598	6.83247	17.655	0.0038441	0.00290322	3.36304e-06	7.83273e-05
45	1.19267	6.82997	17.655	0.00348723	0.00263707	2.92643e-06	6.33928e-05
46	1.18968	6.8277	17.6549	0.00315944	0.00239196	2.58917e-06	5.37229e-05
47	1.18697	6.82564	17.6549	0.00285914	0.00216688	2.31032e-06	4.6806e-05
48	1.18453	6.82378	17.6549	0.00258466	0.00196072	2.06994e-06	4.14115e-05
49	1.18232	6.8221	17.6548	0.0023343	0.00177232	1.85789e-06	3.69349e-05
50	1.18033	6.82059	17.6548	0.00210639	0.00160052	1.66867e-06	3.30736e-05
51	1.17854	6.81922	17.6548	0.00189926	0.00144415	1.49889e-06	2.96701e-05
52	1.17692	6.81799	17.6547	0.00171131	0.00130206	1.34621e-06	2.66362e-05
53	1.17547	6.81688	17.6547	0.00154098	0.00117314	1.20882e-06	2.39169e-05
54	1.17416	6.81589	17.6547	0.00138683	0.00105632	1.08517e-06	2.14738e-05
55	1.17298	6.81499	17.6547	0.00124746	0.000950611	9.73922e-07	1.92768e-05
56	1.17192	6.81418	17.6547	0.00112159	0.000855046	8.73878e-07	1.73009e-05
57	1.17097	6.81346	17.6546	0.001008	0.000768741	7.83945e-07	1.55242e-05
58	1.17012	6.8128	17.6546	0.000905581	0.000690866	7.03134e-07	1.3927e-05
59	1.16935	6.81222	17.6546	0.000813299	0.000620653	6.30545e-07	1.24917e-05
60	1.16866	6.81169	17.6546	0.000730203	0.000557392	5.65364e-07	1.12025e-05
61	1.16805	6.81122	17.6546	0.000655423	0.000500432	5.06854e-07	1.00447e-05
62	1.16749	6.8108	17.6546	0.00058816	0.000449172	4.54343e-07	9.00541e-06
63	1.167	6.81042	17.6546	0.000527686	0.000403069	4.07231e-07	8.07265e-06
64	1.16655	6.81008	17.6546	0.000473339	0.000361621	3.64969e-07	7.23571e-06
65	1.16615	6.80977	17.6546	0.000424516	0.000324373	3.27065e-07	6.48491e-06
66	1.16579	6.8095	17.6546	0.000380669	0.000290911	2.93076e-07	5.81152e-06
67	1.16547	6.80925	17.6546	0.000341304	0.000260861	2.62601e-07	5.20765e-06
68	1.16518	6.80903	17.6546	0.000305972	0.000233883	2.35282e-07	4.6662e-06
