Time	[D]	[DR]	[DRG_GDP]	[DRG]	[GDP]	[DRG_GTP]	[GTP]	[R]	[G_GDP]	[G_GTP]
39	9.82648e-09	7.99749e-11	3.55605e-11	9.3446e-14	1.1946e-10	5.78941e-11	9.99988e-06	8.26477e-10	8.83016e-10	2.34358e-11
40	9.82588e-09	7.99828e-11	3.5511e-11	9.4052e-14	1.23013e-10	5.85362e-11	9.99988e-06	8.25876e-10	8.81883e-10	2.3976e-11
41	9.82531e-09	7.99904e-11	3.54631e-11	9.46135e-14	1.26562e-10	5.91423e-11	9.99987e-06	8.2531e-10	8.80806e-10	2.44944e-11
42	9.82478e-09	7.99974e-11	3.54168e-11	9.51258e-14	1.30106e-10	5.97143e-11	9.99987e-06	8.24776e-10	8.79782e-10	2.49915e-11
43	9.82427e-09	8.00041e-11	3.53723e-11	9.56156e-14	1.33645e-10	6.02539e-11	9.99987e-06	8.24274e-10	8.7881e-10	2.54677e-11
44	9.8238e-09	8.00105e-11	3.53295e-11	9.60847e-14	1.37181e-10	6.0763e-11	9.99986e-06	8.23801e-10	8.77888e-10	2.59236e-11
45	9.82336e-09	8.00164e-11	3.52884e-11	9.65298e-14	1.40711e-10	6.12432e-11	9.99986e-06	8.23355e-10	8.77012e-10	2.63596e-11
46	9.82294e-09	8.00221e-11	3.52491e-11	9.69449e-14	1.44238e-10	6.16961e-11	9.99986e-06	8.22936e-10	8.76182e-10	2.67762e-11
47	9.82254e-09	8.00274e-11	3.52115e-11	9.73323e-14	1.47761e-10	6.21231e-11	9.99985e-06	8.22541e-10	8.75394e-10	2.71742e-11
48	9.82217e-09	8.00325e-11	3.51756e-11	9.76993e-14	1.51281e-10	6.25258e-11	9.99985e-06	8.22168e-10	8.74647e-10	2.75539e-11
49	9.82182e-09	8.00373e-11	3.51413e-11	9.80448e-14	1.54796e-10	6.29054e-11	9.99985e-06	8.21818e-10	8.73939e-10	2.79162e-11
50	9.82149e-09	8.00419e-11	3.51086e-11	9.83701e-14	1.58309e-10	6.32632e-11	9.99984e-06	8.21488e-10	8.73268e-10	2.82615e-11
51	9.82118e-09	8.00462e-11	3.50774e-11	9.86764e-14	1.61818e-10	6.36005e-11	9.99984e-06	8.21177e-10	8.72633e-10	2.85904e-11
52	9.82088e-09	8.00503e-11	3.50478e-11	9.8965e-14	1.65325e-10	6.39184e-11	9.99983e-06	8.20885e-10	8.72031e-10	2.89037e-11
53	9.82061e-09	8.00542e-11	3.50195e-11	9.92363e-14	1.68828e-10	6.42181e-11	9.99983e-06	8.20609e-10	8.71461e-10	2.92018e-11
54	9.82035e-09	8.00579e-11	3.49927e-11	9.94918e-14	1.72329e-10	6.45004e-11	9.99983e-06	8.2035e-10	8.70922e-10	2.94854e-11
55	9.82011e-09	8.00613e-11	3.49672e-11	9.97325e-14	1.75827e-10	6.47664e-11	9.99982e-06	8.20105e-10	8.70412e-10	2.9755e-11
56	9.81988e-09	8.00646e-11	3.4943e-11	9.99596e-14	1.79322e-10	6.5017e-11	9.99982e-06	8.19875e-10	8.69929e-10	3.00113e-11
57	9.81966e-09	8.00677e-11	3.492e-11	1.00173e-13	1.82815e-10	6.52532e-11	9.99982e-06	8.19659e-10	8.69472e-10	3.02548e-11
58	9.81946e-09	8.00706e-11	3.48981e-11	1.00374e-13	1.86306e-10	6.54756e-11	9.99981e-06	8.19455e-10	8.6904e-10	3.0486e-11
59	9.81926e-09	8.00734e-11	3.48775e-11	1.00563e-13	1.89795e-10	6.56851e-11	9.99981e-06	8.19263e-10	8.68631e-10	3.07054e-11
60	9.81908e-09	8.0076e-11	3.48579e-11	1.00741e-13	1.93282e-10	6.58825e-11	9.99981e-06	8.19083e-10	8.68245e-10	3.09137e-11
61	9.81891e-09	8.00785e-11	3.48394e-11	1.00908e-13	1.96767e-10	6.60683e-11	9.9998e-06	8.18913e-10	8.6788e-10	3.11112e-11
62	9.81875e-09	8.00808e-11	3.48218e-11	1.01066e-13	2.0025e-10	6.62434e-11	9.9998e-06	8.18753e-10	8.67535e-10	3.12985e-11
63	9.8186e-09	8.00831e-11	3.48052e-11	1.01214e-13	2.03731e-10	6.64082e-11	9.9998e-06	8.18602e-10	8.67209e-10	3.14761e-11
64	9.81846e-09	8.00852e-11	3.47895e-11	1.01354e-13	2.07211e-10	6.65635e-11	9.99979e-06	8.18461e-10	8.66901e-10	3.16444e-11
65	9.81833e-09	8.00872e-11	3.47746e-11	1.01485e-13	2.10689e-10	6.67096e-11	9.99979e-06	8.18327e-10	8.6661e-10	3.18038e-11
66	9.8182e-09	8.0089e-11	3.47605e-11	1.01609e-13	2.14166e-10	6.68473e-11	9.99979e-06	8.18202e-10	8.66336e-10	3.19548e-11
67	9.81808e-09	8.00908e-11	3.47472e-11	1.01725e-13	2.17641e-10	6.69769e-11	9.99978e-06	8.18083e-10	8.66076e-10	3.20977e-11
68	9.81797e-09	8.00925e-11	3.47346e-11	1.01835e-13	2.21115e-10	6.70989e-11	9.99978e-06	8.17972e-10	8.65832e-10	3.22331e-11
69	9.81787e-09	8.00941e-11	3.47227e-11	1.01938e-13	2.24588e-10	6.72138e-11	9.99978e-06	8.17867e-10	8.656e-10	3.23612e-11
70	9.81777e-09	8.00956e-11	3.47114e-11	1.02035e-13	2.2806e-10	6.7322e-11	9.99977e-06	8.17769e-10	8.65382e-10	3.24824e-11
71	9.81768e-09	8.0097e-11	3.47008e-11	1.02126e-13	2.3153e-10	6.74238e-11	9.99977e-06	8.17676e-10	8.65176e-10	3.2597e-11
72	9.81759e-09	8.00983e-11	3.46907e-11	1.02212e-13	2.35e-10	6.75197e-11	9.99977e-06	8.17589e-10	8.64982e-10	3.27055e-11
73	9.81751e-09	8.00996e-11	3.46812e-11	1.02293e-13	2.38468e-10	6.76099e-11	9.99976e-06	8.17507e-10	8.64799e-10	3.2808e-11
74	9.81743e-09	8.01008e-11	3.46722e-11	1.02369e-13	2.41936e-10	6.76948e-11	9.99976e-06	8.1743e-10	8.64626e-10	3.2905e-11
75	9.81736e-09	8.01019e-11	3.46637e-11	1.0244e-13	2.45403e-10	6.77748e-11	9.99975e-06	8.17357e-10	8.64462e-10	3.29966e-11
76	9.81729e-09	8.01029e-11	3.46557e-11	1.02508e-13	2.48869e-10	6.785e-11	9.99975e-06	8.17289e-10	8.64309e-10	3.30832e-11
77	9.81722e-09	8.01039e-11	3.46481e-11	1.02571e-13	2.52334e-10	6.79208e-11	9.99975e-06	8.17225e-10	8.64163e-10	3.31651e-11
78	9.81716e-09	8.01049e-11	3.4641e-11	1.0263e-13	2.55798e-10	6.79875e-11	9.99974e-06	8.17164e-10	8.64026e-10	3.32424e-11
79	9.81711e-09	8.01058e-11	3.46342e-11	1.02687e-13	2.59262e-10	6.80502e-11	9.99974e-06	8.17107e-10	8.63897e-10	3.33155e-11
