Time	[ATP]	[ADP]	[AMP]	[GLC]	[F6P]	[FBP]	[GAP]	[NAD]	[NADH]	[DPG]	[PEP]	[PYR]	[ACA]	[EtOH]	[P]
0	4.49064	0.108367	0.00261149	0.0112817	0.65939	0.00770135	0.00190919	3.62057	0.616118	0.299109	0.0021125	0.00422702	0.0738334	0.33981	0
1	4.11044	0.446664	0.0444999	0.273967	0.660179	0.207636	0.0290904	3.61302	0.623708	0.292201	0.00397716	0.0139435	0.0767154	0.378475	0.0355107
2	3.51042	0.873458	0.217705	0.436747	0.0583609	0.861502	0.100884	3.18324	1.05352	0.535864	0.0125619	0.0708457	0.197343	0.479472	0.0491611
3	3.6593	0.776004	0.166265	0.571303	0.0718082	0.893353	0.104185	2.8352	1.40159	0.724175	0.0158991	0.104165	0.320413	0.811256	0.0517116
4	3.85994	0.635601	0.106012	0.689953	0.111112	0.912722	0.10612	2.65578	1.58105	0.879251	0.0167804	0.107851	0.340198	1.30397	0.0555859
5	4.04305	0.496624	0.061855	0.797948	0.183489	0.908041	0.106235	2.51875	1.71811	1.05284	0.0169945	0.0995674	0.311709	1.82747	0.0621392
6	4.18935	0.377642	0.0345182	0.898109	0.302988	0.867344	0.103733	2.37671	1.86019	1.25264	0.0170255	0.0869831	0.266499	2.32152	0.0733396
7	4.29422	0.287761	0.0195215	0.992171	0.476643	0.788396	0.0982584	2.22256	2.01438	1.46744	0.0170828	0.0741269	0.218652	2.76137	0.0917127
8	4.35902	0.230203	0.012261	1.0813	0.691807	0.687774	0.0906806	2.06561	2.17136	1.6744	0.0173696	0.0644061	0.178079	3.14063	0.119655
9	4.39061	0.201572	0.00928861	1.16631	0.916357	0.596925	0.0832837	1.92157	2.31543	1.84873	0.0180149	0.0599505	0.151599	3.47012	0.15838
10	4.39797	0.194856	0.00862636	1.24781	1.11131	0.547534	0.079038	1.8022	2.43483	1.97743	0.0190261	0.0609395	0.140274	3.77332	0.207278
11	4.3843	0.207381	0.00975696	1.32626	1.23018	0.572049	0.0813614	1.7055	2.53157	2.06364	0.0205471	0.0679231	0.142262	4.07752	0.263669
12	4.34783	0.240403	0.013189	1.40203	1.20814	0.715474	0.0939038	1.61596	2.62114	2.11972	0.0228948	0.0836096	0.157682	4.41338	0.32212
13	4.3292	0.256907	0.0152999	1.4754	1.06542	0.944696	0.112407	1.52095	2.71618	2.1754	0.0246057	0.0999603	0.17896	4.81279	0.375172
14	4.40348	0.189569	0.00833703	1.54649	1.09646	0.987331	0.116888	1.41697	2.82019	2.31287	0.0225128	0.0814711	0.166047	5.24667	0.423481
15	4.46405	0.133308	0.00401607	1.61543	1.36523	0.814464	0.105254	1.2747	2.96249	2.53422	0.0208916	0.0537377	0.11633	5.59241	0.479632
16	4.47722	0.120871	0.00326838	1.68243	1.66302	0.642665	0.0921686	1.12529	3.11194	2.71175	0.021487	0.0485571	0.0927901	5.83815	0.549758
17	4.47832	0.119818	0.00320255	1.74766	1.93287	0.520982	0.0816729	1.02829	3.20897	2.81138	0.0222734	0.0495227	0.0884139	6.05609	0.633313
18	4.47261	0.125224	0.00349373	1.81126	2.15734	0.454595	0.0751718	0.985925	3.25136	2.84772	0.0230254	0.0527123	0.0904966	6.27538	0.72832
19	4.45564	0.14123	0.00443853	1.87333	2.30464	0.461107	0.0754137	0.980266	3.25705	2.83715	0.0241559	0.0599243	0.0983865	6.50967	0.831742
20	4.39108	0.201244	0.00897582	1.93401	2.23892	0.653134	0.0922397	0.98921	3.24813	2.77644	0.0278111	0.0844786	0.12194	6.7861	0.937209
