Time	[Ste5]	[Ste11]	[Ste5Ste11]	[Gbg]	[Ste5Ste11Gbg]	[Fus3]	[Ste5Ste11GbgFus3]	[Ste5Ste11GbgFus3P]	[Fus3PP]	[Ste5Ste11GbgP]	[Ste11Ubi]	[p]	[Kss1]	[Ste5Ste11GbgKss1]	[Ste5Ste11GbgKss1P]	[Kss1PP]	[Ste11P]	[Ste12Kss1]	[Ste12]	[Ste12P]	[s]	[PREP]	[Ste12TeSte5Kss1]	[Ste12TeSte5]	[Ste12TeSte5P]	[FREP]
90	30.8218	0.930169	0.286931	52.8077	1.96901e-23	213.642	-1.68088e-18	0.183848	3.17424	0.000824009	0.145859	0	8.72134	9.19998e-19	0.0075864	61.6654	9.19114	34.0594	0.390916	1.51966	0	1.55821	1.38685	0.15755	9.70761	9.69957
91	30.814	0.929695	0.286701	52.8158	1.18058e-23	213.78	-1.96927e-18	0.176206	3.0434	0.000789243	0.139651	0	8.64186	1.07294e-18	0.00719787	61.6911	9.19185	34.0928	0.394889	1.48233	0	1.52007	1.37429	0.157603	9.71522	9.70747
92	30.8065	0.929245	0.286482	52.8235	7.16027e-24	213.913	-8.7035e-19	0.168881	2.9179	0.000755961	0.13371	0	8.56534	4.74173e-19	0.00683123	61.7148	9.19251	34.1254	0.398789	1.44583	0	1.48274	1.36222	0.157656	9.72254	9.71508
93	30.7993	0.928817	0.286273	52.8309	4.34115e-24	214.041	-9.07081e-20	0.16186	2.79752	0.000724097	0.128024	0	8.4917	5.01052e-20	0.00648511	61.7367	9.19315	34.1572	0.402613	1.41015	0	1.44624	1.35061	0.15771	9.72959	9.7224
94	30.7924	0.92841	0.286074	52.838	2.6319e-24	214.163	1.4377e-20	0.15513	2.68205	0.000693591	0.122583	0	8.42085	-7.14597e-21	0.00615825	61.7568	9.19376	34.1884	0.406362	1.37529	0	1.41056	1.33945	0.157764	9.73638	9.72946
95	30.7858	0.928024	0.285884	52.8448	1.59452e-24	214.28	-1.1005e-19	0.148679	2.5713	0.000664382	0.117376	0	8.35268	6.02369e-20	0.00584947	61.7753	9.19433	34.2187	0.410033	1.34125	0	1.3757	1.32872	0.157819	9.7429	9.73625
96	30.7795	0.927657	0.285704	52.8513	9.58975e-25	214.392	-1.61834e-19	0.142496	2.46508	0.000636415	0.112392	0	8.28712	8.81285e-20	0.00555769	61.7922	9.19488	34.2484	0.413625	1.30802	0	1.34166	1.31842	0.157873	9.74918	9.74278
97	30.7734	0.927308	0.285532	52.8575	5.62559e-25	214.5	-1.45114e-19	0.136569	2.36322	0.000609636	0.107623	0	8.22407	7.88832e-20	0.00528186	61.8076	9.1954	34.2772	0.417139	1.27562	0	1.30843	1.30851	0.157928	9.75522	9.74906
98	30.7676	0.926976	0.285368	52.8635	3.52018e-25	214.604	-5.7667e-20	0.130888	2.26552	0.000583993	0.103058	0	8.16344	3.13116e-20	0.00502103	61.8217	9.1959	34.3054	0.420573	1.24402	0	1.27602	1.299	0.157982	9.76102	9.7551
99	30.762	0.92666	0.285212	52.8692	1.8126e-25	214.703	9.14742e-21	0.125443	2.17183	0.000559438	0.0986882	0	8.10516	-4.97849e-21	0.0047743	61.8345	9.19637	34.3328	0.423927	1.21322	0	1.24442	1.28986	0.158036	9.7666	9.76091
100	30.7567	0.926361	0.285063	52.8747	1.62378e-25	214.798	3.33301e-20	0.120224	2.08199	0.000535924	0.0945059	0	8.04914	-1.80883e-20	0.00454083	61.8461	9.19682	34.3596	0.4272	1.18323	0	1.21363	1.28109	0.15809	9.77196	9.76649
