Time	[Ste5]	[Ste11]	[Ste5Ste11]	[Gbg]	[Ste5Ste11Gbg]	[Fus3]	[Ste5Ste11GbgFus3]	[Ste5Ste11GbgFus3P]	[Fus3PP]	[Ste5Ste11GbgP]	[Ste11Ubi]	[p]	[Kss1]	[Ste5Ste11GbgKss1]	[Ste5Ste11GbgKss1P]	[Kss1PP]	[Ste11P]	[Ste12Kss1]	[Ste12]	[Ste12P]	[s]	[PREP]	[Ste12TeSte5Kss1]	[Ste12TeSte5]	[Ste12TeSte5P]	[FREP]
19	34.9163	1.48308	0.540235	48.46	9.93469e-08	174.589	8.2597e-05	3.98982	38.4214	0.0217493	2.01134	0	23.1973	9.63846e-06	0.528327	50.6239	8.38497	30.7244	0.132291	5.1133	0	5.05651	4.10163	0.175914	8.95095	9.00724
20	34.7252	1.43719	0.519051	48.6723	5.81175e-08	174.727	3.85057e-05	3.80267	38.4706	0.0207224	2.02191	0	23.1599	4.62356e-06	0.504239	50.7676	8.45203	30.6958	0.132447	5.14174	0	5.10368	4.07656	0.174768	8.90973	8.95606
21	34.5418	1.39628	0.500148	48.8746	3.40679e-08	175.032	1.89272e-05	3.62583	38.342	0.0197327	2.02188	0	23.0816	2.33046e-06	0.47986	50.9313	8.51183	30.6815	0.132891	5.15566	0	5.13356	4.04429	0.173684	8.87615	8.91406
22	34.3662	1.35971	0.483253	49.0671	2.00098e-08	175.479	9.76335e-06	3.45855	38.062	0.0187819	2.01263	0	22.9686	1.22521e-06	0.455558	51.1109	8.56529	30.6793	0.133586	5.15707	0	5.14864	4.00626	0.17266	8.84903	8.87981
23	34.1981	1.3269	0.468113	49.2503	1.17749e-08	176.046	5.24305e-06	3.30019	37.6539	0.0178708	1.99539	0	22.8257	6.65803e-07	0.43161	51.3036	8.61323	30.6878	0.134502	5.14772	0	5.15105	3.96361	0.171691	8.82745	8.85215
24	34.0373	1.29736	0.454502	49.4246	6.94127e-09	176.712	2.90492e-06	3.15014	37.138	0.0169997	1.97132	0	22.6571	3.70751e-07	0.408221	51.507	8.65638	30.7052	0.135617	5.12914	0	5.14255	3.91725	0.170775	8.81068	8.83014
25	33.8838	1.27066	0.442222	49.5904	4.09856e-09	177.46	1.64691e-06	3.00785	36.5322	0.0161685	1.94145	0	22.4663	2.10036e-07	0.385538	51.7193	8.69536	30.7305	0.136913	5.10262	0	5.1247	3.86788	0.169909	8.79816	8.81302
26	33.7372	1.24644	0.431103	49.7481	2.42374e-09	178.275	9.49104e-07	2.87282	35.8522	0.0153766	1.9067	0	22.2563	1.204e-07	0.363667	51.9393	8.7307	30.7623	0.138375	5.0693	0	5.09881	3.81611	0.169089	8.78939	8.80022
27	33.5974	1.22439	0.421001	49.8981	1.43536e-09	179.144	5.53254e-07	2.7446	35.1117	0.0146231	1.8679	0	22.0297	6.95683e-08	0.342676	52.1656	8.76285	30.7998	0.139993	5.03016	0	5.06603	3.76241	0.168314	8.784	8.79123
28	33.464	1.20425	0.41179	50.0407	8.51112e-10	180.054	3.25089e-07	2.62276	34.3228	0.0139068	1.82581	0	21.7886	4.0413e-08	0.322608	52.3972	8.7922	30.8422	0.141756	4.98606	0	5.02737	3.70719	0.16758	8.78164	8.78564
