Time	[x1]	[x2]	[x3]
0	0	0	0.33
1	0.524458	0.486664	0.690112
2	0.782763	0.601765	0.843344
3	0.954025	0.651831	0.771466
4	1.01532	0.815129	0.580921
5	0.856687	1.02351	0.502983
6	0.535765	1.17185	0.687455
7	0.292453	1.10374	0.944062
8	0.355067	0.778649	1.16331
9	0.656758	0.376923	1.31778
10	0.929757	0.147988	1.25226
11	1.15328	0.20353	0.916463
12	1.33837	0.51326	0.472987
13	1.38313	0.819441	0.156651
14	1.14451	1.06128	0.109777
15	0.71058	1.2657	0.314887
16	0.28631	1.41015	0.658388
17	0.0965083	1.33256	0.932019
18	0.154658	0.983523	1.15527
19	0.456836	0.520829	1.34442
20	0.777051	0.170343	1.42126
21	1.02664	0.0912203	1.22351
22	1.23607	0.247962	0.803735
23	1.40082	0.592958	0.35445
24	1.38086	0.88134	0.108379
25	1.07722	1.11264	0.120426
26	0.619642	1.30965	0.378017
27	0.223136	1.42675	0.714613
28	0.0877413	1.29307	0.976422
29	0.188716	0.906984	1.19303
30	0.517383	0.444393	1.37338
31	0.823581	0.136886	1.41128
32	1.0647	0.0991465	1.16512
33	1.2688	0.30032	0.724813
34	1.41674	0.646636	0.293106
35	1.34924	0.922874	0.0950817
36	1.00712	1.14754	0.144048
37	0.543183	1.33852	0.437667
38	0.180643	1.42584	0.762286
39	0.0888307	1.24316	1.01468
40	0.231223	0.830409	1.2258
41	0.573946	0.376294	1.39513
42	0.866764	0.114154	1.39068
43	1.10047	0.113614	1.10111
44	1.29938	0.357181	0.646899
45	1.42553	0.697267	0.239946
46	1.30924	0.962646	0.0885772
47	0.933752	1.18128	0.175511
48	0.469668	1.36481	0.496726
49	0.146863	1.41664	0.807813
50	0.0954253	1.1867	1.05175
51	0.281071	0.752659	1.25766
52	0.627983	0.313815	1.41207
53	0.908375	0.0988837	1.36161
54	1.13532	0.134735	1.03253
55	1.32856	0.416395	0.570108
56	1.42715	0.745567	0.194745
57	1.26178	1.00119	0.0877915
58	0.857906	1.21423	0.215147
59	0.399994	1.38788	0.554047
60	0.121357	1.39903	0.85155
61	0.107728	1.12452	1.08782
62	0.336494	0.674627	1.28861
63	0.679477	0.258037	1.42318
64	0.948599	0.0902139	1.3244
65	1.16933	0.16335	0.96027
66	1.35574	0.475795	0.495529
67	1.42088	0.79178	0.157949
68	1.20755	1.03863	0.0924391
69	0.780492	1.24639	0.262529
70	0.335404	1.40664	0.60899
71	0.103534	1.37295	0.893689
72	0.126379	1.05748	1.12298
73	0.395137	0.597323	1.31833
74	0.728579	0.209928	1.42744
75	0.987568	0.0874424	1.27953
76	1.20256	0.200068	0.885205
77	1.38008	0.533839	0.424344
78	1.40629	0.836131	0.129541
79	1.14732	1.07505	0.102648
80	0.702451	1.27768	0.316213
81	0.277111	1.41995	0.661381
82	0.0925999	1.33859	0.934391
83	0.152227	0.986432	1.15728
84	0.454682	0.521824	1.34632
85	0.775508	0.17011	1.42405
86	1.02539	0.0901573	1.22764
87	1.235	0.244796	0.808248
88	1.40051	0.589669	0.357799
89	1.38322	0.87882	0.109063
90	1.08192	1.11053	0.118941
91	0.624769	1.30789	0.373987
92	0.226173	1.42676	0.711311
93	0.0877881	1.29639	0.973794
94	0.186016	0.912268	1.19078
95	0.513341	0.44929	1.37178
96	0.820499	0.138741	1.41247
97	1.06216	0.09834	1.16946
98	1.26662	0.296454	0.730322
99	1.41589	0.642969	0.297127
100	1.35178	0.920017	0.0957642
