Time	[MKKK]	[MKKK_P]	[MKK]	[MKK_P]	[MKK_PP]	[MK]	[MK_P]	[MK_PP]	[P1]	[P2]	[Sig]
0	300	0	1200	0	0	1200	0	0	100	200	20
1	285.096	14.9042	1199.93	0.0713427	0.000323247	1200	6.21805e-07	2.46119e-14	100	200	20
2	270.391	29.6086	1199.71	0.28032	0.00508133	1200	1.96285e-05	2.43252e-11	100	200	20
3	255.9	44.0999	1199.36	0.614094	0.0251209	1200	0.000146401	1.35315e-09	100	200	20
4	241.636	58.364	1198.87	1.0539	0.0770795	1200	0.000603395	2.29846e-08	100	200	20
5	227.615	72.3854	1198.24	1.57675	0.181671	1200	0.00179366	2.03117e-07	100	200	20
6	213.852	86.1478	1197.48	2.15736	0.361742	1200	0.00433032	1.18413e-06	100	200	20
7	200.367	99.6333	1196.59	2.77012	0.640321	1199.99	0.00904659	5.17013e-06	100	200	20
8	187.177	112.823	1195.57	3.3908	1.03885	1199.98	0.0169864	1.82401e-05	100	200	20
9	174.304	125.696	1194.43	3.99801	1.57577	1199.97	0.029378	5.46167e-05	100	200	20
10	161.769	138.231	1193.16	4.57414	2.26553	1199.95	0.0475929	0.000143561	100	200	20
11	149.594	150.406	1191.78	5.10588	3.11805	1199.93	0.0730946	0.000339364	100	200	20
12	137.805	162.195	1190.28	5.58435	4.13864	1199.89	0.107381	0.000734561	100	200	20
13	126.426	173.574	1188.67	6.00474	5.32825	1199.85	0.151927	0.00147605	100	200	20
14	115.482	184.518	1186.95	6.36585	6.68403	1199.79	0.208123	0.00278342	100	200	20
15	105	195	1185.13	6.66936	8.19997	1199.72	0.277225	0.00496834	100	200	20
16	95.0056	204.994	1183.21	6.91907	9.86771	1199.63	0.360307	0.00845391	100	200	20
17	85.5234	214.477	1181.2	7.12017	11.6772	1199.53	0.458228	0.0137924	100	200	20
18	76.5768	223.423	1179.1	7.27862	13.6176	1199.41	0.571597	0.0216806	100	200	20
19	68.1861	231.814	1176.92	7.40057	15.6773	1199.27	0.700762	0.032971	100	200	20
20	60.3684	239.632	1174.66	7.492	17.8451	1199.11	0.845798	0.0486791	100	200	20
21	53.1355	246.864	1172.33	7.55844	20.1097	1198.92	1.00651	0.0699853	100	200	20
22	46.4939	253.506	1169.93	7.60479	22.4607	1198.72	1.18242	0.098232	100	200	20
23	40.4431	259.557	1167.48	7.63525	24.8882	1198.49	1.37282	0.134915	100	200	20
24	34.9755	265.025	1164.96	7.65335	27.3829	1198.24	1.57677	0.181673	100	200	20
25	30.076	269.924	1162.4	7.66196	29.9366	1197.97	1.79309	0.240266	100	200	20
26	25.7225	274.278	1159.8	7.66338	32.5414	1197.67	2.02046	0.312559	100	200	20
27	21.886	278.114	1157.15	7.6594	35.1907	1197.34	2.25738	0.400495	100	200	20
28	18.5323	281.468	1154.47	7.65141	37.878	1196.99	2.50225	0.506073	100	200	20
29	15.6233	284.377	1151.76	7.64048	40.598	1196.62	2.75339	0.631315	100	200	20
30	13.1182	286.882	1149.03	7.62738	43.3458	1196.21	3.00905	0.778246	100	200	20
31	10.9753	289.025	1146.27	7.61272	46.117	1195.78	3.26749	0.948861	100	200	20
32	9.15346	290.847	1143.49	7.59692	48.9081	1195.33	3.52697	1.1451	100	200	20
33	7.61294	292.387	1140.7	7.5803	51.7158	1194.85	3.78578	1.36884	100	200	20
34	6.31664	293.683	1137.9	7.56309	54.5373	1194.34	4.04232	1.62183	100	200	20
35	5.23047	294.77	1135.08	7.54545	57.3703	1193.8	4.29504	1.90573	100	200	20
36	4.3237	295.676	1132.26	7.52751	60.2128	1193.24	4.54254	2.22206	100	200	20
37	3.5691	296.431	1129.43	7.50935	63.0632	1192.64	4.78352	2.57218	100	200	20
38	2.94283	297.057	1126.59	7.49103	65.92	1192.03	5.01682	2.95732	100	200	20
39	2.42425	297.576	1123.75	7.47259	68.782	1191.38	5.24145	3.37852	100	200	20
40	1.99567	298.004	1120.9	7.45408	71.6484	1190.71	5.45656	3.83669	100	200	20
41	1.64204	298.358	1118.05	7.4355	74.5182	1190.01	5.66144	4.33255	100	200	20
42	1.35064	298.649	1115.19	7.41688	77.3909	1189.28	5.85557	4.86667	100	200	20
43	1.11081	298.889	1112.34	7.39823	80.2658	1188.52	6.03854	5.43948	100	200	20
44	0.913587	299.086	1109.48	7.37956	83.1425	1187.74	6.21009	6.05123	100	200	20
45	0.751538	299.248	1106.62	7.36086	86.0206	1186.93	6.37012	6.70207	100	200	20
46	0.618474	299.382	1103.76	7.34216	88.8997	1186.09	6.51861	7.39201	100	200	20
47	0.509269	299.491	1100.9	7.32345	91.7798	1185.22	6.65569	8.12092	100	200	20
48	0.419684	299.58	1098.03	7.30473	94.6604	1184.33	6.78158	8.88861	100	200	20
49	0.346221	299.654	1095.17	7.28601	97.5415	1183.41	6.89656	9.69478	100	200	20
50	0.285999	299.714	1092.31	7.26728	100.423	1182.46	7.00101	10.539	100	200	20
