Time	[JAK2]	[EpoR]	[SHP1]	[SOS]	[Raf]	[MEK2]	[MEK1]	[ERK1]	[ERK2]	[pJAK2]	[pEpoR]	[mSHP1]	[actSHP1]	[mSOS]	[pRaf]	[ppMEK2]	[ppMEK1]	[ppERK1]	[ppERK2]	[pSOS]	[pMEK2]	[pMEK1]	[pERK1]	[pERK2]	[Delay01_mSHP1]	[Delay02_mSHP1]	[Delay03_mSHP1]	[Delay04_mSHP1]	[Delay05_mSHP1]	[Delay06_mSHP1]	[Delay07_mSHP1]	[Delay08_mSHP1]	[Epo]
0	2	1	10.7991	2.5101	3.7719	11	24	7	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
1	1.08589	0.204138	9.30764	2.49752	3.76934	10.9757	23.9883	6.99324	20.9801	0.914108	0.795862	1.3231	7.57527e-12	0.012167	0.00255835	0.00176967	0.00238735	3.09211e-05	8.11234e-05	0.000408045	0.022567	0.00933523	0.00673292	0.0198094	0.153825	0.01352	0.000963027	5.78935e-05	3.01709e-06	1.38938e-07	5.73573e-09	2.14677e-10	50
2	0.589581	0.00480716	6.33906	2.3428	3.76823	10.8505	23.9269	6.61861	19.8838	1.41042	0.995193	3.30048	1.89549e-08	0.000264704	0.00366551	0.0522328	0.048749	0.0477696	0.126361	0.167034	0.0973034	0.0243897	0.333621	0.989799	0.93863	0.187541	0.0291916	0.00374331	0.000409544	3.91585e-05	3.32994e-06	2.55229e-07	50
3	0.320111	3.52363e-05	4.21539	2.14793	3.76933	10.7548	23.878	5.92451	17.8773	1.67989	0.999965	3.91354	1.42883e-06	4.57983e-05	0.00256754	0.116833	0.0936269	0.256307	0.681163	0.36212	0.128416	0.0283383	0.819183	2.44152	1.87084	0.610188	0.152131	0.0308342	0.00528009	0.000784329	0.000103021	1.21407e-05	50
4	0.173808	3.88528e-06	2.80201	1.99153	3.77012	10.6929	23.845	5.3867	16.3368	1.82619	0.999996	3.74572	2.58112e-05	2.24803e-05	0.00177993	0.161718	0.122646	0.483973	1.2893	0.518549	0.14538	0.0323577	1.12933	3.37389	2.53966	1.16224	0.403266	0.113021	0.0266247	0.0054179	0.000971481	0.000155833	50
5	0.0944219	3.26943e-05	1.86253	1.8668	3.77067	10.6545	23.8231	5.06223	15.4102	1.90558	0.999967	3.25046	0.00021528	1.587e-05	0.00123264	0.187277	0.139721	0.642146	1.71328	0.643288	0.158273	0.0371384	1.29562	3.87652	2.86032	1.69079	0.754783	0.271259	0.0817108	0.0212101	0.0048412	0.000986721	50
6	0.0515901	0.00017428	1.23809	1.76741	3.77105	10.6322	23.8092	4.90038	14.9487	1.94841	0.999826	2.6662	0.00110964	1.33156e-05	0.00085435	0.19824	0.148144	0.724236	1.93356	0.742672	0.169547	0.0426822	1.37538	4.11776	2.88693	2.09462	1.14524	0.503148	0.184972	0.0585115	0.0162538	0.0040271	50
7	0.0293639	0.000665662	0.823146	1.68829	3.77131	10.6213	23.8008	4.85028	14.807	1.97064	0.999334	2.10825	0.0041242	1.23359e-05	0.000593416	0.199003	0.150321	0.746498	1.99267	0.821798	0.179707	0.0488646	1.40323	4.20035	2.71138	2.33317	1.51099	0.785383	0.341235	0.12745	0.0417668	0.0121984	50
8	0.0202709	0.00199943	0.547587	1.6254	3.77149	10.6183	23.7965	4.87574	14.8818	1.97973	0.998001	1.62463	0.0121075	1.21904e-05	0.000413712	0.193	0.148027	0.726699	1.93826	0.88469	0.188701	0.0554813	1.39756	4.17996	2.4202	2.41002	1.80461	1.08372	0.543627	0.234272	0.0885289	0.0297984	50
9	0.022341	0.00501276	0.364898	1.57562	3.77161	10.6209	23.7951	4.95193	15.1018	1.97766	0.994987	1.22821	0.029756	1.26091e-05	0.000290185	0.182774	0.142614	0.67956	1.81026	0.93447	0.196341	0.062273	1.36851	4.08791	2.08005	2.35316	2.00064	1.36341	0.775751	0.379014	0.162312	0.0618895	50
10	0.0375193	0.0109275	0.244256	1.5366	3.77169	10.6274	23.7959	5.06123	15.4164	1.96248	0.989073	0.914993	0.0636752	1.34874e-05	0.000205524	0.170166	0.13513	0.616488	1.63976	0.973491	0.202453	0.0689564	1.32229	3.94386	1.73618	2.19967	2.09352	1.5965	1.01612	0.555158	0.265774	0.113254	50
11	0.0704299	0.0213366	0.165295	1.50664	3.77175	10.6366	23.7983	5.19056	15.7879	1.92957	0.978663	0.673971	0.121985	1.47876e-05	0.000147794	0.156474	0.126402	0.546064	1.45009	1.00345	0.206933	0.0752564	1.26337	3.76202	1.41586	1.98601	2.09206	1.7653	1.24288	0.750977	0.397509	0.187247	50
12	0.126808	0.0381608	0.114632	1.48463	3.77179	10.6477	23.802	5.33002	16.1879	1.87319	0.961839	0.492366	0.213509	1.64957e-05	0.000108777	0.142591	0.117076	0.474522	1.25807	1.02545	0.209756	0.0809331	1.19546	3.55403	1.13312	1.74307	2.01346	1.86266	1.43748	0.951859	0.552062	0.284888	50
13	0.21133	0.0635869	0.083562	1.46994	3.77182	10.6599	23.8066	5.47202	16.5948	1.78867	0.936413	0.358069	0.34671	1.85929e-05	8.28123e-05	0.129107	0.107647	0.406144	1.07513	1.04014	0.21097	0.0858009	1.12184	3.33006	0.893078	1.49438	1.87817	1.89028	1.58684	1.14281	0.720774	0.404422	50
